game,2018,11,20181118,201811180was,htx,"Houston Texans",23,was,"Washington Redskins",21
player,201811180was,htx,ScarBr00,sacks,0.0,,,,,
player,201811180was,htx,ScarBr00,tackles_combined,3,,,,,
player,201811180was,htx,ScarBr00,tackles_solo,2,,,,,
player,201811180was,htx,ScarBr00,tackles_assists,1,,,,,
player,201811180was,htx,ScarBr00,tackles_loss,0,,,,,
player,201811180was,htx,ScarBr00,qb_hits,1,,,,,
player,201811180was,htx,ScarBr00,fumbles_rec,0,,,,,
player,201811180was,htx,ScarBr00,fumbles_rec_yds,0,,,,,
player,201811180was,htx,ScarBr00,fumbles_rec_td,0,,,,,
player,201811180was,htx,ScarBr00,fumbles_forced,0,,,,,
player,201811180was,htx,JackKa99,def_int,0,,,,,
player,201811180was,htx,JackKa99,def_int_yds,0,,,,,
player,201811180was,htx,JackKa99,def_int_td,0,,,,,
player,201811180was,htx,JackKa99,def_int_long,0,,,,,
player,201811180was,htx,JackKa99,pass_defended,1,,,,,
player,201811180was,htx,JackKa99,sacks,1.0,,,,,
player,201811180was,htx,JackKa99,tackles_combined,10,,,,,
player,201811180was,htx,JackKa99,tackles_solo,8,,,,,
player,201811180was,htx,JackKa99,tackles_assists,2,,,,,
player,201811180was,htx,JackKa99,tackles_loss,1,,,,,
player,201811180was,htx,JackKa99,qb_hits,1,,,,,
player,201811180was,htx,JackKa99,fumbles_rec,0,,,,,
player,201811180was,htx,JackKa99,fumbles_rec_yds,0,,,,,
player,201811180was,htx,JackKa99,fumbles_rec_td,0,,,,,
player,201811180was,htx,JackKa99,fumbles_forced,0,,,,,
player,201811180was,htx,MathTy00,def_int,0,,,,,
player,201811180was,htx,MathTy00,def_int_yds,0,,,,,
player,201811180was,htx,MathTy00,def_int_td,0,,,,,
player,201811180was,htx,MathTy00,def_int_long,0,,,,,
player,201811180was,htx,MathTy00,pass_defended,0,,,,,
player,201811180was,htx,MathTy00,sacks,1.0,,,,,
