game,2018,3,20180923,201809230atl,nor,"New Orleans Saints",43,atl,"Atlanta Falcons",37
player,201809230atl,atl,RidlCa00,st_pct,0%,,,,,
player,201809230atl,atl,PaulLo00,pos,TE,,,,,
player,201809230atl,atl,PaulLo00,offense,21,,,,,
player,201809230atl,atl,PaulLo00,off_pct,31%,,,,,
player,201809230atl,atl,PaulLo00,defense,0,,,,,
player,201809230atl,atl,PaulLo00,def_pct,0%,,,,,
player,201809230atl,atl,PaulLo00,special_teams,12,,,,,
player,201809230atl,atl,PaulLo00,st_pct,33%,,,,,
player,201809230atl,atl,HardJu00,pos,WR,,,,,
player,201809230atl,atl,HardJu00,offense,15,,,,,
player,201809230atl,atl,HardJu00,off_pct,22%,,,,,
player,201809230atl,atl,HardJu00,defense,0,,,,,
player,201809230atl,atl,HardJu00,def_pct,0%,,,,,
player,201809230atl,atl,HardJu00,special_teams,15,,,,,
player,201809230atl,atl,HardJu00,st_pct,42%,,,,,
player,201809230atl,atl,HallMa02,pos,WR,,,,,
player,201809230atl,atl,HallMa02,offense,12,,,,,
player,201809230atl,atl,HallMa02,off_pct,18%,,,,,
player,201809230atl,atl,HallMa02,defense,0,,,,,
player,201809230atl,atl,HallMa02,def_pct,0%,,,,,
player,201809230atl,atl,HallMa02,special_teams,18,,,,,
player,201809230atl,atl,HallMa02,st_pct,50%,,,,,
player,201809230atl,atl,SmitIt00,pos,RB,,,,,
player,201809230atl,atl,SmitIt00,offense,10,,,,,
player,201809230atl,atl,SmitIt00,off_pct,15%,,,,,
player,201809230atl,atl,SmitIt00,defense,0,,,,,
player,201809230atl,atl,SmitIt00,def_pct,0%,,,,,
player,201809230atl,atl,SmitIt00,special_teams,0,,,,,
player,201809230atl,atl,SmitIt00,st_pct,0%,,,,,
player,201809230atl,atl,OrtiRi00,pos,FB,,,,,
player,201809230atl,atl,OrtiRi00,offense,9,,,,,
player,201809230atl,atl,OrtiRi00,off_pct,13%,,,,,
player,201809230atl,atl,OrtiRi00,defense,0,,,,,
player,201809230atl,atl,OrtiRi00,def_pct,0%,,,,,
player,201809230atl,atl,OrtiRi00,special_teams,8,,,,,
