game,2018,3,20180923,201809230ram,sdg,"Los Angeles Chargers",23,ram,"Los Angeles Rams",35
player,201809230ram,sdg,KingDe01,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,KingDe01,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,KingDe01,fumbles_forced,0,,,,,
player,201809230ram,sdg,PhilDa01,def_int,0,,,,,
player,201809230ram,sdg,PhilDa01,def_int_yds,0,,,,,
player,201809230ram,sdg,PhilDa01,def_int_td,0,,,,,
player,201809230ram,sdg,PhilDa01,def_int_long,0,,,,,
player,201809230ram,sdg,PhilDa01,pass_defended,0,,,,,
player,201809230ram,sdg,PhilDa01,sacks,0.0,,,,,
player,201809230ram,sdg,PhilDa01,tackles_combined,5,,,,,
player,201809230ram,sdg,PhilDa01,tackles_solo,4,,,,,
player,201809230ram,sdg,PhilDa01,tackles_assists,1,,,,,
player,201809230ram,sdg,PhilDa01,tackles_loss,2,,,,,
player,201809230ram,sdg,PhilDa01,qb_hits,0,,,,,
player,201809230ram,sdg,PhilDa01,fumbles_rec,0,,,,,
player,201809230ram,sdg,PhilDa01,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,PhilDa01,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,PhilDa01,fumbles_forced,0,,,,,
player,201809230ram,sdg,BrowJa05,def_int,0,,,,,
player,201809230ram,sdg,BrowJa05,def_int_yds,0,,,,,
player,201809230ram,sdg,BrowJa05,def_int_td,0,,,,,
player,201809230ram,sdg,BrowJa05,def_int_long,0,,,,,
player,201809230ram,sdg,BrowJa05,pass_defended,0,,,,,
player,201809230ram,sdg,BrowJa05,sacks,0.0,,,,,
player,201809230ram,sdg,BrowJa05,tackles_combined,4,,,,,
player,201809230ram,sdg,BrowJa05,tackles_solo,3,,,,,
player,201809230ram,sdg,BrowJa05,tackles_assists,1,,,,,
player,201809230ram,sdg,BrowJa05,tackles_loss,0,,,,,
player,201809230ram,sdg,BrowJa05,qb_hits,0,,,,,
player,201809230ram,sdg,BrowJa05,fumbles_rec,0,,,,,
player,201809230ram,sdg,BrowJa05,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,BrowJa05,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,BrowJa05,fumbles_forced,0,,,,,
player,201809230ram,sdg,LandCh00,def_int,0,,,,,
player,201809230ram,sdg,LandCh00,def_int_yds,0,,,,,
player,201809230ram,sdg,LandCh00,def_int_td,0,,,,,
player,201809230ram,sdg,LandCh00,def_int_long,0,,,,,
player,201809230ram,sdg,LandCh00,pass_defended,0,,,,,
player,201809230ram,sdg,LandCh00,sacks,0.0,,,,,
player,201809230ram,sdg,LandCh00,tackles_combined,4,,,,,
player,201809230ram,sdg,LandCh00,tackles_solo,3,,,,,
player,201809230ram,sdg,LandCh00,tackles_assists,1,,,,,
player,201809230ram,sdg,LandCh00,tackles_loss,0,,,,,
player,201809230ram,sdg,LandCh00,qb_hits,0,,,,,
player,201809230ram,sdg,LandCh00,fumbles_rec,0,,,,,
player,201809230ram,sdg,LandCh00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,LandCh00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,LandCh00,fumbles_forced,0,,,,,
player,201809230ram,sdg,NwosUc00,def_int,0,,,,,
player,201809230ram,sdg,NwosUc00,def_int_yds,0,,,,,
player,201809230ram,sdg,NwosUc00,def_int_td,0,,,,,
player,201809230ram,sdg,NwosUc00,def_int_long,0,,,,,
player,201809230ram,sdg,NwosUc00,pass_defended,0,,,,,
player,201809230ram,sdg,NwosUc00,sacks,0.0,,,,,
player,201809230ram,sdg,NwosUc00,tackles_combined,2,,,,,
player,201809230ram,sdg,NwosUc00,tackles_solo,2,,,,,
player,201809230ram,sdg,NwosUc00,tackles_assists,0,,,,,
player,201809230ram,sdg,NwosUc00,tackles_loss,0,,,,,
player,201809230ram,sdg,NwosUc00,qb_hits,1,,,,,
player,201809230ram,sdg,NwosUc00,fumbles_rec,0,,,,,
player,201809230ram,sdg,NwosUc00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,NwosUc00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,NwosUc00,fumbles_forced,0,,,,,
player,201809230ram,sdg,PhilAd00,def_int,0,,,,,
player,201809230ram,sdg,PhilAd00,def_int_yds,0,,,,,
player,201809230ram,sdg,PhilAd00,def_int_td,0,,,,,
player,201809230ram,sdg,PhilAd00,def_int_long,0,,,,,
player,201809230ram,sdg,PhilAd00,pass_defended,0,,,,,
player,201809230ram,sdg,PhilAd00,sacks,0.0,,,,,
player,201809230ram,sdg,PhilAd00,tackles_combined,2,,,,,
player,201809230ram,sdg,PhilAd00,tackles_solo,2,,,,,
player,201809230ram,sdg,PhilAd00,tackles_assists,0,,,,,
player,201809230ram,sdg,PhilAd00,tackles_loss,0,,,,,
player,201809230ram,sdg,PhilAd00,qb_hits,0,,,,,
player,201809230ram,sdg,PhilAd00,fumbles_rec,0,,,,,
player,201809230ram,sdg,PhilAd00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,PhilAd00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,PhilAd00,fumbles_forced,0,,,,,
player,201809230ram,sdg,RochIs00,def_int,0,,,,,
player,201809230ram,sdg,RochIs00,def_int_yds,0,,,,,
player,201809230ram,sdg,RochIs00,def_int_td,0,,,,,
player,201809230ram,sdg,RochIs00,def_int_long,0,,,,,
player,201809230ram,sdg,RochIs00,pass_defended,0,,,,,
player,201809230ram,sdg,RochIs00,sacks,0.0,,,,,
player,201809230ram,sdg,RochIs00,tackles_combined,2,,,,,
player,201809230ram,sdg,RochIs00,tackles_solo,2,,,,,
player,201809230ram,sdg,RochIs00,tackles_assists,0,,,,,
player,201809230ram,sdg,RochIs00,tackles_loss,0,,,,,
player,201809230ram,sdg,RochIs00,qb_hits,0,,,,,
player,201809230ram,sdg,RochIs00,fumbles_rec,0,,,,,
player,201809230ram,sdg,RochIs00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,RochIs00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,RochIs00,fumbles_forced,0,,,,,
player,201809230ram,sdg,WillTr05,def_int,0,,,,,
player,201809230ram,sdg,WillTr05,def_int_yds,0,,,,,
player,201809230ram,sdg,WillTr05,def_int_td,0,,,,,
player,201809230ram,sdg,WillTr05,def_int_long,0,,,,,
player,201809230ram,sdg,WillTr05,pass_defended,0,,,,,
player,201809230ram,sdg,WillTr05,sacks,0.0,,,,,
player,201809230ram,sdg,WillTr05,tackles_combined,2,,,,,
player,201809230ram,sdg,WillTr05,tackles_solo,2,,,,,
player,201809230ram,sdg,WillTr05,tackles_assists,0,,,,,
player,201809230ram,sdg,WillTr05,tackles_loss,0,,,,,
player,201809230ram,sdg,WillTr05,qb_hits,0,,,,,
player,201809230ram,sdg,WillTr05,fumbles_rec,0,,,,,
player,201809230ram,sdg,WillTr05,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,WillTr05,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,WillTr05,fumbles_forced,0,,,,,
player,201809230ram,sdg,EmanKy00,def_int,0,,,,,
player,201809230ram,sdg,EmanKy00,def_int_yds,0,,,,,
player,201809230ram,sdg,EmanKy00,def_int_td,0,,,,,
player,201809230ram,sdg,EmanKy00,def_int_long,0,,,,,
player,201809230ram,sdg,EmanKy00,pass_defended,0,,,,,
player,201809230ram,sdg,EmanKy00,sacks,0.0,,,,,
player,201809230ram,sdg,EmanKy00,tackles_combined,1,,,,,
player,201809230ram,sdg,EmanKy00,tackles_solo,1,,,,,
player,201809230ram,sdg,EmanKy00,tackles_assists,0,,,,,
player,201809230ram,sdg,EmanKy00,tackles_loss,0,,,,,
player,201809230ram,sdg,EmanKy00,qb_hits,0,,,,,
player,201809230ram,sdg,EmanKy00,fumbles_rec,0,,,,,
player,201809230ram,sdg,EmanKy00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,EmanKy00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,EmanKy00,fumbles_forced,0,,,,,
player,201809230ram,sdg,IngrMe00,def_int,0,,,,,
player,201809230ram,sdg,IngrMe00,def_int_yds,0,,,,,
player,201809230ram,sdg,IngrMe00,def_int_td,0,,,,,
player,201809230ram,sdg,IngrMe00,def_int_long,0,,,,,
player,201809230ram,sdg,IngrMe00,pass_defended,0,,,,,
player,201809230ram,sdg,IngrMe00,sacks,0.0,,,,,
player,201809230ram,sdg,IngrMe00,tackles_combined,1,,,,,
player,201809230ram,sdg,IngrMe00,tackles_solo,1,,,,,
player,201809230ram,sdg,IngrMe00,tackles_assists,0,,,,,
player,201809230ram,sdg,IngrMe00,tackles_loss,1,,,,,
player,201809230ram,sdg,IngrMe00,qb_hits,1,,,,,
player,201809230ram,sdg,IngrMe00,fumbles_rec,0,,,,,
player,201809230ram,sdg,IngrMe00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,IngrMe00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,IngrMe00,fumbles_forced,0,,,,,
player,201809230ram,sdg,JoneJu03,def_int,0,,,,,
player,201809230ram,sdg,JoneJu03,def_int_yds,0,,,,,
player,201809230ram,sdg,JoneJu03,def_int_td,0,,,,,
player,201809230ram,sdg,JoneJu03,def_int_long,0,,,,,
player,201809230ram,sdg,JoneJu03,pass_defended,0,,,,,
player,201809230ram,sdg,JoneJu03,sacks,0.0,,,,,
player,201809230ram,sdg,JoneJu03,tackles_combined,1,,,,,
player,201809230ram,sdg,JoneJu03,tackles_solo,0,,,,,
player,201809230ram,sdg,JoneJu03,tackles_assists,1,,,,,
player,201809230ram,sdg,JoneJu03,tackles_loss,0,,,,,
player,201809230ram,sdg,JoneJu03,qb_hits,0,,,,,
player,201809230ram,sdg,JoneJu03,fumbles_rec,0,,,,,
player,201809230ram,sdg,JoneJu03,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,JoneJu03,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,JoneJu03,fumbles_forced,0,,,,,
player,201809230ram,ram,SuhxNd99,def_int,0,,,,,
player,201809230ram,ram,SuhxNd99,def_int_yds,0,,,,,
player,201809230ram,ram,SuhxNd99,def_int_td,0,,,,,
player,201809230ram,ram,SuhxNd99,def_int_long,0,,,,,
player,201809230ram,ram,SuhxNd99,pass_defended,1,,,,,
player,201809230ram,ram,SuhxNd99,sacks,1.0,,,,,
player,201809230ram,ram,SuhxNd99,tackles_combined,3,,,,,
player,201809230ram,ram,SuhxNd99,tackles_solo,2,,,,,
player,201809230ram,ram,SuhxNd99,tackles_assists,1,,,,,
player,201809230ram,ram,SuhxNd99,tackles_loss,1,,,,,
player,201809230ram,ram,SuhxNd99,qb_hits,2,,,,,
player,201809230ram,ram,SuhxNd99,fumbles_rec,1,,,,,
player,201809230ram,ram,SuhxNd99,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,SuhxNd99,fumbles_rec_td,0,,,,,
player,201809230ram,ram,SuhxNd99,fumbles_forced,0,,,,,
player,201809230ram,ram,WestEt00,def_int,0,,,,,
player,201809230ram,ram,WestEt00,def_int_yds,0,,,,,
player,201809230ram,ram,WestEt00,def_int_td,0,,,,,
player,201809230ram,ram,WestEt00,def_int_long,0,,,,,
player,201809230ram,ram,WestEt00,pass_defended,0,,,,,
player,201809230ram,ram,WestEt00,sacks,1.0,,,,,
player,201809230ram,ram,WestEt00,tackles_combined,1,,,,,
player,201809230ram,ram,WestEt00,tackles_solo,1,,,,,
player,201809230ram,ram,WestEt00,tackles_assists,0,,,,,
player,201809230ram,ram,WestEt00,tackles_loss,1,,,,,
player,201809230ram,ram,WestEt00,qb_hits,1,,,,,
player,201809230ram,ram,WestEt00,fumbles_rec,0,,,,,
player,201809230ram,ram,WestEt00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,WestEt00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,WestEt00,fumbles_forced,0,,,,,
player,201809230ram,ram,LittCo01,def_int,0,,,,,
player,201809230ram,ram,LittCo01,def_int_yds,0,,,,,
player,201809230ram,ram,LittCo01,def_int_td,0,,,,,
player,201809230ram,ram,LittCo01,def_int_long,0,,,,,
player,201809230ram,ram,LittCo01,pass_defended,1,,,,,
player,201809230ram,ram,LittCo01,sacks,0.0,,,,,
player,201809230ram,ram,LittCo01,tackles_combined,10,,,,,
player,201809230ram,ram,LittCo01,tackles_solo,5,,,,,
player,201809230ram,ram,LittCo01,tackles_assists,5,,,,,
player,201809230ram,ram,LittCo01,tackles_loss,0,,,,,
player,201809230ram,ram,LittCo01,qb_hits,0,,,,,
player,201809230ram,ram,LittCo01,fumbles_rec,0,,,,,
player,201809230ram,ram,LittCo01,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,LittCo01,fumbles_rec_td,0,,,,,
player,201809230ram,ram,LittCo01,fumbles_forced,0,,,,,
player,201809230ram,ram,WilsRa00,def_int,0,,,,,
player,201809230ram,ram,WilsRa00,def_int_yds,0,,,,,
player,201809230ram,ram,WilsRa00,def_int_td,0,,,,,
player,201809230ram,ram,WilsRa00,def_int_long,0,,,,,
player,201809230ram,ram,WilsRa00,pass_defended,1,,,,,
player,201809230ram,ram,WilsRa00,sacks,0.0,,,,,
player,201809230ram,ram,WilsRa00,tackles_combined,9,,,,,
player,201809230ram,ram,WilsRa00,tackles_solo,6,,,,,
player,201809230ram,ram,WilsRa00,tackles_assists,3,,,,,
player,201809230ram,ram,WilsRa00,tackles_loss,1,,,,,
player,201809230ram,ram,WilsRa00,qb_hits,0,,,,,
player,201809230ram,ram,WilsRa00,fumbles_rec,0,,,,,
player,201809230ram,ram,WilsRa00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,WilsRa00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,WilsRa00,fumbles_forced,0,,,,,
player,201809230ram,ram,JohnJo10,def_int,0,,,,,
player,201809230ram,ram,JohnJo10,def_int_yds,0,,,,,
player,201809230ram,ram,JohnJo10,def_int_td,0,,,,,
player,201809230ram,ram,JohnJo10,def_int_long,0,,,,,
player,201809230ram,ram,JohnJo10,pass_defended,0,,,,,
player,201809230ram,ram,JohnJo10,sacks,0.0,,,,,
player,201809230ram,ram,JohnJo10,tackles_combined,4,,,,,
player,201809230ram,ram,JohnJo10,tackles_solo,2,,,,,
player,201809230ram,ram,JohnJo10,tackles_assists,2,,,,,
player,201809230ram,ram,JohnJo10,tackles_loss,0,,,,,
player,201809230ram,ram,JohnJo10,qb_hits,0,,,,,
player,201809230ram,ram,JohnJo10,fumbles_rec,0,,,,,
player,201809230ram,ram,JohnJo10,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,JohnJo10,fumbles_rec_td,0,,,,,
player,201809230ram,ram,JohnJo10,fumbles_forced,1,,,,,
player,201809230ram,ram,JoynLa00,def_int,0,,,,,
player,201809230ram,ram,JoynLa00,def_int_yds,0,,,,,
player,201809230ram,ram,JoynLa00,def_int_td,0,,,,,
player,201809230ram,ram,JoynLa00,def_int_long,0,,,,,
player,201809230ram,ram,JoynLa00,pass_defended,0,,,,,
player,201809230ram,ram,JoynLa00,sacks,0.0,,,,,
player,201809230ram,ram,JoynLa00,tackles_combined,4,,,,,
player,201809230ram,ram,JoynLa00,tackles_solo,2,,,,,
player,201809230ram,ram,JoynLa00,tackles_assists,2,,,,,
player,201809230ram,ram,JoynLa00,tackles_loss,0,,,,,
player,201809230ram,ram,JoynLa00,qb_hits,0,,,,,
player,201809230ram,ram,JoynLa00,fumbles_rec,1,,,,,
player,201809230ram,ram,JoynLa00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,JoynLa00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,JoynLa00,fumbles_forced,0,,,,,
player,201809230ram,ram,ShieSa00,def_int,0,,,,,
player,201809230ram,ram,ShieSa00,def_int_yds,0,,,,,
player,201809230ram,ram,ShieSa00,def_int_td,0,,,,,
player,201809230ram,ram,ShieSa00,def_int_long,0,,,,,
player,201809230ram,ram,ShieSa00,pass_defended,1,,,,,
player,201809230ram,ram,ShieSa00,sacks,0.0,,,,,
player,201809230ram,ram,ShieSa00,tackles_combined,4,,,,,
player,201809230ram,ram,ShieSa00,tackles_solo,3,,,,,
player,201809230ram,ram,ShieSa00,tackles_assists,1,,,,,
player,201809230ram,ram,ShieSa00,tackles_loss,1,,,,,
player,201809230ram,ram,ShieSa00,qb_hits,0,,,,,
player,201809230ram,ram,ShieSa00,fumbles_rec,0,,,,,
player,201809230ram,ram,ShieSa00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,ShieSa00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,ShieSa00,fumbles_forced,0,,,,,
player,201809230ram,ram,ChriMa00,def_int,0,,,,,
player,201809230ram,ram,ChriMa00,def_int_yds,0,,,,,
player,201809230ram,ram,ChriMa00,def_int_td,0,,,,,
player,201809230ram,ram,ChriMa00,def_int_long,0,,,,,
player,201809230ram,ram,ChriMa00,pass_defended,0,,,,,
player,201809230ram,ram,ChriMa00,sacks,0.0,,,,,
player,201809230ram,ram,ChriMa00,tackles_combined,3,,,,,
player,201809230ram,ram,ChriMa00,tackles_solo,3,,,,,
player,201809230ram,ram,ChriMa00,tackles_assists,0,,,,,
player,201809230ram,ram,ChriMa00,tackles_loss,0,,,,,
player,201809230ram,ram,ChriMa00,qb_hits,0,,,,,
player,201809230ram,ram,ChriMa00,fumbles_rec,0,,,,,
player,201809230ram,ram,ChriMa00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,ChriMa00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,ChriMa00,fumbles_forced,0,,,,,
player,201809230ram,ram,RobeNi00,def_int,0,,,,,
player,201809230ram,ram,RobeNi00,def_int_yds,0,,,,,
player,201809230ram,ram,RobeNi00,def_int_td,0,,,,,
player,201809230ram,ram,RobeNi00,def_int_long,0,,,,,
player,201809230ram,ram,RobeNi00,pass_defended,0,,,,,
player,201809230ram,ram,RobeNi00,sacks,0.0,,,,,
player,201809230ram,ram,RobeNi00,tackles_combined,3,,,,,
player,201809230ram,ram,RobeNi00,tackles_solo,2,,,,,
player,201809230ram,ram,RobeNi00,tackles_assists,1,,,,,
player,201809230ram,ram,RobeNi00,tackles_loss,0,,,,,
player,201809230ram,ram,RobeNi00,qb_hits,0,,,,,
player,201809230ram,ram,RobeNi00,fumbles_rec,0,,,,,
player,201809230ram,ram,RobeNi00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,RobeNi00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,RobeNi00,fumbles_forced,0,,,,,
player,201809230ram,ram,DonaAa00,def_int,0,,,,,
player,201809230ram,ram,DonaAa00,def_int_yds,0,,,,,
player,201809230ram,ram,DonaAa00,def_int_td,0,,,,,
player,201809230ram,ram,DonaAa00,def_int_long,0,,,,,
player,201809230ram,ram,DonaAa00,pass_defended,0,,,,,
player,201809230ram,ram,DonaAa00,sacks,0.0,,,,,
player,201809230ram,ram,DonaAa00,tackles_combined,2,,,,,
player,201809230ram,ram,DonaAa00,tackles_solo,1,,,,,
player,201809230ram,ram,DonaAa00,tackles_assists,1,,,,,
player,201809230ram,ram,DonaAa00,tackles_loss,0,,,,,
player,201809230ram,ram,DonaAa00,qb_hits,0,,,,,
player,201809230ram,ram,DonaAa00,fumbles_rec,0,,,,,
player,201809230ram,ram,DonaAa00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,DonaAa00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,DonaAa00,fumbles_forced,0,,,,,
player,201809230ram,ram,EaslDo00,def_int,0,,,,,
player,201809230ram,ram,EaslDo00,def_int_yds,0,,,,,
player,201809230ram,ram,EaslDo00,def_int_td,0,,,,,
player,201809230ram,ram,EaslDo00,def_int_long,0,,,,,
player,201809230ram,ram,EaslDo00,pass_defended,0,,,,,
player,201809230ram,ram,EaslDo00,sacks,0.0,,,,,
player,201809230ram,ram,EaslDo00,tackles_combined,2,,,,,
player,201809230ram,ram,EaslDo00,tackles_solo,2,,,,,
player,201809230ram,ram,EaslDo00,tackles_assists,0,,,,,
player,201809230ram,ram,EaslDo00,tackles_loss,0,,,,,
player,201809230ram,ram,EaslDo00,qb_hits,0,,,,,
player,201809230ram,ram,EaslDo00,fumbles_rec,0,,,,,
player,201809230ram,ram,EaslDo00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,EaslDo00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,EaslDo00,fumbles_forced,0,,,,,
player,201809230ram,ram,TaliAq99,def_int,0,,,,,
player,201809230ram,ram,TaliAq99,def_int_yds,0,,,,,
player,201809230ram,ram,TaliAq99,def_int_td,0,,,,,
player,201809230ram,ram,TaliAq99,def_int_long,0,,,,,
player,201809230ram,ram,TaliAq99,pass_defended,0,,,,,
player,201809230ram,ram,TaliAq99,sacks,0.0,,,,,
player,201809230ram,ram,TaliAq99,tackles_combined,2,,,,,
player,201809230ram,ram,TaliAq99,tackles_solo,2,,,,,
player,201809230ram,ram,TaliAq99,tackles_assists,0,,,,,
player,201809230ram,ram,TaliAq99,tackles_loss,0,,,,,
player,201809230ram,ram,TaliAq99,qb_hits,0,,,,,
player,201809230ram,ram,TaliAq99,fumbles_rec,0,,,,,
player,201809230ram,ram,TaliAq99,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,TaliAq99,fumbles_rec_td,0,,,,,
player,201809230ram,ram,TaliAq99,fumbles_forced,1,,,,,
player,201809230ram,ram,BrocMi00,def_int,0,,,,,
player,201809230ram,ram,BrocMi00,def_int_yds,0,,,,,
player,201809230ram,ram,BrocMi00,def_int_td,0,,,,,
player,201809230ram,ram,BrocMi00,def_int_long,0,,,,,
player,201809230ram,ram,BrocMi00,pass_defended,0,,,,,
player,201809230ram,ram,BrocMi00,sacks,0.0,,,,,
player,201809230ram,ram,BrocMi00,tackles_combined,1,,,,,
player,201809230ram,ram,BrocMi00,tackles_solo,1,,,,,
player,201809230ram,ram,BrocMi00,tackles_assists,0,,,,,
player,201809230ram,ram,BrocMi00,tackles_loss,0,,,,,
player,201809230ram,ram,BrocMi00,qb_hits,0,,,,,
player,201809230ram,ram,BrocMi00,fumbles_rec,0,,,,,
player,201809230ram,ram,BrocMi00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,BrocMi00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,BrocMi00,fumbles_forced,0,,,,,
player,201809230ram,ram,EbukSa00,def_int,0,,,,,
player,201809230ram,ram,EbukSa00,def_int_yds,0,,,,,
player,201809230ram,ram,EbukSa00,def_int_td,0,,,,,
player,201809230ram,ram,EbukSa00,def_int_long,0,,,,,
player,201809230ram,ram,EbukSa00,pass_defended,0,,,,,
player,201809230ram,ram,EbukSa00,sacks,0.0,,,,,
player,201809230ram,ram,EbukSa00,tackles_combined,1,,,,,
player,201809230ram,ram,EbukSa00,tackles_solo,0,,,,,
player,201809230ram,ram,EbukSa00,tackles_assists,1,,,,,
player,201809230ram,ram,EbukSa00,tackles_loss,0,,,,,
player,201809230ram,ram,EbukSa00,qb_hits,1,,,,,
player,201809230ram,ram,EbukSa00,fumbles_rec,0,,,,,
player,201809230ram,ram,EbukSa00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,EbukSa00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,EbukSa00,fumbles_forced,0,,,,,
player,201809230ram,ram,FickSa00,def_int,0,,,,,
player,201809230ram,ram,FickSa00,def_int_yds,0,,,,,
player,201809230ram,ram,FickSa00,def_int_td,0,,,,,
player,201809230ram,ram,FickSa00,def_int_long,0,,,,,
player,201809230ram,ram,FickSa00,pass_defended,0,,,,,
player,201809230ram,ram,FickSa00,sacks,0.0,,,,,
player,201809230ram,ram,FickSa00,tackles_combined,1,,,,,
player,201809230ram,ram,FickSa00,tackles_solo,1,,,,,
player,201809230ram,ram,FickSa00,tackles_assists,0,,,,,
player,201809230ram,ram,FickSa00,tackles_loss,0,,,,,
player,201809230ram,ram,FickSa00,qb_hits,0,,,,,
player,201809230ram,ram,FickSa00,fumbles_rec,0,,,,,
player,201809230ram,ram,FickSa00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,FickSa00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,FickSa00,fumbles_forced,0,,,,,
player,201809230ram,ram,HillTr01,def_int,0,,,,,
player,201809230ram,ram,HillTr01,def_int_yds,0,,,,,
player,201809230ram,ram,HillTr01,def_int_td,0,,,,,
player,201809230ram,ram,HillTr01,def_int_long,0,,,,,
player,201809230ram,ram,HillTr01,pass_defended,0,,,,,
player,201809230ram,ram,HillTr01,sacks,0.0,,,,,
player,201809230ram,ram,HillTr01,tackles_combined,1,,,,,
player,201809230ram,ram,HillTr01,tackles_solo,0,,,,,
player,201809230ram,ram,HillTr01,tackles_assists,1,,,,,
player,201809230ram,ram,HillTr01,tackles_loss,0,,,,,
player,201809230ram,ram,HillTr01,qb_hits,0,,,,,
player,201809230ram,ram,HillTr01,fumbles_rec,0,,,,,
player,201809230ram,ram,HillTr01,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,HillTr01,fumbles_rec_td,0,,,,,
player,201809230ram,ram,HillTr01,fumbles_forced,0,,,,,
player,201809230ram,ram,HodgKh00,def_int,0,,,,,
player,201809230ram,ram,HodgKh00,def_int_yds,0,,,,,
player,201809230ram,ram,HodgKh00,def_int_td,0,,,,,
player,201809230ram,ram,HodgKh00,def_int_long,0,,,,,
player,201809230ram,ram,HodgKh00,pass_defended,0,,,,,
player,201809230ram,ram,HodgKh00,sacks,0.0,,,,,
player,201809230ram,ram,HodgKh00,tackles_combined,1,,,,,
player,201809230ram,ram,HodgKh00,tackles_solo,1,,,,,
player,201809230ram,ram,HodgKh00,tackles_assists,0,,,,,
player,201809230ram,ram,HodgKh00,tackles_loss,0,,,,,
player,201809230ram,ram,HodgKh00,qb_hits,0,,,,,
player,201809230ram,ram,HodgKh00,fumbles_rec,0,,,,,
player,201809230ram,ram,HodgKh00,fumbles_rec_yds,0,,,,,
player,201809230ram,ram,HodgKh00,fumbles_rec_td,0,,,,,
player,201809230ram,ram,HodgKh00,fumbles_forced,0,,,,,
player,201809230ram,sdg,JoneJJ00,kick_ret,1,,,,,
player,201809230ram,sdg,JoneJJ00,kick_ret_yds,33,,,,,
player,201809230ram,sdg,JoneJJ00,kick_ret_yds_per_ret,33.0,,,,,
player,201809230ram,sdg,JoneJJ00,kick_ret_td,0,,,,,
player,201809230ram,sdg,JoneJJ00,kick_ret_long,33,,,,,
player,201809230ram,sdg,JoneJJ00,punt_ret,1,,,,,
player,201809230ram,sdg,JoneJJ00,punt_ret_yds,11,,,,,
player,201809230ram,sdg,JoneJJ00,punt_ret_yds_per_ret,11.0,,,,,
player,201809230ram,sdg,JoneJJ00,punt_ret_td,0,,,,,
player,201809230ram,sdg,JoneJJ00,punt_ret_long,11,,,,,
player,201809230ram,ram,NatsJo00,kick_ret,1,,,,,
player,201809230ram,ram,NatsJo00,kick_ret_yds,24,,,,,
player,201809230ram,ram,NatsJo00,kick_ret_yds_per_ret,24.0,,,,,
player,201809230ram,ram,NatsJo00,kick_ret_td,0,,,,,
player,201809230ram,ram,NatsJo00,kick_ret_long,24,,,,,
player,201809230ram,ram,NatsJo00,punt_ret,2,,,,,
player,201809230ram,ram,NatsJo00,punt_ret_yds,8,,,,,
player,201809230ram,ram,NatsJo00,punt_ret_yds_per_ret,4.0,,,,,
player,201809230ram,ram,NatsJo00,punt_ret_td,0,,,,,
player,201809230ram,ram,NatsJo00,punt_ret_long,7,,,,,
player,201809230ram,ram,CounBl00,kick_ret,2,,,,,
player,201809230ram,ram,CounBl00,kick_ret_yds,51,,,,,
