game,2018,15,20181215,201812150den,cle,"Cleveland Browns",17,den,"Denver Broncos",16
player,201812150den,den,KeenCa00,rec_yds,0,,,,,
player,201812150den,den,KeenCa00,rec_td,0,,,,,
player,201812150den,den,KeenCa00,rec_long,0,,,,,
player,201812150den,den,KeenCa00,fumbles,0,,,,,
player,201812150den,den,KeenCa00,fumbles_lost,0,,,,,
player,201812150den,den,LindPh00,pass_cmp,0,,,,,
player,201812150den,den,LindPh00,pass_att,0,,,,,
player,201812150den,den,LindPh00,pass_yds,0,,,,,
player,201812150den,den,LindPh00,pass_td,0,,,,,
player,201812150den,den,LindPh00,pass_int,0,,,,,
player,201812150den,den,LindPh00,pass_sacked,0,,,,,
player,201812150den,den,LindPh00,pass_sacked_yds,0,,,,,
player,201812150den,den,LindPh00,pass_long,0,,,,,
player,201812150den,den,LindPh00,pass_rating,,,,,,
player,201812150den,den,LindPh00,rush_att,14,,,,,
player,201812150den,den,LindPh00,rush_yds,24,,,,,
player,201812150den,den,LindPh00,rush_td,0,,,,,
player,201812150den,den,LindPh00,rush_long,11,,,,,
player,201812150den,den,LindPh00,targets,6,,,,,
player,201812150den,den,LindPh00,rec,4,,,,,
player,201812150den,den,LindPh00,rec_yds,20,,,,,
player,201812150den,den,LindPh00,rec_td,0,,,,,
player,201812150den,den,LindPh00,rec_long,16,,,,,
player,201812150den,den,LindPh00,fumbles,0,,,,,
player,201812150den,den,LindPh00,fumbles_lost,0,,,,,
player,201812150den,den,FreeRo00,pass_cmp,0,,,,,
player,201812150den,den,FreeRo00,pass_att,0,,,,,
player,201812150den,den,FreeRo00,pass_yds,0,,,,,
player,201812150den,den,FreeRo00,pass_td,0,,,,,
player,201812150den,den,FreeRo00,pass_int,0,,,,,
player,201812150den,den,FreeRo00,pass_sacked,0,,,,,
player,201812150den,den,FreeRo00,pass_sacked_yds,0,,,,,
player,201812150den,den,FreeRo00,pass_long,0,,,,,
player,201812150den,den,FreeRo00,pass_rating,,,,,,
player,201812150den,den,FreeRo00,rush_att,4,,,,,
player,201812150den,den,FreeRo00,rush_yds,7,,,,,
player,201812150den,den,FreeRo00,rush_td,0,,,,,
player,201812150den,den,FreeRo00,rush_long,6,,,,,
player,201812150den,den,FreeRo00,targets,1,,,,,
player,201812150den,den,FreeRo00,rec,1,,,,,
player,201812150den,den,FreeRo00,rec_yds,1,,,,,
player,201812150den,den,FreeRo00,rec_td,0,,,,,
player,201812150den,den,FreeRo00,rec_long,1,,,,,
player,201812150den,den,FreeRo00,fumbles,0,,,,,
player,201812150den,den,FreeRo00,fumbles_lost,0,,,,,
player,201812150den,den,PatrTi00,pass_cmp,0,,,,,
player,201812150den,den,PatrTi00,pass_att,0,,,,,
player,201812150den,den,PatrTi00,pass_yds,0,,,,,
player,201812150den,den,PatrTi00,pass_td,0,,,,,
player,201812150den,den,PatrTi00,pass_int,0,,,,,
player,201812150den,den,PatrTi00,pass_sacked,0,,,,,
player,201812150den,den,PatrTi00,pass_sacked_yds,0,,,,,
player,201812150den,den,PatrTi00,pass_long,0,,,,,
player,201812150den,den,PatrTi00,pass_rating,,,,,,
player,201812150den,den,PatrTi00,rush_att,0,,,,,
player,201812150den,den,PatrTi00,rush_yds,0,,,,,
player,201812150den,den,PatrTi00,rush_td,0,,,,,
player,201812150den,den,PatrTi00,rush_long,0,,,,,
player,201812150den,den,PatrTi00,targets,8,,,,,
player,201812150den,den,PatrTi00,rec,5,,,,,
player,201812150den,den,PatrTi00,rec_yds,65,,,,,
player,201812150den,den,PatrTi00,rec_td,0,,,,,
player,201812150den,den,PatrTi00,rec_long,24,,,,,
player,201812150den,den,PatrTi00,fumbles,0,,,,,
player,201812150den,den,PatrTi00,fumbles_lost,0,,,,,
player,201812150den,den,HamiDa01,pass_cmp,0,,,,,
player,201812150den,den,HamiDa01,pass_att,0,,,,,
player,201812150den,den,HamiDa01,pass_yds,0,,,,,
player,201812150den,den,HamiDa01,pass_td,0,,,,,
player,201812150den,den,HamiDa01,pass_int,0,,,,,
player,201812150den,den,HamiDa01,pass_sacked,0,,,,,
player,201812150den,den,HamiDa01,pass_sacked_yds,0,,,,,
player,201812150den,den,HamiDa01,pass_long,0,,,,,
player,201812150den,den,HamiDa01,pass_rating,,,,,,
player,201812150den,den,HamiDa01,rush_att,0,,,,,
player,201812150den,den,HamiDa01,rush_yds,0,,,,,
player,201812150den,den,HamiDa01,rush_td,0,,,,,
player,201812150den,den,HamiDa01,rush_long,0,,,,,
player,201812150den,den,HamiDa01,targets,12,,,,,
player,201812150den,den,HamiDa01,rec,7,,,,,
player,201812150den,den,HamiDa01,rec_yds,46,,,,,
player,201812150den,den,HamiDa01,rec_td,0,,,,,
player,201812150den,den,HamiDa01,rec_long,14,,,,,
player,201812150den,den,HamiDa01,fumbles,0,,,,,
player,201812150den,den,HamiDa01,fumbles_lost,0,,,,,
player,201812150den,den,LaCoMa00,pass_cmp,0,,,,,
player,201812150den,den,LaCoMa00,pass_att,0,,,,,
player,201812150den,den,LaCoMa00,pass_yds,0,,,,,
player,201812150den,den,LaCoMa00,pass_td,0,,,,,
player,201812150den,den,LaCoMa00,pass_int,0,,,,,
player,201812150den,den,LaCoMa00,pass_sacked,0,,,,,
player,201812150den,den,LaCoMa00,pass_sacked_yds,0,,,,,
player,201812150den,den,LaCoMa00,pass_long,0,,,,,
player,201812150den,den,LaCoMa00,pass_rating,,,,,,
player,201812150den,den,LaCoMa00,rush_att,0,,,,,
player,201812150den,den,LaCoMa00,rush_yds,0,,,,,
player,201812150den,den,LaCoMa00,rush_td,0,,,,,
player,201812150den,den,LaCoMa00,rush_long,0,,,,,
player,201812150den,den,LaCoMa00,targets,6,,,,,
player,201812150den,den,LaCoMa00,rec,4,,,,,
player,201812150den,den,LaCoMa00,rec_yds,43,,,,,
player,201812150den,den,LaCoMa00,rec_td,0,,,,,
player,201812150den,den,LaCoMa00,rec_long,14,,,,,
player,201812150den,den,LaCoMa00,fumbles,0,,,,,
player,201812150den,den,LaCoMa00,fumbles_lost,0,,,,,
player,201812150den,den,SuttCo00,pass_cmp,0,,,,,
player,201812150den,den,SuttCo00,pass_att,0,,,,,
player,201812150den,den,SuttCo00,pass_yds,0,,,,,
player,201812150den,den,SuttCo00,pass_td,0,,,,,
player,201812150den,den,SuttCo00,pass_int,0,,,,,
player,201812150den,den,SuttCo00,pass_sacked,0,,,,,
player,201812150den,den,SuttCo00,pass_sacked_yds,0,,,,,
player,201812150den,den,SuttCo00,pass_long,0,,,,,
player,201812150den,den,SuttCo00,pass_rating,,,,,,
player,201812150den,den,SuttCo00,rush_att,0,,,,,
player,201812150den,den,SuttCo00,rush_yds,0,,,,,
player,201812150den,den,SuttCo00,rush_td,0,,,,,
player,201812150den,den,SuttCo00,rush_long,0,,,,,
player,201812150den,den,SuttCo00,targets,6,,,,,
player,201812150den,den,SuttCo00,rec,5,,,,,
player,201812150den,den,SuttCo00,rec_yds,42,,,,,
player,201812150den,den,SuttCo00,rec_td,0,,,,,
player,201812150den,den,SuttCo00,rec_long,13,,,,,
player,201812150den,den,SuttCo00,fumbles,0,,,,,
player,201812150den,den,SuttCo00,fumbles_lost,0,,,,,
player,201812150den,den,ParkBr00,pass_cmp,0,,,,,
player,201812150den,den,ParkBr00,pass_att,0,,,,,
player,201812150den,den,ParkBr00,pass_yds,0,,,,,
player,201812150den,den,ParkBr00,pass_td,0,,,,,
player,201812150den,den,ParkBr00,pass_int,0,,,,,
player,201812150den,den,ParkBr00,pass_sacked,0,,,,,
player,201812150den,den,ParkBr00,pass_sacked_yds,0,,,,,
player,201812150den,den,ParkBr00,pass_long,0,,,,,
player,201812150den,den,ParkBr00,pass_rating,,,,,,
player,201812150den,den,ParkBr00,rush_att,0,,,,,
player,201812150den,den,ParkBr00,rush_yds,0,,,,,
player,201812150den,den,ParkBr00,rush_td,0,,,,,
player,201812150den,den,ParkBr00,rush_long,0,,,,,
player,201812150den,den,ParkBr00,targets,2,,,,,
player,201812150den,den,ParkBr00,rec,2,,,,,
player,201812150den,den,ParkBr00,rec_yds,18,,,,,
player,201812150den,den,ParkBr00,rec_td,0,,,,,
player,201812150den,den,ParkBr00,rec_long,11,,,,,
player,201812150den,den,ParkBr00,fumbles,0,,,,,
player,201812150den,den,ParkBr00,fumbles_lost,0,,,,,
player,201812150den,den,BookDe00,pass_cmp,0,,,,,
player,201812150den,den,BookDe00,pass_att,0,,,,,
player,201812150den,den,BookDe00,pass_yds,0,,,,,
player,201812150den,den,BookDe00,pass_td,0,,,,,
player,201812150den,den,BookDe00,pass_int,0,,,,,
player,201812150den,den,BookDe00,pass_sacked,0,,,,,
player,201812150den,den,BookDe00,pass_sacked_yds,0,,,,,
player,201812150den,den,BookDe00,pass_long,0,,,,,
player,201812150den,den,BookDe00,pass_rating,,,,,,
player,201812150den,den,BookDe00,rush_att,0,,,,,
player,201812150den,den,BookDe00,rush_yds,0,,,,,
player,201812150den,den,BookDe00,rush_td,0,,,,,
player,201812150den,den,BookDe00,rush_long,0,,,,,
player,201812150den,den,BookDe00,targets,3,,,,,
player,201812150den,den,BookDe00,rec,2,,,,,
player,201812150den,den,BookDe00,rec_yds,17,,,,,
player,201812150den,den,BookDe00,rec_td,0,,,,,
player,201812150den,den,BookDe00,rec_long,15,,,,,
player,201812150den,den,BookDe00,fumbles,0,,,,,
player,201812150den,den,BookDe00,fumbles_lost,0,,,,,
player,201812150den,den,HolmAn00,pass_cmp,0,,,,,
player,201812150den,den,HolmAn00,pass_att,0,,,,,
player,201812150den,den,HolmAn00,pass_yds,0,,,,,
player,201812150den,den,HolmAn00,pass_td,0,,,,,
player,201812150den,den,HolmAn00,pass_int,0,,,,,
player,201812150den,den,HolmAn00,pass_sacked,0,,,,,
player,201812150den,den,HolmAn00,pass_sacked_yds,0,,,,,
player,201812150den,den,HolmAn00,pass_long,0,,,,,
player,201812150den,den,HolmAn00,pass_rating,,,,,,
player,201812150den,den,HolmAn00,rush_att,0,,,,,
player,201812150den,den,HolmAn00,rush_yds,0,,,,,
player,201812150den,den,HolmAn00,rush_td,0,,,,,
player,201812150den,den,HolmAn00,rush_long,0,,,,,
player,201812150den,den,HolmAn00,targets,1,,,,,
player,201812150den,den,HolmAn00,rec,1,,,,,
player,201812150den,den,HolmAn00,rec_yds,5,,,,,
player,201812150den,den,HolmAn00,rec_td,0,,,,,
player,201812150den,den,HolmAn00,rec_long,5,,,,,
player,201812150den,den,HolmAn00,fumbles,0,,,,,
player,201812150den,den,HolmAn00,fumbles_lost,0,,,,,
player,201812150den,cle,PeppJa00,def_int,1,,,,,
player,201812150den,cle,PeppJa00,def_int_yds,0,,,,,
player,201812150den,cle,PeppJa00,def_int_td,0,,,,,
player,201812150den,cle,PeppJa00,def_int_long,0,,,,,
player,201812150den,cle,PeppJa00,pass_defended,1,,,,,
player,201812150den,cle,PeppJa00,sacks,1.0,,,,,
player,201812150den,cle,PeppJa00,tackles_combined,6,,,,,
player,201812150den,cle,PeppJa00,tackles_solo,6,,,,,
player,201812150den,cle,PeppJa00,tackles_assists,0,,,,,
player,201812150den,cle,PeppJa00,tackles_loss,2,,,,,
player,201812150den,cle,PeppJa00,qb_hits,1,,,,,
player,201812150den,cle,PeppJa00,fumbles_rec,0,,,,,
player,201812150den,cle,PeppJa00,fumbles_rec_yds,0,,,,,
player,201812150den,cle,PeppJa00,fumbles_rec_td,0,,,,,
player,201812150den,cle,PeppJa00,fumbles_forced,0,,,,,
player,201812150den,cle,CarrTr00,def_int,1,,,,,
player,201812150den,cle,CarrTr00,def_int_yds,0,,,,,
player,201812150den,cle,CarrTr00,def_int_td,0,,,,,
player,201812150den,cle,CarrTr00,def_int_long,0,,,,,
player,201812150den,cle,CarrTr00,pass_defended,1,,,,,
player,201812150den,cle,CarrTr00,sacks,0.0,,,,,
player,201812150den,cle,CarrTr00,tackles_combined,3,,,,,
player,201812150den,cle,CarrTr00,tackles_solo,3,,,,,
player,201812150den,cle,CarrTr00,tackles_assists,0,,,,,
player,201812150den,cle,CarrTr00,tackles_loss,0,,,,,
player,201812150den,cle,CarrTr00,qb_hits,0,,,,,
player,201812150den,cle,CarrTr00,fumbles_rec,0,,,,,
player,201812150den,cle,CarrTr00,fumbles_rec_yds,0,,,,,
player,201812150den,cle,CarrTr00,fumbles_rec_td,0,,,,,
player,201812150den,cle,CarrTr00,fumbles_forced,0,,,,,
player,201812150den,cle,CollJa00,def_int,0,,,,,
player,201812150den,cle,CollJa00,def_int_yds,0,,,,,
player,201812150den,cle,CollJa00,def_int_td,0,,,,,
player,201812150den,cle,CollJa00,def_int_long,0,,,,,
player,201812150den,cle,CollJa00,pass_defended,0,,,,,
player,201812150den,cle,CollJa00,sacks,1.0,,,,,
player,201812150den,cle,CollJa00,tackles_combined,6,,,,,
player,201812150den,cle,CollJa00,tackles_solo,6,,,,,
player,201812150den,cle,CollJa00,tackles_assists,0,,,,,
player,201812150den,cle,CollJa00,tackles_loss,2,,,,,
player,201812150den,cle,CollJa00,qb_hits,1,,,,,
player,201812150den,cle,CollJa00,fumbles_rec,0,,,,,
player,201812150den,cle,CollJa00,fumbles_rec_yds,0,,,,,
player,201812150den,cle,CollJa00,fumbles_rec_td,0,,,,,
player,201812150den,cle,CollJa00,fumbles_forced,0,,,,,
player,201812150den,cle,SchoJo00,def_int,0,,,,,
player,201812150den,cle,SchoJo00,def_int_yds,0,,,,,
player,201812150den,cle,SchoJo00,def_int_td,0,,,,,
player,201812150den,cle,SchoJo00,def_int_long,0,,,,,
player,201812150den,cle,SchoJo00,pass_defended,0,,,,,
player,201812150den,cle,SchoJo00,sacks,0.0,,,,,
player,201812150den,cle,SchoJo00,tackles_combined,7,,,,,
player,201812150den,cle,SchoJo00,tackles_solo,4,,,,,
player,201812150den,cle,SchoJo00,tackles_assists,3,,,,,
player,201812150den,cle,SchoJo00,tackles_loss,1,,,,,
player,201812150den,cle,SchoJo00,qb_hits,0,,,,,
player,201812150den,cle,SchoJo00,fumbles_rec,0,,,,,
player,201812150den,cle,SchoJo00,fumbles_rec_yds,0,,,,,
player,201812150den,cle,SchoJo00,fumbles_rec_td,0,,,,,
player,201812150den,cle,SchoJo00,fumbles_forced,0,,,,,
player,201812150den,cle,MitcTe00,def_int,0,,,,,
player,201812150den,cle,MitcTe00,def_int_yds,0,,,,,
player,201812150den,cle,MitcTe00,def_int_td,0,,,,,
player,201812150den,cle,MitcTe00,def_int_long,0,,,,,
player,201812150den,cle,MitcTe00,pass_defended,2,,,,,
player,201812150den,cle,MitcTe00,sacks,0.0,,,,,
player,201812150den,cle,MitcTe00,tackles_combined,6,,,,,
player,201812150den,cle,MitcTe00,tackles_solo,6,,,,,
player,201812150den,cle,MitcTe00,tackles_assists,0,,,,,
player,201812150den,cle,MitcTe00,tackles_loss,0,,,,,
player,201812150den,cle,MitcTe00,qb_hits,0,,,,,
player,201812150den,cle,MitcTe00,fumbles_rec,0,,,,,
player,201812150den,cle,MitcTe00,fumbles_rec_yds,0,,,,,
player,201812150den,cle,MitcTe00,fumbles_rec_td,0,,,,,
player,201812150den,cle,MitcTe00,fumbles_forced,0,,,,,
player,201812150den,cle,BoddBr01,def_int,0,,,,,
player,201812150den,cle,BoddBr01,def_int_yds,0,,,,,
player,201812150den,cle,BoddBr01,def_int_td,0,,,,,
player,201812150den,cle,BoddBr01,def_int_long,0,,,,,
player,201812150den,cle,BoddBr01,pass_defended,0,,,,,
player,201812150den,cle,BoddBr01,sacks,0.0,,,,,
player,201812150den,cle,BoddBr01,tackles_combined,5,,,,,
player,201812150den,cle,BoddBr01,tackles_solo,4,,,,,
player,201812150den,cle,BoddBr01,tackles_assists,1,,,,,
player,201812150den,cle,BoddBr01,tackles_loss,0,,,,,
player,201812150den,cle,BoddBr01,qb_hits,0,,,,,
player,201812150den,cle,BoddBr01,fumbles_rec,0,,,,,
player,201812150den,cle,BoddBr01,fumbles_rec_yds,0,,,,,
player,201812150den,cle,BoddBr01,fumbles_rec_td,0,,,,,
