game,2014,14,20141207,201412070rai,sfo,"San Francisco 49ers",13,rai,"Oakland Raiders",24
player,201412070rai,sfo,MillBr02,pass_td,0,,,,,
player,201412070rai,sfo,MillBr02,pass_int,0,,,,,
player,201412070rai,sfo,MillBr02,pass_sacked,0,,,,,
player,201412070rai,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201412070rai,sfo,MillBr02,pass_long,0,,,,,
player,201412070rai,sfo,MillBr02,pass_rating,,,,,,
player,201412070rai,sfo,MillBr02,rush_att,0,,,,,
player,201412070rai,sfo,MillBr02,rush_yds,0,,,,,
player,201412070rai,sfo,MillBr02,rush_td,0,,,,,
player,201412070rai,sfo,MillBr02,rush_long,0,,,,,
player,201412070rai,sfo,MillBr02,targets,1,,,,,
player,201412070rai,sfo,MillBr02,rec,1,,,,,
player,201412070rai,sfo,MillBr02,rec_yds,8,,,,,
player,201412070rai,sfo,MillBr02,rec_td,1,,,,,
player,201412070rai,sfo,MillBr02,rec_long,8,,,,,
player,201412070rai,sfo,MillBr02,fumbles,0,,,,,
player,201412070rai,sfo,MillBr02,fumbles_lost,0,,,,,
player,201412070rai,sfo,PattQu00,pass_cmp,0,,,,,
player,201412070rai,sfo,PattQu00,pass_att,0,,,,,
player,201412070rai,sfo,PattQu00,pass_yds,0,,,,,
player,201412070rai,sfo,PattQu00,pass_td,0,,,,,
player,201412070rai,sfo,PattQu00,pass_int,0,,,,,
player,201412070rai,sfo,PattQu00,pass_sacked,0,,,,,
player,201412070rai,sfo,PattQu00,pass_sacked_yds,0,,,,,
player,201412070rai,sfo,PattQu00,pass_long,0,,,,,
player,201412070rai,sfo,PattQu00,pass_rating,,,,,,
player,201412070rai,sfo,PattQu00,rush_att,0,,,,,
player,201412070rai,sfo,PattQu00,rush_yds,0,,,,,
player,201412070rai,sfo,PattQu00,rush_td,0,,,,,
player,201412070rai,sfo,PattQu00,rush_long,0,,,,,
player,201412070rai,sfo,PattQu00,targets,1,,,,,
player,201412070rai,sfo,PattQu00,rec,0,,,,,
player,201412070rai,sfo,PattQu00,rec_yds,0,,,,,
player,201412070rai,sfo,PattQu00,rec_td,0,,,,,
player,201412070rai,sfo,PattQu00,rec_long,0,,,,,
player,201412070rai,sfo,PattQu00,fumbles,0,,,,,
player,201412070rai,sfo,PattQu00,fumbles_lost,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_cmp,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_att,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_yds,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_td,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_int,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_sacked,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_sacked_yds,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_long,0,,,,,
player,201412070rai,sfo,JohnSt00,pass_rating,,,,,,
player,201412070rai,sfo,JohnSt00,rush_att,0,,,,,
player,201412070rai,sfo,JohnSt00,rush_yds,0,,,,,
player,201412070rai,sfo,JohnSt00,rush_td,0,,,,,
player,201412070rai,sfo,JohnSt00,rush_long,0,,,,,
player,201412070rai,sfo,JohnSt00,targets,2,,,,,
player,201412070rai,sfo,JohnSt00,rec,0,,,,,
player,201412070rai,sfo,JohnSt00,rec_yds,0,,,,,
player,201412070rai,sfo,JohnSt00,rec_td,0,,,,,
player,201412070rai,sfo,JohnSt00,rec_long,0,,,,,
player,201412070rai,sfo,JohnSt00,fumbles,0,,,,,
player,201412070rai,sfo,JohnSt00,fumbles_lost,0,,,,,
player,201412070rai,rai,CarrDe02,pass_cmp,22,,,,,
player,201412070rai,rai,CarrDe02,pass_att,28,,,,,
player,201412070rai,rai,CarrDe02,pass_yds,254,,,,,
player,201412070rai,rai,CarrDe02,pass_td,3,,,,,
player,201412070rai,rai,CarrDe02,pass_int,0,,,,,
player,201412070rai,rai,CarrDe02,pass_sacked,1,,,,,
player,201412070rai,rai,CarrDe02,pass_sacked_yds,9,,,,,
player,201412070rai,rai,CarrDe02,pass_long,27,,,,,
player,201412070rai,rai,CarrDe02,pass_rating,140.2,,,,,
player,201412070rai,rai,CarrDe02,rush_att,2,,,,,
player,201412070rai,rai,CarrDe02,rush_yds,2,,,,,
player,201412070rai,rai,CarrDe02,rush_td,0,,,,,
player,201412070rai,rai,CarrDe02,rush_long,11,,,,,
player,201412070rai,rai,CarrDe02,targets,0,,,,,
player,201412070rai,rai,CarrDe02,rec,0,,,,,
player,201412070rai,rai,CarrDe02,rec_yds,0,,,,,
player,201412070rai,rai,CarrDe02,rec_td,0,,,,,
player,201412070rai,rai,CarrDe02,rec_long,0,,,,,
player,201412070rai,rai,CarrDe02,fumbles,0,,,,,
player,201412070rai,rai,CarrDe02,fumbles_lost,0,,,,,
player,201412070rai,rai,MurrLa00,pass_cmp,0,,,,,
player,201412070rai,rai,MurrLa00,pass_att,0,,,,,
player,201412070rai,rai,MurrLa00,pass_yds,0,,,,,
player,201412070rai,rai,MurrLa00,pass_td,0,,,,,
player,201412070rai,rai,MurrLa00,pass_int,0,,,,,
player,201412070rai,rai,MurrLa00,pass_sacked,,,,,,
player,201412070rai,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201412070rai,rai,MurrLa00,pass_long,0,,,,,
player,201412070rai,rai,MurrLa00,pass_rating,,,,,,
player,201412070rai,rai,MurrLa00,rush_att,23,,,,,
player,201412070rai,rai,MurrLa00,rush_yds,76,,,,,
player,201412070rai,rai,MurrLa00,rush_td,0,,,,,
player,201412070rai,rai,MurrLa00,rush_long,16,,,,,
player,201412070rai,rai,MurrLa00,targets,2,,,,,
player,201412070rai,rai,MurrLa00,rec,2,,,,,
player,201412070rai,rai,MurrLa00,rec_yds,9,,,,,
player,201412070rai,rai,MurrLa00,rec_td,0,,,,,
player,201412070rai,rai,MurrLa00,rec_long,5,,,,,
player,201412070rai,rai,MurrLa00,fumbles,0,,,,,
player,201412070rai,rai,MurrLa00,fumbles_lost,0,,,,,
player,201412070rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201412070rai,rai,McFaDa00,pass_att,0,,,,,
player,201412070rai,rai,McFaDa00,pass_yds,0,,,,,
player,201412070rai,rai,McFaDa00,pass_td,0,,,,,
player,201412070rai,rai,McFaDa00,pass_int,0,,,,,
player,201412070rai,rai,McFaDa00,pass_sacked,,,,,,
player,201412070rai,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201412070rai,rai,McFaDa00,pass_long,0,,,,,
player,201412070rai,rai,McFaDa00,pass_rating,,,,,,
player,201412070rai,rai,McFaDa00,rush_att,4,,,,,
player,201412070rai,rai,McFaDa00,rush_yds,5,,,,,
player,201412070rai,rai,McFaDa00,rush_td,0,,,,,
player,201412070rai,rai,McFaDa00,rush_long,3,,,,,
player,201412070rai,rai,McFaDa00,targets,0,,,,,
player,201412070rai,rai,McFaDa00,rec,0,,,,,
player,201412070rai,rai,McFaDa00,rec_yds,0,,,,,
player,201412070rai,rai,McFaDa00,rec_td,0,,,,,
player,201412070rai,rai,McFaDa00,rec_long,0,,,,,
player,201412070rai,rai,McFaDa00,fumbles,0,,,,,
player,201412070rai,rai,McFaDa00,fumbles_lost,0,,,,,
player,201412070rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201412070rai,rai,ReecMa00,pass_att,0,,,,,
player,201412070rai,rai,ReecMa00,pass_yds,0,,,,,
player,201412070rai,rai,ReecMa00,pass_td,0,,,,,
player,201412070rai,rai,ReecMa00,pass_int,0,,,,,
player,201412070rai,rai,ReecMa00,pass_sacked,,,,,,
player,201412070rai,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201412070rai,rai,ReecMa00,pass_long,0,,,,,
player,201412070rai,rai,ReecMa00,pass_rating,,,,,,
player,201412070rai,rai,ReecMa00,rush_att,2,,,,,
player,201412070rai,rai,ReecMa00,rush_yds,2,,,,,
player,201412070rai,rai,ReecMa00,rush_td,0,,,,,
player,201412070rai,rai,ReecMa00,rush_long,3,,,,,
player,201412070rai,rai,ReecMa00,targets,7,,,,,
player,201412070rai,rai,ReecMa00,rec,7,,,,,
player,201412070rai,rai,ReecMa00,rec_yds,64,,,,,
player,201412070rai,rai,ReecMa00,rec_td,1,,,,,
player,201412070rai,rai,ReecMa00,rec_long,14,,,,,
player,201412070rai,rai,ReecMa00,fumbles,0,,,,,
player,201412070rai,rai,ReecMa00,fumbles_lost,0,,,,,
player,201412070rai,rai,RiveMy00,pass_cmp,0,,,,,
player,201412070rai,rai,RiveMy00,pass_att,0,,,,,
player,201412070rai,rai,RiveMy00,pass_yds,0,,,,,
player,201412070rai,rai,RiveMy00,pass_td,0,,,,,
player,201412070rai,rai,RiveMy00,pass_int,0,,,,,
player,201412070rai,rai,RiveMy00,pass_sacked,,,,,,
player,201412070rai,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201412070rai,rai,RiveMy00,pass_long,0,,,,,
player,201412070rai,rai,RiveMy00,pass_rating,,,,,,
player,201412070rai,rai,RiveMy00,rush_att,0,,,,,
player,201412070rai,rai,RiveMy00,rush_yds,0,,,,,
player,201412070rai,rai,RiveMy00,rush_td,0,,,,,
player,201412070rai,rai,RiveMy00,rush_long,0,,,,,
player,201412070rai,rai,RiveMy00,targets,7,,,,,
player,201412070rai,rai,RiveMy00,rec,7,,,,,
player,201412070rai,rai,RiveMy00,rec_yds,109,,,,,
player,201412070rai,rai,RiveMy00,rec_td,1,,,,,
player,201412070rai,rai,RiveMy00,rec_long,27,,,,,
player,201412070rai,rai,RiveMy00,fumbles,0,,,,,
player,201412070rai,rai,RiveMy00,fumbles_lost,0,,,,,
player,201412070rai,rai,HolmAn00,pass_cmp,0,,,,,
player,201412070rai,rai,HolmAn00,pass_att,0,,,,,
player,201412070rai,rai,HolmAn00,pass_yds,0,,,,,
player,201412070rai,rai,HolmAn00,pass_td,0,,,,,
player,201412070rai,rai,HolmAn00,pass_int,0,,,,,
player,201412070rai,rai,HolmAn00,pass_sacked,,,,,,
player,201412070rai,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201412070rai,rai,HolmAn00,pass_long,0,,,,,
player,201412070rai,rai,HolmAn00,pass_rating,,,,,,
player,201412070rai,rai,HolmAn00,rush_att,0,,,,,
player,201412070rai,rai,HolmAn00,rush_yds,0,,,,,
player,201412070rai,rai,HolmAn00,rush_td,0,,,,,
player,201412070rai,rai,HolmAn00,rush_long,0,,,,,
player,201412070rai,rai,HolmAn00,targets,5,,,,,
player,201412070rai,rai,HolmAn00,rec,2,,,,,
player,201412070rai,rai,HolmAn00,rec_yds,38,,,,,
player,201412070rai,rai,HolmAn00,rec_td,0,,,,,
player,201412070rai,rai,HolmAn00,rec_long,22,,,,,
player,201412070rai,rai,HolmAn00,fumbles,0,,,,,
player,201412070rai,rai,HolmAn00,fumbles_lost,0,,,,,
player,201412070rai,rai,BrowVi00,pass_cmp,0,,,,,
player,201412070rai,rai,BrowVi00,pass_att,0,,,,,
player,201412070rai,rai,BrowVi00,pass_yds,0,,,,,
player,201412070rai,rai,BrowVi00,pass_td,0,,,,,
player,201412070rai,rai,BrowVi00,pass_int,0,,,,,
player,201412070rai,rai,BrowVi00,pass_sacked,,,,,,
player,201412070rai,rai,BrowVi00,pass_sacked_yds,0,,,,,
player,201412070rai,rai,BrowVi00,pass_long,0,,,,,
player,201412070rai,rai,BrowVi00,pass_rating,,,,,,
player,201412070rai,rai,BrowVi00,rush_att,0,,,,,
player,201412070rai,rai,BrowVi00,rush_yds,0,,,,,
player,201412070rai,rai,BrowVi00,rush_td,0,,,,,
player,201412070rai,rai,BrowVi00,rush_long,0,,,,,
player,201412070rai,rai,BrowVi00,targets,1,,,,,
player,201412070rai,rai,BrowVi00,rec,1,,,,,
player,201412070rai,rai,BrowVi00,rec_yds,20,,,,,
player,201412070rai,rai,BrowVi00,rec_td,0,,,,,
player,201412070rai,rai,BrowVi00,rec_long,20,,,,,
player,201412070rai,rai,BrowVi00,fumbles,0,,,,,
player,201412070rai,rai,BrowVi00,fumbles_lost,0,,,,,
player,201412070rai,rai,JoneJa04,pass_cmp,0,,,,,
player,201412070rai,rai,JoneJa04,pass_att,0,,,,,
player,201412070rai,rai,JoneJa04,pass_yds,0,,,,,
player,201412070rai,rai,JoneJa04,pass_td,0,,,,,
player,201412070rai,rai,JoneJa04,pass_int,0,,,,,
player,201412070rai,rai,JoneJa04,pass_sacked,,,,,,
player,201412070rai,rai,JoneJa04,pass_sacked_yds,0,,,,,
player,201412070rai,rai,JoneJa04,pass_long,0,,,,,
player,201412070rai,rai,JoneJa04,pass_rating,,,,,,
player,201412070rai,rai,JoneJa04,rush_att,0,,,,,
player,201412070rai,rai,JoneJa04,rush_yds,0,,,,,
