game,2014,7,20141019,201410190den,sfo,"San Francisco 49ers",17,den,"Denver Broncos",42
player,201410190den,den,OsweBr00,fumbles,0,,,,,
player,201410190den,den,OsweBr00,fumbles_lost,0,,,,,
player,201410190den,den,HillRo00,pass_cmp,0,,,,,
player,201410190den,den,HillRo00,pass_att,0,,,,,
player,201410190den,den,HillRo00,pass_yds,0,,,,,
player,201410190den,den,HillRo00,pass_td,0,,,,,
player,201410190den,den,HillRo00,pass_int,0,,,,,
player,201410190den,den,HillRo00,pass_sacked,0,,,,,
player,201410190den,den,HillRo00,pass_sacked_yds,0,,,,,
player,201410190den,den,HillRo00,pass_long,0,,,,,
player,201410190den,den,HillRo00,pass_rating,,,,,,
player,201410190den,den,HillRo00,rush_att,14,,,,,
player,201410190den,den,HillRo00,rush_yds,74,,,,,
player,201410190den,den,HillRo00,rush_td,2,,,,,
player,201410190den,den,HillRo00,rush_long,37,,,,,
player,201410190den,den,HillRo00,targets,4,,,,,
player,201410190den,den,HillRo00,rec,4,,,,,
player,201410190den,den,HillRo00,rec_yds,29,,,,,
player,201410190den,den,HillRo00,rec_td,0,,,,,
player,201410190den,den,HillRo00,rec_long,11,,,,,
player,201410190den,den,HillRo00,fumbles,0,,,,,
player,201410190den,den,HillRo00,fumbles_lost,0,,,,,
player,201410190den,den,ThomJu01,pass_cmp,0,,,,,
player,201410190den,den,ThomJu01,pass_att,0,,,,,
player,201410190den,den,ThomJu01,pass_yds,0,,,,,
player,201410190den,den,ThomJu01,pass_td,0,,,,,
player,201410190den,den,ThomJu01,pass_int,0,,,,,
player,201410190den,den,ThomJu01,pass_sacked,0,,,,,
player,201410190den,den,ThomJu01,pass_sacked_yds,0,,,,,
player,201410190den,den,ThomJu01,pass_long,0,,,,,
player,201410190den,den,ThomJu01,pass_rating,,,,,,
player,201410190den,den,ThomJu01,rush_att,6,,,,,
player,201410190den,den,ThomJu01,rush_yds,30,,,,,
player,201410190den,den,ThomJu01,rush_td,0,,,,,
player,201410190den,den,ThomJu01,rush_long,9,,,,,
player,201410190den,den,ThomJu01,targets,0,,,,,
player,201410190den,den,ThomJu01,rec,0,,,,,
player,201410190den,den,ThomJu01,rec_yds,0,,,,,
player,201410190den,den,ThomJu01,rec_td,0,,,,,
player,201410190den,den,ThomJu01,rec_long,0,,,,,
player,201410190den,den,ThomJu01,fumbles,0,,,,,
player,201410190den,den,ThomJu01,fumbles_lost,0,,,,,
player,201410190den,den,AndeC.00,pass_cmp,0,,,,,
player,201410190den,den,AndeC.00,pass_att,0,,,,,
player,201410190den,den,AndeC.00,pass_yds,0,,,,,
player,201410190den,den,AndeC.00,pass_td,0,,,,,
player,201410190den,den,AndeC.00,pass_int,0,,,,,
player,201410190den,den,AndeC.00,pass_sacked,0,,,,,
player,201410190den,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201410190den,den,AndeC.00,pass_long,0,,,,,
player,201410190den,den,AndeC.00,pass_rating,,,,,,
player,201410190den,den,AndeC.00,rush_att,2,,,,,
player,201410190den,den,AndeC.00,rush_yds,9,,,,,
player,201410190den,den,AndeC.00,rush_td,0,,,,,
player,201410190den,den,AndeC.00,rush_long,5,,,,,
player,201410190den,den,AndeC.00,targets,0,,,,,
player,201410190den,den,AndeC.00,rec,0,,,,,
player,201410190den,den,AndeC.00,rec_yds,0,,,,,
player,201410190den,den,AndeC.00,rec_td,0,,,,,
player,201410190den,den,AndeC.00,rec_long,0,,,,,
player,201410190den,den,AndeC.00,fumbles,0,,,,,
player,201410190den,den,AndeC.00,fumbles_lost,0,,,,,
player,201410190den,den,GreeVi00,pass_cmp,0,,,,,
player,201410190den,den,GreeVi00,pass_att,0,,,,,
player,201410190den,den,GreeVi00,pass_yds,0,,,,,
player,201410190den,den,GreeVi00,pass_td,0,,,,,
player,201410190den,den,GreeVi00,pass_int,0,,,,,
player,201410190den,den,GreeVi00,pass_sacked,0,,,,,
player,201410190den,den,GreeVi00,pass_sacked_yds,0,,,,,
player,201410190den,den,GreeVi00,pass_long,0,,,,,
player,201410190den,den,GreeVi00,pass_rating,,,,,,
player,201410190den,den,GreeVi00,rush_att,1,,,,,
player,201410190den,den,GreeVi00,rush_yds,3,,,,,
player,201410190den,den,GreeVi00,rush_td,0,,,,,
player,201410190den,den,GreeVi00,rush_long,3,,,,,
player,201410190den,den,GreeVi00,targets,0,,,,,
player,201410190den,den,GreeVi00,rec,0,,,,,
player,201410190den,den,GreeVi00,rec_yds,0,,,,,
player,201410190den,den,GreeVi00,rec_td,0,,,,,
player,201410190den,den,GreeVi00,rec_long,0,,,,,
player,201410190den,den,GreeVi00,fumbles,0,,,,,
player,201410190den,den,GreeVi00,fumbles_lost,0,,,,,
player,201410190den,den,ThomDe03,pass_cmp,0,,,,,
player,201410190den,den,ThomDe03,pass_att,0,,,,,
player,201410190den,den,ThomDe03,pass_yds,0,,,,,
player,201410190den,den,ThomDe03,pass_td,0,,,,,
player,201410190den,den,ThomDe03,pass_int,0,,,,,
player,201410190den,den,ThomDe03,pass_sacked,0,,,,,
player,201410190den,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201410190den,den,ThomDe03,pass_long,0,,,,,
player,201410190den,den,ThomDe03,pass_rating,,,,,,
player,201410190den,den,ThomDe03,rush_att,0,,,,,
player,201410190den,den,ThomDe03,rush_yds,0,,,,,
player,201410190den,den,ThomDe03,rush_td,0,,,,,
player,201410190den,den,ThomDe03,rush_long,0,,,,,
player,201410190den,den,ThomDe03,targets,9,,,,,
player,201410190den,den,ThomDe03,rec,8,,,,,
player,201410190den,den,ThomDe03,rec_yds,171,,,,,
player,201410190den,den,ThomDe03,rec_td,2,,,,,
player,201410190den,den,ThomDe03,rec_long,49,,,,,
player,201410190den,den,ThomDe03,fumbles,0,,,,,
player,201410190den,den,ThomDe03,fumbles_lost,0,,,,,
player,201410190den,den,WelkWe00,pass_cmp,0,,,,,
player,201410190den,den,WelkWe00,pass_att,0,,,,,
player,201410190den,den,WelkWe00,pass_yds,0,,,,,
player,201410190den,den,WelkWe00,pass_td,0,,,,,
player,201410190den,den,WelkWe00,pass_int,0,,,,,
player,201410190den,den,WelkWe00,pass_sacked,0,,,,,
player,201410190den,den,WelkWe00,pass_sacked_yds,0,,,,,
player,201410190den,den,WelkWe00,pass_long,0,,,,,
player,201410190den,den,WelkWe00,pass_rating,,,,,,
player,201410190den,den,WelkWe00,rush_att,0,,,,,
player,201410190den,den,WelkWe00,rush_yds,0,,,,,
player,201410190den,den,WelkWe00,rush_td,0,,,,,
player,201410190den,den,WelkWe00,rush_long,0,,,,,
player,201410190den,den,WelkWe00,targets,3,,,,,
player,201410190den,den,WelkWe00,rec,3,,,,,
player,201410190den,den,WelkWe00,rec_yds,50,,,,,
player,201410190den,den,WelkWe00,rec_td,1,,,,,
player,201410190den,den,WelkWe00,rec_long,39,,,,,
player,201410190den,den,WelkWe00,fumbles,0,,,,,
player,201410190den,den,WelkWe00,fumbles_lost,0,,,,,
player,201410190den,den,SandEm00,pass_cmp,0,,,,,
player,201410190den,den,SandEm00,pass_att,0,,,,,
player,201410190den,den,SandEm00,pass_yds,0,,,,,
player,201410190den,den,SandEm00,pass_td,0,,,,,
player,201410190den,den,SandEm00,pass_int,0,,,,,
player,201410190den,den,SandEm00,pass_sacked,0,,,,,
player,201410190den,den,SandEm00,pass_sacked_yds,0,,,,,
player,201410190den,den,SandEm00,pass_long,0,,,,,
player,201410190den,den,SandEm00,pass_rating,,,,,,
player,201410190den,den,SandEm00,rush_att,0,,,,,
player,201410190den,den,SandEm00,rush_yds,0,,,,,
player,201410190den,den,SandEm00,rush_td,0,,,,,
player,201410190den,den,SandEm00,rush_long,0,,,,,
player,201410190den,den,SandEm00,targets,3,,,,,
player,201410190den,den,SandEm00,rec,3,,,,,
player,201410190den,den,SandEm00,rec_yds,41,,,,,
player,201410190den,den,SandEm00,rec_td,1,,,,,
player,201410190den,den,SandEm00,rec_long,20,,,,,
player,201410190den,den,SandEm00,fumbles,0,,,,,
player,201410190den,den,SandEm00,fumbles_lost,0,,,,,
player,201410190den,den,ThomJu00,pass_cmp,0,,,,,
player,201410190den,den,ThomJu00,pass_att,0,,,,,
