game,2014,2,20140915,201409150clt,phi,"Philadelphia Eagles",30,clt,"Indianapolis Colts",27
player,201409150clt,clt,LuckAn00,fumbles,0,,,,,
player,201409150clt,clt,LuckAn00,fumbles_lost,0,,,,,
player,201409150clt,clt,RichTr00,pass_cmp,0,,,,,
player,201409150clt,clt,RichTr00,pass_att,0,,,,,
player,201409150clt,clt,RichTr00,pass_yds,0,,,,,
player,201409150clt,clt,RichTr00,pass_td,0,,,,,
player,201409150clt,clt,RichTr00,pass_int,0,,,,,
player,201409150clt,clt,RichTr00,pass_sacked,0,,,,,
player,201409150clt,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,RichTr00,pass_long,0,,,,,
player,201409150clt,clt,RichTr00,pass_rating,,,,,,
player,201409150clt,clt,RichTr00,rush_att,21,,,,,
player,201409150clt,clt,RichTr00,rush_yds,79,,,,,
player,201409150clt,clt,RichTr00,rush_td,0,,,,,
player,201409150clt,clt,RichTr00,rush_long,15,,,,,
player,201409150clt,clt,RichTr00,targets,1,,,,,
player,201409150clt,clt,RichTr00,rec,1,,,,,
player,201409150clt,clt,RichTr00,rec_yds,16,,,,,
player,201409150clt,clt,RichTr00,rec_td,0,,,,,
player,201409150clt,clt,RichTr00,rec_long,16,,,,,
player,201409150clt,clt,RichTr00,fumbles,2,,,,,
player,201409150clt,clt,RichTr00,fumbles_lost,1,,,,,
player,201409150clt,clt,BradAh00,pass_cmp,0,,,,,
player,201409150clt,clt,BradAh00,pass_att,0,,,,,
player,201409150clt,clt,BradAh00,pass_yds,0,,,,,
player,201409150clt,clt,BradAh00,pass_td,0,,,,,
player,201409150clt,clt,BradAh00,pass_int,0,,,,,
player,201409150clt,clt,BradAh00,pass_sacked,0,,,,,
player,201409150clt,clt,BradAh00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,BradAh00,pass_long,0,,,,,
player,201409150clt,clt,BradAh00,pass_rating,,,,,,
player,201409150clt,clt,BradAh00,rush_att,13,,,,,
player,201409150clt,clt,BradAh00,rush_yds,70,,,,,
player,201409150clt,clt,BradAh00,rush_td,0,,,,,
player,201409150clt,clt,BradAh00,rush_long,29,,,,,
player,201409150clt,clt,BradAh00,targets,5,,,,,
player,201409150clt,clt,BradAh00,rec,5,,,,,
player,201409150clt,clt,BradAh00,rec_yds,26,,,,,
player,201409150clt,clt,BradAh00,rec_td,2,,,,,
player,201409150clt,clt,BradAh00,rec_long,9,,,,,
player,201409150clt,clt,BradAh00,fumbles,0,,,,,
player,201409150clt,clt,BradAh00,fumbles_lost,0,,,,,
player,201409150clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201409150clt,clt,HiltT.00,pass_att,0,,,,,
player,201409150clt,clt,HiltT.00,pass_yds,0,,,,,
player,201409150clt,clt,HiltT.00,pass_td,0,,,,,
player,201409150clt,clt,HiltT.00,pass_int,0,,,,,
player,201409150clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201409150clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,HiltT.00,pass_long,0,,,,,
player,201409150clt,clt,HiltT.00,pass_rating,,,,,,
player,201409150clt,clt,HiltT.00,rush_att,0,,,,,
player,201409150clt,clt,HiltT.00,rush_yds,0,,,,,
player,201409150clt,clt,HiltT.00,rush_td,0,,,,,
player,201409150clt,clt,HiltT.00,rush_long,0,,,,,
player,201409150clt,clt,HiltT.00,targets,11,,,,,
player,201409150clt,clt,HiltT.00,rec,6,,,,,
player,201409150clt,clt,HiltT.00,rec_yds,65,,,,,
player,201409150clt,clt,HiltT.00,rec_td,0,,,,,
player,201409150clt,clt,HiltT.00,rec_long,16,,,,,
player,201409150clt,clt,HiltT.00,fumbles,0,,,,,
player,201409150clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201409150clt,clt,WaynRe00,pass_cmp,0,,,,,
player,201409150clt,clt,WaynRe00,pass_att,0,,,,,
player,201409150clt,clt,WaynRe00,pass_yds,0,,,,,
player,201409150clt,clt,WaynRe00,pass_td,0,,,,,
player,201409150clt,clt,WaynRe00,pass_int,0,,,,,
player,201409150clt,clt,WaynRe00,pass_sacked,0,,,,,
player,201409150clt,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,WaynRe00,pass_long,0,,,,,
player,201409150clt,clt,WaynRe00,pass_rating,,,,,,
player,201409150clt,clt,WaynRe00,rush_att,0,,,,,
player,201409150clt,clt,WaynRe00,rush_yds,0,,,,,
player,201409150clt,clt,WaynRe00,rush_td,0,,,,,
player,201409150clt,clt,WaynRe00,rush_long,0,,,,,
player,201409150clt,clt,WaynRe00,targets,7,,,,,
player,201409150clt,clt,WaynRe00,rec,3,,,,,
player,201409150clt,clt,WaynRe00,rec_yds,28,,,,,
player,201409150clt,clt,WaynRe00,rec_td,0,,,,,
player,201409150clt,clt,WaynRe00,rec_long,19,,,,,
player,201409150clt,clt,WaynRe00,fumbles,0,,,,,
player,201409150clt,clt,WaynRe00,fumbles_lost,0,,,,,
player,201409150clt,clt,MoncDo00,pass_cmp,0,,,,,
player,201409150clt,clt,MoncDo00,pass_att,0,,,,,
player,201409150clt,clt,MoncDo00,pass_yds,0,,,,,
player,201409150clt,clt,MoncDo00,pass_td,0,,,,,
player,201409150clt,clt,MoncDo00,pass_int,0,,,,,
player,201409150clt,clt,MoncDo00,pass_sacked,0,,,,,
player,201409150clt,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,MoncDo00,pass_long,0,,,,,
player,201409150clt,clt,MoncDo00,pass_rating,,,,,,
player,201409150clt,clt,MoncDo00,rush_att,0,,,,,
player,201409150clt,clt,MoncDo00,rush_yds,0,,,,,
player,201409150clt,clt,MoncDo00,rush_td,0,,,,,
player,201409150clt,clt,MoncDo00,rush_long,0,,,,,
player,201409150clt,clt,MoncDo00,targets,1,,,,,
player,201409150clt,clt,MoncDo00,rec,1,,,,,
player,201409150clt,clt,MoncDo00,rec_yds,16,,,,,
player,201409150clt,clt,MoncDo00,rec_td,0,,,,,
player,201409150clt,clt,MoncDo00,rec_long,16,,,,,
player,201409150clt,clt,MoncDo00,fumbles,0,,,,,
player,201409150clt,clt,MoncDo00,fumbles_lost,0,,,,,
player,201409150clt,clt,FleeCo00,pass_cmp,0,,,,,
player,201409150clt,clt,FleeCo00,pass_att,0,,,,,
player,201409150clt,clt,FleeCo00,pass_yds,0,,,,,
player,201409150clt,clt,FleeCo00,pass_td,0,,,,,
player,201409150clt,clt,FleeCo00,pass_int,0,,,,,
player,201409150clt,clt,FleeCo00,pass_sacked,0,,,,,
player,201409150clt,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,FleeCo00,pass_long,0,,,,,
player,201409150clt,clt,FleeCo00,pass_rating,,,,,,
player,201409150clt,clt,FleeCo00,rush_att,0,,,,,
player,201409150clt,clt,FleeCo00,rush_yds,0,,,,,
player,201409150clt,clt,FleeCo00,rush_td,0,,,,,
player,201409150clt,clt,FleeCo00,rush_long,0,,,,,
player,201409150clt,clt,FleeCo00,targets,1,,,,,
player,201409150clt,clt,FleeCo00,rec,1,,,,,
player,201409150clt,clt,FleeCo00,rec_yds,13,,,,,
player,201409150clt,clt,FleeCo00,rec_td,0,,,,,
player,201409150clt,clt,FleeCo00,rec_long,13,,,,,
player,201409150clt,clt,FleeCo00,fumbles,0,,,,,
player,201409150clt,clt,FleeCo00,fumbles_lost,0,,,,,
player,201409150clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201409150clt,clt,DoylJa00,pass_att,0,,,,,
player,201409150clt,clt,DoylJa00,pass_yds,0,,,,,
player,201409150clt,clt,DoylJa00,pass_td,0,,,,,
player,201409150clt,clt,DoylJa00,pass_int,0,,,,,
player,201409150clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201409150clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,DoylJa00,pass_long,0,,,,,
player,201409150clt,clt,DoylJa00,pass_rating,,,,,,
player,201409150clt,clt,DoylJa00,rush_att,0,,,,,
player,201409150clt,clt,DoylJa00,rush_yds,0,,,,,
player,201409150clt,clt,DoylJa00,rush_td,0,,,,,
player,201409150clt,clt,DoylJa00,rush_long,0,,,,,
player,201409150clt,clt,DoylJa00,targets,2,,,,,
player,201409150clt,clt,DoylJa00,rec,2,,,,,
player,201409150clt,clt,DoylJa00,rec_yds,12,,,,,
player,201409150clt,clt,DoylJa00,rec_td,1,,,,,
player,201409150clt,clt,DoylJa00,rec_long,10,,,,,
player,201409150clt,clt,DoylJa00,fumbles,0,,,,,
player,201409150clt,clt,DoylJa00,fumbles_lost,0,,,,,
player,201409150clt,clt,AlleDw00,pass_cmp,0,,,,,
player,201409150clt,clt,AlleDw00,pass_att,0,,,,,
player,201409150clt,clt,AlleDw00,pass_yds,0,,,,,
player,201409150clt,clt,AlleDw00,pass_td,0,,,,,
