game,2014,9,20141102,201411020cle,tam,"Tampa Bay Buccaneers",17,cle,"Cleveland Browns",22
player,201411020cle,cle,HoyeBr00,pass_long,34,,,,,
player,201411020cle,cle,HoyeBr00,pass_rating,85.4,,,,,
player,201411020cle,cle,HoyeBr00,rush_att,2,,,,,
player,201411020cle,cle,HoyeBr00,rush_yds,5,,,,,
player,201411020cle,cle,HoyeBr00,rush_td,0,,,,,
player,201411020cle,cle,HoyeBr00,rush_long,3,,,,,
player,201411020cle,cle,HoyeBr00,targets,0,,,,,
player,201411020cle,cle,HoyeBr00,rec,0,,,,,
player,201411020cle,cle,HoyeBr00,rec_yds,0,,,,,
player,201411020cle,cle,HoyeBr00,rec_td,0,,,,,
player,201411020cle,cle,HoyeBr00,rec_long,0,,,,,
player,201411020cle,cle,HoyeBr00,fumbles,0,,,,,
player,201411020cle,cle,HoyeBr00,fumbles_lost,0,,,,,
player,201411020cle,cle,WestTe00,pass_cmp,0,,,,,
player,201411020cle,cle,WestTe00,pass_att,0,,,,,
player,201411020cle,cle,WestTe00,pass_yds,0,,,,,
player,201411020cle,cle,WestTe00,pass_td,0,,,,,
player,201411020cle,cle,WestTe00,pass_int,0,,,,,
player,201411020cle,cle,WestTe00,pass_sacked,0,,,,,
player,201411020cle,cle,WestTe00,pass_sacked_yds,0,,,,,
player,201411020cle,cle,WestTe00,pass_long,0,,,,,
player,201411020cle,cle,WestTe00,pass_rating,,,,,,
player,201411020cle,cle,WestTe00,rush_att,15,,,,,
player,201411020cle,cle,WestTe00,rush_yds,48,,,,,
player,201411020cle,cle,WestTe00,rush_td,0,,,,,
player,201411020cle,cle,WestTe00,rush_long,10,,,,,
player,201411020cle,cle,WestTe00,targets,1,,,,,
player,201411020cle,cle,WestTe00,rec,1,,,,,
player,201411020cle,cle,WestTe00,rec_yds,2,,,,,
player,201411020cle,cle,WestTe00,rec_td,1,,,,,
player,201411020cle,cle,WestTe00,rec_long,2,,,,,
player,201411020cle,cle,WestTe00,fumbles,0,,,,,
player,201411020cle,cle,WestTe00,fumbles_lost,0,,,,,
player,201411020cle,cle,TateBe00,pass_cmp,0,,,,,
