game,2014,12,20141123,201411230atl,cle,"Cleveland Browns",26,atl,"Atlanta Falcons",24
player,201411230atl,cle,AgneRa00,pass_sacked,0,,,,,
player,201411230atl,cle,AgneRa00,pass_sacked_yds,0,,,,,
player,201411230atl,cle,AgneRa00,pass_long,0,,,,,
player,201411230atl,cle,AgneRa00,pass_rating,,,,,,
player,201411230atl,cle,AgneRa00,rush_att,0,,,,,
player,201411230atl,cle,AgneRa00,rush_yds,0,,,,,
player,201411230atl,cle,AgneRa00,rush_td,0,,,,,
player,201411230atl,cle,AgneRa00,rush_long,0,,,,,
player,201411230atl,cle,AgneRa00,targets,1,,,,,
player,201411230atl,cle,AgneRa00,rec,0,,,,,
player,201411230atl,cle,AgneRa00,rec_yds,0,,,,,
player,201411230atl,cle,AgneRa00,rec_td,0,,,,,
player,201411230atl,cle,AgneRa00,rec_long,0,,,,,
player,201411230atl,cle,AgneRa00,fumbles,0,,,,,
player,201411230atl,cle,AgneRa00,fumbles_lost,0,,,,,
player,201411230atl,cle,DrayJi00,pass_cmp,0,,,,,
player,201411230atl,cle,DrayJi00,pass_att,0,,,,,
player,201411230atl,cle,DrayJi00,pass_yds,0,,,,,
player,201411230atl,cle,DrayJi00,pass_td,0,,,,,
player,201411230atl,cle,DrayJi00,pass_int,0,,,,,
player,201411230atl,cle,DrayJi00,pass_sacked,0,,,,,
player,201411230atl,cle,DrayJi00,pass_sacked_yds,0,,,,,
player,201411230atl,cle,DrayJi00,pass_long,0,,,,,
player,201411230atl,cle,DrayJi00,pass_rating,,,,,,
player,201411230atl,cle,DrayJi00,rush_att,0,,,,,
player,201411230atl,cle,DrayJi00,rush_yds,0,,,,,
player,201411230atl,cle,DrayJi00,rush_td,0,,,,,
player,201411230atl,cle,DrayJi00,rush_long,0,,,,,
player,201411230atl,cle,DrayJi00,targets,1,,,,,
player,201411230atl,cle,DrayJi00,rec,0,,,,,
player,201411230atl,cle,DrayJi00,rec_yds,0,,,,,
player,201411230atl,cle,DrayJi00,rec_td,0,,,,,
player,201411230atl,cle,DrayJi00,rec_long,0,,,,,
player,201411230atl,cle,DrayJi00,fumbles,0,,,,,
player,201411230atl,cle,DrayJi00,fumbles_lost,0,,,,,
player,201411230atl,cle,BenjTr00,pass_cmp,0,,,,,
player,201411230atl,cle,BenjTr00,pass_att,0,,,,,
player,201411230atl,cle,BenjTr00,pass_yds,0,,,,,
player,201411230atl,cle,BenjTr00,pass_td,0,,,,,
player,201411230atl,cle,BenjTr00,pass_int,0,,,,,
player,201411230atl,cle,BenjTr00,pass_sacked,0,,,,,
player,201411230atl,cle,BenjTr00,pass_sacked_yds,0,,,,,
player,201411230atl,cle,BenjTr00,pass_long,0,,,,,
player,201411230atl,cle,BenjTr00,pass_rating,,,,,,
