game,2014,17,20141228,201412280sea,ram,"St. Louis Rams",6,sea,"Seattle Seahawks",20
player,201412280sea,sea,LyncMa00,rush_long,14,,,,,
player,201412280sea,sea,LyncMa00,targets,3,,,,,
player,201412280sea,sea,LyncMa00,rec,3,,,,,
player,201412280sea,sea,LyncMa00,rec_yds,36,,,,,
player,201412280sea,sea,LyncMa00,rec_td,0,,,,,
player,201412280sea,sea,LyncMa00,rec_long,14,,,,,
player,201412280sea,sea,LyncMa00,fumbles,1,,,,,
player,201412280sea,sea,LyncMa00,fumbles_lost,1,,,,,
player,201412280sea,sea,TurbRo00,pass_cmp,0,,,,,
player,201412280sea,sea,TurbRo00,pass_att,0,,,,,
player,201412280sea,sea,TurbRo00,pass_yds,0,,,,,
player,201412280sea,sea,TurbRo00,pass_td,0,,,,,
player,201412280sea,sea,TurbRo00,pass_int,0,,,,,
player,201412280sea,sea,TurbRo00,pass_sacked,0,,,,,
player,201412280sea,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201412280sea,sea,TurbRo00,pass_long,0,,,,,
player,201412280sea,sea,TurbRo00,pass_rating,,,,,,
player,201412280sea,sea,TurbRo00,rush_att,11,,,,,
player,201412280sea,sea,TurbRo00,rush_yds,53,,,,,
player,201412280sea,sea,TurbRo00,rush_td,0,,,,,
player,201412280sea,sea,TurbRo00,rush_long,14,,,,,
player,201412280sea,sea,TurbRo00,targets,1,,,,,
player,201412280sea,sea,TurbRo00,rec,1,,,,,
player,201412280sea,sea,TurbRo00,rec_yds,13,,,,,
player,201412280sea,sea,TurbRo00,rec_td,0,,,,,
player,201412280sea,sea,TurbRo00,rec_long,13,,,,,
player,201412280sea,sea,TurbRo00,fumbles,0,,,,,
player,201412280sea,sea,TurbRo00,fumbles_lost,0,,,,,
player,201412280sea,sea,BaldDo00,pass_cmp,0,,,,,
player,201412280sea,sea,BaldDo00,pass_att,0,,,,,
player,201412280sea,sea,BaldDo00,pass_yds,0,,,,,
player,201412280sea,sea,BaldDo00,pass_td,0,,,,,
player,201412280sea,sea,BaldDo00,pass_int,0,,,,,
player,201412280sea,sea,BaldDo00,pass_sacked,0,,,,,
player,201412280sea,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201412280sea,sea,BaldDo00,pass_long,0,,,,,
player,201412280sea,sea,BaldDo00,pass_rating,,,,,,
player,201412280sea,sea,BaldDo00,rush_att,1,,,,,
player,201412280sea,sea,BaldDo00,rush_yds,8,,,,,
player,201412280sea,sea,BaldDo00,rush_td,0,,,,,
player,201412280sea,sea,BaldDo00,rush_long,8,,,,,
player,201412280sea,sea,BaldDo00,targets,4,,,,,
player,201412280sea,sea,BaldDo00,rec,3,,,,,
player,201412280sea,sea,BaldDo00,rec_yds,43,,,,,
player,201412280sea,sea,BaldDo00,rec_td,0,,,,,
player,201412280sea,sea,BaldDo00,rec_long,38,,,,,
player,201412280sea,sea,BaldDo00,fumbles,0,,,,,
player,201412280sea,sea,BaldDo00,fumbles_lost,0,,,,,
player,201412280sea,sea,MichCh00,pass_cmp,0,,,,,
player,201412280sea,sea,MichCh00,pass_att,0,,,,,
player,201412280sea,sea,MichCh00,pass_yds,0,,,,,
player,201412280sea,sea,MichCh00,pass_td,0,,,,,
player,201412280sea,sea,MichCh00,pass_int,0,,,,,
player,201412280sea,sea,MichCh00,pass_sacked,0,,,,,
player,201412280sea,sea,MichCh00,pass_sacked_yds,0,,,,,
player,201412280sea,sea,MichCh00,pass_long,0,,,,,
player,201412280sea,sea,MichCh00,pass_rating,,,,,,
player,201412280sea,sea,MichCh00,rush_att,1,,,,,
player,201412280sea,sea,MichCh00,rush_yds,2,,,,,
player,201412280sea,sea,MichCh00,rush_td,0,,,,,
player,201412280sea,sea,MichCh00,rush_long,2,,,,,
player,201412280sea,sea,MichCh00,targets,0,,,,,
player,201412280sea,sea,MichCh00,rec,0,,,,,
player,201412280sea,sea,MichCh00,rec_yds,0,,,,,
player,201412280sea,sea,MichCh00,rec_td,0,,,,,
player,201412280sea,sea,MichCh00,rec_long,0,,,,,
player,201412280sea,sea,MichCh00,fumbles,0,,,,,
player,201412280sea,sea,MichCh00,fumbles_lost,0,,,,,
player,201412280sea,sea,TukuWi00,pass_cmp,0,,,,,
player,201412280sea,sea,TukuWi00,pass_att,0,,,,,
player,201412280sea,sea,TukuWi00,pass_yds,0,,,,,
player,201412280sea,sea,TukuWi00,pass_td,0,,,,,
player,201412280sea,sea,TukuWi00,pass_int,0,,,,,
player,201412280sea,sea,TukuWi00,pass_sacked,0,,,,,
player,201412280sea,sea,TukuWi00,pass_sacked_yds,0,,,,,
player,201412280sea,sea,TukuWi00,pass_long,0,,,,,
player,201412280sea,sea,TukuWi00,pass_rating,,,,,,
player,201412280sea,sea,TukuWi00,rush_att,1,,,,,
player,201412280sea,sea,TukuWi00,rush_yds,2,,,,,
player,201412280sea,sea,TukuWi00,rush_td,0,,,,,
player,201412280sea,sea,TukuWi00,rush_long,2,,,,,
player,201412280sea,sea,TukuWi00,targets,0,,,,,
player,201412280sea,sea,TukuWi00,rec,0,,,,,
player,201412280sea,sea,TukuWi00,rec_yds,0,,,,,
player,201412280sea,sea,TukuWi00,rec_td,0,,,,,
player,201412280sea,sea,TukuWi00,rec_long,0,,,,,
player,201412280sea,sea,TukuWi00,fumbles,0,,,,,
player,201412280sea,sea,TukuWi00,fumbles_lost,0,,,,,
player,201412280sea,sea,RichPa01,pass_cmp,0,,,,,
player,201412280sea,sea,RichPa01,pass_att,0,,,,,
player,201412280sea,sea,RichPa01,pass_yds,0,,,,,
player,201412280sea,sea,RichPa01,pass_td,0,,,,,
player,201412280sea,sea,RichPa01,pass_int,0,,,,,
player,201412280sea,sea,RichPa01,pass_sacked,0,,,,,
player,201412280sea,sea,RichPa01,pass_sacked_yds,0,,,,,
player,201412280sea,sea,RichPa01,pass_long,0,,,,,
player,201412280sea,sea,RichPa01,pass_rating,,,,,,
player,201412280sea,sea,RichPa01,rush_att,0,,,,,
player,201412280sea,sea,RichPa01,rush_yds,0,,,,,
player,201412280sea,sea,RichPa01,rush_td,0,,,,,
player,201412280sea,sea,RichPa01,rush_long,0,,,,,
player,201412280sea,sea,RichPa01,targets,7,,,,,
player,201412280sea,sea,RichPa01,rec,5,,,,,
player,201412280sea,sea,RichPa01,rec_yds,60,,,,,
player,201412280sea,sea,RichPa01,rec_td,0,,,,,
player,201412280sea,sea,RichPa01,rec_long,32,,,,,
player,201412280sea,sea,RichPa01,fumbles,0,,,,,
player,201412280sea,sea,RichPa01,fumbles_lost,0,,,,,
player,201412280sea,sea,NorwKe00,pass_cmp,0,,,,,
player,201412280sea,sea,NorwKe00,pass_att,0,,,,,
player,201412280sea,sea,NorwKe00,pass_yds,0,,,,,
player,201412280sea,sea,NorwKe00,pass_td,0,,,,,
player,201412280sea,sea,NorwKe00,pass_int,0,,,,,
player,201412280sea,sea,NorwKe00,pass_sacked,0,,,,,
player,201412280sea,sea,NorwKe00,pass_sacked_yds,0,,,,,
player,201412280sea,sea,NorwKe00,pass_long,0,,,,,
player,201412280sea,sea,NorwKe00,pass_rating,,,,,,
player,201412280sea,sea,NorwKe00,rush_att,0,,,,,
player,201412280sea,sea,NorwKe00,rush_yds,0,,,,,
player,201412280sea,sea,NorwKe00,rush_td,0,,,,,
player,201412280sea,sea,NorwKe00,rush_long,0,,,,,
player,201412280sea,sea,NorwKe00,targets,2,,,,,
player,201412280sea,sea,NorwKe00,rec,2,,,,,
