game,2014,12,20141123,201411230sfo,was,"Washington Redskins",13,sfo,"San Francisco 49ers",17
player,201411230sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201411230sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201411230sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201411230sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201411230sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201411230sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201411230sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201411230sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201411230sfo,sfo,GoreFr00,rush_att,13,,,,,
player,201411230sfo,sfo,GoreFr00,rush_yds,36,,,,,
player,201411230sfo,sfo,GoreFr00,rush_td,0,,,,,
player,201411230sfo,sfo,GoreFr00,rush_long,8,,,,,
player,201411230sfo,sfo,GoreFr00,targets,0,,,,,
player,201411230sfo,sfo,GoreFr00,rec,0,,,,,
player,201411230sfo,sfo,GoreFr00,rec_yds,0,,,,,
player,201411230sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201411230sfo,sfo,GoreFr00,rec_long,0,,,,,
player,201411230sfo,sfo,GoreFr00,fumbles,1,,,,,
player,201411230sfo,sfo,GoreFr00,fumbles_lost,1,,,,,
player,201411230sfo,sfo,HydeCa00,pass_cmp,0,,,,,
player,201411230sfo,sfo,HydeCa00,pass_att,0,,,,,
player,201411230sfo,sfo,HydeCa00,pass_yds,0,,,,,
player,201411230sfo,sfo,HydeCa00,pass_td,0,,,,,
player,201411230sfo,sfo,HydeCa00,pass_int,0,,,,,
player,201411230sfo,sfo,HydeCa00,pass_sacked,0,,,,,
player,201411230sfo,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201411230sfo,sfo,HydeCa00,pass_long,0,,,,,
player,201411230sfo,sfo,HydeCa00,pass_rating,,,,,,
player,201411230sfo,sfo,HydeCa00,rush_att,7,,,,,
player,201411230sfo,sfo,HydeCa00,rush_yds,16,,,,,
player,201411230sfo,sfo,HydeCa00,rush_td,1,,,,,
player,201411230sfo,sfo,HydeCa00,rush_long,7,,,,,
player,201411230sfo,sfo,HydeCa00,targets,0,,,,,
player,201411230sfo,sfo,HydeCa00,rec,0,,,,,
player,201411230sfo,sfo,HydeCa00,rec_yds,0,,,,,
player,201411230sfo,sfo,HydeCa00,rec_td,0,,,,,
player,201411230sfo,sfo,HydeCa00,rec_long,0,,,,,
player,201411230sfo,sfo,HydeCa00,fumbles,1,,,,,
player,201411230sfo,sfo,HydeCa00,fumbles_lost,1,,,,,
player,201411230sfo,sfo,BoldAn00,pass_cmp,0,,,,,
player,201411230sfo,sfo,BoldAn00,pass_att,0,,,,,
player,201411230sfo,sfo,BoldAn00,pass_yds,0,,,,,
player,201411230sfo,sfo,BoldAn00,pass_td,0,,,,,
player,201411230sfo,sfo,BoldAn00,pass_int,0,,,,,
player,201411230sfo,sfo,BoldAn00,pass_sacked,0,,,,,
player,201411230sfo,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201411230sfo,sfo,BoldAn00,pass_long,0,,,,,
player,201411230sfo,sfo,BoldAn00,pass_rating,,,,,,
player,201411230sfo,sfo,BoldAn00,rush_att,0,,,,,
player,201411230sfo,sfo,BoldAn00,rush_yds,0,,,,,
player,201411230sfo,sfo,BoldAn00,rush_td,0,,,,,
