game,2014,4,20140928,201409280sfo,phi,"Philadelphia Eagles",21,sfo,"San Francisco 49ers",26
player,201409280sfo,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_cmp,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_att,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_yds,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_td,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_int,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_sacked,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_long,0,,,,,
player,201409280sfo,sfo,LloyBr00,pass_rating,,,,,,
player,201409280sfo,sfo,LloyBr00,rush_att,0,,,,,
player,201409280sfo,sfo,LloyBr00,rush_yds,0,,,,,
player,201409280sfo,sfo,LloyBr00,rush_td,0,,,,,
player,201409280sfo,sfo,LloyBr00,rush_long,0,,,,,
player,201409280sfo,sfo,LloyBr00,targets,5,,,,,
player,201409280sfo,sfo,LloyBr00,rec,2,,,,,
player,201409280sfo,sfo,LloyBr00,rec_yds,28,,,,,
player,201409280sfo,sfo,LloyBr00,rec_td,0,,,,,
player,201409280sfo,sfo,LloyBr00,rec_long,23,,,,,
player,201409280sfo,sfo,LloyBr00,fumbles,0,,,,,
player,201409280sfo,sfo,LloyBr00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_cmp,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_att,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_yds,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_td,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_int,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_sacked,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_long,0,,,,,
player,201409280sfo,sfo,JohnSt00,pass_rating,,,,,,
player,201409280sfo,sfo,JohnSt00,rush_att,0,,,,,
