game,2014,12,20141123,201411230chi,tam,"Tampa Bay Buccaneers",13,chi,"Chicago Bears",21
player,201411230chi,chi,CareKa00,pass_td,0,,,,,
player,201411230chi,chi,CareKa00,pass_int,0,,,,,
player,201411230chi,chi,CareKa00,pass_sacked,0,,,,,
player,201411230chi,chi,CareKa00,pass_sacked_yds,0,,,,,
player,201411230chi,chi,CareKa00,pass_long,0,,,,,
player,201411230chi,chi,CareKa00,pass_rating,,,,,,
player,201411230chi,chi,CareKa00,rush_att,3,,,,,
player,201411230chi,chi,CareKa00,rush_yds,3,,,,,
player,201411230chi,chi,CareKa00,rush_td,0,,,,,
player,201411230chi,chi,CareKa00,rush_long,3,,,,,
player,201411230chi,chi,CareKa00,targets,1,,,,,
player,201411230chi,chi,CareKa00,rec,0,,,,,
player,201411230chi,chi,CareKa00,rec_yds,0,,,,,
player,201411230chi,chi,CareKa00,rec_td,0,,,,,
player,201411230chi,chi,CareKa00,rec_long,0,,,,,
player,201411230chi,chi,CareKa00,fumbles,0,,,,,
player,201411230chi,chi,CareKa00,fumbles_lost,0,,,,,
player,201411230chi,chi,BennMa00,pass_cmp,0,,,,,
player,201411230chi,chi,BennMa00,pass_att,0,,,,,
player,201411230chi,chi,BennMa00,pass_yds,0,,,,,
player,201411230chi,chi,BennMa00,pass_td,0,,,,,
player,201411230chi,chi,BennMa00,pass_int,0,,,,,
player,201411230chi,chi,BennMa00,pass_sacked,0,,,,,
player,201411230chi,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201411230chi,chi,BennMa00,pass_long,0,,,,,
player,201411230chi,chi,BennMa00,pass_rating,,,,,,
player,201411230chi,chi,BennMa00,rush_att,0,,,,,
player,201411230chi,chi,BennMa00,rush_yds,0,,,,,
player,201411230chi,chi,BennMa00,rush_td,0,,,,,
player,201411230chi,chi,BennMa00,rush_long,0,,,,,
player,201411230chi,chi,BennMa00,targets,7,,,,,
player,201411230chi,chi,BennMa00,rec,4,,,,,
player,201411230chi,chi,BennMa00,rec_yds,37,,,,,
player,201411230chi,chi,BennMa00,rec_td,0,,,,,
player,201411230chi,chi,BennMa00,rec_long,26,,,,,
player,201411230chi,chi,BennMa00,fumbles,0,,,,,
player,201411230chi,chi,BennMa00,fumbles_lost,0,,,,,
player,201411230chi,chi,MarsBr00,pass_cmp,0,,,,,
player,201411230chi,chi,MarsBr00,pass_att,0,,,,,
player,201411230chi,chi,MarsBr00,pass_yds,0,,,,,
player,201411230chi,chi,MarsBr00,pass_td,0,,,,,
player,201411230chi,chi,MarsBr00,pass_int,0,,,,,
player,201411230chi,chi,MarsBr00,pass_sacked,0,,,,,
player,201411230chi,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201411230chi,chi,MarsBr00,pass_long,0,,,,,
player,201411230chi,chi,MarsBr00,pass_rating,,,,,,
player,201411230chi,chi,MarsBr00,rush_att,0,,,,,
player,201411230chi,chi,MarsBr00,rush_yds,0,,,,,
player,201411230chi,chi,MarsBr00,rush_td,0,,,,,
player,201411230chi,chi,MarsBr00,rush_long,0,,,,,
player,201411230chi,chi,MarsBr00,targets,5,,,,,
player,201411230chi,chi,MarsBr00,rec,3,,,,,
player,201411230chi,chi,MarsBr00,rec_yds,32,,,,,
player,201411230chi,chi,MarsBr00,rec_td,0,,,,,
player,201411230chi,chi,MarsBr00,rec_long,15,,,,,
player,201411230chi,chi,MarsBr00,fumbles,0,,,,,
player,201411230chi,chi,MarsBr00,fumbles_lost,0,,,,,
player,201411230chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201411230chi,chi,JeffAl00,pass_att,0,,,,,
player,201411230chi,chi,JeffAl00,pass_yds,0,,,,,
player,201411230chi,chi,JeffAl00,pass_td,0,,,,,
player,201411230chi,chi,JeffAl00,pass_int,0,,,,,
player,201411230chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201411230chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201411230chi,chi,JeffAl00,pass_long,0,,,,,
player,201411230chi,chi,JeffAl00,pass_rating,,,,,,
player,201411230chi,chi,JeffAl00,rush_att,0,,,,,
player,201411230chi,chi,JeffAl00,rush_yds,0,,,,,
player,201411230chi,chi,JeffAl00,rush_td,0,,,,,
player,201411230chi,chi,JeffAl00,rush_long,0,,,,,
player,201411230chi,chi,JeffAl00,targets,4,,,,,
player,201411230chi,chi,JeffAl00,rec,3,,,,,
player,201411230chi,chi,JeffAl00,rec_yds,22,,,,,
player,201411230chi,chi,JeffAl00,rec_td,1,,,,,
player,201411230chi,chi,JeffAl00,rec_long,16,,,,,
player,201411230chi,chi,JeffAl00,fumbles,0,,,,,
player,201411230chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201411230chi,chi,WilsMa02,pass_cmp,0,,,,,
player,201411230chi,chi,WilsMa02,pass_att,0,,,,,
player,201411230chi,chi,WilsMa02,pass_yds,0,,,,,
player,201411230chi,chi,WilsMa02,pass_td,0,,,,,
player,201411230chi,chi,WilsMa02,pass_int,0,,,,,
player,201411230chi,chi,WilsMa02,pass_sacked,0,,,,,
player,201411230chi,chi,WilsMa02,pass_sacked_yds,0,,,,,
player,201411230chi,chi,WilsMa02,pass_long,0,,,,,
player,201411230chi,chi,WilsMa02,pass_rating,,,,,,
player,201411230chi,chi,WilsMa02,rush_att,0,,,,,
player,201411230chi,chi,WilsMa02,rush_yds,0,,,,,
player,201411230chi,chi,WilsMa02,rush_td,0,,,,,
player,201411230chi,chi,WilsMa02,rush_long,0,,,,,
player,201411230chi,chi,WilsMa02,targets,3,,,,,
player,201411230chi,chi,WilsMa02,rec,1,,,,,
player,201411230chi,chi,WilsMa02,rec_yds,10,,,,,
player,201411230chi,chi,WilsMa02,rec_td,0,,,,,
player,201411230chi,chi,WilsMa02,rec_long,10,,,,,
player,201411230chi,chi,WilsMa02,fumbles,0,,,,,
player,201411230chi,chi,WilsMa02,fumbles_lost,0,,,,,
player,201411230chi,chi,RosaDa00,pass_cmp,0,,,,,
player,201411230chi,chi,RosaDa00,pass_att,0,,,,,
player,201411230chi,chi,RosaDa00,pass_yds,0,,,,,
player,201411230chi,chi,RosaDa00,pass_td,0,,,,,
player,201411230chi,chi,RosaDa00,pass_int,0,,,,,
player,201411230chi,chi,RosaDa00,pass_sacked,0,,,,,
