game,2014,13,20141130,201411300kan,den,"Denver Broncos",29,kan,"Kansas City Chiefs",16
player,201411300kan,kan,SmitAl03,pass_int,1,,,,,
player,201411300kan,kan,SmitAl03,pass_sacked,6,,,,,
player,201411300kan,kan,SmitAl03,pass_sacked_yds,43,,,,,
player,201411300kan,kan,SmitAl03,pass_long,20,,,,,
player,201411300kan,kan,SmitAl03,pass_rating,95.0,,,,,
player,201411300kan,kan,SmitAl03,rush_att,5,,,,,
player,201411300kan,kan,SmitAl03,rush_yds,6,,,,,
player,201411300kan,kan,SmitAl03,rush_td,0,,,,,
player,201411300kan,kan,SmitAl03,rush_long,5,,,,,
player,201411300kan,kan,SmitAl03,targets,0,,,,,
player,201411300kan,kan,SmitAl03,rec,0,,,,,
player,201411300kan,kan,SmitAl03,rec_yds,0,,,,,
player,201411300kan,kan,SmitAl03,rec_td,0,,,,,
player,201411300kan,kan,SmitAl03,rec_long,0,,,,,
player,201411300kan,kan,SmitAl03,fumbles,0,,,,,
player,201411300kan,kan,SmitAl03,fumbles_lost,0,,,,,
player,201411300kan,kan,CharJa00,pass_cmp,0,,,,,
player,201411300kan,kan,CharJa00,pass_att,0,,,,,
player,201411300kan,kan,CharJa00,pass_yds,0,,,,,
player,201411300kan,kan,CharJa00,pass_td,0,,,,,
player,201411300kan,kan,CharJa00,pass_int,0,,,,,
player,201411300kan,kan,CharJa00,pass_sacked,0,,,,,
player,201411300kan,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201411300kan,kan,CharJa00,pass_long,0,,,,,
player,201411300kan,kan,CharJa00,pass_rating,,,,,,
player,201411300kan,kan,CharJa00,rush_att,10,,,,,
player,201411300kan,kan,CharJa00,rush_yds,35,,,,,
player,201411300kan,kan,CharJa00,rush_td,0,,,,,
player,201411300kan,kan,CharJa00,rush_long,11,,,,,
player,201411300kan,kan,CharJa00,targets,6,,,,,
player,201411300kan,kan,CharJa00,rec,4,,,,,
player,201411300kan,kan,CharJa00,rec_yds,24,,,,,
player,201411300kan,kan,CharJa00,rec_td,1,,,,,
player,201411300kan,kan,CharJa00,rec_long,12,,,,,
player,201411300kan,kan,CharJa00,fumbles,0,,,,,
player,201411300kan,kan,CharJa00,fumbles_lost,0,,,,,
player,201411300kan,kan,KelcTr00,pass_cmp,0,,,,,
