game,2014,8,20141026,201410260crd,phi,"Philadelphia Eagles",20,crd,"Arizona Cardinals",24
player,201410260crd,crd,HughRo00,rec_long,9,,,,,
player,201410260crd,crd,HughRo00,fumbles,0,,,,,
player,201410260crd,crd,HughRo00,fumbles_lost,0,,,,,
player,201410260crd,crd,BrowJa03,pass_cmp,0,,,,,
player,201410260crd,crd,BrowJa03,pass_att,0,,,,,
player,201410260crd,crd,BrowJa03,pass_yds,0,,,,,
player,201410260crd,crd,BrowJa03,pass_td,0,,,,,
player,201410260crd,crd,BrowJa03,pass_int,0,,,,,
player,201410260crd,crd,BrowJa03,pass_sacked,0,,,,,
player,201410260crd,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201410260crd,crd,BrowJa03,pass_long,0,,,,,
player,201410260crd,crd,BrowJa03,pass_rating,,,,,,
player,201410260crd,crd,BrowJa03,rush_att,0,,,,,
player,201410260crd,crd,BrowJa03,rush_yds,0,,,,,
player,201410260crd,crd,BrowJa03,rush_td,0,,,,,
player,201410260crd,crd,BrowJa03,rush_long,0,,,,,
player,201410260crd,crd,BrowJa03,targets,1,,,,,
player,201410260crd,crd,BrowJa03,rec,1,,,,,
player,201410260crd,crd,BrowJa03,rec_yds,7,,,,,
player,201410260crd,crd,BrowJa03,rec_td,0,,,,,
player,201410260crd,crd,BrowJa03,rec_long,7,,,,,
player,201410260crd,crd,BrowJa03,fumbles,0,,,,,
player,201410260crd,crd,BrowJa03,fumbles_lost,0,,,,,
player,201410260crd,crd,FloyMi00,pass_cmp,0,,,,,
player,201410260crd,crd,FloyMi00,pass_att,0,,,,,
player,201410260crd,crd,FloyMi00,pass_yds,0,,,,,
player,201410260crd,crd,FloyMi00,pass_td,0,,,,,
player,201410260crd,crd,FloyMi00,pass_int,0,,,,,
player,201410260crd,crd,FloyMi00,pass_sacked,0,,,,,
player,201410260crd,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201410260crd,crd,FloyMi00,pass_long,0,,,,,
player,201410260crd,crd,FloyMi00,pass_rating,,,,,,
player,201410260crd,crd,FloyMi00,rush_att,0,,,,,
player,201410260crd,crd,FloyMi00,rush_yds,0,,,,,
player,201410260crd,crd,FloyMi00,rush_td,0,,,,,
player,201410260crd,crd,FloyMi00,rush_long,0,,,,,
player,201410260crd,crd,FloyMi00,targets,4,,,,,
player,201410260crd,crd,FloyMi00,rec,0,,,,,
player,201410260crd,crd,FloyMi00,rec_yds,0,,,,,
player,201410260crd,crd,FloyMi00,rec_td,0,,,,,
player,201410260crd,crd,FloyMi00,rec_long,0,,,,,
player,201410260crd,crd,FloyMi00,fumbles,0,,,,,
player,201410260crd,crd,FloyMi00,fumbles_lost,0,,,,,
player,201410260crd,crd,HousRo01,pass_cmp,0,,,,,
player,201410260crd,crd,HousRo01,pass_att,0,,,,,
player,201410260crd,crd,HousRo01,pass_yds,0,,,,,
player,201410260crd,crd,HousRo01,pass_td,0,,,,,
player,201410260crd,crd,HousRo01,pass_int,0,,,,,
player,201410260crd,crd,HousRo01,pass_sacked,0,,,,,
player,201410260crd,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201410260crd,crd,HousRo01,pass_long,0,,,,,
player,201410260crd,crd,HousRo01,pass_rating,,,,,,
player,201410260crd,crd,HousRo01,rush_att,0,,,,,
player,201410260crd,crd,HousRo01,rush_yds,0,,,,,
player,201410260crd,crd,HousRo01,rush_td,0,,,,,
player,201410260crd,crd,HousRo01,rush_long,0,,,,,
player,201410260crd,crd,HousRo01,targets,1,,,,,
player,201410260crd,crd,HousRo01,rec,0,,,,,
player,201410260crd,crd,HousRo01,rec_yds,0,,,,,
player,201410260crd,crd,HousRo01,rec_td,0,,,,,
player,201410260crd,crd,HousRo01,rec_long,0,,,,,
player,201410260crd,crd,HousRo01,fumbles,0,,,,,
player,201410260crd,crd,HousRo01,fumbles_lost,0,,,,,
player,201410260crd,phi,JenkMa99,def_int,0,,,,,
player,201410260crd,phi,JenkMa99,def_int_yds,0,,,,,
player,201410260crd,phi,JenkMa99,def_int_td,0,,,,,
player,201410260crd,phi,JenkMa99,def_int_long,0,,,,,
player,201410260crd,phi,JenkMa99,pass_defended,1,,,,,
