game,2014,10,20141110,201411100phi,car,"Carolina Panthers",21,phi,"Philadelphia Eagles",45
player,201411100phi,phi,BramBr00,tackles_solo,1,,,,,
player,201411100phi,phi,BramBr00,tackles_assists,0,,,,,
player,201411100phi,phi,BramBr00,tackles_loss,0,,,,,
player,201411100phi,phi,BramBr00,qb_hits,0,,,,,
player,201411100phi,phi,BramBr00,fumbles_rec,0,,,,,
player,201411100phi,phi,BramBr00,fumbles_rec_yds,0,,,,,
player,201411100phi,phi,BramBr00,fumbles_rec_td,0,,,,,
player,201411100phi,phi,BramBr00,fumbles_forced,0,,,,,
player,201411100phi,phi,DoreJo20,def_int,0,,,,,
player,201411100phi,phi,DoreJo20,def_int_yds,0,,,,,
player,201411100phi,phi,DoreJo20,def_int_td,0,,,,,
player,201411100phi,phi,DoreJo20,def_int_long,0,,,,,
player,201411100phi,phi,DoreJo20,pass_defended,0,,,,,
player,201411100phi,phi,DoreJo20,sacks,0.0,,,,,
player,201411100phi,phi,DoreJo20,tackles_combined,1,,,,,
player,201411100phi,phi,DoreJo20,tackles_solo,1,,,,,
player,201411100phi,phi,DoreJo20,tackles_assists,0,,,,,
player,201411100phi,phi,DoreJo20,tackles_loss,0,,,,,
player,201411100phi,phi,DoreJo20,qb_hits,0,,,,,
player,201411100phi,phi,DoreJo20,fumbles_rec,0,,,,,
player,201411100phi,phi,DoreJo20,fumbles_rec_yds,0,,,,,
player,201411100phi,phi,DoreJo20,fumbles_rec_td,0,,,,,
player,201411100phi,phi,DoreJo20,fumbles_forced,0,,,,,
player,201411100phi,phi,ParkCo03,def_int,0,,,,,
player,201411100phi,phi,ParkCo03,def_int_yds,0,,,,,
player,201411100phi,phi,ParkCo03,def_int_td,0,,,,,
player,201411100phi,phi,ParkCo03,def_int_long,0,,,,,
player,201411100phi,phi,ParkCo03,pass_defended,0,,,,,
player,201411100phi,phi,ParkCo03,sacks,0.0,,,,,
player,201411100phi,phi,ParkCo03,tackles_combined,1,,,,,
player,201411100phi,phi,ParkCo03,tackles_solo,0,,,,,
player,201411100phi,phi,ParkCo03,tackles_assists,1,,,,,
player,201411100phi,phi,ParkCo03,tackles_loss,0,,,,,
player,201411100phi,phi,ParkCo03,qb_hits,0,,,,,
player,201411100phi,phi,ParkCo03,fumbles_rec,0,,,,,
player,201411100phi,phi,ParkCo03,fumbles_rec_yds,0,,,,,
player,201411100phi,phi,ParkCo03,fumbles_rec_td,0,,,,,
player,201411100phi,phi,ParkCo03,fumbles_forced,0,,,,,
player,201411100phi,phi,SancMa00,def_int,0,,,,,
player,201411100phi,phi,SancMa00,def_int_yds,0,,,,,
player,201411100phi,phi,SancMa00,def_int_td,0,,,,,
player,201411100phi,phi,SancMa00,def_int_long,0,,,,,
player,201411100phi,phi,SancMa00,pass_defended,0,,,,,
player,201411100phi,phi,SancMa00,sacks,0.0,,,,,
player,201411100phi,phi,SancMa00,tackles_combined,0,,,,,
player,201411100phi,phi,SancMa00,tackles_solo,0,,,,,
player,201411100phi,phi,SancMa00,tackles_assists,0,,,,,
player,201411100phi,phi,SancMa00,tackles_loss,,,,,,
player,201411100phi,phi,SancMa00,qb_hits,,,,,,
player,201411100phi,phi,SancMa00,fumbles_rec,2,,,,,
player,201411100phi,phi,SancMa00,fumbles_rec_yds,-6,,,,,
player,201411100phi,phi,SancMa00,fumbles_rec_td,0,,,,,
player,201411100phi,phi,SancMa00,fumbles_forced,0,,,,,
player,201411100phi,car,BersBr00,kick_ret,1,,,,,
player,201411100phi,car,BersBr00,kick_ret_yds,12,,,,,
player,201411100phi,car,BersBr00,kick_ret_yds_per_ret,12.0,,,,,
player,201411100phi,car,BersBr00,kick_ret_td,0,,,,,
player,201411100phi,car,BersBr00,kick_ret_long,12,,,,,
player,201411100phi,car,BersBr00,punt_ret,3,,,,,
player,201411100phi,car,BersBr00,punt_ret_yds,19,,,,,
player,201411100phi,car,BersBr00,punt_ret_yds_per_ret,6.3,,,,,
player,201411100phi,car,BersBr00,punt_ret_td,0,,,,,
player,201411100phi,car,BersBr00,punt_ret_long,7,,,,,
player,201411100phi,car,WhitFo00,kick_ret,2,,,,,
player,201411100phi,car,WhitFo00,kick_ret_yds,70,,,,,
player,201411100phi,car,WhitFo00,kick_ret_yds_per_ret,35.0,,,,,
player,201411100phi,car,WhitFo00,kick_ret_td,0,,,,,
player,201411100phi,car,WhitFo00,kick_ret_long,39,,,,,
player,201411100phi,car,WhitFo00,punt_ret,0,,,,,
player,201411100phi,car,WhitFo00,punt_ret_yds,0,,,,,
player,201411100phi,car,WhitFo00,punt_ret_yds_per_ret,,,,,,
player,201411100phi,car,WhitFo00,punt_ret_td,0,,,,,
player,201411100phi,car,WhitFo00,punt_ret_long,0,,,,,
player,201411100phi,phi,SproDa00,kick_ret,0,,,,,
player,201411100phi,phi,SproDa00,kick_ret_yds,0,,,,,
player,201411100phi,phi,SproDa00,kick_ret_yds_per_ret,,,,,,
player,201411100phi,phi,SproDa00,kick_ret_td,0,,,,,
player,201411100phi,phi,SproDa00,kick_ret_long,0,,,,,
player,201411100phi,phi,SproDa00,punt_ret,3,,,,,
player,201411100phi,phi,SproDa00,punt_ret_yds,85,,,,,
player,201411100phi,phi,SproDa00,punt_ret_yds_per_ret,28.3,,,,,
player,201411100phi,phi,SproDa00,punt_ret_td,1,,,,,
player,201411100phi,phi,SproDa00,punt_ret_long,65,,,,,
player,201411100phi,car,GanoGr44,xpm,3,,,,,
player,201411100phi,car,GanoGr44,xpa,3,,,,,
player,201411100phi,car,GanoGr44,fgm,,,,,,
player,201411100phi,car,GanoGr44,fga,,,,,,
player,201411100phi,car,GanoGr44,punt,0,,,,,
player,201411100phi,car,GanoGr44,punt_yds,0,,,,,
player,201411100phi,car,GanoGr44,punt_yds_per_punt,,,,,,
player,201411100phi,car,GanoGr44,punt_long,0,,,,,
player,201411100phi,car,NortBr00,xpm,,,,,,
player,201411100phi,car,NortBr00,xpa,,,,,,
player,201411100phi,car,NortBr00,fgm,,,,,,
player,201411100phi,car,NortBr00,fga,,,,,,
player,201411100phi,car,NortBr00,punt,7,,,,,
player,201411100phi,car,NortBr00,punt_yds,333,,,,,
player,201411100phi,car,NortBr00,punt_yds_per_punt,47.6,,,,,
player,201411100phi,car,NortBr00,punt_long,59,,,,,
player,201411100phi,phi,ParkCo03,xpm,6,,,,,
player,201411100phi,phi,ParkCo03,xpa,6,,,,,
player,201411100phi,phi,ParkCo03,fgm,1,,,,,
player,201411100phi,phi,ParkCo03,fga,1,,,,,
player,201411100phi,phi,ParkCo03,punt,0,,,,,
player,201411100phi,phi,ParkCo03,punt_yds,0,,,,,
player,201411100phi,phi,ParkCo03,punt_yds_per_punt,,,,,,
player,201411100phi,phi,ParkCo03,punt_long,0,,,,,
player,201411100phi,phi,JoneDo21,xpm,,,,,,
player,201411100phi,phi,JoneDo21,xpa,,,,,,
player,201411100phi,phi,JoneDo21,fgm,,,,,,
player,201411100phi,phi,JoneDo21,fga,,,,,,
player,201411100phi,phi,JoneDo21,punt,7,,,,,
player,201411100phi,phi,JoneDo21,punt_yds,303,,,,,
player,201411100phi,phi,JoneDo21,punt_yds_per_punt,43.3,,,,,
player,201411100phi,phi,JoneDo21,punt_long,58,,,,,
player,201411100phi,phi,TobiMa00,pos,T,,,,,
player,201411100phi,phi,TobiMa00,offense,62,,,,,
player,201411100phi,phi,TobiMa00,off_pct,100%,,,,,
player,201411100phi,phi,TobiMa00,defense,0,,,,,
player,201411100phi,phi,TobiMa00,def_pct,0%,,,,,
player,201411100phi,phi,TobiMa00,special_teams,7,,,,,
player,201411100phi,phi,TobiMa00,st_pct,19%,,,,,
player,201411100phi,phi,JohnLa01,pos,T,,,,,
player,201411100phi,phi,JohnLa01,offense,62,,,,,
player,201411100phi,phi,JohnLa01,off_pct,100%,,,,,
player,201411100phi,phi,JohnLa01,defense,0,,,,,
player,201411100phi,phi,JohnLa01,def_pct,0%,,,,,
player,201411100phi,phi,JohnLa01,special_teams,7,,,,,
player,201411100phi,phi,JohnLa01,st_pct,19%,,,,,
player,201411100phi,phi,MathEv20,pos,G,,,,,
player,201411100phi,phi,MathEv20,offense,62,,,,,
player,201411100phi,phi,MathEv20,off_pct,100%,,,,,
player,201411100phi,phi,MathEv20,defense,0,,,,,
player,201411100phi,phi,MathEv20,def_pct,0%,,,,,
player,201411100phi,phi,MathEv20,special_teams,0,,,,,
player,201411100phi,phi,MathEv20,st_pct,0%,,,,,
player,201411100phi,phi,SancMa00,pos,QB,,,,,
player,201411100phi,phi,SancMa00,offense,56,,,,,
player,201411100phi,phi,SancMa00,off_pct,90%,,,,,
player,201411100phi,phi,SancMa00,defense,0,,,,,
player,201411100phi,phi,SancMa00,def_pct,0%,,,,,
player,201411100phi,phi,SancMa00,special_teams,0,,,,,
player,201411100phi,phi,SancMa00,st_pct,0%,,,,,
player,201411100phi,phi,KelcJa00,pos,C,,,,,
player,201411100phi,phi,KelcJa00,offense,56,,,,,
player,201411100phi,phi,KelcJa00,off_pct,90%,,,,,
player,201411100phi,phi,KelcJa00,defense,0,,,,,
player,201411100phi,phi,KelcJa00,def_pct,0%,,,,,
player,201411100phi,phi,KelcJa00,special_teams,0,,,,,
player,201411100phi,phi,KelcJa00,st_pct,0%,,,,,
player,201411100phi,phi,PeteJa21,pos,T,,,,,
player,201411100phi,phi,PeteJa21,offense,56,,,,,
player,201411100phi,phi,PeteJa21,off_pct,90%,,,,,
player,201411100phi,phi,PeteJa21,defense,0,,,,,
player,201411100phi,phi,PeteJa21,def_pct,0%,,,,,
player,201411100phi,phi,PeteJa21,special_teams,0,,,,,
player,201411100phi,phi,PeteJa21,st_pct,0%,,,,,
player,201411100phi,phi,MaclJe00,pos,WR,,,,,
player,201411100phi,phi,MaclJe00,offense,49,,,,,
player,201411100phi,phi,MaclJe00,off_pct,79%,,,,,
player,201411100phi,phi,MaclJe00,defense,0,,,,,
player,201411100phi,phi,MaclJe00,def_pct,0%,,,,,
player,201411100phi,phi,MaclJe00,special_teams,0,,,,,
player,201411100phi,phi,MaclJe00,st_pct,0%,,,,,
