game,2014,14,20141207,201412070phi,sea,"Seattle Seahawks",24,phi,"Philadelphia Eagles",14
player,201412070phi,sea,SimoTh00,def_int_yds,0,,,,,
player,201412070phi,sea,SimoTh00,def_int_td,0,,,,,
player,201412070phi,sea,SimoTh00,def_int_long,0,,,,,
player,201412070phi,sea,SimoTh00,pass_defended,1,,,,,
player,201412070phi,sea,SimoTh00,sacks,0.0,,,,,
player,201412070phi,sea,SimoTh00,tackles_combined,1,,,,,
player,201412070phi,sea,SimoTh00,tackles_solo,1,,,,,
player,201412070phi,sea,SimoTh00,tackles_assists,0,,,,,
player,201412070phi,sea,SimoTh00,tackles_loss,0,,,,,
player,201412070phi,sea,SimoTh00,qb_hits,0,,,,,
