game,2014,6,20141012,201410120tam,rav,"Baltimore Ravens",48,tam,"Tampa Bay Buccaneers",17
player,201410120tam,rav,UpshCo00,tackles_solo,1,,,,,
player,201410120tam,rav,UpshCo00,tackles_assists,1,,,,,
player,201410120tam,rav,UpshCo00,tackles_loss,0,,,,,
player,201410120tam,rav,UpshCo00,qb_hits,1,,,,,
player,201410120tam,rav,UpshCo00,fumbles_rec,0,,,,,
player,201410120tam,rav,UpshCo00,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,UpshCo00,fumbles_rec_td,0,,,,,
player,201410120tam,rav,UpshCo00,fumbles_forced,0,,,,,
player,201410120tam,rav,UrscJo00,def_int,0,,,,,
player,201410120tam,rav,UrscJo00,def_int_yds,0,,,,,
player,201410120tam,rav,UrscJo00,def_int_td,0,,,,,
player,201410120tam,rav,UrscJo00,def_int_long,0,,,,,
player,201410120tam,rav,UrscJo00,pass_defended,0,,,,,
player,201410120tam,rav,UrscJo00,sacks,0.0,,,,,
player,201410120tam,rav,UrscJo00,tackles_combined,1,,,,,
player,201410120tam,rav,UrscJo00,tackles_solo,1,,,,,
player,201410120tam,rav,UrscJo00,tackles_assists,0,,,,,
player,201410120tam,rav,UrscJo00,tackles_loss,0,,,,,
player,201410120tam,rav,UrscJo00,qb_hits,0,,,,,
player,201410120tam,rav,UrscJo00,fumbles_rec,0,,,,,
player,201410120tam,rav,UrscJo00,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,UrscJo00,fumbles_rec_td,0,,,,,
player,201410120tam,rav,UrscJo00,fumbles_forced,0,,,,,
player,201410120tam,rav,TrawBr00,def_int,0,,,,,
player,201410120tam,rav,TrawBr00,def_int_yds,0,,,,,
player,201410120tam,rav,TrawBr00,def_int_td,0,,,,,
player,201410120tam,rav,TrawBr00,def_int_long,0,,,,,
player,201410120tam,rav,TrawBr00,pass_defended,0,,,,,
player,201410120tam,rav,TrawBr00,sacks,0.0,,,,,
player,201410120tam,rav,TrawBr00,tackles_combined,0,,,,,
player,201410120tam,rav,TrawBr00,tackles_solo,0,,,,,
player,201410120tam,rav,TrawBr00,tackles_assists,0,,,,,
player,201410120tam,rav,TrawBr00,tackles_loss,0,,,,,
player,201410120tam,rav,TrawBr00,qb_hits,1,,,,,
player,201410120tam,rav,TrawBr00,fumbles_rec,0,,,,,
player,201410120tam,rav,TrawBr00,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,TrawBr00,fumbles_rec_td,0,,,,,
player,201410120tam,rav,TrawBr00,fumbles_forced,0,,,,,
player,201410120tam,rav,BrowCh05,def_int,,,,,,
player,201410120tam,rav,BrowCh05,def_int_yds,,,,,,
player,201410120tam,rav,BrowCh05,def_int_td,,,,,,
player,201410120tam,rav,BrowCh05,def_int_long,,,,,,
player,201410120tam,rav,BrowCh05,pass_defended,1,,,,,
player,201410120tam,rav,BrowCh05,sacks,0.0,,,,,
player,201410120tam,rav,BrowCh05,tackles_combined,0,,,,,
player,201410120tam,rav,BrowCh05,tackles_solo,0,,,,,
player,201410120tam,rav,BrowCh05,tackles_assists,0,,,,,
player,201410120tam,rav,BrowCh05,tackles_loss,0,,,,,
player,201410120tam,rav,BrowCh05,qb_hits,0,,,,,
player,201410120tam,rav,BrowCh05,fumbles_rec,0,,,,,
player,201410120tam,rav,BrowCh05,fumbles_rec_yds,,,,,,
player,201410120tam,rav,BrowCh05,fumbles_rec_td,,,,,,
player,201410120tam,rav,BrowCh05,fumbles_forced,0,,,,,
player,201410120tam,tam,DaviLa00,def_int,0,,,,,
player,201410120tam,tam,DaviLa00,def_int_yds,0,,,,,
player,201410120tam,tam,DaviLa00,def_int_td,0,,,,,
player,201410120tam,tam,DaviLa00,def_int_long,0,,,,,
player,201410120tam,tam,DaviLa00,pass_defended,0,,,,,
player,201410120tam,tam,DaviLa00,sacks,0.0,,,,,
player,201410120tam,tam,DaviLa00,tackles_combined,14,,,,,
player,201410120tam,tam,DaviLa00,tackles_solo,10,,,,,
player,201410120tam,tam,DaviLa00,tackles_assists,4,,,,,
player,201410120tam,tam,DaviLa00,tackles_loss,1,,,,,
player,201410120tam,tam,DaviLa00,qb_hits,0,,,,,
player,201410120tam,tam,DaviLa00,fumbles_rec,0,,,,,
player,201410120tam,tam,DaviLa00,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,DaviLa00,fumbles_rec_td,0,,,,,
player,201410120tam,tam,DaviLa00,fumbles_forced,0,,,,,
player,201410120tam,tam,FostMa00,def_int,0,,,,,
player,201410120tam,tam,FostMa00,def_int_yds,0,,,,,
player,201410120tam,tam,FostMa00,def_int_td,0,,,,,
player,201410120tam,tam,FostMa00,def_int_long,0,,,,,
player,201410120tam,tam,FostMa00,pass_defended,1,,,,,
player,201410120tam,tam,FostMa00,sacks,0.0,,,,,
player,201410120tam,tam,FostMa00,tackles_combined,8,,,,,
player,201410120tam,tam,FostMa00,tackles_solo,5,,,,,
player,201410120tam,tam,FostMa00,tackles_assists,3,,,,,
player,201410120tam,tam,FostMa00,tackles_loss,1,,,,,
player,201410120tam,tam,FostMa00,qb_hits,0,,,,,
player,201410120tam,tam,FostMa00,fumbles_rec,0,,,,,
player,201410120tam,tam,FostMa00,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,FostMa00,fumbles_rec_td,0,,,,,
player,201410120tam,tam,FostMa00,fumbles_forced,0,,,,,
player,201410120tam,tam,BarrMa00,def_int,0,,,,,
player,201410120tam,tam,BarrMa00,def_int_yds,0,,,,,
player,201410120tam,tam,BarrMa00,def_int_td,0,,,,,
player,201410120tam,tam,BarrMa00,def_int_long,0,,,,,
