game,2014,14,20141204,201412040chi,dal,"Dallas Cowboys",41,chi,"Chicago Bears",28
player,201412040chi,chi,BennMa00,targets,15,,,,,
player,201412040chi,chi,BennMa00,rec,12,,,,,
player,201412040chi,chi,BennMa00,rec_yds,84,,,,,
player,201412040chi,chi,BennMa00,rec_td,1,,,,,
player,201412040chi,chi,BennMa00,rec_long,16,,,,,
player,201412040chi,chi,BennMa00,fumbles,0,,,,,
player,201412040chi,chi,BennMa00,fumbles_lost,0,,,,,
player,201412040chi,chi,MarsBr00,pass_cmp,0,,,,,
player,201412040chi,chi,MarsBr00,pass_att,0,,,,,
player,201412040chi,chi,MarsBr00,pass_yds,0,,,,,
player,201412040chi,chi,MarsBr00,pass_td,0,,,,,
player,201412040chi,chi,MarsBr00,pass_int,0,,,,,
player,201412040chi,chi,MarsBr00,pass_sacked,0,,,,,
player,201412040chi,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201412040chi,chi,MarsBr00,pass_long,0,,,,,
player,201412040chi,chi,MarsBr00,pass_rating,,,,,,
player,201412040chi,chi,MarsBr00,rush_att,0,,,,,
player,201412040chi,chi,MarsBr00,rush_yds,0,,,,,
player,201412040chi,chi,MarsBr00,rush_td,0,,,,,
player,201412040chi,chi,MarsBr00,rush_long,0,,,,,
player,201412040chi,chi,MarsBr00,targets,4,,,,,
player,201412040chi,chi,MarsBr00,rec,3,,,,,
player,201412040chi,chi,MarsBr00,rec_yds,61,,,,,
player,201412040chi,chi,MarsBr00,rec_td,0,,,,,
player,201412040chi,chi,MarsBr00,rec_long,42,,,,,
player,201412040chi,chi,MarsBr00,fumbles,0,,,,,
player,201412040chi,chi,MarsBr00,fumbles_lost,0,,,,,
player,201412040chi,chi,WilsMa02,pass_cmp,0,,,,,
player,201412040chi,chi,WilsMa02,pass_att,0,,,,,
player,201412040chi,chi,WilsMa02,pass_yds,0,,,,,
player,201412040chi,chi,WilsMa02,pass_td,0,,,,,
player,201412040chi,chi,WilsMa02,pass_int,0,,,,,
player,201412040chi,chi,WilsMa02,pass_sacked,0,,,,,
player,201412040chi,chi,WilsMa02,pass_sacked_yds,0,,,,,
player,201412040chi,chi,WilsMa02,pass_long,0,,,,,
player,201412040chi,chi,WilsMa02,pass_rating,,,,,,
player,201412040chi,chi,WilsMa02,rush_att,0,,,,,
player,201412040chi,chi,WilsMa02,rush_yds,0,,,,,
player,201412040chi,chi,WilsMa02,rush_td,0,,,,,
player,201412040chi,chi,WilsMa02,rush_long,0,,,,,
player,201412040chi,chi,WilsMa02,targets,5,,,,,
player,201412040chi,chi,WilsMa02,rec,2,,,,,
player,201412040chi,chi,WilsMa02,rec_yds,19,,,,,
player,201412040chi,chi,WilsMa02,rec_td,0,,,,,
player,201412040chi,chi,WilsMa02,rec_long,10,,,,,
player,201412040chi,chi,WilsMa02,fumbles,0,,,,,
