game,2014,9,20141102,201411020htx,phi,"Philadelphia Eagles",31,htx,"Houston Texans",21
player,201411020htx,phi,BoykBr00,tackles_solo,1,,,,,
player,201411020htx,phi,BoykBr00,tackles_assists,2,,,,,
player,201411020htx,phi,BoykBr00,tackles_loss,0,,,,,
player,201411020htx,phi,BoykBr00,qb_hits,0,,,,,
player,201411020htx,phi,BoykBr00,fumbles_rec,0,,,,,
player,201411020htx,phi,BoykBr00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,BoykBr00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,BoykBr00,fumbles_forced,0,,,,,
player,201411020htx,phi,CoxxFl00,def_int,0,,,,,
player,201411020htx,phi,CoxxFl00,def_int_yds,0,,,,,
player,201411020htx,phi,CoxxFl00,def_int_td,0,,,,,
player,201411020htx,phi,CoxxFl00,def_int_long,0,,,,,
player,201411020htx,phi,CoxxFl00,pass_defended,0,,,,,
player,201411020htx,phi,CoxxFl00,sacks,0.0,,,,,
player,201411020htx,phi,CoxxFl00,tackles_combined,2,,,,,
player,201411020htx,phi,CoxxFl00,tackles_solo,2,,,,,
player,201411020htx,phi,CoxxFl00,tackles_assists,0,,,,,
player,201411020htx,phi,CoxxFl00,tackles_loss,0,,,,,
player,201411020htx,phi,CoxxFl00,qb_hits,2,,,,,
player,201411020htx,phi,CoxxFl00,fumbles_rec,0,,,,,
player,201411020htx,phi,CoxxFl00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,CoxxFl00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,CoxxFl00,fumbles_forced,0,,,,,
player,201411020htx,phi,JenkMa99,def_int,0,,,,,
player,201411020htx,phi,JenkMa99,def_int_yds,0,,,,,
player,201411020htx,phi,JenkMa99,def_int_td,0,,,,,
player,201411020htx,phi,JenkMa99,def_int_long,0,,,,,
player,201411020htx,phi,JenkMa99,pass_defended,1,,,,,
player,201411020htx,phi,JenkMa99,sacks,0.0,,,,,
player,201411020htx,phi,JenkMa99,tackles_combined,2,,,,,
player,201411020htx,phi,JenkMa99,tackles_solo,2,,,,,
player,201411020htx,phi,JenkMa99,tackles_assists,0,,,,,
player,201411020htx,phi,JenkMa99,tackles_loss,0,,,,,
player,201411020htx,phi,JenkMa99,qb_hits,0,,,,,
player,201411020htx,phi,JenkMa99,fumbles_rec,0,,,,,
player,201411020htx,phi,JenkMa99,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,JenkMa99,fumbles_rec_td,0,,,,,
player,201411020htx,phi,JenkMa99,fumbles_forced,0,,,,,
player,201411020htx,phi,WillCa99,def_int,0,,,,,
player,201411020htx,phi,WillCa99,def_int_yds,0,,,,,
player,201411020htx,phi,WillCa99,def_int_td,0,,,,,
player,201411020htx,phi,WillCa99,def_int_long,0,,,,,
player,201411020htx,phi,WillCa99,pass_defended,0,,,,,
player,201411020htx,phi,WillCa99,sacks,0.0,,,,,
player,201411020htx,phi,WillCa99,tackles_combined,2,,,,,
player,201411020htx,phi,WillCa99,tackles_solo,2,,,,,
player,201411020htx,phi,WillCa99,tackles_assists,0,,,,,
player,201411020htx,phi,WillCa99,tackles_loss,0,,,,,
player,201411020htx,phi,WillCa99,qb_hits,0,,,,,
player,201411020htx,phi,WillCa99,fumbles_rec,0,,,,,
player,201411020htx,phi,WillCa99,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,WillCa99,fumbles_rec_td,0,,,,,
player,201411020htx,phi,WillCa99,fumbles_forced,0,,,,,
player,201411020htx,phi,BramBr00,def_int,0,,,,,
player,201411020htx,phi,BramBr00,def_int_yds,0,,,,,
player,201411020htx,phi,BramBr00,def_int_td,0,,,,,
player,201411020htx,phi,BramBr00,def_int_long,0,,,,,
player,201411020htx,phi,BramBr00,pass_defended,0,,,,,
player,201411020htx,phi,BramBr00,sacks,0.0,,,,,
player,201411020htx,phi,BramBr00,tackles_combined,1,,,,,
player,201411020htx,phi,BramBr00,tackles_solo,1,,,,,
player,201411020htx,phi,BramBr00,tackles_assists,0,,,,,
player,201411020htx,phi,BramBr00,tackles_loss,0,,,,,
player,201411020htx,phi,BramBr00,qb_hits,0,,,,,
player,201411020htx,phi,BramBr00,fumbles_rec,0,,,,,
player,201411020htx,phi,BramBr00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,BramBr00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,BramBr00,fumbles_forced,0,,,,,
player,201411020htx,phi,CarrNo00,def_int,0,,,,,
player,201411020htx,phi,CarrNo00,def_int_yds,0,,,,,
player,201411020htx,phi,CarrNo00,def_int_td,0,,,,,
player,201411020htx,phi,CarrNo00,def_int_long,0,,,,,
player,201411020htx,phi,CarrNo00,pass_defended,0,,,,,
player,201411020htx,phi,CarrNo00,sacks,0.0,,,,,
player,201411020htx,phi,CarrNo00,tackles_combined,1,,,,,
player,201411020htx,phi,CarrNo00,tackles_solo,1,,,,,
player,201411020htx,phi,CarrNo00,tackles_assists,0,,,,,
player,201411020htx,phi,CarrNo00,tackles_loss,0,,,,,
player,201411020htx,phi,CarrNo00,qb_hits,0,,,,,
player,201411020htx,phi,CarrNo00,fumbles_rec,0,,,,,
player,201411020htx,phi,CarrNo00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,CarrNo00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,CarrNo00,fumbles_forced,0,,,,,
player,201411020htx,phi,CaseJa00,def_int,0,,,,,
player,201411020htx,phi,CaseJa00,def_int_yds,0,,,,,
player,201411020htx,phi,CaseJa00,def_int_td,0,,,,,
