game,2014,4,20140929,201409290kan,nwe,"New England Patriots",14,kan,"Kansas City Chiefs",41
player,201409290kan,kan,BoweDw00,rush_yds,0,,,,,
player,201409290kan,kan,BoweDw00,rush_td,0,,,,,
player,201409290kan,kan,BoweDw00,rush_long,0,,,,,
player,201409290kan,kan,BoweDw00,targets,6,,,,,
player,201409290kan,kan,BoweDw00,rec,5,,,,,
player,201409290kan,kan,BoweDw00,rec_yds,81,,,,,
player,201409290kan,kan,BoweDw00,rec_td,0,,,,,
player,201409290kan,kan,BoweDw00,rec_long,33,,,,,
player,201409290kan,kan,BoweDw00,fumbles,0,,,,,
player,201409290kan,kan,BoweDw00,fumbles_lost,0,,,,,
player,201409290kan,kan,AverDo00,pass_cmp,0,,,,,
player,201409290kan,kan,AverDo00,pass_att,0,,,,,
player,201409290kan,kan,AverDo00,pass_yds,0,,,,,
player,201409290kan,kan,AverDo00,pass_td,0,,,,,
player,201409290kan,kan,AverDo00,pass_int,0,,,,,
player,201409290kan,kan,AverDo00,pass_sacked,0,,,,,
player,201409290kan,kan,AverDo00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,AverDo00,pass_long,0,,,,,
player,201409290kan,kan,AverDo00,pass_rating,,,,,,
player,201409290kan,kan,AverDo00,rush_att,0,,,,,
player,201409290kan,kan,AverDo00,rush_yds,0,,,,,
player,201409290kan,kan,AverDo00,rush_td,0,,,,,
player,201409290kan,kan,AverDo00,rush_long,0,,,,,
player,201409290kan,kan,AverDo00,targets,2,,,,,
player,201409290kan,kan,AverDo00,rec,2,,,,,
player,201409290kan,kan,AverDo00,rec_yds,46,,,,,
player,201409290kan,kan,AverDo00,rec_td,0,,,,,
player,201409290kan,kan,AverDo00,rec_long,27,,,,,
player,201409290kan,kan,AverDo00,fumbles,0,,,,,
player,201409290kan,kan,AverDo00,fumbles_lost,0,,,,,
player,201409290kan,kan,JenkA.00,pass_cmp,0,,,,,
player,201409290kan,kan,JenkA.00,pass_att,0,,,,,
player,201409290kan,kan,JenkA.00,pass_yds,0,,,,,
player,201409290kan,kan,JenkA.00,pass_td,0,,,,,
player,201409290kan,kan,JenkA.00,pass_int,0,,,,,
player,201409290kan,kan,JenkA.00,pass_sacked,0,,,,,
player,201409290kan,kan,JenkA.00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,JenkA.00,pass_long,0,,,,,
player,201409290kan,kan,JenkA.00,pass_rating,,,,,,
player,201409290kan,kan,JenkA.00,rush_att,0,,,,,
player,201409290kan,kan,JenkA.00,rush_yds,0,,,,,
player,201409290kan,kan,JenkA.00,rush_td,0,,,,,
player,201409290kan,kan,JenkA.00,rush_long,0,,,,,
player,201409290kan,kan,JenkA.00,targets,1,,,,,
player,201409290kan,kan,JenkA.00,rec,1,,,,,
player,201409290kan,kan,JenkA.00,rec_yds,0,,,,,
player,201409290kan,kan,JenkA.00,rec_td,0,,,,,
player,201409290kan,kan,JenkA.00,rec_long,0,,,,,
player,201409290kan,kan,JenkA.00,fumbles,0,,,,,
player,201409290kan,kan,JenkA.00,fumbles_lost,0,,,,,
player,201409290kan,kan,HemiJu00,pass_cmp,0,,,,,
player,201409290kan,kan,HemiJu00,pass_att,0,,,,,
player,201409290kan,kan,HemiJu00,pass_yds,0,,,,,
player,201409290kan,kan,HemiJu00,pass_td,0,,,,,
player,201409290kan,kan,HemiJu00,pass_int,0,,,,,
player,201409290kan,kan,HemiJu00,pass_sacked,0,,,,,
player,201409290kan,kan,HemiJu00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,HemiJu00,pass_long,0,,,,,
player,201409290kan,kan,HemiJu00,pass_rating,,,,,,
player,201409290kan,kan,HemiJu00,rush_att,0,,,,,
player,201409290kan,kan,HemiJu00,rush_yds,0,,,,,
player,201409290kan,kan,HemiJu00,rush_td,0,,,,,
player,201409290kan,kan,HemiJu00,rush_long,0,,,,,
player,201409290kan,kan,HemiJu00,targets,1,,,,,
player,201409290kan,kan,HemiJu00,rec,0,,,,,
player,201409290kan,kan,HemiJu00,rec_yds,0,,,,,
player,201409290kan,kan,HemiJu00,rec_td,0,,,,,
player,201409290kan,kan,HemiJu00,rec_long,0,,,,,
player,201409290kan,kan,HemiJu00,fumbles,0,,,,,
player,201409290kan,kan,HemiJu00,fumbles_lost,0,,,,,
player,201409290kan,kan,FasaAn00,pass_cmp,0,,,,,
player,201409290kan,kan,FasaAn00,pass_att,0,,,,,
player,201409290kan,kan,FasaAn00,pass_yds,0,,,,,
player,201409290kan,kan,FasaAn00,pass_td,0,,,,,
player,201409290kan,kan,FasaAn00,pass_int,0,,,,,
player,201409290kan,kan,FasaAn00,pass_sacked,0,,,,,
player,201409290kan,kan,FasaAn00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,FasaAn00,pass_long,0,,,,,
player,201409290kan,kan,FasaAn00,pass_rating,,,,,,
player,201409290kan,kan,FasaAn00,rush_att,0,,,,,
player,201409290kan,kan,FasaAn00,rush_yds,0,,,,,
player,201409290kan,kan,FasaAn00,rush_td,0,,,,,
player,201409290kan,kan,FasaAn00,rush_long,0,,,,,
player,201409290kan,kan,FasaAn00,targets,1,,,,,
player,201409290kan,kan,FasaAn00,rec,0,,,,,
player,201409290kan,kan,FasaAn00,rec_yds,0,,,,,
player,201409290kan,kan,FasaAn00,rec_td,0,,,,,
player,201409290kan,kan,FasaAn00,rec_long,0,,,,,
player,201409290kan,kan,FasaAn00,fumbles,0,,,,,
player,201409290kan,kan,FasaAn00,fumbles_lost,0,,,,,
player,201409290kan,kan,HammFr00,pass_cmp,0,,,,,
player,201409290kan,kan,HammFr00,pass_att,0,,,,,
player,201409290kan,kan,HammFr00,pass_yds,0,,,,,
player,201409290kan,kan,HammFr00,pass_td,0,,,,,
player,201409290kan,kan,HammFr00,pass_int,0,,,,,
player,201409290kan,kan,HammFr00,pass_sacked,0,,,,,
player,201409290kan,kan,HammFr00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,HammFr00,pass_long,0,,,,,
player,201409290kan,kan,HammFr00,pass_rating,,,,,,
player,201409290kan,kan,HammFr00,rush_att,0,,,,,
player,201409290kan,kan,HammFr00,rush_yds,0,,,,,
player,201409290kan,kan,HammFr00,rush_td,0,,,,,
player,201409290kan,kan,HammFr00,rush_long,0,,,,,
player,201409290kan,kan,HammFr00,targets,1,,,,,
player,201409290kan,kan,HammFr00,rec,0,,,,,
player,201409290kan,kan,HammFr00,rec_yds,0,,,,,
player,201409290kan,kan,HammFr00,rec_td,0,,,,,
player,201409290kan,kan,HammFr00,rec_long,0,,,,,
player,201409290kan,kan,HammFr00,fumbles,0,,,,,
player,201409290kan,kan,HammFr00,fumbles_lost,0,,,,,
player,201409290kan,nwe,VellJo00,def_int,0,,,,,
player,201409290kan,nwe,VellJo00,def_int_yds,0,,,,,
player,201409290kan,nwe,VellJo00,def_int_td,0,,,,,
player,201409290kan,nwe,VellJo00,def_int_long,0,,,,,
player,201409290kan,nwe,VellJo00,pass_defended,0,,,,,
player,201409290kan,nwe,VellJo00,sacks,1.0,,,,,
player,201409290kan,nwe,VellJo00,tackles_combined,1,,,,,
player,201409290kan,nwe,VellJo00,tackles_solo,1,,,,,
player,201409290kan,nwe,VellJo00,tackles_assists,0,,,,,
player,201409290kan,nwe,VellJo00,tackles_loss,1,,,,,
player,201409290kan,nwe,VellJo00,qb_hits,1,,,,,
player,201409290kan,nwe,VellJo00,fumbles_rec,0,,,,,
player,201409290kan,nwe,VellJo00,fumbles_rec_yds,0,,,,,
player,201409290kan,nwe,VellJo00,fumbles_rec_td,0,,,,,
player,201409290kan,nwe,VellJo00,fumbles_forced,0,,,,,
player,201409290kan,nwe,JoneCh03,def_int,0,,,,,
player,201409290kan,nwe,JoneCh03,def_int_yds,0,,,,,
player,201409290kan,nwe,JoneCh03,def_int_td,0,,,,,
player,201409290kan,nwe,JoneCh03,def_int_long,0,,,,,
player,201409290kan,nwe,JoneCh03,pass_defended,0,,,,,
player,201409290kan,nwe,JoneCh03,sacks,0.5,,,,,
player,201409290kan,nwe,JoneCh03,tackles_combined,3,,,,,
player,201409290kan,nwe,JoneCh03,tackles_solo,2,,,,,
player,201409290kan,nwe,JoneCh03,tackles_assists,1,,,,,
player,201409290kan,nwe,JoneCh03,tackles_loss,0,,,,,
