game,2014,17,20141228,201412280nyg,phi,"Philadelphia Eagles",34,nyg,"New York Giants",26
player,201412280nyg,nyg,RandRu00,pass_td,0,,,,,
player,201412280nyg,nyg,RandRu00,pass_int,0,,,,,
player,201412280nyg,nyg,RandRu00,pass_sacked,0,,,,,
player,201412280nyg,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201412280nyg,nyg,RandRu00,pass_long,0,,,,,
player,201412280nyg,nyg,RandRu00,pass_rating,,,,,,
player,201412280nyg,nyg,RandRu00,rush_att,0,,,,,
player,201412280nyg,nyg,RandRu00,rush_yds,0,,,,,
player,201412280nyg,nyg,RandRu00,rush_td,0,,,,,
player,201412280nyg,nyg,RandRu00,rush_long,0,,,,,
player,201412280nyg,nyg,RandRu00,targets,13,,,,,
player,201412280nyg,nyg,RandRu00,rec,6,,,,,
player,201412280nyg,nyg,RandRu00,rec_yds,158,,,,,
player,201412280nyg,nyg,RandRu00,rec_td,0,,,,,
player,201412280nyg,nyg,RandRu00,rec_long,43,,,,,
player,201412280nyg,nyg,RandRu00,fumbles,0,,,,,
player,201412280nyg,nyg,RandRu00,fumbles_lost,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_cmp,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_att,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_yds,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_td,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_int,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_sacked,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_sacked_yds,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_long,0,,,,,
player,201412280nyg,nyg,DonnLa00,pass_rating,,,,,,
player,201412280nyg,nyg,DonnLa00,rush_att,0,,,,,
player,201412280nyg,nyg,DonnLa00,rush_yds,0,,,,,
player,201412280nyg,nyg,DonnLa00,rush_td,0,,,,,
player,201412280nyg,nyg,DonnLa00,rush_long,0,,,,,
player,201412280nyg,nyg,DonnLa00,targets,6,,,,,
player,201412280nyg,nyg,DonnLa00,rec,2,,,,,
player,201412280nyg,nyg,DonnLa00,rec_yds,26,,,,,
player,201412280nyg,nyg,DonnLa00,rec_td,0,,,,,
player,201412280nyg,nyg,DonnLa00,rec_long,16,,,,,
player,201412280nyg,nyg,DonnLa00,fumbles,0,,,,,
player,201412280nyg,nyg,DonnLa00,fumbles_lost,0,,,,,
player,201412280nyg,nyg,ParkPr00,pass_cmp,0,,,,,
player,201412280nyg,nyg,ParkPr00,pass_att,0,,,,,
