game,2014,9,20141103,201411030nyg,clt,"Indianapolis Colts",40,nyg,"New York Giants",24
player,201411030nyg,nyg,RandRu00,pass_td,0,,,,,
player,201411030nyg,nyg,RandRu00,pass_int,0,,,,,
player,201411030nyg,nyg,RandRu00,pass_sacked,0,,,,,
player,201411030nyg,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,RandRu00,pass_long,0,,,,,
player,201411030nyg,nyg,RandRu00,pass_rating,,,,,,
player,201411030nyg,nyg,RandRu00,rush_att,0,,,,,
player,201411030nyg,nyg,RandRu00,rush_yds,0,,,,,
player,201411030nyg,nyg,RandRu00,rush_td,0,,,,,
player,201411030nyg,nyg,RandRu00,rush_long,0,,,,,
player,201411030nyg,nyg,RandRu00,targets,11,,,,,
player,201411030nyg,nyg,RandRu00,rec,4,,,,,
player,201411030nyg,nyg,RandRu00,rec_yds,49,,,,,
player,201411030nyg,nyg,RandRu00,rec_td,0,,,,,
player,201411030nyg,nyg,RandRu00,rec_long,18,,,,,
player,201411030nyg,nyg,RandRu00,fumbles,0,,,,,
player,201411030nyg,nyg,RandRu00,fumbles_lost,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_cmp,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_att,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_yds,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_td,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_int,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_sacked,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_long,0,,,,,
player,201411030nyg,nyg,WashCo01,pass_rating,,,,,,
player,201411030nyg,nyg,WashCo01,rush_att,0,,,,,
player,201411030nyg,nyg,WashCo01,rush_yds,0,,,,,
player,201411030nyg,nyg,WashCo01,rush_td,0,,,,,
player,201411030nyg,nyg,WashCo01,rush_long,0,,,,,
player,201411030nyg,nyg,WashCo01,targets,6,,,,,
player,201411030nyg,nyg,WashCo01,rec,4,,,,,
player,201411030nyg,nyg,WashCo01,rec_yds,48,,,,,
player,201411030nyg,nyg,WashCo01,rec_td,1,,,,,
player,201411030nyg,nyg,WashCo01,rec_long,20,,,,,
player,201411030nyg,nyg,WashCo01,fumbles,0,,,,,
player,201411030nyg,nyg,WashCo01,fumbles_lost,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_cmp,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_att,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_yds,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_td,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_int,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_sacked,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_long,0,,,,,
player,201411030nyg,nyg,DonnLa00,pass_rating,,,,,,
player,201411030nyg,nyg,DonnLa00,rush_att,0,,,,,
player,201411030nyg,nyg,DonnLa00,rush_yds,0,,,,,
player,201411030nyg,nyg,DonnLa00,rush_td,0,,,,,
player,201411030nyg,nyg,DonnLa00,rush_long,0,,,,,
player,201411030nyg,nyg,DonnLa00,targets,8,,,,,
player,201411030nyg,nyg,DonnLa00,rec,4,,,,,
player,201411030nyg,nyg,DonnLa00,rec_yds,25,,,,,
player,201411030nyg,nyg,DonnLa00,rec_td,1,,,,,
player,201411030nyg,nyg,DonnLa00,rec_long,14,,,,,
player,201411030nyg,nyg,DonnLa00,fumbles,0,,,,,
player,201411030nyg,nyg,DonnLa00,fumbles_lost,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_cmp,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_att,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_yds,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_td,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_int,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_sacked,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_long,0,,,,,
player,201411030nyg,nyg,ParkPr00,pass_rating,,,,,,
player,201411030nyg,nyg,ParkPr00,rush_att,0,,,,,
player,201411030nyg,nyg,ParkPr00,rush_yds,0,,,,,
player,201411030nyg,nyg,ParkPr00,rush_td,0,,,,,
player,201411030nyg,nyg,ParkPr00,rush_long,0,,,,,
player,201411030nyg,nyg,ParkPr00,targets,6,,,,,
player,201411030nyg,nyg,ParkPr00,rec,1,,,,,
player,201411030nyg,nyg,ParkPr00,rec_yds,7,,,,,
player,201411030nyg,nyg,ParkPr00,rec_td,0,,,,,
player,201411030nyg,nyg,ParkPr00,rec_long,7,,,,,
player,201411030nyg,nyg,ParkPr00,fumbles,0,,,,,
player,201411030nyg,nyg,ParkPr00,fumbles_lost,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_cmp,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_att,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_yds,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_td,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_int,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_sacked,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_long,0,,,,,
player,201411030nyg,nyg,OgleKe00,pass_rating,,,,,,
player,201411030nyg,nyg,OgleKe00,rush_att,0,,,,,
player,201411030nyg,nyg,OgleKe00,rush_yds,0,,,,,
