game,2014,3,20140918,201409180atl,tam,"Tampa Bay Buccaneers",14,atl,"Atlanta Falcons",56
player,201409180atl,atl,YateT.00,targets,0,,,,,
player,201409180atl,atl,YateT.00,rec,0,,,,,
player,201409180atl,atl,YateT.00,rec_yds,0,,,,,
player,201409180atl,atl,YateT.00,rec_td,0,,,,,
player,201409180atl,atl,YateT.00,rec_long,0,,,,,
player,201409180atl,atl,YateT.00,fumbles,0,,,,,
player,201409180atl,atl,YateT.00,fumbles_lost,0,,,,,
player,201409180atl,atl,JackSt00,pass_cmp,0,,,,,
player,201409180atl,atl,JackSt00,pass_att,0,,,,,
player,201409180atl,atl,JackSt00,pass_yds,0,,,,,
player,201409180atl,atl,JackSt00,pass_td,0,,,,,
player,201409180atl,atl,JackSt00,pass_int,0,,,,,
player,201409180atl,atl,JackSt00,pass_sacked,0,,,,,
player,201409180atl,atl,JackSt00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,JackSt00,pass_long,0,,,,,
player,201409180atl,atl,JackSt00,pass_rating,,,,,,
player,201409180atl,atl,JackSt00,rush_att,14,,,,,
player,201409180atl,atl,JackSt00,rush_yds,54,,,,,
player,201409180atl,atl,JackSt00,rush_td,1,,,,,
player,201409180atl,atl,JackSt00,rush_long,13,,,,,
player,201409180atl,atl,JackSt00,targets,0,,,,,
player,201409180atl,atl,JackSt00,rec,0,,,,,
player,201409180atl,atl,JackSt00,rec_yds,0,,,,,
player,201409180atl,atl,JackSt00,rec_td,0,,,,,
player,201409180atl,atl,JackSt00,rec_long,0,,,,,
player,201409180atl,atl,JackSt00,fumbles,0,,,,,
player,201409180atl,atl,JackSt00,fumbles_lost,0,,,,,
player,201409180atl,atl,SmitAn01,pass_cmp,0,,,,,
player,201409180atl,atl,SmitAn01,pass_att,0,,,,,
player,201409180atl,atl,SmitAn01,pass_yds,0,,,,,
player,201409180atl,atl,SmitAn01,pass_td,0,,,,,
player,201409180atl,atl,SmitAn01,pass_int,0,,,,,
player,201409180atl,atl,SmitAn01,pass_sacked,0,,,,,
player,201409180atl,atl,SmitAn01,pass_sacked_yds,0,,,,,
player,201409180atl,atl,SmitAn01,pass_long,0,,,,,
player,201409180atl,atl,SmitAn01,pass_rating,,,,,,
player,201409180atl,atl,SmitAn01,rush_att,4,,,,,
player,201409180atl,atl,SmitAn01,rush_yds,50,,,,,
player,201409180atl,atl,SmitAn01,rush_td,1,,,,,
