game,2014,5,20141005,201410050clt,rav,"Baltimore Ravens",13,clt,"Indianapolis Colts",20
player,201410050clt,rav,SmitJi03,def_int_long,0,,,,,
player,201410050clt,rav,SmitJi03,pass_defended,1,,,,,
player,201410050clt,rav,SmitJi03,sacks,0.0,,,,,
player,201410050clt,rav,SmitJi03,tackles_combined,4,,,,,
player,201410050clt,rav,SmitJi03,tackles_solo,3,,,,,
player,201410050clt,rav,SmitJi03,tackles_assists,1,,,,,
player,201410050clt,rav,SmitJi03,tackles_loss,0,,,,,
player,201410050clt,rav,SmitJi03,qb_hits,0,,,,,
player,201410050clt,rav,SmitJi03,fumbles_rec,0,,,,,
player,201410050clt,rav,SmitJi03,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,SmitJi03,fumbles_rec_td,0,,,,,
player,201410050clt,rav,SmitJi03,fumbles_forced,0,,,,,
player,201410050clt,rav,StewDa00,def_int,0,,,,,
player,201410050clt,rav,StewDa00,def_int_yds,0,,,,,
player,201410050clt,rav,StewDa00,def_int_td,0,,,,,
player,201410050clt,rav,StewDa00,def_int_long,0,,,,,
player,201410050clt,rav,StewDa00,pass_defended,1,,,,,
player,201410050clt,rav,StewDa00,sacks,0.0,,,,,
player,201410050clt,rav,StewDa00,tackles_combined,4,,,,,
player,201410050clt,rav,StewDa00,tackles_solo,4,,,,,
player,201410050clt,rav,StewDa00,tackles_assists,0,,,,,
player,201410050clt,rav,StewDa00,tackles_loss,0,,,,,
player,201410050clt,rav,StewDa00,qb_hits,0,,,,,
player,201410050clt,rav,StewDa00,fumbles_rec,0,,,,,
player,201410050clt,rav,StewDa00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,StewDa00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,StewDa00,fumbles_forced,1,,,,,
player,201410050clt,rav,BiluCh00,def_int,0,,,,,
player,201410050clt,rav,BiluCh00,def_int_yds,0,,,,,
player,201410050clt,rav,BiluCh00,def_int_td,0,,,,,
player,201410050clt,rav,BiluCh00,def_int_long,0,,,,,
player,201410050clt,rav,BiluCh00,pass_defended,0,,,,,
player,201410050clt,rav,BiluCh00,sacks,0.0,,,,,
player,201410050clt,rav,BiluCh00,tackles_combined,3,,,,,
player,201410050clt,rav,BiluCh00,tackles_solo,0,,,,,
player,201410050clt,rav,BiluCh00,tackles_assists,3,,,,,
player,201410050clt,rav,BiluCh00,tackles_loss,0,,,,,
player,201410050clt,rav,BiluCh00,qb_hits,0,,,,,
player,201410050clt,rav,BiluCh00,fumbles_rec,0,,,,,
player,201410050clt,rav,BiluCh00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,BiluCh00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,BiluCh00,fumbles_forced,0,,,,,
player,201410050clt,rav,BrooTe00,def_int,0,,,,,
player,201410050clt,rav,BrooTe00,def_int_yds,0,,,,,
player,201410050clt,rav,BrooTe00,def_int_td,0,,,,,
player,201410050clt,rav,BrooTe00,def_int_long,0,,,,,
player,201410050clt,rav,BrooTe00,pass_defended,1,,,,,
player,201410050clt,rav,BrooTe00,sacks,0.0,,,,,
player,201410050clt,rav,BrooTe00,tackles_combined,3,,,,,
player,201410050clt,rav,BrooTe00,tackles_solo,3,,,,,
player,201410050clt,rav,BrooTe00,tackles_assists,0,,,,,
player,201410050clt,rav,BrooTe00,tackles_loss,0,,,,,
player,201410050clt,rav,BrooTe00,qb_hits,0,,,,,
player,201410050clt,rav,BrooTe00,fumbles_rec,1,,,,,
player,201410050clt,rav,BrooTe00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,BrooTe00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,BrooTe00,fumbles_forced,0,,,,,
player,201410050clt,rav,JackAs00,def_int,0,,,,,
player,201410050clt,rav,JackAs00,def_int_yds,0,,,,,
player,201410050clt,rav,JackAs00,def_int_td,0,,,,,
player,201410050clt,rav,JackAs00,def_int_long,0,,,,,
player,201410050clt,rav,JackAs00,pass_defended,0,,,,,
player,201410050clt,rav,JackAs00,sacks,0.0,,,,,
player,201410050clt,rav,JackAs00,tackles_combined,3,,,,,
player,201410050clt,rav,JackAs00,tackles_solo,3,,,,,
player,201410050clt,rav,JackAs00,tackles_assists,0,,,,,
player,201410050clt,rav,JackAs00,tackles_loss,0,,,,,
player,201410050clt,rav,JackAs00,qb_hits,0,,,,,
player,201410050clt,rav,JackAs00,fumbles_rec,0,,,,,
player,201410050clt,rav,JackAs00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,JackAs00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,JackAs00,fumbles_forced,0,,,,,
player,201410050clt,rav,DumeEl20,def_int,0,,,,,
player,201410050clt,rav,DumeEl20,def_int_yds,0,,,,,
player,201410050clt,rav,DumeEl20,def_int_td,0,,,,,
player,201410050clt,rav,DumeEl20,def_int_long,0,,,,,
player,201410050clt,rav,DumeEl20,pass_defended,0,,,,,
player,201410050clt,rav,DumeEl20,sacks,0.0,,,,,
player,201410050clt,rav,DumeEl20,tackles_combined,2,,,,,
