game,2014,13,20141127,201411270det,chi,"Chicago Bears",17,det,"Detroit Lions",34
player,201411270det,det,FaurJo00,rush_td,0,,,,,
player,201411270det,det,FaurJo00,rush_long,0,,,,,
player,201411270det,det,FaurJo00,targets,2,,,,,
player,201411270det,det,FaurJo00,rec,1,,,,,
player,201411270det,det,FaurJo00,rec_yds,8,,,,,
player,201411270det,det,FaurJo00,rec_td,0,,,,,
player,201411270det,det,FaurJo00,rec_long,8,,,,,
player,201411270det,det,FaurJo00,fumbles,0,,,,,
player,201411270det,det,FaurJo00,fumbles_lost,0,,,,,
player,201411270det,det,PettBr00,pass_cmp,0,,,,,
player,201411270det,det,PettBr00,pass_att,0,,,,,
player,201411270det,det,PettBr00,pass_yds,0,,,,,
player,201411270det,det,PettBr00,pass_td,0,,,,,
player,201411270det,det,PettBr00,pass_int,0,,,,,
player,201411270det,det,PettBr00,pass_sacked,0,,,,,
player,201411270det,det,PettBr00,pass_sacked_yds,0,,,,,
player,201411270det,det,PettBr00,pass_long,0,,,,,
player,201411270det,det,PettBr00,pass_rating,,,,,,
player,201411270det,det,PettBr00,rush_att,0,,,,,
player,201411270det,det,PettBr00,rush_yds,0,,,,,
player,201411270det,det,PettBr00,rush_td,0,,,,,
player,201411270det,det,PettBr00,rush_long,0,,,,,
player,201411270det,det,PettBr00,targets,1,,,,,
player,201411270det,det,PettBr00,rec,1,,,,,
player,201411270det,det,PettBr00,rec_yds,2,,,,,
player,201411270det,det,PettBr00,rec_td,0,,,,,
player,201411270det,det,PettBr00,rec_long,2,,,,,
player,201411270det,det,PettBr00,fumbles,0,,,,,
player,201411270det,det,PettBr00,fumbles_lost,0,,,,,
player,201411270det,chi,AlleJa22,def_int,0,,,,,
player,201411270det,chi,AlleJa22,def_int_yds,0,,,,,
player,201411270det,chi,AlleJa22,def_int_td,0,,,,,
player,201411270det,chi,AlleJa22,def_int_long,0,,,,,
player,201411270det,chi,AlleJa22,pass_defended,0,,,,,
player,201411270det,chi,AlleJa22,sacks,2.0,,,,,
player,201411270det,chi,AlleJa22,tackles_combined,4,,,,,
player,201411270det,chi,AlleJa22,tackles_solo,4,,,,,
player,201411270det,chi,AlleJa22,tackles_assists,0,,,,,
player,201411270det,chi,AlleJa22,tackles_loss,1,,,,,
player,201411270det,chi,AlleJa22,qb_hits,3,,,,,
player,201411270det,chi,AlleJa22,fumbles_rec,1,,,,,
player,201411270det,chi,AlleJa22,fumbles_rec_yds,0,,,,,
player,201411270det,chi,AlleJa22,fumbles_rec_td,0,,,,,
player,201411270det,chi,AlleJa22,fumbles_forced,1,,,,,
player,201411270det,chi,MundRy00,def_int,0,,,,,
player,201411270det,chi,MundRy00,def_int_yds,0,,,,,
player,201411270det,chi,MundRy00,def_int_td,0,,,,,
player,201411270det,chi,MundRy00,def_int_long,0,,,,,
player,201411270det,chi,MundRy00,pass_defended,0,,,,,
player,201411270det,chi,MundRy00,sacks,0.0,,,,,
player,201411270det,chi,MundRy00,tackles_combined,12,,,,,
player,201411270det,chi,MundRy00,tackles_solo,11,,,,,
player,201411270det,chi,MundRy00,tackles_assists,1,,,,,
player,201411270det,chi,MundRy00,tackles_loss,0,,,,,
player,201411270det,chi,MundRy00,qb_hits,0,,,,,
player,201411270det,chi,MundRy00,fumbles_rec,0,,,,,
player,201411270det,chi,MundRy00,fumbles_rec_yds,0,,,,,
player,201411270det,chi,MundRy00,fumbles_rec_td,0,,,,,
player,201411270det,chi,MundRy00,fumbles_forced,0,,,,,
player,201411270det,chi,BostJo00,def_int,0,,,,,
player,201411270det,chi,BostJo00,def_int_yds,0,,,,,
player,201411270det,chi,BostJo00,def_int_td,0,,,,,
player,201411270det,chi,BostJo00,def_int_long,0,,,,,
player,201411270det,chi,BostJo00,pass_defended,0,,,,,
player,201411270det,chi,BostJo00,sacks,0.0,,,,,
player,201411270det,chi,BostJo00,tackles_combined,11,,,,,
player,201411270det,chi,BostJo00,tackles_solo,7,,,,,
player,201411270det,chi,BostJo00,tackles_assists,4,,,,,
player,201411270det,chi,BostJo00,tackles_loss,1,,,,,
player,201411270det,chi,BostJo00,qb_hits,0,,,,,
player,201411270det,chi,BostJo00,fumbles_rec,0,,,,,
player,201411270det,chi,BostJo00,fumbles_rec_yds,0,,,,,
player,201411270det,chi,BostJo00,fumbles_rec_td,0,,,,,
player,201411270det,chi,BostJo00,fumbles_forced,0,,,,,
player,201411270det,chi,FullKy00,def_int,0,,,,,
player,201411270det,chi,FullKy00,def_int_yds,0,,,,,
player,201411270det,chi,FullKy00,def_int_td,0,,,,,
player,201411270det,chi,FullKy00,def_int_long,0,,,,,
player,201411270det,chi,FullKy00,pass_defended,1,,,,,
player,201411270det,chi,FullKy00,sacks,0.0,,,,,
player,201411270det,chi,FullKy00,tackles_combined,7,,,,,
player,201411270det,chi,FullKy00,tackles_solo,7,,,,,
player,201411270det,chi,FullKy00,tackles_assists,0,,,,,
player,201411270det,chi,FullKy00,tackles_loss,0,,,,,
player,201411270det,chi,FullKy00,qb_hits,0,,,,,
player,201411270det,chi,FullKy00,fumbles_rec,0,,,,,
player,201411270det,chi,FullKy00,fumbles_rec_yds,0,,,,,
player,201411270det,chi,FullKy00,fumbles_rec_td,0,,,,,
player,201411270det,chi,FullKy00,fumbles_forced,0,,,,,
player,201411270det,chi,VereBr00,def_int,0,,,,,
player,201411270det,chi,VereBr00,def_int_yds,0,,,,,
player,201411270det,chi,VereBr00,def_int_td,0,,,,,
player,201411270det,chi,VereBr00,def_int_long,0,,,,,
player,201411270det,chi,VereBr00,pass_defended,0,,,,,
player,201411270det,chi,VereBr00,sacks,0.0,,,,,
player,201411270det,chi,VereBr00,tackles_combined,7,,,,,
player,201411270det,chi,VereBr00,tackles_solo,4,,,,,
player,201411270det,chi,VereBr00,tackles_assists,3,,,,,
player,201411270det,chi,VereBr00,tackles_loss,0,,,,,
player,201411270det,chi,VereBr00,qb_hits,0,,,,,
player,201411270det,chi,VereBr00,fumbles_rec,0,,,,,
player,201411270det,chi,VereBr00,fumbles_rec_yds,0,,,,,
player,201411270det,chi,VereBr00,fumbles_rec_td,0,,,,,
player,201411270det,chi,VereBr00,fumbles_forced,0,,,,,
player,201411270det,chi,JoneCh05,def_int,0,,,,,
player,201411270det,chi,JoneCh05,def_int_yds,0,,,,,
player,201411270det,chi,JoneCh05,def_int_td,0,,,,,
player,201411270det,chi,JoneCh05,def_int_long,0,,,,,
player,201411270det,chi,JoneCh05,pass_defended,0,,,,,
player,201411270det,chi,JoneCh05,sacks,0.0,,,,,
