game,2013,10,20131110,201311100sfo,car,"Carolina Panthers",10,sfo,"San Francisco 49ers",9
player,201311100sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201311100sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201311100sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201311100sfo,sfo,GoreFr00,rush_att,16,,,,,
player,201311100sfo,sfo,GoreFr00,rush_yds,82,,,,,
player,201311100sfo,sfo,GoreFr00,rush_td,0,,,,,
player,201311100sfo,sfo,GoreFr00,rush_long,17,,,,,
player,201311100sfo,sfo,GoreFr00,targets,2,,,,,
player,201311100sfo,sfo,GoreFr00,rec,2,,,,,
player,201311100sfo,sfo,GoreFr00,rec_yds,21,,,,,
player,201311100sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201311100sfo,sfo,GoreFr00,rec_long,11,,,,,
player,201311100sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201311100sfo,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201311100sfo,sfo,HuntKe00,pass_cmp,0,,,,,
