game,2013,4,20130929,201309290rai,was,"Washington Redskins",24,rai,"Oakland Raiders",14
player,201309290rai,was,YounDa01,rush_yds,0,,,,,
player,201309290rai,was,YounDa01,rush_td,0,,,,,
player,201309290rai,was,YounDa01,rush_long,0,,,,,
player,201309290rai,was,YounDa01,targets,2,,,,,
player,201309290rai,was,YounDa01,rec,1,,,,,
player,201309290rai,was,YounDa01,rec_yds,4,,,,,
player,201309290rai,was,YounDa01,rec_td,0,,,,,
player,201309290rai,was,YounDa01,rec_long,4,,,,,
player,201309290rai,was,YounDa01,fumbles,0,,,,,
player,201309290rai,was,YounDa01,fumbles_lost,0,,,,,
player,201309290rai,was,MossSa00,pass_cmp,0,,,,,
player,201309290rai,was,MossSa00,pass_att,0,,,,,
player,201309290rai,was,MossSa00,pass_yds,0,,,,,
player,201309290rai,was,MossSa00,pass_td,0,,,,,
player,201309290rai,was,MossSa00,pass_int,0,,,,,
player,201309290rai,was,MossSa00,pass_sacked,0,,,,,
player,201309290rai,was,MossSa00,pass_sacked_yds,0,,,,,
player,201309290rai,was,MossSa00,pass_long,0,,,,,
player,201309290rai,was,MossSa00,pass_rating,,,,,,
player,201309290rai,was,MossSa00,rush_att,0,,,,,
player,201309290rai,was,MossSa00,rush_yds,0,,,,,
player,201309290rai,was,MossSa00,rush_td,0,,,,,
player,201309290rai,was,MossSa00,rush_long,0,,,,,
player,201309290rai,was,MossSa00,targets,3,,,,,
player,201309290rai,was,MossSa00,rec,0,,,,,
player,201309290rai,was,MossSa00,rec_yds,0,,,,,
player,201309290rai,was,MossSa00,rec_td,0,,,,,
player,201309290rai,was,MossSa00,rec_long,0,,,,,
player,201309290rai,was,MossSa00,fumbles,0,,,,,
player,201309290rai,was,MossSa00,fumbles_lost,0,,,,,
player,201309290rai,was,DaviFr01,pass_cmp,0,,,,,
player,201309290rai,was,DaviFr01,pass_att,0,,,,,
player,201309290rai,was,DaviFr01,pass_yds,0,,,,,
player,201309290rai,was,DaviFr01,pass_td,0,,,,,
player,201309290rai,was,DaviFr01,pass_int,0,,,,,
player,201309290rai,was,DaviFr01,pass_sacked,0,,,,,
player,201309290rai,was,DaviFr01,pass_sacked_yds,0,,,,,
player,201309290rai,was,DaviFr01,pass_long,0,,,,,
player,201309290rai,was,DaviFr01,pass_rating,,,,,,
player,201309290rai,was,DaviFr01,rush_att,0,,,,,
player,201309290rai,was,DaviFr01,rush_yds,0,,,,,
player,201309290rai,was,DaviFr01,rush_td,0,,,,,
player,201309290rai,was,DaviFr01,rush_long,0,,,,,
player,201309290rai,was,DaviFr01,targets,1,,,,,
player,201309290rai,was,DaviFr01,rec,0,,,,,
player,201309290rai,was,DaviFr01,rec_yds,0,,,,,
player,201309290rai,was,DaviFr01,rec_td,0,,,,,
player,201309290rai,was,DaviFr01,rec_long,0,,,,,
player,201309290rai,was,DaviFr01,fumbles,0,,,,,
player,201309290rai,was,DaviFr01,fumbles_lost,0,,,,,
player,201309290rai,rai,FlynMa00,pass_cmp,21,,,,,
player,201309290rai,rai,FlynMa00,pass_att,32,,,,,
player,201309290rai,rai,FlynMa00,pass_yds,227,,,,,
player,201309290rai,rai,FlynMa00,pass_td,1,,,,,
player,201309290rai,rai,FlynMa00,pass_int,1,,,,,
player,201309290rai,rai,FlynMa00,pass_sacked,7,,,,,
player,201309290rai,rai,FlynMa00,pass_sacked_yds,33,,,,,
player,201309290rai,rai,FlynMa00,pass_long,34,,,,,
player,201309290rai,rai,FlynMa00,pass_rating,83.7,,,,,
player,201309290rai,rai,FlynMa00,rush_att,3,,,,,
player,201309290rai,rai,FlynMa00,rush_yds,4,,,,,
player,201309290rai,rai,FlynMa00,rush_td,0,,,,,
player,201309290rai,rai,FlynMa00,rush_long,2,,,,,
player,201309290rai,rai,FlynMa00,targets,0,,,,,
player,201309290rai,rai,FlynMa00,rec,0,,,,,
player,201309290rai,rai,FlynMa00,rec_yds,0,,,,,
player,201309290rai,rai,FlynMa00,rec_td,0,,,,,
player,201309290rai,rai,FlynMa00,rec_long,0,,,,,
player,201309290rai,rai,FlynMa00,fumbles,3,,,,,
player,201309290rai,rai,FlynMa00,fumbles_lost,2,,,,,
player,201309290rai,rai,JennRa00,pass_cmp,0,,,,,
player,201309290rai,rai,JennRa00,pass_att,0,,,,,
player,201309290rai,rai,JennRa00,pass_yds,0,,,,,
player,201309290rai,rai,JennRa00,pass_td,0,,,,,
player,201309290rai,rai,JennRa00,pass_int,0,,,,,
player,201309290rai,rai,JennRa00,pass_sacked,,,,,,
player,201309290rai,rai,JennRa00,pass_sacked_yds,0,,,,,
player,201309290rai,rai,JennRa00,pass_long,0,,,,,
player,201309290rai,rai,JennRa00,pass_rating,,,,,,
player,201309290rai,rai,JennRa00,rush_att,14,,,,,
player,201309290rai,rai,JennRa00,rush_yds,45,,,,,
player,201309290rai,rai,JennRa00,rush_td,0,,,,,
player,201309290rai,rai,JennRa00,rush_long,6,,,,,
player,201309290rai,rai,JennRa00,targets,8,,,,,
player,201309290rai,rai,JennRa00,rec,8,,,,,
player,201309290rai,rai,JennRa00,rec_yds,71,,,,,
player,201309290rai,rai,JennRa00,rec_td,0,,,,,
player,201309290rai,rai,JennRa00,rec_long,17,,,,,
player,201309290rai,rai,JennRa00,fumbles,0,,,,,
player,201309290rai,rai,JennRa00,fumbles_lost,0,,,,,
player,201309290rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201309290rai,rai,McFaDa00,pass_att,0,,,,,
player,201309290rai,rai,McFaDa00,pass_yds,0,,,,,
player,201309290rai,rai,McFaDa00,pass_td,0,,,,,
player,201309290rai,rai,McFaDa00,pass_int,0,,,,,
player,201309290rai,rai,McFaDa00,pass_sacked,,,,,,
player,201309290rai,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201309290rai,rai,McFaDa00,pass_long,0,,,,,
player,201309290rai,rai,McFaDa00,pass_rating,,,,,,
player,201309290rai,rai,McFaDa00,rush_att,5,,,,,
player,201309290rai,rai,McFaDa00,rush_yds,29,,,,,
player,201309290rai,rai,McFaDa00,rush_td,0,,,,,
player,201309290rai,rai,McFaDa00,rush_long,14,,,,,
player,201309290rai,rai,McFaDa00,targets,0,,,,,
player,201309290rai,rai,McFaDa00,rec,0,,,,,
player,201309290rai,rai,McFaDa00,rec_yds,0,,,,,
player,201309290rai,rai,McFaDa00,rec_td,0,,,,,
player,201309290rai,rai,McFaDa00,rec_long,0,,,,,
player,201309290rai,rai,McFaDa00,fumbles,0,,,,,
player,201309290rai,rai,McFaDa00,fumbles_lost,0,,,,,
player,201309290rai,rai,JoneTa00,pass_cmp,0,,,,,
player,201309290rai,rai,JoneTa00,pass_att,0,,,,,
player,201309290rai,rai,JoneTa00,pass_yds,0,,,,,
player,201309290rai,rai,JoneTa00,pass_td,0,,,,,
player,201309290rai,rai,JoneTa00,pass_int,0,,,,,
player,201309290rai,rai,JoneTa00,pass_sacked,,,,,,
player,201309290rai,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201309290rai,rai,JoneTa00,pass_long,0,,,,,
player,201309290rai,rai,JoneTa00,pass_rating,,,,,,
player,201309290rai,rai,JoneTa00,rush_att,1,,,,,
