game,2013,6,20131013,201310130nwe,nor,"New Orleans Saints",27,nwe,"New England Patriots",30
player,201310130nwe,nor,ReddKe00,pass_defended,0,,,,,
player,201310130nwe,nor,ReddKe00,sacks,0.0,,,,,
player,201310130nwe,nor,ReddKe00,tackles_combined,1,,,,,
player,201310130nwe,nor,ReddKe00,tackles_solo,1,,,,,
player,201310130nwe,nor,ReddKe00,tackles_assists,0,,,,,
player,201310130nwe,nor,ReddKe00,tackles_loss,0,,,,,
player,201310130nwe,nor,ReddKe00,qb_hits,0,,,,,
player,201310130nwe,nor,ReddKe00,fumbles_rec,0,,,,,
player,201310130nwe,nor,ReddKe00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,ReddKe00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,ReddKe00,fumbles_forced,0,,,,,
player,201310130nwe,nor,WhitCo01,def_int,0,,,,,
player,201310130nwe,nor,WhitCo01,def_int_yds,0,,,,,
player,201310130nwe,nor,WhitCo01,def_int_td,0,,,,,
player,201310130nwe,nor,WhitCo01,def_int_long,0,,,,,
player,201310130nwe,nor,WhitCo01,pass_defended,0,,,,,
player,201310130nwe,nor,WhitCo01,sacks,0.0,,,,,
player,201310130nwe,nor,WhitCo01,tackles_combined,1,,,,,
player,201310130nwe,nor,WhitCo01,tackles_solo,1,,,,,
player,201310130nwe,nor,WhitCo01,tackles_assists,0,,,,,
player,201310130nwe,nor,WhitCo01,tackles_loss,0,,,,,
player,201310130nwe,nor,WhitCo01,qb_hits,0,,,,,
player,201310130nwe,nor,WhitCo01,fumbles_rec,0,,,,,
player,201310130nwe,nor,WhitCo01,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,WhitCo01,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,WhitCo01,fumbles_forced,0,,,,,
player,201310130nwe,nwe,ArriKy00,def_int,1,,,,,
player,201310130nwe,nwe,ArriKy00,def_int_yds,5,,,,,
player,201310130nwe,nwe,ArriKy00,def_int_td,0,,,,,
player,201310130nwe,nwe,ArriKy00,def_int_long,5,,,,,
player,201310130nwe,nwe,ArriKy00,pass_defended,3,,,,,
player,201310130nwe,nwe,ArriKy00,sacks,0.0,,,,,
player,201310130nwe,nwe,ArriKy00,tackles_combined,3,,,,,
player,201310130nwe,nwe,ArriKy00,tackles_solo,1,,,,,
