game,2013,15,20131215,201312150ram,nor,"New Orleans Saints",16,ram,"St. Louis Rams",27
player,201312150ram,ram,HarkCo00,fumbles,0,,,,,
player,201312150ram,ram,HarkCo00,fumbles_lost,0,,,,,
player,201312150ram,ram,KendLa00,pass_cmp,0,,,,,
player,201312150ram,ram,KendLa00,pass_att,0,,,,,
player,201312150ram,ram,KendLa00,pass_yds,0,,,,,
player,201312150ram,ram,KendLa00,pass_td,0,,,,,
player,201312150ram,ram,KendLa00,pass_int,0,,,,,
player,201312150ram,ram,KendLa00,pass_sacked,0,,,,,
player,201312150ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201312150ram,ram,KendLa00,pass_long,0,,,,,
player,201312150ram,ram,KendLa00,pass_rating,,,,,,
player,201312150ram,ram,KendLa00,rush_att,0,,,,,
player,201312150ram,ram,KendLa00,rush_yds,0,,,,,
player,201312150ram,ram,KendLa00,rush_td,0,,,,,
player,201312150ram,ram,KendLa00,rush_long,0,,,,,
player,201312150ram,ram,KendLa00,targets,3,,,,,
player,201312150ram,ram,KendLa00,rec,2,,,,,
player,201312150ram,ram,KendLa00,rec_yds,13,,,,,
player,201312150ram,ram,KendLa00,rec_td,1,,,,,
player,201312150ram,ram,KendLa00,rec_long,9,,,,,
player,201312150ram,ram,KendLa00,fumbles,0,,,,,
player,201312150ram,ram,KendLa00,fumbles_lost,0,,,,,
player,201312150ram,ram,CookJa02,pass_cmp,0,,,,,
player,201312150ram,ram,CookJa02,pass_att,0,,,,,
player,201312150ram,ram,CookJa02,pass_yds,0,,,,,
player,201312150ram,ram,CookJa02,pass_td,0,,,,,
player,201312150ram,ram,CookJa02,pass_int,0,,,,,
player,201312150ram,ram,CookJa02,pass_sacked,0,,,,,
player,201312150ram,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201312150ram,ram,CookJa02,pass_long,0,,,,,
player,201312150ram,ram,CookJa02,pass_rating,,,,,,
player,201312150ram,ram,CookJa02,rush_att,0,,,,,
player,201312150ram,ram,CookJa02,rush_yds,0,,,,,
player,201312150ram,ram,CookJa02,rush_td,0,,,,,
player,201312150ram,ram,CookJa02,rush_long,0,,,,,
player,201312150ram,ram,CookJa02,targets,1,,,,,
player,201312150ram,ram,CookJa02,rec,1,,,,,
player,201312150ram,ram,CookJa02,rec_yds,8,,,,,
player,201312150ram,ram,CookJa02,rec_td,0,,,,,
player,201312150ram,ram,CookJa02,rec_long,8,,,,,
player,201312150ram,ram,CookJa02,fumbles,0,,,,,
player,201312150ram,ram,CookJa02,fumbles_lost,0,,,,,
player,201312150ram,ram,CunnBe01,pass_cmp,0,,,,,
player,201312150ram,ram,CunnBe01,pass_att,0,,,,,
player,201312150ram,ram,CunnBe01,pass_yds,0,,,,,
player,201312150ram,ram,CunnBe01,pass_td,0,,,,,
player,201312150ram,ram,CunnBe01,pass_int,0,,,,,
player,201312150ram,ram,CunnBe01,pass_sacked,0,,,,,
player,201312150ram,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201312150ram,ram,CunnBe01,pass_long,0,,,,,
