game,2013,17,20131229,201312290sdg,kan,"Kansas City Chiefs",24,sdg,"San Diego Chargers",27
player,201312290sdg,sdg,RoyaEd00,rush_att,2,,,,,
player,201312290sdg,sdg,RoyaEd00,rush_yds,17,,,,,
player,201312290sdg,sdg,RoyaEd00,rush_td,0,,,,,
player,201312290sdg,sdg,RoyaEd00,rush_long,15,,,,,
player,201312290sdg,sdg,RoyaEd00,targets,5,,,,,
player,201312290sdg,sdg,RoyaEd00,rec,3,,,,,
player,201312290sdg,sdg,RoyaEd00,rec_yds,34,,,,,
player,201312290sdg,sdg,RoyaEd00,rec_td,1,,,,,
player,201312290sdg,sdg,RoyaEd00,rec_long,30,,,,,
player,201312290sdg,sdg,RoyaEd00,fumbles,0,,,,,
player,201312290sdg,sdg,RoyaEd00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_cmp,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_att,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_yds,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_td,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_int,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_sacked,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_long,0,,,,,
player,201312290sdg,sdg,McClLe00,pass_rating,,,,,,
player,201312290sdg,sdg,McClLe00,rush_att,1,,,,,
player,201312290sdg,sdg,McClLe00,rush_yds,3,,,,,
player,201312290sdg,sdg,McClLe00,rush_td,0,,,,,
player,201312290sdg,sdg,McClLe00,rush_long,3,,,,,
player,201312290sdg,sdg,McClLe00,targets,0,,,,,
player,201312290sdg,sdg,McClLe00,rec,0,,,,,
player,201312290sdg,sdg,McClLe00,rec_yds,0,,,,,
player,201312290sdg,sdg,McClLe00,rec_td,0,,,,,
player,201312290sdg,sdg,McClLe00,rec_long,0,,,,,
player,201312290sdg,sdg,McClLe00,fumbles,0,,,,,
player,201312290sdg,sdg,McClLe00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_cmp,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_att,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_yds,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_td,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_int,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_sacked,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_long,0,,,,,
player,201312290sdg,sdg,WeddEr99,pass_rating,,,,,,
player,201312290sdg,sdg,WeddEr99,rush_att,1,,,,,
player,201312290sdg,sdg,WeddEr99,rush_yds,2,,,,,
player,201312290sdg,sdg,WeddEr99,rush_td,0,,,,,
player,201312290sdg,sdg,WeddEr99,rush_long,2,,,,,
player,201312290sdg,sdg,WeddEr99,targets,0,,,,,
player,201312290sdg,sdg,WeddEr99,rec,0,,,,,
player,201312290sdg,sdg,WeddEr99,rec_yds,0,,,,,
player,201312290sdg,sdg,WeddEr99,rec_td,0,,,,,
player,201312290sdg,sdg,WeddEr99,rec_long,0,,,,,
player,201312290sdg,sdg,WeddEr99,fumbles,0,,,,,
player,201312290sdg,sdg,WeddEr99,fumbles_lost,0,,,,,
player,201312290sdg,sdg,AlleKe00,pass_cmp,0,,,,,
player,201312290sdg,sdg,AlleKe00,pass_att,0,,,,,
player,201312290sdg,sdg,AlleKe00,pass_yds,0,,,,,
player,201312290sdg,sdg,AlleKe00,pass_td,0,,,,,
player,201312290sdg,sdg,AlleKe00,pass_int,0,,,,,
player,201312290sdg,sdg,AlleKe00,pass_sacked,0,,,,,
player,201312290sdg,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,AlleKe00,pass_long,0,,,,,
