game,2013,11,20131117,201311170chi,rav,"Baltimore Ravens",20,chi,"Chicago Bears",23
player,201311170chi,rav,ElamMa00,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,ElamMa00,fumbles_rec_td,0,,,,,
player,201311170chi,rav,ElamMa00,fumbles_forced,0,,,,,
player,201311170chi,rav,CantCh21,def_int,0,,,,,
player,201311170chi,rav,CantCh21,def_int_yds,0,,,,,
player,201311170chi,rav,CantCh21,def_int_td,0,,,,,
player,201311170chi,rav,CantCh21,def_int_long,0,,,,,
player,201311170chi,rav,CantCh21,pass_defended,0,,,,,
player,201311170chi,rav,CantCh21,sacks,0.0,,,,,
player,201311170chi,rav,CantCh21,tackles_combined,4,,,,,
player,201311170chi,rav,CantCh21,tackles_solo,4,,,,,
player,201311170chi,rav,CantCh21,tackles_assists,0,,,,,
player,201311170chi,rav,CantCh21,tackles_loss,1,,,,,
player,201311170chi,rav,CantCh21,qb_hits,1,,,,,
player,201311170chi,rav,CantCh21,fumbles_rec,0,,,,,
player,201311170chi,rav,CantCh21,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,CantCh21,fumbles_rec_td,0,,,,,
player,201311170chi,rav,CantCh21,fumbles_forced,0,,,,,
player,201311170chi,rav,SmitJi03,def_int,0,,,,,
player,201311170chi,rav,SmitJi03,def_int_yds,0,,,,,
player,201311170chi,rav,SmitJi03,def_int_td,0,,,,,
player,201311170chi,rav,SmitJi03,def_int_long,0,,,,,
player,201311170chi,rav,SmitJi03,pass_defended,2,,,,,
player,201311170chi,rav,SmitJi03,sacks,0.0,,,,,
player,201311170chi,rav,SmitJi03,tackles_combined,4,,,,,
player,201311170chi,rav,SmitJi03,tackles_solo,3,,,,,
player,201311170chi,rav,SmitJi03,tackles_assists,1,,,,,
player,201311170chi,rav,SmitJi03,tackles_loss,0,,,,,
player,201311170chi,rav,SmitJi03,qb_hits,0,,,,,
player,201311170chi,rav,SmitJi03,fumbles_rec,0,,,,,
player,201311170chi,rav,SmitJi03,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,SmitJi03,fumbles_rec_td,0,,,,,
player,201311170chi,rav,SmitJi03,fumbles_forced,0,,,,,
player,201311170chi,rav,WebbLa99,def_int,0,,,,,
player,201311170chi,rav,WebbLa99,def_int_yds,0,,,,,
player,201311170chi,rav,WebbLa99,def_int_td,0,,,,,
player,201311170chi,rav,WebbLa99,def_int_long,0,,,,,
player,201311170chi,rav,WebbLa99,pass_defended,1,,,,,
player,201311170chi,rav,WebbLa99,sacks,0.0,,,,,
player,201311170chi,rav,WebbLa99,tackles_combined,4,,,,,
player,201311170chi,rav,WebbLa99,tackles_solo,4,,,,,
player,201311170chi,rav,WebbLa99,tackles_assists,0,,,,,
player,201311170chi,rav,WebbLa99,tackles_loss,0,,,,,
player,201311170chi,rav,WebbLa99,qb_hits,0,,,,,
player,201311170chi,rav,WebbLa99,fumbles_rec,0,,,,,
player,201311170chi,rav,WebbLa99,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,WebbLa99,fumbles_rec_td,0,,,,,
player,201311170chi,rav,WebbLa99,fumbles_forced,0,,,,,
player,201311170chi,rav,McClJa01,def_int,0,,,,,
player,201311170chi,rav,McClJa01,def_int_yds,0,,,,,
player,201311170chi,rav,McClJa01,def_int_td,0,,,,,
player,201311170chi,rav,McClJa01,def_int_long,0,,,,,
player,201311170chi,rav,McClJa01,pass_defended,0,,,,,
player,201311170chi,rav,McClJa01,sacks,0.0,,,,,
player,201311170chi,rav,McClJa01,tackles_combined,3,,,,,
player,201311170chi,rav,McClJa01,tackles_solo,2,,,,,
player,201311170chi,rav,McClJa01,tackles_assists,1,,,,,
player,201311170chi,rav,McClJa01,tackles_loss,1,,,,,
player,201311170chi,rav,McClJa01,qb_hits,0,,,,,
player,201311170chi,rav,McClJa01,fumbles_rec,0,,,,,
player,201311170chi,rav,McClJa01,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,McClJa01,fumbles_rec_td,0,,,,,
player,201311170chi,rav,McClJa01,fumbles_forced,0,,,,,
player,201311170chi,rav,ByneJo00,def_int,0,,,,,
player,201311170chi,rav,ByneJo00,def_int_yds,0,,,,,
player,201311170chi,rav,ByneJo00,def_int_td,0,,,,,
player,201311170chi,rav,ByneJo00,def_int_long,0,,,,,
player,201311170chi,rav,ByneJo00,pass_defended,0,,,,,
player,201311170chi,rav,ByneJo00,sacks,0.0,,,,,
player,201311170chi,rav,ByneJo00,tackles_combined,2,,,,,
player,201311170chi,rav,ByneJo00,tackles_solo,2,,,,,
player,201311170chi,rav,ByneJo00,tackles_assists,0,,,,,
player,201311170chi,rav,ByneJo00,tackles_loss,0,,,,,
player,201311170chi,rav,ByneJo00,qb_hits,0,,,,,
player,201311170chi,rav,ByneJo00,fumbles_rec,0,,,,,
player,201311170chi,rav,ByneJo00,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,ByneJo00,fumbles_rec_td,0,,,,,
player,201311170chi,rav,ByneJo00,fumbles_forced,0,,,,,
player,201311170chi,rav,JoneAr22,def_int,0,,,,,
player,201311170chi,rav,JoneAr22,def_int_yds,0,,,,,
player,201311170chi,rav,JoneAr22,def_int_td,0,,,,,
player,201311170chi,rav,JoneAr22,def_int_long,0,,,,,
player,201311170chi,rav,JoneAr22,pass_defended,0,,,,,
player,201311170chi,rav,JoneAr22,sacks,0.0,,,,,
player,201311170chi,rav,JoneAr22,tackles_combined,2,,,,,
player,201311170chi,rav,JoneAr22,tackles_solo,2,,,,,
player,201311170chi,rav,JoneAr22,tackles_assists,0,,,,,
player,201311170chi,rav,JoneAr22,tackles_loss,0,,,,,
player,201311170chi,rav,JoneAr22,qb_hits,0,,,,,
player,201311170chi,rav,JoneAr22,fumbles_rec,0,,,,,
player,201311170chi,rav,JoneAr22,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,JoneAr22,fumbles_rec_td,0,,,,,
player,201311170chi,rav,JoneAr22,fumbles_forced,0,,,,,
player,201311170chi,rav,CodyTe99,def_int,0,,,,,
player,201311170chi,rav,CodyTe99,def_int_yds,0,,,,,
player,201311170chi,rav,CodyTe99,def_int_td,0,,,,,
player,201311170chi,rav,CodyTe99,def_int_long,0,,,,,
player,201311170chi,rav,CodyTe99,pass_defended,0,,,,,
player,201311170chi,rav,CodyTe99,sacks,0.0,,,,,
player,201311170chi,rav,CodyTe99,tackles_combined,1,,,,,
player,201311170chi,rav,CodyTe99,tackles_solo,1,,,,,
player,201311170chi,rav,CodyTe99,tackles_assists,0,,,,,
player,201311170chi,rav,CodyTe99,tackles_loss,0,,,,,
player,201311170chi,rav,CodyTe99,qb_hits,0,,,,,
player,201311170chi,rav,CodyTe99,fumbles_rec,0,,,,,
player,201311170chi,rav,CodyTe99,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,CodyTe99,fumbles_rec_td,0,,,,,
player,201311170chi,rav,CodyTe99,fumbles_forced,0,,,,,
player,201311170chi,rav,McPhPe00,def_int,0,,,,,
player,201311170chi,rav,McPhPe00,def_int_yds,0,,,,,
player,201311170chi,rav,McPhPe00,def_int_td,0,,,,,
player,201311170chi,rav,McPhPe00,def_int_long,0,,,,,
player,201311170chi,rav,McPhPe00,pass_defended,0,,,,,
player,201311170chi,rav,McPhPe00,sacks,0.0,,,,,
player,201311170chi,rav,McPhPe00,tackles_combined,1,,,,,
player,201311170chi,rav,McPhPe00,tackles_solo,1,,,,,
player,201311170chi,rav,McPhPe00,tackles_assists,0,,,,,
player,201311170chi,rav,McPhPe00,tackles_loss,0,,,,,
player,201311170chi,rav,McPhPe00,qb_hits,0,,,,,
player,201311170chi,rav,McPhPe00,fumbles_rec,0,,,,,
player,201311170chi,rav,McPhPe00,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,McPhPe00,fumbles_rec_td,0,,,,,
player,201311170chi,rav,McPhPe00,fumbles_forced,0,,,,,
player,201311170chi,rav,SuggTe99,def_int,0,,,,,
player,201311170chi,rav,SuggTe99,def_int_yds,0,,,,,
player,201311170chi,rav,SuggTe99,def_int_td,0,,,,,
player,201311170chi,rav,SuggTe99,def_int_long,0,,,,,
player,201311170chi,rav,SuggTe99,pass_defended,0,,,,,
player,201311170chi,rav,SuggTe99,sacks,0.0,,,,,
player,201311170chi,rav,SuggTe99,tackles_combined,1,,,,,
player,201311170chi,rav,SuggTe99,tackles_solo,1,,,,,
player,201311170chi,rav,SuggTe99,tackles_assists,0,,,,,
player,201311170chi,rav,SuggTe99,tackles_loss,0,,,,,
player,201311170chi,rav,SuggTe99,qb_hits,0,,,,,
player,201311170chi,rav,SuggTe99,fumbles_rec,0,,,,,
player,201311170chi,rav,SuggTe99,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,SuggTe99,fumbles_rec_td,0,,,,,
player,201311170chi,rav,SuggTe99,fumbles_forced,0,,,,,
player,201311170chi,rav,TrawBr00,def_int,0,,,,,
player,201311170chi,rav,TrawBr00,def_int_yds,0,,,,,
player,201311170chi,rav,TrawBr00,def_int_td,0,,,,,
player,201311170chi,rav,TrawBr00,def_int_long,0,,,,,
player,201311170chi,rav,TrawBr00,pass_defended,0,,,,,
player,201311170chi,rav,TrawBr00,sacks,0.0,,,,,
player,201311170chi,rav,TrawBr00,tackles_combined,1,,,,,
player,201311170chi,rav,TrawBr00,tackles_solo,1,,,,,
player,201311170chi,rav,TrawBr00,tackles_assists,0,,,,,
player,201311170chi,rav,TrawBr00,tackles_loss,0,,,,,
player,201311170chi,rav,TrawBr00,qb_hits,0,,,,,
player,201311170chi,rav,TrawBr00,fumbles_rec,0,,,,,
player,201311170chi,rav,TrawBr00,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,TrawBr00,fumbles_rec_td,0,,,,,
player,201311170chi,rav,TrawBr00,fumbles_forced,0,,,,,
player,201311170chi,rav,UpshCo00,def_int,0,,,,,
player,201311170chi,rav,UpshCo00,def_int_yds,0,,,,,
player,201311170chi,rav,UpshCo00,def_int_td,0,,,,,
player,201311170chi,rav,UpshCo00,def_int_long,0,,,,,
player,201311170chi,rav,UpshCo00,pass_defended,0,,,,,
player,201311170chi,rav,UpshCo00,sacks,0.0,,,,,
player,201311170chi,rav,UpshCo00,tackles_combined,1,,,,,
player,201311170chi,rav,UpshCo00,tackles_solo,1,,,,,
player,201311170chi,rav,UpshCo00,tackles_assists,0,,,,,
player,201311170chi,rav,UpshCo00,tackles_loss,0,,,,,
player,201311170chi,rav,UpshCo00,qb_hits,0,,,,,
player,201311170chi,rav,UpshCo00,fumbles_rec,0,,,,,
player,201311170chi,rav,UpshCo00,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,UpshCo00,fumbles_rec_td,0,,,,,
player,201311170chi,rav,UpshCo00,fumbles_forced,0,,,,,
player,201311170chi,rav,DumeEl20,def_int,0,,,,,
player,201311170chi,rav,DumeEl20,def_int_yds,0,,,,,
player,201311170chi,rav,DumeEl20,def_int_td,0,,,,,
player,201311170chi,rav,DumeEl20,def_int_long,0,,,,,
player,201311170chi,rav,DumeEl20,pass_defended,0,,,,,
player,201311170chi,rav,DumeEl20,sacks,0.0,,,,,
player,201311170chi,rav,DumeEl20,tackles_combined,0,,,,,
player,201311170chi,rav,DumeEl20,tackles_solo,0,,,,,
player,201311170chi,rav,DumeEl20,tackles_assists,0,,,,,
player,201311170chi,rav,DumeEl20,tackles_loss,0,,,,,
player,201311170chi,rav,DumeEl20,qb_hits,1,,,,,
player,201311170chi,rav,DumeEl20,fumbles_rec,0,,,,,
player,201311170chi,rav,DumeEl20,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,DumeEl20,fumbles_rec_td,0,,,,,
player,201311170chi,rav,DumeEl20,fumbles_forced,0,,,,,
player,201311170chi,chi,BostJo00,def_int,1,,,,,
player,201311170chi,chi,BostJo00,def_int_yds,0,,,,,
player,201311170chi,chi,BostJo00,def_int_td,0,,,,,
player,201311170chi,chi,BostJo00,def_int_long,0,,,,,
player,201311170chi,chi,BostJo00,pass_defended,1,,,,,
player,201311170chi,chi,BostJo00,sacks,0.0,,,,,
player,201311170chi,chi,BostJo00,tackles_combined,5,,,,,
player,201311170chi,chi,BostJo00,tackles_solo,5,,,,,
player,201311170chi,chi,BostJo00,tackles_assists,0,,,,,
player,201311170chi,chi,BostJo00,tackles_loss,1,,,,,
player,201311170chi,chi,BostJo00,qb_hits,0,,,,,
player,201311170chi,chi,BostJo00,fumbles_rec,0,,,,,
player,201311170chi,chi,BostJo00,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,BostJo00,fumbles_rec_td,0,,,,,
player,201311170chi,chi,BostJo00,fumbles_forced,0,,,,,
player,201311170chi,chi,BassDa00,def_int,1,,,,,
player,201311170chi,chi,BassDa00,def_int_yds,24,,,,,
player,201311170chi,chi,BassDa00,def_int_td,1,,,,,
player,201311170chi,chi,BassDa00,def_int_long,24,,,,,
player,201311170chi,chi,BassDa00,pass_defended,1,,,,,
player,201311170chi,chi,BassDa00,sacks,0.0,,,,,
player,201311170chi,chi,BassDa00,tackles_combined,4,,,,,
player,201311170chi,chi,BassDa00,tackles_solo,2,,,,,
player,201311170chi,chi,BassDa00,tackles_assists,2,,,,,
player,201311170chi,chi,BassDa00,tackles_loss,1,,,,,
player,201311170chi,chi,BassDa00,qb_hits,0,,,,,
player,201311170chi,chi,BassDa00,fumbles_rec,0,,,,,
player,201311170chi,chi,BassDa00,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,BassDa00,fumbles_rec_td,0,,,,,
player,201311170chi,chi,BassDa00,fumbles_forced,0,,,,,
player,201311170chi,chi,PeppJu99,def_int,0,,,,,
player,201311170chi,chi,PeppJu99,def_int_yds,0,,,,,
player,201311170chi,chi,PeppJu99,def_int_td,0,,,,,
player,201311170chi,chi,PeppJu99,def_int_long,0,,,,,
player,201311170chi,chi,PeppJu99,pass_defended,0,,,,,
player,201311170chi,chi,PeppJu99,sacks,2.0,,,,,
player,201311170chi,chi,PeppJu99,tackles_combined,11,,,,,
player,201311170chi,chi,PeppJu99,tackles_solo,8,,,,,
player,201311170chi,chi,PeppJu99,tackles_assists,3,,,,,
player,201311170chi,chi,PeppJu99,tackles_loss,4,,,,,
player,201311170chi,chi,PeppJu99,qb_hits,2,,,,,
player,201311170chi,chi,PeppJu99,fumbles_rec,0,,,,,
player,201311170chi,chi,PeppJu99,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,PeppJu99,fumbles_rec_td,0,,,,,
player,201311170chi,chi,PeppJu99,fumbles_forced,0,,,,,
player,201311170chi,chi,OzouCh00,def_int,0,,,,,
player,201311170chi,chi,OzouCh00,def_int_yds,0,,,,,
player,201311170chi,chi,OzouCh00,def_int_td,0,,,,,
player,201311170chi,chi,OzouCh00,def_int_long,0,,,,,
player,201311170chi,chi,OzouCh00,pass_defended,0,,,,,
player,201311170chi,chi,OzouCh00,sacks,1.0,,,,,
player,201311170chi,chi,OzouCh00,tackles_combined,1,,,,,
player,201311170chi,chi,OzouCh00,tackles_solo,1,,,,,
player,201311170chi,chi,OzouCh00,tackles_assists,0,,,,,
player,201311170chi,chi,OzouCh00,tackles_loss,0,,,,,
player,201311170chi,chi,OzouCh00,qb_hits,0,,,,,
player,201311170chi,chi,OzouCh00,fumbles_rec,0,,,,,
player,201311170chi,chi,OzouCh00,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,OzouCh00,fumbles_rec_td,0,,,,,
player,201311170chi,chi,OzouCh00,fumbles_forced,1,,,,,
player,201311170chi,chi,BowmZa20,def_int,0,,,,,
player,201311170chi,chi,BowmZa20,def_int_yds,0,,,,,
player,201311170chi,chi,BowmZa20,def_int_td,0,,,,,
player,201311170chi,chi,BowmZa20,def_int_long,0,,,,,
player,201311170chi,chi,BowmZa20,pass_defended,0,,,,,
player,201311170chi,chi,BowmZa20,sacks,0.0,,,,,
player,201311170chi,chi,BowmZa20,tackles_combined,9,,,,,
player,201311170chi,chi,BowmZa20,tackles_solo,9,,,,,
player,201311170chi,chi,BowmZa20,tackles_assists,0,,,,,
player,201311170chi,chi,BowmZa20,tackles_loss,1,,,,,
player,201311170chi,chi,BowmZa20,qb_hits,0,,,,,
player,201311170chi,chi,BowmZa20,fumbles_rec,0,,,,,
player,201311170chi,chi,BowmZa20,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,BowmZa20,fumbles_rec_td,0,,,,,
player,201311170chi,chi,BowmZa20,fumbles_forced,0,,,,,
player,201311170chi,chi,AndeJa21,def_int,0,,,,,
player,201311170chi,chi,AndeJa21,def_int_yds,0,,,,,
player,201311170chi,chi,AndeJa21,def_int_td,0,,,,,
player,201311170chi,chi,AndeJa21,def_int_long,0,,,,,
player,201311170chi,chi,AndeJa21,pass_defended,0,,,,,
player,201311170chi,chi,AndeJa21,sacks,0.0,,,,,
player,201311170chi,chi,AndeJa21,tackles_combined,8,,,,,
player,201311170chi,chi,AndeJa21,tackles_solo,7,,,,,
player,201311170chi,chi,AndeJa21,tackles_assists,1,,,,,
player,201311170chi,chi,AndeJa21,tackles_loss,1,,,,,
player,201311170chi,chi,AndeJa21,qb_hits,0,,,,,
player,201311170chi,chi,AndeJa21,fumbles_rec,0,,,,,
player,201311170chi,chi,AndeJa21,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,AndeJa21,fumbles_rec_td,0,,,,,
player,201311170chi,chi,AndeJa21,fumbles_forced,0,,,,,
player,201311170chi,chi,ContCh00,def_int,0,,,,,
player,201311170chi,chi,ContCh00,def_int_yds,0,,,,,
player,201311170chi,chi,ContCh00,def_int_td,0,,,,,
player,201311170chi,chi,ContCh00,def_int_long,0,,,,,
player,201311170chi,chi,ContCh00,pass_defended,0,,,,,
player,201311170chi,chi,ContCh00,sacks,0.0,,,,,
player,201311170chi,chi,ContCh00,tackles_combined,5,,,,,
player,201311170chi,chi,ContCh00,tackles_solo,4,,,,,
player,201311170chi,chi,ContCh00,tackles_assists,1,,,,,
player,201311170chi,chi,ContCh00,tackles_loss,1,,,,,
player,201311170chi,chi,ContCh00,qb_hits,0,,,,,
player,201311170chi,chi,ContCh00,fumbles_rec,0,,,,,
player,201311170chi,chi,ContCh00,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,ContCh00,fumbles_rec_td,0,,,,,
player,201311170chi,chi,ContCh00,fumbles_forced,0,,,,,
player,201311170chi,chi,GreeKh00,def_int,0,,,,,
player,201311170chi,chi,GreeKh00,def_int_yds,0,,,,,
player,201311170chi,chi,GreeKh00,def_int_td,0,,,,,
player,201311170chi,chi,GreeKh00,def_int_long,0,,,,,
player,201311170chi,chi,GreeKh00,pass_defended,0,,,,,
player,201311170chi,chi,GreeKh00,sacks,0.0,,,,,
player,201311170chi,chi,GreeKh00,tackles_combined,4,,,,,
player,201311170chi,chi,GreeKh00,tackles_solo,3,,,,,
player,201311170chi,chi,GreeKh00,tackles_assists,1,,,,,
player,201311170chi,chi,GreeKh00,tackles_loss,0,,,,,
player,201311170chi,chi,GreeKh00,qb_hits,0,,,,,
player,201311170chi,chi,GreeKh00,fumbles_rec,0,,,,,
player,201311170chi,chi,GreeKh00,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,GreeKh00,fumbles_rec_td,0,,,,,
player,201311170chi,chi,GreeKh00,fumbles_forced,0,,,,,
player,201311170chi,chi,WootCo99,def_int,0,,,,,
player,201311170chi,chi,WootCo99,def_int_yds,0,,,,,
player,201311170chi,chi,WootCo99,def_int_td,0,,,,,
player,201311170chi,chi,WootCo99,def_int_long,0,,,,,
player,201311170chi,chi,WootCo99,pass_defended,1,,,,,
player,201311170chi,chi,WootCo99,sacks,0.0,,,,,
player,201311170chi,chi,WootCo99,tackles_combined,4,,,,,
player,201311170chi,chi,WootCo99,tackles_solo,3,,,,,
player,201311170chi,chi,WootCo99,tackles_assists,1,,,,,
player,201311170chi,chi,WootCo99,tackles_loss,0,,,,,
player,201311170chi,chi,WootCo99,qb_hits,0,,,,,
player,201311170chi,chi,WootCo99,fumbles_rec,0,,,,,
player,201311170chi,chi,WootCo99,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,WootCo99,fumbles_rec_td,0,,,,,
player,201311170chi,chi,WootCo99,fumbles_forced,0,,,,,
player,201311170chi,chi,WrigMa99,def_int,0,,,,,
player,201311170chi,chi,WrigMa99,def_int_yds,0,,,,,
player,201311170chi,chi,WrigMa99,def_int_td,0,,,,,
player,201311170chi,chi,WrigMa99,def_int_long,0,,,,,
player,201311170chi,chi,WrigMa99,pass_defended,0,,,,,
player,201311170chi,chi,WrigMa99,sacks,0.0,,,,,
player,201311170chi,chi,WrigMa99,tackles_combined,4,,,,,
player,201311170chi,chi,WrigMa99,tackles_solo,4,,,,,
player,201311170chi,chi,WrigMa99,tackles_assists,0,,,,,
player,201311170chi,chi,WrigMa99,tackles_loss,0,,,,,
player,201311170chi,chi,WrigMa99,qb_hits,0,,,,,
player,201311170chi,chi,WrigMa99,fumbles_rec,0,,,,,
player,201311170chi,chi,WrigMa99,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,WrigMa99,fumbles_rec_td,0,,,,,
player,201311170chi,chi,WrigMa99,fumbles_forced,0,,,,,
player,201311170chi,chi,CoheLa99,def_int,0,,,,,
player,201311170chi,chi,CoheLa99,def_int_yds,0,,,,,
player,201311170chi,chi,CoheLa99,def_int_td,0,,,,,
player,201311170chi,chi,CoheLa99,def_int_long,0,,,,,
player,201311170chi,chi,CoheLa99,pass_defended,0,,,,,
player,201311170chi,chi,CoheLa99,sacks,0.0,,,,,
player,201311170chi,chi,CoheLa99,tackles_combined,3,,,,,
player,201311170chi,chi,CoheLa99,tackles_solo,1,,,,,
player,201311170chi,chi,CoheLa99,tackles_assists,2,,,,,
player,201311170chi,chi,CoheLa99,tackles_loss,0,,,,,
player,201311170chi,chi,CoheLa99,qb_hits,0,,,,,
player,201311170chi,chi,CoheLa99,fumbles_rec,0,,,,,
player,201311170chi,chi,CoheLa99,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,CoheLa99,fumbles_rec_td,0,,,,,
player,201311170chi,chi,CoheLa99,fumbles_forced,0,,,,,
player,201311170chi,chi,FreyIs00,def_int,0,,,,,
player,201311170chi,chi,FreyIs00,def_int_yds,0,,,,,
player,201311170chi,chi,FreyIs00,def_int_td,0,,,,,
player,201311170chi,chi,FreyIs00,def_int_long,0,,,,,
player,201311170chi,chi,FreyIs00,pass_defended,0,,,,,
player,201311170chi,chi,FreyIs00,sacks,0.0,,,,,
player,201311170chi,chi,FreyIs00,tackles_combined,3,,,,,
player,201311170chi,chi,FreyIs00,tackles_solo,2,,,,,
player,201311170chi,chi,FreyIs00,tackles_assists,1,,,,,
player,201311170chi,chi,FreyIs00,tackles_loss,0,,,,,
player,201311170chi,chi,FreyIs00,qb_hits,0,,,,,
player,201311170chi,chi,FreyIs00,fumbles_rec,0,,,,,
player,201311170chi,chi,FreyIs00,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,FreyIs00,fumbles_rec_td,0,,,,,
player,201311170chi,chi,FreyIs00,fumbles_forced,0,,,,,
player,201311170chi,chi,JennTi20,def_int,0,,,,,
player,201311170chi,chi,JennTi20,def_int_yds,0,,,,,
player,201311170chi,chi,JennTi20,def_int_td,0,,,,,
player,201311170chi,chi,JennTi20,def_int_long,0,,,,,
player,201311170chi,chi,JennTi20,pass_defended,1,,,,,
player,201311170chi,chi,JennTi20,sacks,0.0,,,,,
player,201311170chi,chi,JennTi20,tackles_combined,3,,,,,
player,201311170chi,chi,JennTi20,tackles_solo,3,,,,,
player,201311170chi,chi,JennTi20,tackles_assists,0,,,,,
player,201311170chi,chi,JennTi20,tackles_loss,0,,,,,
player,201311170chi,chi,JennTi20,qb_hits,0,,,,,
player,201311170chi,chi,JennTi20,fumbles_rec,0,,,,,
player,201311170chi,chi,JennTi20,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,JennTi20,fumbles_rec_td,0,,,,,
player,201311170chi,chi,JennTi20,fumbles_forced,0,,,,,
player,201311170chi,chi,McMaSh99,def_int,0,,,,,
player,201311170chi,chi,McMaSh99,def_int_yds,0,,,,,
player,201311170chi,chi,McMaSh99,def_int_td,0,,,,,
player,201311170chi,chi,McMaSh99,def_int_long,0,,,,,
player,201311170chi,chi,McMaSh99,pass_defended,0,,,,,
player,201311170chi,chi,McMaSh99,sacks,0.0,,,,,
player,201311170chi,chi,McMaSh99,tackles_combined,2,,,,,
player,201311170chi,chi,McMaSh99,tackles_solo,1,,,,,
player,201311170chi,chi,McMaSh99,tackles_assists,1,,,,,
player,201311170chi,chi,McMaSh99,tackles_loss,0,,,,,
player,201311170chi,chi,McMaSh99,qb_hits,0,,,,,
player,201311170chi,chi,McMaSh99,fumbles_rec,0,,,,,
player,201311170chi,chi,McMaSh99,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,McMaSh99,fumbles_rec_td,0,,,,,
player,201311170chi,chi,McMaSh99,fumbles_forced,0,,,,,
player,201311170chi,chi,StelCr99,def_int,0,,,,,
player,201311170chi,chi,StelCr99,def_int_yds,0,,,,,
player,201311170chi,chi,StelCr99,def_int_td,0,,,,,
player,201311170chi,chi,StelCr99,def_int_long,0,,,,,
player,201311170chi,chi,StelCr99,pass_defended,0,,,,,
player,201311170chi,chi,StelCr99,sacks,0.0,,,,,
player,201311170chi,chi,StelCr99,tackles_combined,2,,,,,
player,201311170chi,chi,StelCr99,tackles_solo,2,,,,,
player,201311170chi,chi,StelCr99,tackles_assists,0,,,,,
player,201311170chi,chi,StelCr99,tackles_loss,0,,,,,
player,201311170chi,chi,StelCr99,qb_hits,0,,,,,
player,201311170chi,chi,StelCr99,fumbles_rec,0,,,,,
player,201311170chi,chi,StelCr99,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,StelCr99,fumbles_rec_td,0,,,,,
player,201311170chi,chi,StelCr99,fumbles_forced,0,,,,,
player,201311170chi,chi,FordMi00,def_int,0,,,,,
player,201311170chi,chi,FordMi00,def_int_yds,0,,,,,
player,201311170chi,chi,FordMi00,def_int_td,0,,,,,
player,201311170chi,chi,FordMi00,def_int_long,0,,,,,
player,201311170chi,chi,FordMi00,pass_defended,0,,,,,
player,201311170chi,chi,FordMi00,sacks,0.0,,,,,
player,201311170chi,chi,FordMi00,tackles_combined,1,,,,,
player,201311170chi,chi,FordMi00,tackles_solo,1,,,,,
player,201311170chi,chi,FordMi00,tackles_assists,0,,,,,
player,201311170chi,chi,FordMi00,tackles_loss,0,,,,,
player,201311170chi,chi,FordMi00,qb_hits,0,,,,,
player,201311170chi,chi,FordMi00,fumbles_rec,0,,,,,
player,201311170chi,chi,FordMi00,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,FordMi00,fumbles_rec_td,0,,,,,
player,201311170chi,chi,FordMi00,fumbles_forced,0,,,,,
player,201311170chi,chi,WeemEr00,def_int,0,,,,,
player,201311170chi,chi,WeemEr00,def_int_yds,0,,,,,
player,201311170chi,chi,WeemEr00,def_int_td,0,,,,,
player,201311170chi,chi,WeemEr00,def_int_long,0,,,,,
player,201311170chi,chi,WeemEr00,pass_defended,0,,,,,
player,201311170chi,chi,WeemEr00,sacks,0.0,,,,,
player,201311170chi,chi,WeemEr00,tackles_combined,1,,,,,
player,201311170chi,chi,WeemEr00,tackles_solo,0,,,,,
player,201311170chi,chi,WeemEr00,tackles_assists,1,,,,,
player,201311170chi,chi,WeemEr00,tackles_loss,0,,,,,
player,201311170chi,chi,WeemEr00,qb_hits,0,,,,,
player,201311170chi,chi,WeemEr00,fumbles_rec,0,,,,,
player,201311170chi,chi,WeemEr00,fumbles_rec_yds,0,,,,,
player,201311170chi,chi,WeemEr00,fumbles_rec_td,0,,,,,
player,201311170chi,chi,WeemEr00,fumbles_forced,0,,,,,
player,201311170chi,rav,JoneJa03,kick_ret,2,,,,,
