game,2013,9,20131103,201311030cle,rav,"Baltimore Ravens",18,cle,"Cleveland Browns",24
player,201311030cle,rav,ThomDe04,pass_int,0,,,,,
player,201311030cle,rav,ThomDe04,pass_sacked,0,,,,,
player,201311030cle,rav,ThomDe04,pass_sacked_yds,0,,,,,
player,201311030cle,rav,ThomDe04,pass_long,0,,,,,
player,201311030cle,rav,ThomDe04,pass_rating,,,,,,
player,201311030cle,rav,ThomDe04,rush_att,0,,,,,
player,201311030cle,rav,ThomDe04,rush_yds,0,,,,,
player,201311030cle,rav,ThomDe04,rush_td,0,,,,,
player,201311030cle,rav,ThomDe04,rush_long,0,,,,,
player,201311030cle,rav,ThomDe04,targets,4,,,,,
player,201311030cle,rav,ThomDe04,rec,3,,,,,
player,201311030cle,rav,ThomDe04,rec_yds,24,,,,,
player,201311030cle,rav,ThomDe04,rec_td,0,,,,,
player,201311030cle,rav,ThomDe04,rec_long,10,,,,,
player,201311030cle,rav,ThomDe04,fumbles,0,,,,,
player,201311030cle,rav,ThomDe04,fumbles_lost,0,,,,,
player,201311030cle,rav,ClarDa00,pass_cmp,0,,,,,
player,201311030cle,rav,ClarDa00,pass_att,0,,,,,
player,201311030cle,rav,ClarDa00,pass_yds,0,,,,,
player,201311030cle,rav,ClarDa00,pass_td,0,,,,,
player,201311030cle,rav,ClarDa00,pass_int,0,,,,,
player,201311030cle,rav,ClarDa00,pass_sacked,0,,,,,
player,201311030cle,rav,ClarDa00,pass_sacked_yds,0,,,,,
player,201311030cle,rav,ClarDa00,pass_long,0,,,,,
player,201311030cle,rav,ClarDa00,pass_rating,,,,,,
player,201311030cle,rav,ClarDa00,rush_att,0,,,,,
player,201311030cle,rav,ClarDa00,rush_yds,0,,,,,
player,201311030cle,rav,ClarDa00,rush_td,0,,,,,
player,201311030cle,rav,ClarDa00,rush_long,0,,,,,
player,201311030cle,rav,ClarDa00,targets,1,,,,,
player,201311030cle,rav,ClarDa00,rec,1,,,,,
player,201311030cle,rav,ClarDa00,rec_yds,14,,,,,
player,201311030cle,rav,ClarDa00,rec_td,0,,,,,
player,201311030cle,rav,ClarDa00,rec_long,14,,,,,
player,201311030cle,rav,ClarDa00,fumbles,0,,,,,
player,201311030cle,rav,ClarDa00,fumbles_lost,0,,,,,
player,201311030cle,rav,DickEd00,pass_cmp,0,,,,,
player,201311030cle,rav,DickEd00,pass_att,0,,,,,
player,201311030cle,rav,DickEd00,pass_yds,0,,,,,
player,201311030cle,rav,DickEd00,pass_td,0,,,,,
player,201311030cle,rav,DickEd00,pass_int,0,,,,,
player,201311030cle,rav,DickEd00,pass_sacked,0,,,,,
player,201311030cle,rav,DickEd00,pass_sacked_yds,0,,,,,
player,201311030cle,rav,DickEd00,pass_long,0,,,,,
player,201311030cle,rav,DickEd00,pass_rating,,,,,,
player,201311030cle,rav,DickEd00,rush_att,0,,,,,
player,201311030cle,rav,DickEd00,rush_yds,0,,,,,
player,201311030cle,rav,DickEd00,rush_td,0,,,,,
player,201311030cle,rav,DickEd00,rush_long,0,,,,,
player,201311030cle,rav,DickEd00,targets,3,,,,,
player,201311030cle,rav,DickEd00,rec,1,,,,,
player,201311030cle,rav,DickEd00,rec_yds,3,,,,,
player,201311030cle,rav,DickEd00,rec_td,0,,,,,
player,201311030cle,rav,DickEd00,rec_long,3,,,,,
player,201311030cle,rav,DickEd00,fumbles,0,,,,,
player,201311030cle,rav,DickEd00,fumbles_lost,0,,,,,
player,201311030cle,cle,CampJa00,pass_cmp,23,,,,,
player,201311030cle,cle,CampJa00,pass_att,35,,,,,
player,201311030cle,cle,CampJa00,pass_yds,262,,,,,
player,201311030cle,cle,CampJa00,pass_td,3,,,,,
player,201311030cle,cle,CampJa00,pass_int,0,,,,,
player,201311030cle,cle,CampJa00,pass_sacked,2,,,,,
player,201311030cle,cle,CampJa00,pass_sacked_yds,18,,,,,
player,201311030cle,cle,CampJa00,pass_long,46,,,,,
player,201311030cle,cle,CampJa00,pass_rating,116.6,,,,,
player,201311030cle,cle,CampJa00,rush_att,4,,,,,
player,201311030cle,cle,CampJa00,rush_yds,20,,,,,
player,201311030cle,cle,CampJa00,rush_td,0,,,,,
player,201311030cle,cle,CampJa00,rush_long,12,,,,,
player,201311030cle,cle,CampJa00,targets,0,,,,,
player,201311030cle,cle,CampJa00,rec,0,,,,,
player,201311030cle,cle,CampJa00,rec_yds,0,,,,,
player,201311030cle,cle,CampJa00,rec_td,0,,,,,
