game,2013,6,20131013,201310130min,car,"Carolina Panthers",35,min,"Minnesota Vikings",10
player,201310130min,min,PattCo00,fumbles_lost,0,,,,,
player,201310130min,car,MitcMi99,def_int,2,,,,,
player,201310130min,car,MitcMi99,def_int_yds,62,,,,,
player,201310130min,car,MitcMi99,def_int_td,0,,,,,
player,201310130min,car,MitcMi99,def_int_long,38,,,,,
player,201310130min,car,MitcMi99,pass_defended,2,,,,,
player,201310130min,car,MitcMi99,sacks,1.0,,,,,
player,201310130min,car,MitcMi99,tackles_combined,7,,,,,
player,201310130min,car,MitcMi99,tackles_solo,6,,,,,
player,201310130min,car,MitcMi99,tackles_assists,1,,,,,
player,201310130min,car,MitcMi99,tackles_loss,1,,,,,
player,201310130min,car,MitcMi99,qb_hits,1,,,,,
player,201310130min,car,MitcMi99,fumbles_rec,0,,,,,
player,201310130min,car,MitcMi99,fumbles_rec_yds,0,,,,,
player,201310130min,car,MitcMi99,fumbles_rec_td,0,,,,,
player,201310130min,car,MitcMi99,fumbles_forced,0,,,,,
player,201310130min,car,DaviTh20,def_int,0,,,,,
player,201310130min,car,DaviTh20,def_int_yds,0,,,,,
player,201310130min,car,DaviTh20,def_int_td,0,,,,,
player,201310130min,car,DaviTh20,def_int_long,0,,,,,
player,201310130min,car,DaviTh20,pass_defended,1,,,,,
player,201310130min,car,DaviTh20,sacks,2.0,,,,,
player,201310130min,car,DaviTh20,tackles_combined,9,,,,,
player,201310130min,car,DaviTh20,tackles_solo,8,,,,,
player,201310130min,car,DaviTh20,tackles_assists,1,,,,,
player,201310130min,car,DaviTh20,tackles_loss,2,,,,,
player,201310130min,car,DaviTh20,qb_hits,2,,,,,
player,201310130min,car,DaviTh20,fumbles_rec,0,,,,,
player,201310130min,car,DaviTh20,fumbles_rec_yds,0,,,,,
player,201310130min,car,DaviTh20,fumbles_rec_td,0,,,,,
player,201310130min,car,DaviTh20,fumbles_forced,0,,,,,
player,201310130min,car,KuecLu00,def_int,0,,,,,
player,201310130min,car,KuecLu00,def_int_yds,0,,,,,
player,201310130min,car,KuecLu00,def_int_td,0,,,,,
player,201310130min,car,KuecLu00,def_int_long,0,,,,,
player,201310130min,car,KuecLu00,pass_defended,0,,,,,
player,201310130min,car,KuecLu00,sacks,0.0,,,,,
player,201310130min,car,KuecLu00,tackles_combined,7,,,,,
player,201310130min,car,KuecLu00,tackles_solo,3,,,,,
player,201310130min,car,KuecLu00,tackles_assists,4,,,,,
player,201310130min,car,KuecLu00,tackles_loss,1,,,,,
player,201310130min,car,KuecLu00,qb_hits,0,,,,,
player,201310130min,car,KuecLu00,fumbles_rec,0,,,,,
player,201310130min,car,KuecLu00,fumbles_rec_yds,0,,,,,
player,201310130min,car,KuecLu00,fumbles_rec_td,0,,,,,
player,201310130min,car,KuecLu00,fumbles_forced,0,,,,,
player,201310130min,car,MikeQu20,def_int,0,,,,,
player,201310130min,car,MikeQu20,def_int_yds,0,,,,,
player,201310130min,car,MikeQu20,def_int_td,0,,,,,
player,201310130min,car,MikeQu20,def_int_long,0,,,,,
player,201310130min,car,MikeQu20,pass_defended,1,,,,,
player,201310130min,car,MikeQu20,sacks,0.0,,,,,
player,201310130min,car,MikeQu20,tackles_combined,5,,,,,
player,201310130min,car,MikeQu20,tackles_solo,5,,,,,
player,201310130min,car,MikeQu20,tackles_assists,0,,,,,
player,201310130min,car,MikeQu20,tackles_loss,0,,,,,
player,201310130min,car,MikeQu20,qb_hits,0,,,,,
player,201310130min,car,MikeQu20,fumbles_rec,0,,,,,
player,201310130min,car,MikeQu20,fumbles_rec_yds,0,,,,,
player,201310130min,car,MikeQu20,fumbles_rec_td,0,,,,,
player,201310130min,car,MikeQu20,fumbles_forced,0,,,,,
player,201310130min,car,BlacCh21,def_int,0,,,,,
player,201310130min,car,BlacCh21,def_int_yds,0,,,,,
player,201310130min,car,BlacCh21,def_int_td,0,,,,,
player,201310130min,car,BlacCh21,def_int_long,0,,,,,
