game,2013,8,20131027,201310270rai,pit,"Pittsburgh Steelers",18,rai,"Oakland Raiders",21
player,201310270rai,rai,MastJe20,rush_td,0,,,,,
player,201310270rai,rai,MastJe20,rush_long,0,,,,,
player,201310270rai,rai,MastJe20,targets,1,,,,,
player,201310270rai,rai,MastJe20,rec,1,,,,,
player,201310270rai,rai,MastJe20,rec_yds,9,,,,,
player,201310270rai,rai,MastJe20,rec_td,0,,,,,
player,201310270rai,rai,MastJe20,rec_long,9,,,,,
player,201310270rai,rai,MastJe20,fumbles,0,,,,,
player,201310270rai,rai,MastJe20,fumbles_lost,0,,,,,
player,201310270rai,rai,HolmAn00,pass_cmp,0,,,,,
player,201310270rai,rai,HolmAn00,pass_att,0,,,,,
player,201310270rai,rai,HolmAn00,pass_yds,0,,,,,
player,201310270rai,rai,HolmAn00,pass_td,0,,,,,
player,201310270rai,rai,HolmAn00,pass_int,0,,,,,
player,201310270rai,rai,HolmAn00,pass_sacked,0,,,,,
player,201310270rai,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201310270rai,rai,HolmAn00,pass_long,0,,,,,
player,201310270rai,rai,HolmAn00,pass_rating,,,,,,
player,201310270rai,rai,HolmAn00,rush_att,0,,,,,
player,201310270rai,rai,HolmAn00,rush_yds,0,,,,,
player,201310270rai,rai,HolmAn00,rush_td,0,,,,,
player,201310270rai,rai,HolmAn00,rush_long,0,,,,,
player,201310270rai,rai,HolmAn00,targets,1,,,,,
player,201310270rai,rai,HolmAn00,rec,0,,,,,
player,201310270rai,rai,HolmAn00,rec_yds,0,,,,,
player,201310270rai,rai,HolmAn00,rec_td,0,,,,,
player,201310270rai,rai,HolmAn00,rec_long,0,,,,,
player,201310270rai,rai,HolmAn00,fumbles,0,,,,,
player,201310270rai,rai,HolmAn00,fumbles_lost,0,,,,,
player,201310270rai,rai,RiveMy00,pass_cmp,0,,,,,
player,201310270rai,rai,RiveMy00,pass_att,0,,,,,
player,201310270rai,rai,RiveMy00,pass_yds,0,,,,,
player,201310270rai,rai,RiveMy00,pass_td,0,,,,,
player,201310270rai,rai,RiveMy00,pass_int,0,,,,,
player,201310270rai,rai,RiveMy00,pass_sacked,0,,,,,
player,201310270rai,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201310270rai,rai,RiveMy00,pass_long,0,,,,,
player,201310270rai,rai,RiveMy00,pass_rating,,,,,,
player,201310270rai,rai,RiveMy00,rush_att,0,,,,,
player,201310270rai,rai,RiveMy00,rush_yds,0,,,,,
player,201310270rai,rai,RiveMy00,rush_td,0,,,,,
player,201310270rai,rai,RiveMy00,rush_long,0,,,,,
player,201310270rai,rai,RiveMy00,targets,1,,,,,
player,201310270rai,rai,RiveMy00,rec,0,,,,,
player,201310270rai,rai,RiveMy00,rec_yds,0,,,,,
player,201310270rai,rai,RiveMy00,rec_td,0,,,,,
player,201310270rai,rai,RiveMy00,rec_long,0,,,,,
player,201310270rai,rai,RiveMy00,fumbles,0,,,,,
player,201310270rai,rai,RiveMy00,fumbles_lost,0,,,,,
player,201310270rai,rai,ButlBr00,pass_cmp,0,,,,,
player,201310270rai,rai,ButlBr00,pass_att,0,,,,,
player,201310270rai,rai,ButlBr00,pass_yds,0,,,,,
player,201310270rai,rai,ButlBr00,pass_td,0,,,,,
player,201310270rai,rai,ButlBr00,pass_int,0,,,,,
player,201310270rai,rai,ButlBr00,pass_sacked,0,,,,,
player,201310270rai,rai,ButlBr00,pass_sacked_yds,0,,,,,
player,201310270rai,rai,ButlBr00,pass_long,0,,,,,
player,201310270rai,rai,ButlBr00,pass_rating,,,,,,
player,201310270rai,rai,ButlBr00,rush_att,0,,,,,
player,201310270rai,rai,ButlBr00,rush_yds,0,,,,,
player,201310270rai,rai,ButlBr00,rush_td,0,,,,,
player,201310270rai,rai,ButlBr00,rush_long,0,,,,,
player,201310270rai,rai,ButlBr00,targets,3,,,,,
player,201310270rai,rai,ButlBr00,rec,0,,,,,
player,201310270rai,rai,ButlBr00,rec_yds,0,,,,,
player,201310270rai,rai,ButlBr00,rec_td,0,,,,,
player,201310270rai,rai,ButlBr00,rec_long,0,,,,,
player,201310270rai,rai,ButlBr00,fumbles,0,,,,,
player,201310270rai,rai,ButlBr00,fumbles_lost,0,,,,,
player,201310270rai,rai,FordJa01,pass_cmp,0,,,,,
player,201310270rai,rai,FordJa01,pass_att,0,,,,,
player,201310270rai,rai,FordJa01,pass_yds,0,,,,,
player,201310270rai,rai,FordJa01,pass_td,0,,,,,
player,201310270rai,rai,FordJa01,pass_int,0,,,,,
player,201310270rai,rai,FordJa01,pass_sacked,,,,,,
player,201310270rai,rai,FordJa01,pass_sacked_yds,0,,,,,
player,201310270rai,rai,FordJa01,pass_long,0,,,,,
player,201310270rai,rai,FordJa01,pass_rating,,,,,,
player,201310270rai,rai,FordJa01,rush_att,0,,,,,
player,201310270rai,rai,FordJa01,rush_yds,0,,,,,
player,201310270rai,rai,FordJa01,rush_td,0,,,,,
player,201310270rai,rai,FordJa01,rush_long,0,,,,,
player,201310270rai,rai,FordJa01,targets,1,,,,,
player,201310270rai,rai,FordJa01,rec,1,,,,,
player,201310270rai,rai,FordJa01,rec_yds,-3,,,,,
player,201310270rai,rai,FordJa01,rec_td,0,,,,,
player,201310270rai,rai,FordJa01,rec_long,-3,,,,,
player,201310270rai,rai,FordJa01,fumbles,2,,,,,
player,201310270rai,rai,FordJa01,fumbles_lost,1,,,,,
player,201310270rai,pit,PolaTr99,def_int,1,,,,,
player,201310270rai,pit,PolaTr99,def_int_yds,17,,,,,
player,201310270rai,pit,PolaTr99,def_int_td,0,,,,,
player,201310270rai,pit,PolaTr99,def_int_long,17,,,,,
player,201310270rai,pit,PolaTr99,pass_defended,2,,,,,
player,201310270rai,pit,PolaTr99,sacks,1.0,,,,,
player,201310270rai,pit,PolaTr99,tackles_combined,3,,,,,
player,201310270rai,pit,PolaTr99,tackles_solo,3,,,,,
player,201310270rai,pit,PolaTr99,tackles_assists,0,,,,,
player,201310270rai,pit,PolaTr99,tackles_loss,2,,,,,
player,201310270rai,pit,PolaTr99,qb_hits,1,,,,,
player,201310270rai,pit,PolaTr99,fumbles_rec,0,,,,,
player,201310270rai,pit,PolaTr99,fumbles_rec_yds,0,,,,,
player,201310270rai,pit,PolaTr99,fumbles_rec_td,0,,,,,
player,201310270rai,pit,PolaTr99,fumbles_forced,0,,,,,
player,201310270rai,pit,AlleCo00,def_int,1,,,,,
player,201310270rai,pit,AlleCo00,def_int_yds,3,,,,,
player,201310270rai,pit,AlleCo00,def_int_td,0,,,,,
player,201310270rai,pit,AlleCo00,def_int_long,3,,,,,
player,201310270rai,pit,AlleCo00,pass_defended,1,,,,,
player,201310270rai,pit,AlleCo00,sacks,0.0,,,,,
player,201310270rai,pit,AlleCo00,tackles_combined,1,,,,,
player,201310270rai,pit,AlleCo00,tackles_solo,1,,,,,
player,201310270rai,pit,AlleCo00,tackles_assists,0,,,,,
player,201310270rai,pit,AlleCo00,tackles_loss,0,,,,,
player,201310270rai,pit,AlleCo00,qb_hits,0,,,,,
player,201310270rai,pit,AlleCo00,fumbles_rec,0,,,,,
player,201310270rai,pit,AlleCo00,fumbles_rec_yds,0,,,,,
player,201310270rai,pit,AlleCo00,fumbles_rec_td,0,,,,,
player,201310270rai,pit,AlleCo00,fumbles_forced,0,,,,,
player,201310270rai,pit,KeisBr20,def_int,0,,,,,
player,201310270rai,pit,KeisBr20,def_int_yds,0,,,,,
player,201310270rai,pit,KeisBr20,def_int_td,0,,,,,
player,201310270rai,pit,KeisBr20,def_int_long,0,,,,,
player,201310270rai,pit,KeisBr20,pass_defended,0,,,,,
player,201310270rai,pit,KeisBr20,sacks,1.0,,,,,
player,201310270rai,pit,KeisBr20,tackles_combined,5,,,,,
player,201310270rai,pit,KeisBr20,tackles_solo,3,,,,,
player,201310270rai,pit,KeisBr20,tackles_assists,2,,,,,
player,201310270rai,pit,KeisBr20,tackles_loss,1,,,,,
player,201310270rai,pit,KeisBr20,qb_hits,1,,,,,
player,201310270rai,pit,KeisBr20,fumbles_rec,1,,,,,
player,201310270rai,pit,KeisBr20,fumbles_rec_yds,1,,,,,
player,201310270rai,pit,KeisBr20,fumbles_rec_td,0,,,,,
player,201310270rai,pit,KeisBr20,fumbles_forced,0,,,,,
player,201310270rai,pit,ClarRy20,def_int,0,,,,,
player,201310270rai,pit,ClarRy20,def_int_yds,0,,,,,
player,201310270rai,pit,ClarRy20,def_int_td,0,,,,,
player,201310270rai,pit,ClarRy20,def_int_long,0,,,,,
