game,2013,8,20131027,201310270den,was,"Washington Redskins",21,den,"Denver Broncos",45
player,201310270den,was,PaulLo00,pass_long,0,,,,,
player,201310270den,was,PaulLo00,pass_rating,,,,,,
player,201310270den,was,PaulLo00,rush_att,0,,,,,
player,201310270den,was,PaulLo00,rush_yds,0,,,,,
player,201310270den,was,PaulLo00,rush_td,0,,,,,
player,201310270den,was,PaulLo00,rush_long,0,,,,,
player,201310270den,was,PaulLo00,targets,1,,,,,
player,201310270den,was,PaulLo00,rec,0,,,,,
player,201310270den,was,PaulLo00,rec_yds,0,,,,,
player,201310270den,was,PaulLo00,rec_td,0,,,,,
player,201310270den,was,PaulLo00,rec_long,0,,,,,
player,201310270den,was,PaulLo00,fumbles,0,,,,,
player,201310270den,was,PaulLo00,fumbles_lost,0,,,,,
player,201310270den,den,MannPe00,pass_cmp,30,,,,,
player,201310270den,den,MannPe00,pass_att,44,,,,,
player,201310270den,den,MannPe00,pass_yds,354,,,,,
player,201310270den,den,MannPe00,pass_td,4,,,,,
player,201310270den,den,MannPe00,pass_int,3,,,,,
player,201310270den,den,MannPe00,pass_sacked,2,,,,,
player,201310270den,den,MannPe00,pass_sacked_yds,15,,,,,
player,201310270den,den,MannPe00,pass_long,35,,,,,
player,201310270den,den,MannPe00,pass_rating,94.3,,,,,
player,201310270den,den,MannPe00,rush_att,4,,,,,
player,201310270den,den,MannPe00,rush_yds,-3,,,,,
player,201310270den,den,MannPe00,rush_td,0,,,,,
player,201310270den,den,MannPe00,rush_long,0,,,,,
player,201310270den,den,MannPe00,targets,0,,,,,
player,201310270den,den,MannPe00,rec,0,,,,,
player,201310270den,den,MannPe00,rec_yds,0,,,,,
player,201310270den,den,MannPe00,rec_td,0,,,,,
player,201310270den,den,MannPe00,rec_long,0,,,,,
player,201310270den,den,MannPe00,fumbles,1,,,,,
player,201310270den,den,MannPe00,fumbles_lost,1,,,,,
player,201310270den,den,MoreKn00,pass_cmp,0,,,,,
player,201310270den,den,MoreKn00,pass_att,0,,,,,
player,201310270den,den,MoreKn00,pass_yds,0,,,,,
player,201310270den,den,MoreKn00,pass_td,0,,,,,
player,201310270den,den,MoreKn00,pass_int,0,,,,,
player,201310270den,den,MoreKn00,pass_sacked,0,,,,,
player,201310270den,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201310270den,den,MoreKn00,pass_long,0,,,,,
player,201310270den,den,MoreKn00,pass_rating,,,,,,
player,201310270den,den,MoreKn00,rush_att,13,,,,,
player,201310270den,den,MoreKn00,rush_yds,43,,,,,
player,201310270den,den,MoreKn00,rush_td,0,,,,,
player,201310270den,den,MoreKn00,rush_long,8,,,,,
player,201310270den,den,MoreKn00,targets,6,,,,,
player,201310270den,den,MoreKn00,rec,6,,,,,
player,201310270den,den,MoreKn00,rec_yds,89,,,,,
player,201310270den,den,MoreKn00,rec_td,1,,,,,
player,201310270den,den,MoreKn00,rec_long,35,,,,,
player,201310270den,den,MoreKn00,fumbles,0,,,,,
player,201310270den,den,MoreKn00,fumbles_lost,0,,,,,
player,201310270den,den,BallMo00,pass_cmp,0,,,,,
player,201310270den,den,BallMo00,pass_att,0,,,,,
player,201310270den,den,BallMo00,pass_yds,0,,,,,
player,201310270den,den,BallMo00,pass_td,0,,,,,
player,201310270den,den,BallMo00,pass_int,0,,,,,
player,201310270den,den,BallMo00,pass_sacked,0,,,,,
player,201310270den,den,BallMo00,pass_sacked_yds,0,,,,,
player,201310270den,den,BallMo00,pass_long,0,,,,,
