game,2013,7,20131020,201310200car,ram,"St. Louis Rams",15,car,"Carolina Panthers",30
player,201310200car,ram,KendLa00,pass_rating,,,,,,
player,201310200car,ram,KendLa00,rush_att,0,,,,,
player,201310200car,ram,KendLa00,rush_yds,0,,,,,
player,201310200car,ram,KendLa00,rush_td,0,,,,,
player,201310200car,ram,KendLa00,rush_long,0,,,,,
player,201310200car,ram,KendLa00,targets,3,,,,,
player,201310200car,ram,KendLa00,rec,2,,,,,
player,201310200car,ram,KendLa00,rec_yds,7,,,,,
player,201310200car,ram,KendLa00,rec_td,0,,,,,
player,201310200car,ram,KendLa00,rec_long,4,,,,,
player,201310200car,ram,KendLa00,fumbles,0,,,,,
player,201310200car,ram,KendLa00,fumbles_lost,0,,,,,
player,201310200car,car,NewtCa00,pass_cmp,15,,,,,
player,201310200car,car,NewtCa00,pass_att,17,,,,,
player,201310200car,car,NewtCa00,pass_yds,204,,,,,
player,201310200car,car,NewtCa00,pass_td,1,,,,,
player,201310200car,car,NewtCa00,pass_int,0,,,,,
player,201310200car,car,NewtCa00,pass_sacked,2,,,,,
player,201310200car,car,NewtCa00,pass_sacked_yds,24,,,,,
player,201310200car,car,NewtCa00,pass_long,25,,,,,
player,201310200car,car,NewtCa00,pass_rating,136.3,,,,,
player,201310200car,car,NewtCa00,rush_att,10,,,,,
player,201310200car,car,NewtCa00,rush_yds,26,,,,,
player,201310200car,car,NewtCa00,rush_td,0,,,,,
player,201310200car,car,NewtCa00,rush_long,13,,,,,
player,201310200car,car,NewtCa00,targets,0,,,,,
player,201310200car,car,NewtCa00,rec,0,,,,,
player,201310200car,car,NewtCa00,rec_yds,0,,,,,
player,201310200car,car,NewtCa00,rec_td,0,,,,,
player,201310200car,car,NewtCa00,rec_long,0,,,,,
player,201310200car,car,NewtCa00,fumbles,1,,,,,
player,201310200car,car,NewtCa00,fumbles_lost,0,,,,,
player,201310200car,car,WillDe02,pass_cmp,0,,,,,
player,201310200car,car,WillDe02,pass_att,0,,,,,
player,201310200car,car,WillDe02,pass_yds,0,,,,,
player,201310200car,car,WillDe02,pass_td,0,,,,,
player,201310200car,car,WillDe02,pass_int,0,,,,,
