game,2013,14,20131208,201312080nwe,cle,"Cleveland Browns",26,nwe,"New England Patriots",27
player,201312080nwe,nwe,MullMa00,rec_yds,15,,,,,
player,201312080nwe,nwe,MullMa00,rec_td,0,,,,,
player,201312080nwe,nwe,MullMa00,rec_long,15,,,,,
player,201312080nwe,nwe,MullMa00,fumbles,0,,,,,
player,201312080nwe,nwe,MullMa00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_cmp,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_att,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_yds,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_td,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_int,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_sacked,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_long,0,,,,,
player,201312080nwe,nwe,CollAu00,pass_rating,,,,,,
player,201312080nwe,nwe,CollAu00,rush_att,0,,,,,
player,201312080nwe,nwe,CollAu00,rush_yds,0,,,,,
player,201312080nwe,nwe,CollAu00,rush_td,0,,,,,
player,201312080nwe,nwe,CollAu00,rush_long,0,,,,,
player,201312080nwe,nwe,CollAu00,targets,1,,,,,
player,201312080nwe,nwe,CollAu00,rec,1,,,,,
player,201312080nwe,nwe,CollAu00,rec_yds,4,,,,,
player,201312080nwe,nwe,CollAu00,rec_td,0,,,,,
player,201312080nwe,nwe,CollAu00,rec_long,4,,,,,
player,201312080nwe,nwe,CollAu00,fumbles,0,,,,,
player,201312080nwe,nwe,CollAu00,fumbles_lost,0,,,,,
player,201312080nwe,cle,JackDQ20,def_int,1,,,,,
player,201312080nwe,cle,JackDQ20,def_int_yds,0,,,,,
player,201312080nwe,cle,JackDQ20,def_int_td,0,,,,,
player,201312080nwe,cle,JackDQ20,def_int_long,0,,,,,
player,201312080nwe,cle,JackDQ20,pass_defended,1,,,,,
player,201312080nwe,cle,JackDQ20,sacks,0.0,,,,,
player,201312080nwe,cle,JackDQ20,tackles_combined,9,,,,,
player,201312080nwe,cle,JackDQ20,tackles_solo,4,,,,,
player,201312080nwe,cle,JackDQ20,tackles_assists,5,,,,,
player,201312080nwe,cle,JackDQ20,tackles_loss,0,,,,,
player,201312080nwe,cle,JackDQ20,qb_hits,0,,,,,
player,201312080nwe,cle,JackDQ20,fumbles_rec,0,,,,,
player,201312080nwe,cle,JackDQ20,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,JackDQ20,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,JackDQ20,fumbles_forced,0,,,,,
player,201312080nwe,cle,KrugPa99,def_int,0,,,,,
player,201312080nwe,cle,KrugPa99,def_int_yds,0,,,,,
player,201312080nwe,cle,KrugPa99,def_int_td,0,,,,,
player,201312080nwe,cle,KrugPa99,def_int_long,0,,,,,
player,201312080nwe,cle,KrugPa99,pass_defended,1,,,,,
player,201312080nwe,cle,KrugPa99,sacks,2.0,,,,,
player,201312080nwe,cle,KrugPa99,tackles_combined,4,,,,,
player,201312080nwe,cle,KrugPa99,tackles_solo,2,,,,,
player,201312080nwe,cle,KrugPa99,tackles_assists,2,,,,,
player,201312080nwe,cle,KrugPa99,tackles_loss,1,,,,,
player,201312080nwe,cle,KrugPa99,qb_hits,2,,,,,
player,201312080nwe,cle,KrugPa99,fumbles_rec,0,,,,,
player,201312080nwe,cle,KrugPa99,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,KrugPa99,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,KrugPa99,fumbles_forced,1,,,,,
player,201312080nwe,cle,MingBa00,def_int,0,,,,,
player,201312080nwe,cle,MingBa00,def_int_yds,0,,,,,
player,201312080nwe,cle,MingBa00,def_int_td,0,,,,,
player,201312080nwe,cle,MingBa00,def_int_long,0,,,,,
player,201312080nwe,cle,MingBa00,pass_defended,0,,,,,
player,201312080nwe,cle,MingBa00,sacks,1.0,,,,,
player,201312080nwe,cle,MingBa00,tackles_combined,4,,,,,
player,201312080nwe,cle,MingBa00,tackles_solo,2,,,,,
player,201312080nwe,cle,MingBa00,tackles_assists,2,,,,,
player,201312080nwe,cle,MingBa00,tackles_loss,1,,,,,
player,201312080nwe,cle,MingBa00,qb_hits,1,,,,,
player,201312080nwe,cle,MingBa00,fumbles_rec,0,,,,,
player,201312080nwe,cle,MingBa00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,MingBa00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,MingBa00,fumbles_forced,0,,,,,
player,201312080nwe,cle,SheaJa00,def_int,0,,,,,
player,201312080nwe,cle,SheaJa00,def_int_yds,0,,,,,
player,201312080nwe,cle,SheaJa00,def_int_td,0,,,,,
player,201312080nwe,cle,SheaJa00,def_int_long,0,,,,,
player,201312080nwe,cle,SheaJa00,pass_defended,0,,,,,
player,201312080nwe,cle,SheaJa00,sacks,1.0,,,,,
player,201312080nwe,cle,SheaJa00,tackles_combined,2,,,,,
player,201312080nwe,cle,SheaJa00,tackles_solo,1,,,,,
player,201312080nwe,cle,SheaJa00,tackles_assists,1,,,,,
player,201312080nwe,cle,SheaJa00,tackles_loss,1,,,,,
player,201312080nwe,cle,SheaJa00,qb_hits,1,,,,,
player,201312080nwe,cle,SheaJa00,fumbles_rec,0,,,,,
player,201312080nwe,cle,SheaJa00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,SheaJa00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,SheaJa00,fumbles_forced,0,,,,,
player,201312080nwe,cle,WardT.99,def_int,0,,,,,
player,201312080nwe,cle,WardT.99,def_int_yds,0,,,,,
player,201312080nwe,cle,WardT.99,def_int_td,0,,,,,
player,201312080nwe,cle,WardT.99,def_int_long,0,,,,,
player,201312080nwe,cle,WardT.99,pass_defended,0,,,,,
player,201312080nwe,cle,WardT.99,sacks,0.0,,,,,
player,201312080nwe,cle,WardT.99,tackles_combined,8,,,,,
player,201312080nwe,cle,WardT.99,tackles_solo,3,,,,,
player,201312080nwe,cle,WardT.99,tackles_assists,5,,,,,
player,201312080nwe,cle,WardT.99,tackles_loss,0,,,,,
player,201312080nwe,cle,WardT.99,qb_hits,0,,,,,
player,201312080nwe,cle,WardT.99,fumbles_rec,0,,,,,
player,201312080nwe,cle,WardT.99,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,WardT.99,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,WardT.99,fumbles_forced,0,,,,,
player,201312080nwe,cle,McFaLe00,def_int,0,,,,,
player,201312080nwe,cle,McFaLe00,def_int_yds,0,,,,,
player,201312080nwe,cle,McFaLe00,def_int_td,0,,,,,
player,201312080nwe,cle,McFaLe00,def_int_long,0,,,,,
player,201312080nwe,cle,McFaLe00,pass_defended,0,,,,,
player,201312080nwe,cle,McFaLe00,sacks,0.0,,,,,
player,201312080nwe,cle,McFaLe00,tackles_combined,7,,,,,
player,201312080nwe,cle,McFaLe00,tackles_solo,4,,,,,
player,201312080nwe,cle,McFaLe00,tackles_assists,3,,,,,
player,201312080nwe,cle,McFaLe00,tackles_loss,0,,,,,
player,201312080nwe,cle,McFaLe00,qb_hits,0,,,,,
player,201312080nwe,cle,McFaLe00,fumbles_rec,0,,,,,
player,201312080nwe,cle,McFaLe00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,McFaLe00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,McFaLe00,fumbles_forced,0,,,,,
player,201312080nwe,cle,PoyeJo00,def_int,0,,,,,
player,201312080nwe,cle,PoyeJo00,def_int_yds,0,,,,,
player,201312080nwe,cle,PoyeJo00,def_int_td,0,,,,,
player,201312080nwe,cle,PoyeJo00,def_int_long,0,,,,,
player,201312080nwe,cle,PoyeJo00,pass_defended,0,,,,,
player,201312080nwe,cle,PoyeJo00,sacks,0.0,,,,,
player,201312080nwe,cle,PoyeJo00,tackles_combined,6,,,,,
player,201312080nwe,cle,PoyeJo00,tackles_solo,6,,,,,
player,201312080nwe,cle,PoyeJo00,tackles_assists,0,,,,,
player,201312080nwe,cle,PoyeJo00,tackles_loss,0,,,,,
player,201312080nwe,cle,PoyeJo00,qb_hits,0,,,,,
player,201312080nwe,cle,PoyeJo00,fumbles_rec,0,,,,,
player,201312080nwe,cle,PoyeJo00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,PoyeJo00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,PoyeJo00,fumbles_forced,0,,,,,
player,201312080nwe,cle,GipsTa00,def_int,0,,,,,
player,201312080nwe,cle,GipsTa00,def_int_yds,0,,,,,
player,201312080nwe,cle,GipsTa00,def_int_td,0,,,,,
player,201312080nwe,cle,GipsTa00,def_int_long,0,,,,,
player,201312080nwe,cle,GipsTa00,pass_defended,0,,,,,
player,201312080nwe,cle,GipsTa00,sacks,0.0,,,,,
player,201312080nwe,cle,GipsTa00,tackles_combined,5,,,,,
player,201312080nwe,cle,GipsTa00,tackles_solo,2,,,,,
player,201312080nwe,cle,GipsTa00,tackles_assists,3,,,,,
player,201312080nwe,cle,GipsTa00,tackles_loss,0,,,,,
player,201312080nwe,cle,GipsTa00,qb_hits,0,,,,,
player,201312080nwe,cle,GipsTa00,fumbles_rec,0,,,,,
player,201312080nwe,cle,GipsTa00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,GipsTa00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,GipsTa00,fumbles_forced,0,,,,,
player,201312080nwe,cle,HadeJo99,def_int,0,,,,,
player,201312080nwe,cle,HadeJo99,def_int_yds,0,,,,,
player,201312080nwe,cle,HadeJo99,def_int_td,0,,,,,
player,201312080nwe,cle,HadeJo99,def_int_long,0,,,,,
player,201312080nwe,cle,HadeJo99,pass_defended,0,,,,,
player,201312080nwe,cle,HadeJo99,sacks,0.0,,,,,
player,201312080nwe,cle,HadeJo99,tackles_combined,4,,,,,
player,201312080nwe,cle,HadeJo99,tackles_solo,3,,,,,
player,201312080nwe,cle,HadeJo99,tackles_assists,1,,,,,
player,201312080nwe,cle,HadeJo99,tackles_loss,0,,,,,
player,201312080nwe,cle,HadeJo99,qb_hits,0,,,,,
player,201312080nwe,cle,HadeJo99,fumbles_rec,0,,,,,
player,201312080nwe,cle,HadeJo99,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,HadeJo99,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,HadeJo99,fumbles_forced,0,,,,,
player,201312080nwe,cle,RobeCr00,def_int,0,,,,,
player,201312080nwe,cle,RobeCr00,def_int_yds,0,,,,,
player,201312080nwe,cle,RobeCr00,def_int_td,0,,,,,
player,201312080nwe,cle,RobeCr00,def_int_long,0,,,,,
player,201312080nwe,cle,RobeCr00,pass_defended,0,,,,,
player,201312080nwe,cle,RobeCr00,sacks,0.0,,,,,
player,201312080nwe,cle,RobeCr00,tackles_combined,4,,,,,
player,201312080nwe,cle,RobeCr00,tackles_solo,1,,,,,
player,201312080nwe,cle,RobeCr00,tackles_assists,3,,,,,
player,201312080nwe,cle,RobeCr00,tackles_loss,0,,,,,
player,201312080nwe,cle,RobeCr00,qb_hits,0,,,,,
player,201312080nwe,cle,RobeCr00,fumbles_rec,0,,,,,
player,201312080nwe,cle,RobeCr00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,RobeCr00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,RobeCr00,fumbles_forced,0,,,,,
player,201312080nwe,cle,RubiAh99,def_int,0,,,,,
player,201312080nwe,cle,RubiAh99,def_int_yds,0,,,,,
player,201312080nwe,cle,RubiAh99,def_int_td,0,,,,,
player,201312080nwe,cle,RubiAh99,def_int_long,0,,,,,
player,201312080nwe,cle,RubiAh99,pass_defended,0,,,,,
player,201312080nwe,cle,RubiAh99,sacks,0.0,,,,,
player,201312080nwe,cle,RubiAh99,tackles_combined,3,,,,,
player,201312080nwe,cle,RubiAh99,tackles_solo,3,,,,,
player,201312080nwe,cle,RubiAh99,tackles_assists,0,,,,,
player,201312080nwe,cle,RubiAh99,tackles_loss,0,,,,,
player,201312080nwe,cle,RubiAh99,qb_hits,1,,,,,
player,201312080nwe,cle,RubiAh99,fumbles_rec,0,,,,,
player,201312080nwe,cle,RubiAh99,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,RubiAh99,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,RubiAh99,fumbles_forced,0,,,,,
player,201312080nwe,cle,SkriBu00,def_int,0,,,,,
player,201312080nwe,cle,SkriBu00,def_int_yds,0,,,,,
player,201312080nwe,cle,SkriBu00,def_int_td,0,,,,,
player,201312080nwe,cle,SkriBu00,def_int_long,0,,,,,
player,201312080nwe,cle,SkriBu00,pass_defended,0,,,,,
player,201312080nwe,cle,SkriBu00,sacks,0.0,,,,,
player,201312080nwe,cle,SkriBu00,tackles_combined,3,,,,,
player,201312080nwe,cle,SkriBu00,tackles_solo,2,,,,,
player,201312080nwe,cle,SkriBu00,tackles_assists,1,,,,,
player,201312080nwe,cle,SkriBu00,tackles_loss,0,,,,,
player,201312080nwe,cle,SkriBu00,qb_hits,0,,,,,
player,201312080nwe,cle,SkriBu00,fumbles_rec,0,,,,,
player,201312080nwe,cle,SkriBu00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,SkriBu00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,SkriBu00,fumbles_forced,0,,,,,
player,201312080nwe,cle,BadeJo00,def_int,0,,,,,
player,201312080nwe,cle,BadeJo00,def_int_yds,0,,,,,
player,201312080nwe,cle,BadeJo00,def_int_td,0,,,,,
player,201312080nwe,cle,BadeJo00,def_int_long,0,,,,,
player,201312080nwe,cle,BadeJo00,pass_defended,0,,,,,
player,201312080nwe,cle,BadeJo00,sacks,0.0,,,,,
player,201312080nwe,cle,BadeJo00,tackles_combined,2,,,,,
player,201312080nwe,cle,BadeJo00,tackles_solo,1,,,,,
player,201312080nwe,cle,BadeJo00,tackles_assists,1,,,,,
player,201312080nwe,cle,BadeJo00,tackles_loss,0,,,,,
player,201312080nwe,cle,BadeJo00,qb_hits,0,,,,,
player,201312080nwe,cle,BadeJo00,fumbles_rec,0,,,,,
player,201312080nwe,cle,BadeJo00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,BadeJo00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,BadeJo00,fumbles_forced,0,,,,,
player,201312080nwe,cle,TaylPh00,def_int,0,,,,,
player,201312080nwe,cle,TaylPh00,def_int_yds,0,,,,,
player,201312080nwe,cle,TaylPh00,def_int_td,0,,,,,
player,201312080nwe,cle,TaylPh00,def_int_long,0,,,,,
player,201312080nwe,cle,TaylPh00,pass_defended,1,,,,,
player,201312080nwe,cle,TaylPh00,sacks,0.0,,,,,
player,201312080nwe,cle,TaylPh00,tackles_combined,2,,,,,
player,201312080nwe,cle,TaylPh00,tackles_solo,1,,,,,
player,201312080nwe,cle,TaylPh00,tackles_assists,1,,,,,
player,201312080nwe,cle,TaylPh00,tackles_loss,1,,,,,
player,201312080nwe,cle,TaylPh00,qb_hits,0,,,,,
player,201312080nwe,cle,TaylPh00,fumbles_rec,0,,,,,
player,201312080nwe,cle,TaylPh00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,TaylPh00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,TaylPh00,fumbles_forced,0,,,,,
player,201312080nwe,cle,BryaAr00,def_int,0,,,,,
player,201312080nwe,cle,BryaAr00,def_int_yds,0,,,,,
player,201312080nwe,cle,BryaAr00,def_int_td,0,,,,,
player,201312080nwe,cle,BryaAr00,def_int_long,0,,,,,
player,201312080nwe,cle,BryaAr00,pass_defended,0,,,,,
player,201312080nwe,cle,BryaAr00,sacks,0.0,,,,,
player,201312080nwe,cle,BryaAr00,tackles_combined,1,,,,,
player,201312080nwe,cle,BryaAr00,tackles_solo,0,,,,,
player,201312080nwe,cle,BryaAr00,tackles_assists,1,,,,,
player,201312080nwe,cle,BryaAr00,tackles_loss,0,,,,,
player,201312080nwe,cle,BryaAr00,qb_hits,0,,,,,
player,201312080nwe,cle,BryaAr00,fumbles_rec,0,,,,,
player,201312080nwe,cle,BryaAr00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,BryaAr00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,BryaAr00,fumbles_forced,0,,,,,
player,201312080nwe,cle,EubaDa00,def_int,0,,,,,
player,201312080nwe,cle,EubaDa00,def_int_yds,0,,,,,
player,201312080nwe,cle,EubaDa00,def_int_td,0,,,,,
player,201312080nwe,cle,EubaDa00,def_int_long,0,,,,,
player,201312080nwe,cle,EubaDa00,pass_defended,0,,,,,
player,201312080nwe,cle,EubaDa00,sacks,0.0,,,,,
player,201312080nwe,cle,EubaDa00,tackles_combined,1,,,,,
player,201312080nwe,cle,EubaDa00,tackles_solo,0,,,,,
player,201312080nwe,cle,EubaDa00,tackles_assists,1,,,,,
player,201312080nwe,cle,EubaDa00,tackles_loss,0,,,,,
player,201312080nwe,cle,EubaDa00,qb_hits,0,,,,,
player,201312080nwe,cle,EubaDa00,fumbles_rec,0,,,,,
player,201312080nwe,cle,EubaDa00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,EubaDa00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,EubaDa00,fumbles_forced,0,,,,,
player,201312080nwe,cle,HughJo00,def_int,0,,,,,
player,201312080nwe,cle,HughJo00,def_int_yds,0,,,,,
player,201312080nwe,cle,HughJo00,def_int_td,0,,,,,
player,201312080nwe,cle,HughJo00,def_int_long,0,,,,,
player,201312080nwe,cle,HughJo00,pass_defended,0,,,,,
player,201312080nwe,cle,HughJo00,sacks,0.0,,,,,
player,201312080nwe,cle,HughJo00,tackles_combined,1,,,,,
player,201312080nwe,cle,HughJo00,tackles_solo,1,,,,,
player,201312080nwe,cle,HughJo00,tackles_assists,0,,,,,
player,201312080nwe,cle,HughJo00,tackles_loss,0,,,,,
player,201312080nwe,cle,HughJo00,qb_hits,0,,,,,
player,201312080nwe,cle,HughJo00,fumbles_rec,1,,,,,
player,201312080nwe,cle,HughJo00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,HughJo00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,HughJo00,fumbles_forced,0,,,,,
player,201312080nwe,cle,MartEr02,def_int,0,,,,,
player,201312080nwe,cle,MartEr02,def_int_yds,0,,,,,
player,201312080nwe,cle,MartEr02,def_int_td,0,,,,,
player,201312080nwe,cle,MartEr02,def_int_long,0,,,,,
player,201312080nwe,cle,MartEr02,pass_defended,0,,,,,
player,201312080nwe,cle,MartEr02,sacks,0.0,,,,,
player,201312080nwe,cle,MartEr02,tackles_combined,1,,,,,
player,201312080nwe,cle,MartEr02,tackles_solo,1,,,,,
player,201312080nwe,cle,MartEr02,tackles_assists,0,,,,,
player,201312080nwe,cle,MartEr02,tackles_loss,0,,,,,
player,201312080nwe,cle,MartEr02,qb_hits,0,,,,,
player,201312080nwe,cle,MartEr02,fumbles_rec,0,,,,,
player,201312080nwe,cle,MartEr02,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,MartEr02,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,MartEr02,fumbles_forced,0,,,,,
player,201312080nwe,cle,PoseJu00,def_int,0,,,,,
player,201312080nwe,cle,PoseJu00,def_int_yds,0,,,,,
player,201312080nwe,cle,PoseJu00,def_int_td,0,,,,,
player,201312080nwe,cle,PoseJu00,def_int_long,0,,,,,
player,201312080nwe,cle,PoseJu00,pass_defended,0,,,,,
player,201312080nwe,cle,PoseJu00,sacks,0.0,,,,,
player,201312080nwe,cle,PoseJu00,tackles_combined,1,,,,,
player,201312080nwe,cle,PoseJu00,tackles_solo,1,,,,,
player,201312080nwe,cle,PoseJu00,tackles_assists,0,,,,,
player,201312080nwe,cle,PoseJu00,tackles_loss,0,,,,,
player,201312080nwe,cle,PoseJu00,qb_hits,0,,,,,
player,201312080nwe,cle,PoseJu00,fumbles_rec,0,,,,,
player,201312080nwe,cle,PoseJu00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,PoseJu00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,PoseJu00,fumbles_forced,0,,,,,
player,201312080nwe,cle,WinnBi00,def_int,0,,,,,
player,201312080nwe,cle,WinnBi00,def_int_yds,0,,,,,
player,201312080nwe,cle,WinnBi00,def_int_td,0,,,,,
player,201312080nwe,cle,WinnBi00,def_int_long,0,,,,,
player,201312080nwe,cle,WinnBi00,pass_defended,0,,,,,
player,201312080nwe,cle,WinnBi00,sacks,0.0,,,,,
player,201312080nwe,cle,WinnBi00,tackles_combined,0,,,,,
player,201312080nwe,cle,WinnBi00,tackles_solo,0,,,,,
player,201312080nwe,cle,WinnBi00,tackles_assists,0,,,,,
player,201312080nwe,cle,WinnBi00,tackles_loss,0,,,,,
player,201312080nwe,cle,WinnBi00,qb_hits,1,,,,,
player,201312080nwe,cle,WinnBi00,fumbles_rec,0,,,,,
player,201312080nwe,cle,WinnBi00,fumbles_rec_yds,0,,,,,
player,201312080nwe,cle,WinnBi00,fumbles_rec_td,0,,,,,
player,201312080nwe,cle,WinnBi00,fumbles_forced,0,,,,,
player,201312080nwe,nwe,NinkRo20,def_int,0,,,,,
player,201312080nwe,nwe,NinkRo20,def_int_yds,0,,,,,
player,201312080nwe,nwe,NinkRo20,def_int_td,0,,,,,
player,201312080nwe,nwe,NinkRo20,def_int_long,0,,,,,
player,201312080nwe,nwe,NinkRo20,pass_defended,0,,,,,
player,201312080nwe,nwe,NinkRo20,sacks,1.0,,,,,
player,201312080nwe,nwe,NinkRo20,tackles_combined,7,,,,,
player,201312080nwe,nwe,NinkRo20,tackles_solo,5,,,,,
player,201312080nwe,nwe,NinkRo20,tackles_assists,2,,,,,
player,201312080nwe,nwe,NinkRo20,tackles_loss,2,,,,,
player,201312080nwe,nwe,NinkRo20,qb_hits,2,,,,,
player,201312080nwe,nwe,NinkRo20,fumbles_rec,0,,,,,
player,201312080nwe,nwe,NinkRo20,fumbles_rec_yds,0,,,,,
player,201312080nwe,nwe,NinkRo20,fumbles_rec_td,0,,,,,
player,201312080nwe,nwe,NinkRo20,fumbles_forced,0,,,,,
player,201312080nwe,nwe,HighDo01,def_int,0,,,,,
player,201312080nwe,nwe,HighDo01,def_int_yds,0,,,,,
player,201312080nwe,nwe,HighDo01,def_int_td,0,,,,,
player,201312080nwe,nwe,HighDo01,def_int_long,0,,,,,
player,201312080nwe,nwe,HighDo01,pass_defended,0,,,,,
player,201312080nwe,nwe,HighDo01,sacks,0.0,,,,,
player,201312080nwe,nwe,HighDo01,tackles_combined,11,,,,,
player,201312080nwe,nwe,HighDo01,tackles_solo,7,,,,,
player,201312080nwe,nwe,HighDo01,tackles_assists,4,,,,,
player,201312080nwe,nwe,HighDo01,tackles_loss,0,,,,,
player,201312080nwe,nwe,HighDo01,qb_hits,1,,,,,
player,201312080nwe,nwe,HighDo01,fumbles_rec,0,,,,,
player,201312080nwe,nwe,HighDo01,fumbles_rec_yds,0,,,,,
player,201312080nwe,nwe,HighDo01,fumbles_rec_td,0,,,,,
player,201312080nwe,nwe,HighDo01,fumbles_forced,0,,,,,
player,201312080nwe,nwe,CollJa00,def_int,0,,,,,
player,201312080nwe,nwe,CollJa00,def_int_yds,0,,,,,
player,201312080nwe,nwe,CollJa00,def_int_td,0,,,,,
player,201312080nwe,nwe,CollJa00,def_int_long,0,,,,,
player,201312080nwe,nwe,CollJa00,pass_defended,1,,,,,
player,201312080nwe,nwe,CollJa00,sacks,0.0,,,,,
player,201312080nwe,nwe,CollJa00,tackles_combined,8,,,,,
player,201312080nwe,nwe,CollJa00,tackles_solo,4,,,,,
player,201312080nwe,nwe,CollJa00,tackles_assists,4,,,,,
player,201312080nwe,nwe,CollJa00,tackles_loss,1,,,,,
player,201312080nwe,nwe,CollJa00,qb_hits,0,,,,,
player,201312080nwe,nwe,CollJa00,fumbles_rec,0,,,,,
player,201312080nwe,nwe,CollJa00,fumbles_rec_yds,0,,,,,
player,201312080nwe,nwe,CollJa00,fumbles_rec_td,0,,,,,
player,201312080nwe,nwe,CollJa00,fumbles_forced,0,,,,,
player,201312080nwe,nwe,GregSt20,def_int,0,,,,,
player,201312080nwe,nwe,GregSt20,def_int_yds,0,,,,,
player,201312080nwe,nwe,GregSt20,def_int_td,0,,,,,
player,201312080nwe,nwe,GregSt20,def_int_long,0,,,,,
player,201312080nwe,nwe,GregSt20,pass_defended,0,,,,,
player,201312080nwe,nwe,GregSt20,sacks,0.0,,,,,
player,201312080nwe,nwe,GregSt20,tackles_combined,7,,,,,
player,201312080nwe,nwe,GregSt20,tackles_solo,4,,,,,
player,201312080nwe,nwe,GregSt20,tackles_assists,3,,,,,
player,201312080nwe,nwe,GregSt20,tackles_loss,0,,,,,
player,201312080nwe,nwe,GregSt20,qb_hits,0,,,,,
player,201312080nwe,nwe,GregSt20,fumbles_rec,0,,,,,
player,201312080nwe,nwe,GregSt20,fumbles_rec_yds,0,,,,,
player,201312080nwe,nwe,GregSt20,fumbles_rec_td,0,,,,,
player,201312080nwe,nwe,GregSt20,fumbles_forced,0,,,,,
player,201312080nwe,nwe,SiliSe00,def_int,0,,,,,
player,201312080nwe,nwe,SiliSe00,def_int_yds,0,,,,,
player,201312080nwe,nwe,SiliSe00,def_int_td,0,,,,,
player,201312080nwe,nwe,SiliSe00,def_int_long,0,,,,,
player,201312080nwe,nwe,SiliSe00,pass_defended,0,,,,,
player,201312080nwe,nwe,SiliSe00,sacks,0.0,,,,,
player,201312080nwe,nwe,SiliSe00,tackles_combined,6,,,,,
player,201312080nwe,nwe,SiliSe00,tackles_solo,0,,,,,
player,201312080nwe,nwe,SiliSe00,tackles_assists,6,,,,,
player,201312080nwe,nwe,SiliSe00,tackles_loss,0,,,,,
player,201312080nwe,nwe,SiliSe00,qb_hits,0,,,,,
player,201312080nwe,nwe,SiliSe00,fumbles_rec,0,,,,,
player,201312080nwe,nwe,SiliSe00,fumbles_rec_yds,0,,,,,
player,201312080nwe,nwe,SiliSe00,fumbles_rec_td,0,,,,,
player,201312080nwe,nwe,SiliSe00,fumbles_forced,0,,,,,
player,201312080nwe,nwe,JoneCh03,def_int,0,,,,,
player,201312080nwe,nwe,JoneCh03,def_int_yds,0,,,,,
player,201312080nwe,nwe,JoneCh03,def_int_td,0,,,,,
player,201312080nwe,nwe,JoneCh03,def_int_long,0,,,,,
player,201312080nwe,nwe,JoneCh03,pass_defended,0,,,,,
player,201312080nwe,nwe,JoneCh03,sacks,0.0,,,,,
player,201312080nwe,nwe,JoneCh03,tackles_combined,5,,,,,
player,201312080nwe,nwe,JoneCh03,tackles_solo,2,,,,,
player,201312080nwe,nwe,JoneCh03,tackles_assists,3,,,,,
player,201312080nwe,nwe,JoneCh03,tackles_loss,0,,,,,
player,201312080nwe,nwe,JoneCh03,qb_hits,0,,,,,
player,201312080nwe,nwe,JoneCh03,fumbles_rec,0,,,,,
player,201312080nwe,nwe,JoneCh03,fumbles_rec_yds,0,,,,,
player,201312080nwe,nwe,JoneCh03,fumbles_rec_td,0,,,,,
player,201312080nwe,nwe,JoneCh03,fumbles_forced,0,,,,,
player,201312080nwe,nwe,RyanLo00,def_int,0,,,,,
player,201312080nwe,nwe,RyanLo00,def_int_yds,0,,,,,
player,201312080nwe,nwe,RyanLo00,def_int_td,0,,,,,
player,201312080nwe,nwe,RyanLo00,def_int_long,0,,,,,
player,201312080nwe,nwe,RyanLo00,pass_defended,0,,,,,
player,201312080nwe,nwe,RyanLo00,sacks,0.0,,,,,
player,201312080nwe,nwe,RyanLo00,tackles_combined,5,,,,,
player,201312080nwe,nwe,RyanLo00,tackles_solo,3,,,,,
