game,2013,7,20131020,201310200oti,sfo,"San Francisco 49ers",31,oti,"Tennessee Titans",17
player,201310200oti,sfo,ReidEr00,tackles_solo,2,,,,,
player,201310200oti,sfo,ReidEr00,tackles_assists,2,,,,,
player,201310200oti,sfo,ReidEr00,tackles_loss,0,,,,,
player,201310200oti,sfo,ReidEr00,qb_hits,0,,,,,
player,201310200oti,sfo,ReidEr00,fumbles_rec,0,,,,,
player,201310200oti,sfo,ReidEr00,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,ReidEr00,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,ReidEr00,fumbles_forced,0,,,,,
player,201310200oti,sfo,RogeCa20,def_int,0,,,,,
player,201310200oti,sfo,RogeCa20,def_int_yds,0,,,,,
player,201310200oti,sfo,RogeCa20,def_int_td,0,,,,,
player,201310200oti,sfo,RogeCa20,def_int_long,0,,,,,
player,201310200oti,sfo,RogeCa20,pass_defended,0,,,,,
player,201310200oti,sfo,RogeCa20,sacks,0.0,,,,,
player,201310200oti,sfo,RogeCa20,tackles_combined,3,,,,,
player,201310200oti,sfo,RogeCa20,tackles_solo,3,,,,,
player,201310200oti,sfo,RogeCa20,tackles_assists,0,,,,,
player,201310200oti,sfo,RogeCa20,tackles_loss,0,,,,,
player,201310200oti,sfo,RogeCa20,qb_hits,0,,,,,
player,201310200oti,sfo,RogeCa20,fumbles_rec,0,,,,,
player,201310200oti,sfo,RogeCa20,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,RogeCa20,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,RogeCa20,fumbles_forced,0,,,,,
player,201310200oti,sfo,WhitDo20,def_int,0,,,,,
player,201310200oti,sfo,WhitDo20,def_int_yds,0,,,,,
player,201310200oti,sfo,WhitDo20,def_int_td,0,,,,,
player,201310200oti,sfo,WhitDo20,def_int_long,0,,,,,
player,201310200oti,sfo,WhitDo20,pass_defended,0,,,,,
player,201310200oti,sfo,WhitDo20,sacks,0.0,,,,,
player,201310200oti,sfo,WhitDo20,tackles_combined,3,,,,,
player,201310200oti,sfo,WhitDo20,tackles_solo,3,,,,,
player,201310200oti,sfo,WhitDo20,tackles_assists,0,,,,,
player,201310200oti,sfo,WhitDo20,tackles_loss,0,,,,,
player,201310200oti,sfo,WhitDo20,qb_hits,0,,,,,
player,201310200oti,sfo,WhitDo20,fumbles_rec,0,,,,,
player,201310200oti,sfo,WhitDo20,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,WhitDo20,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,WhitDo20,fumbles_forced,0,,,,,
player,201310200oti,sfo,LemoCo00,def_int,0,,,,,
player,201310200oti,sfo,LemoCo00,def_int_yds,0,,,,,
player,201310200oti,sfo,LemoCo00,def_int_td,0,,,,,
player,201310200oti,sfo,LemoCo00,def_int_long,0,,,,,
player,201310200oti,sfo,LemoCo00,pass_defended,0,,,,,
player,201310200oti,sfo,LemoCo00,sacks,0.0,,,,,
player,201310200oti,sfo,LemoCo00,tackles_combined,2,,,,,
player,201310200oti,sfo,LemoCo00,tackles_solo,1,,,,,
player,201310200oti,sfo,LemoCo00,tackles_assists,1,,,,,
player,201310200oti,sfo,LemoCo00,tackles_loss,0,,,,,
player,201310200oti,sfo,LemoCo00,qb_hits,0,,,,,
player,201310200oti,sfo,LemoCo00,fumbles_rec,0,,,,,
player,201310200oti,sfo,LemoCo00,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,LemoCo00,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,LemoCo00,fumbles_forced,0,,,,,
player,201310200oti,sfo,MorrDa01,def_int,0,,,,,
player,201310200oti,sfo,MorrDa01,def_int_yds,0,,,,,
player,201310200oti,sfo,MorrDa01,def_int_td,0,,,,,
player,201310200oti,sfo,MorrDa01,def_int_long,0,,,,,
player,201310200oti,sfo,MorrDa01,pass_defended,0,,,,,
player,201310200oti,sfo,MorrDa01,sacks,0.0,,,,,
player,201310200oti,sfo,MorrDa01,tackles_combined,2,,,,,
player,201310200oti,sfo,MorrDa01,tackles_solo,2,,,,,
player,201310200oti,sfo,MorrDa01,tackles_assists,0,,,,,
player,201310200oti,sfo,MorrDa01,tackles_loss,0,,,,,
player,201310200oti,sfo,MorrDa01,qb_hits,0,,,,,
player,201310200oti,sfo,MorrDa01,fumbles_rec,0,,,,,
player,201310200oti,sfo,MorrDa01,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,MorrDa01,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,MorrDa01,fumbles_forced,0,,,,,
player,201310200oti,sfo,BrowTa99,def_int,0,,,,,
player,201310200oti,sfo,BrowTa99,def_int_yds,0,,,,,
player,201310200oti,sfo,BrowTa99,def_int_td,0,,,,,
player,201310200oti,sfo,BrowTa99,def_int_long,0,,,,,
player,201310200oti,sfo,BrowTa99,pass_defended,0,,,,,
player,201310200oti,sfo,BrowTa99,sacks,0.0,,,,,
player,201310200oti,sfo,BrowTa99,tackles_combined,1,,,,,
player,201310200oti,sfo,BrowTa99,tackles_solo,1,,,,,
player,201310200oti,sfo,BrowTa99,tackles_assists,0,,,,,
player,201310200oti,sfo,BrowTa99,tackles_loss,0,,,,,
player,201310200oti,sfo,BrowTa99,qb_hits,0,,,,,
player,201310200oti,sfo,BrowTa99,fumbles_rec,0,,,,,
player,201310200oti,sfo,BrowTa99,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,BrowTa99,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,BrowTa99,fumbles_forced,0,,,,,
player,201310200oti,sfo,CoxxPe99,def_int,0,,,,,
player,201310200oti,sfo,CoxxPe99,def_int_yds,0,,,,,
player,201310200oti,sfo,CoxxPe99,def_int_td,0,,,,,
player,201310200oti,sfo,CoxxPe99,def_int_long,0,,,,,
player,201310200oti,sfo,CoxxPe99,pass_defended,0,,,,,
player,201310200oti,sfo,CoxxPe99,sacks,0.0,,,,,
player,201310200oti,sfo,CoxxPe99,tackles_combined,1,,,,,
player,201310200oti,sfo,CoxxPe99,tackles_solo,1,,,,,
player,201310200oti,sfo,CoxxPe99,tackles_assists,0,,,,,
player,201310200oti,sfo,CoxxPe99,tackles_loss,0,,,,,
player,201310200oti,sfo,CoxxPe99,qb_hits,0,,,,,
