game,2013,12,20131124,201311240mia,car,"Carolina Panthers",20,mia,"Miami Dolphins",16
player,201311240mia,car,GinnTe00,pass_cmp,0,,,,,
player,201311240mia,car,GinnTe00,pass_att,0,,,,,
player,201311240mia,car,GinnTe00,pass_yds,0,,,,,
player,201311240mia,car,GinnTe00,pass_td,0,,,,,
player,201311240mia,car,GinnTe00,pass_int,0,,,,,
player,201311240mia,car,GinnTe00,pass_sacked,0,,,,,
player,201311240mia,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201311240mia,car,GinnTe00,pass_long,0,,,,,
player,201311240mia,car,GinnTe00,pass_rating,,,,,,
player,201311240mia,car,GinnTe00,rush_att,0,,,,,
player,201311240mia,car,GinnTe00,rush_yds,0,,,,,
player,201311240mia,car,GinnTe00,rush_td,0,,,,,
player,201311240mia,car,GinnTe00,rush_long,0,,,,,
player,201311240mia,car,GinnTe00,targets,10,,,,,
player,201311240mia,car,GinnTe00,rec,3,,,,,
player,201311240mia,car,GinnTe00,rec_yds,11,,,,,
player,201311240mia,car,GinnTe00,rec_td,0,,,,,
player,201311240mia,car,GinnTe00,rec_long,8,,,,,
player,201311240mia,car,GinnTe00,fumbles,0,,,,,
player,201311240mia,car,GinnTe00,fumbles_lost,0,,,,,
player,201311240mia,mia,TannRy00,pass_cmp,28,,,,,
player,201311240mia,mia,TannRy00,pass_att,42,,,,,
player,201311240mia,mia,TannRy00,pass_yds,310,,,,,
player,201311240mia,mia,TannRy00,pass_td,1,,,,,
player,201311240mia,mia,TannRy00,pass_int,1,,,,,
player,201311240mia,mia,TannRy00,pass_sacked,3,,,,,
player,201311240mia,mia,TannRy00,pass_sacked_yds,30,,,,,
player,201311240mia,mia,TannRy00,pass_long,57,,,,,
player,201311240mia,mia,TannRy00,pass_rating,86.4,,,,,
player,201311240mia,mia,TannRy00,rush_att,4,,,,,
player,201311240mia,mia,TannRy00,rush_yds,36,,,,,
player,201311240mia,mia,TannRy00,rush_td,0,,,,,
player,201311240mia,mia,TannRy00,rush_long,19,,,,,
player,201311240mia,mia,TannRy00,targets,0,,,,,
player,201311240mia,mia,TannRy00,rec,0,,,,,
player,201311240mia,mia,TannRy00,rec_yds,0,,,,,
player,201311240mia,mia,TannRy00,rec_td,0,,,,,
player,201311240mia,mia,TannRy00,rec_long,0,,,,,
player,201311240mia,mia,TannRy00,fumbles,0,,,,,
player,201311240mia,mia,TannRy00,fumbles_lost,0,,,,,
player,201311240mia,mia,MillLa01,pass_cmp,0,,,,,
player,201311240mia,mia,MillLa01,pass_att,0,,,,,
player,201311240mia,mia,MillLa01,pass_yds,0,,,,,
player,201311240mia,mia,MillLa01,pass_td,0,,,,,
player,201311240mia,mia,MillLa01,pass_int,0,,,,,
player,201311240mia,mia,MillLa01,pass_sacked,0,,,,,
player,201311240mia,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201311240mia,mia,MillLa01,pass_long,0,,,,,
player,201311240mia,mia,MillLa01,pass_rating,,,,,,
player,201311240mia,mia,MillLa01,rush_att,10,,,,,
player,201311240mia,mia,MillLa01,rush_yds,8,,,,,
player,201311240mia,mia,MillLa01,rush_td,0,,,,,
player,201311240mia,mia,MillLa01,rush_long,4,,,,,
