game,2013,6,20131013,201310130sfo,crd,"Arizona Cardinals",20,sfo,"San Francisco 49ers",32
player,201310130sfo,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201310130sfo,sfo,HuntKe00,pass_long,0,,,,,
player,201310130sfo,sfo,HuntKe00,pass_rating,,,,,,
player,201310130sfo,sfo,HuntKe00,rush_att,3,,,,,
player,201310130sfo,sfo,HuntKe00,rush_yds,11,,,,,
player,201310130sfo,sfo,HuntKe00,rush_td,1,,,,,
player,201310130sfo,sfo,HuntKe00,rush_long,6,,,,,
player,201310130sfo,sfo,HuntKe00,targets,1,,,,,
player,201310130sfo,sfo,HuntKe00,rec,0,,,,,
player,201310130sfo,sfo,HuntKe00,rec_yds,0,,,,,
player,201310130sfo,sfo,HuntKe00,rec_td,0,,,,,
player,201310130sfo,sfo,HuntKe00,rec_long,0,,,,,
player,201310130sfo,sfo,HuntKe00,fumbles,0,,,,,
player,201310130sfo,sfo,HuntKe00,fumbles_lost,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_cmp,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_att,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_yds,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_td,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_int,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_sacked,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_sacked_yds,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_long,0,,,,,
player,201310130sfo,sfo,MoorMa02,pass_rating,,,,,,
player,201310130sfo,sfo,MoorMa02,rush_att,1,,,,,
player,201310130sfo,sfo,MoorMa02,rush_yds,9,,,,,
player,201310130sfo,sfo,MoorMa02,rush_td,0,,,,,
player,201310130sfo,sfo,MoorMa02,rush_long,9,,,,,
player,201310130sfo,sfo,MoorMa02,targets,1,,,,,
player,201310130sfo,sfo,MoorMa02,rec,0,,,,,
player,201310130sfo,sfo,MoorMa02,rec_yds,0,,,,,
player,201310130sfo,sfo,MoorMa02,rec_td,0,,,,,
player,201310130sfo,sfo,MoorMa02,rec_long,0,,,,,
player,201310130sfo,sfo,MoorMa02,fumbles,0,,,,,
player,201310130sfo,sfo,MoorMa02,fumbles_lost,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_cmp,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_att,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_yds,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_td,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_int,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_sacked,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_long,0,,,,,
player,201310130sfo,sfo,MillBr02,pass_rating,,,,,,
player,201310130sfo,sfo,MillBr02,rush_att,2,,,,,
player,201310130sfo,sfo,MillBr02,rush_yds,6,,,,,
player,201310130sfo,sfo,MillBr02,rush_td,0,,,,,
player,201310130sfo,sfo,MillBr02,rush_long,3,,,,,
player,201310130sfo,sfo,MillBr02,targets,2,,,,,
player,201310130sfo,sfo,MillBr02,rec,1,,,,,
player,201310130sfo,sfo,MillBr02,rec_yds,11,,,,,
player,201310130sfo,sfo,MillBr02,rec_td,0,,,,,
player,201310130sfo,sfo,MillBr02,rec_long,11,,,,,
player,201310130sfo,sfo,MillBr02,fumbles,0,,,,,
player,201310130sfo,sfo,MillBr02,fumbles_lost,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_cmp,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_att,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_yds,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_td,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_int,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_sacked,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_sacked_yds,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_long,0,,,,,
player,201310130sfo,sfo,DixoAn00,pass_rating,,,,,,
player,201310130sfo,sfo,DixoAn00,rush_att,3,,,,,
player,201310130sfo,sfo,DixoAn00,rush_yds,4,,,,,
player,201310130sfo,sfo,DixoAn00,rush_td,0,,,,,
player,201310130sfo,sfo,DixoAn00,rush_long,2,,,,,
player,201310130sfo,sfo,DixoAn00,targets,1,,,,,
player,201310130sfo,sfo,DixoAn00,rec,1,,,,,
