game,2013,9,20131103,201311030rai,phi,"Philadelphia Eagles",49,rai,"Oakland Raiders",20
player,201311030rai,rai,ReecMa00,targets,2,,,,,
player,201311030rai,rai,ReecMa00,rec,2,,,,,
player,201311030rai,rai,ReecMa00,rec_yds,22,,,,,
player,201311030rai,rai,ReecMa00,rec_td,0,,,,,
player,201311030rai,rai,ReecMa00,rec_long,16,,,,,
player,201311030rai,rai,ReecMa00,fumbles,0,,,,,
player,201311030rai,rai,ReecMa00,fumbles_lost,0,,,,,
player,201311030rai,rai,MastJe20,pass_cmp,0,,,,,
player,201311030rai,rai,MastJe20,pass_att,0,,,,,
player,201311030rai,rai,MastJe20,pass_yds,0,,,,,
player,201311030rai,rai,MastJe20,pass_td,0,,,,,
player,201311030rai,rai,MastJe20,pass_int,0,,,,,
player,201311030rai,rai,MastJe20,pass_sacked,0,,,,,
player,201311030rai,rai,MastJe20,pass_sacked_yds,0,,,,,
player,201311030rai,rai,MastJe20,pass_long,0,,,,,
player,201311030rai,rai,MastJe20,pass_rating,,,,,,
player,201311030rai,rai,MastJe20,rush_att,0,,,,,
player,201311030rai,rai,MastJe20,rush_yds,0,,,,,
player,201311030rai,rai,MastJe20,rush_td,0,,,,,
player,201311030rai,rai,MastJe20,rush_long,0,,,,,
player,201311030rai,rai,MastJe20,targets,1,,,,,
player,201311030rai,rai,MastJe20,rec,0,,,,,
player,201311030rai,rai,MastJe20,rec_yds,0,,,,,
player,201311030rai,rai,MastJe20,rec_td,0,,,,,
player,201311030rai,rai,MastJe20,rec_long,0,,,,,
player,201311030rai,rai,MastJe20,fumbles,0,,,,,
player,201311030rai,rai,MastJe20,fumbles_lost,0,,,,,
player,201311030rai,rai,KasaNi00,pass_cmp,0,,,,,
player,201311030rai,rai,KasaNi00,pass_att,0,,,,,
player,201311030rai,rai,KasaNi00,pass_yds,0,,,,,
player,201311030rai,rai,KasaNi00,pass_td,0,,,,,
player,201311030rai,rai,KasaNi00,pass_int,0,,,,,
player,201311030rai,rai,KasaNi00,pass_sacked,0,,,,,
player,201311030rai,rai,KasaNi00,pass_sacked_yds,0,,,,,
player,201311030rai,rai,KasaNi00,pass_long,0,,,,,
player,201311030rai,rai,KasaNi00,pass_rating,,,,,,
player,201311030rai,rai,KasaNi00,rush_att,0,,,,,
player,201311030rai,rai,KasaNi00,rush_yds,0,,,,,
player,201311030rai,rai,KasaNi00,rush_td,0,,,,,
player,201311030rai,rai,KasaNi00,rush_long,0,,,,,
player,201311030rai,rai,KasaNi00,targets,1,,,,,
player,201311030rai,rai,KasaNi00,rec,0,,,,,
player,201311030rai,rai,KasaNi00,rec_yds,0,,,,,
player,201311030rai,rai,KasaNi00,rec_td,0,,,,,
player,201311030rai,rai,KasaNi00,rec_long,0,,,,,
player,201311030rai,rai,KasaNi00,fumbles,0,,,,,
player,201311030rai,rai,KasaNi00,fumbles_lost,0,,,,,
player,201311030rai,phi,FletBr99,def_int,1,,,,,
player,201311030rai,phi,FletBr99,def_int_yds,25,,,,,
player,201311030rai,phi,FletBr99,def_int_td,0,,,,,
player,201311030rai,phi,FletBr99,def_int_long,25,,,,,
player,201311030rai,phi,FletBr99,pass_defended,1,,,,,
player,201311030rai,phi,FletBr99,sacks,0.0,,,,,
player,201311030rai,phi,FletBr99,tackles_combined,6,,,,,
player,201311030rai,phi,FletBr99,tackles_solo,6,,,,,
player,201311030rai,phi,FletBr99,tackles_assists,0,,,,,
player,201311030rai,phi,FletBr99,tackles_loss,0,,,,,
player,201311030rai,phi,FletBr99,qb_hits,0,,,,,
player,201311030rai,phi,FletBr99,fumbles_rec,0,,,,,
player,201311030rai,phi,FletBr99,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,FletBr99,fumbles_rec_td,0,,,,,
player,201311030rai,phi,FletBr99,fumbles_forced,0,,,,,
player,201311030rai,phi,BarwCo99,def_int,1,,,,,
player,201311030rai,phi,BarwCo99,def_int_yds,-2,,,,,
player,201311030rai,phi,BarwCo99,def_int_td,0,,,,,
player,201311030rai,phi,BarwCo99,def_int_long,-2,,,,,
player,201311030rai,phi,BarwCo99,pass_defended,2,,,,,
player,201311030rai,phi,BarwCo99,sacks,0.0,,,,,
player,201311030rai,phi,BarwCo99,tackles_combined,2,,,,,
player,201311030rai,phi,BarwCo99,tackles_solo,0,,,,,
player,201311030rai,phi,BarwCo99,tackles_assists,2,,,,,
player,201311030rai,phi,BarwCo99,tackles_loss,0,,,,,
player,201311030rai,phi,BarwCo99,qb_hits,0,,,,,
player,201311030rai,phi,BarwCo99,fumbles_rec,0,,,,,
player,201311030rai,phi,BarwCo99,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,BarwCo99,fumbles_rec_td,0,,,,,
player,201311030rai,phi,BarwCo99,fumbles_forced,0,,,,,
player,201311030rai,phi,KendMy00,def_int,0,,,,,
player,201311030rai,phi,KendMy00,def_int_yds,0,,,,,
player,201311030rai,phi,KendMy00,def_int_td,0,,,,,
player,201311030rai,phi,KendMy00,def_int_long,0,,,,,
player,201311030rai,phi,KendMy00,pass_defended,0,,,,,
player,201311030rai,phi,KendMy00,sacks,1.0,,,,,
player,201311030rai,phi,KendMy00,tackles_combined,10,,,,,
player,201311030rai,phi,KendMy00,tackles_solo,6,,,,,
player,201311030rai,phi,KendMy00,tackles_assists,4,,,,,
player,201311030rai,phi,KendMy00,tackles_loss,1,,,,,
player,201311030rai,phi,KendMy00,qb_hits,1,,,,,
player,201311030rai,phi,KendMy00,fumbles_rec,0,,,,,
player,201311030rai,phi,KendMy00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,KendMy00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,KendMy00,fumbles_forced,0,,,,,
player,201311030rai,phi,ColeTr20,def_int,0,,,,,
player,201311030rai,phi,ColeTr20,def_int_yds,0,,,,,
player,201311030rai,phi,ColeTr20,def_int_td,0,,,,,
player,201311030rai,phi,ColeTr20,def_int_long,0,,,,,
player,201311030rai,phi,ColeTr20,pass_defended,0,,,,,
player,201311030rai,phi,ColeTr20,sacks,1.0,,,,,
player,201311030rai,phi,ColeTr20,tackles_combined,5,,,,,
player,201311030rai,phi,ColeTr20,tackles_solo,4,,,,,
player,201311030rai,phi,ColeTr20,tackles_assists,1,,,,,
player,201311030rai,phi,ColeTr20,tackles_loss,1,,,,,
player,201311030rai,phi,ColeTr20,qb_hits,1,,,,,
player,201311030rai,phi,ColeTr20,fumbles_rec,0,,,,,
player,201311030rai,phi,ColeTr20,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,ColeTr20,fumbles_rec_td,0,,,,,
player,201311030rai,phi,ColeTr20,fumbles_forced,0,,,,,
player,201311030rai,phi,CurrVi00,def_int,0,,,,,
player,201311030rai,phi,CurrVi00,def_int_yds,0,,,,,
player,201311030rai,phi,CurrVi00,def_int_td,0,,,,,
player,201311030rai,phi,CurrVi00,def_int_long,0,,,,,
player,201311030rai,phi,CurrVi00,pass_defended,0,,,,,
player,201311030rai,phi,CurrVi00,sacks,1.0,,,,,
player,201311030rai,phi,CurrVi00,tackles_combined,3,,,,,
player,201311030rai,phi,CurrVi00,tackles_solo,2,,,,,
player,201311030rai,phi,CurrVi00,tackles_assists,1,,,,,
player,201311030rai,phi,CurrVi00,tackles_loss,1,,,,,
player,201311030rai,phi,CurrVi00,qb_hits,1,,,,,
player,201311030rai,phi,CurrVi00,fumbles_rec,0,,,,,
player,201311030rai,phi,CurrVi00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,CurrVi00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,CurrVi00,fumbles_forced,0,,,,,
player,201311030rai,phi,RyanDe20,def_int,0,,,,,
player,201311030rai,phi,RyanDe20,def_int_yds,0,,,,,
player,201311030rai,phi,RyanDe20,def_int_td,0,,,,,
player,201311030rai,phi,RyanDe20,def_int_long,0,,,,,
player,201311030rai,phi,RyanDe20,pass_defended,1,,,,,
player,201311030rai,phi,RyanDe20,sacks,0.0,,,,,
player,201311030rai,phi,RyanDe20,tackles_combined,11,,,,,
player,201311030rai,phi,RyanDe20,tackles_solo,9,,,,,
player,201311030rai,phi,RyanDe20,tackles_assists,2,,,,,
player,201311030rai,phi,RyanDe20,tackles_loss,0,,,,,
player,201311030rai,phi,RyanDe20,qb_hits,0,,,,,
player,201311030rai,phi,RyanDe20,fumbles_rec,0,,,,,
player,201311030rai,phi,RyanDe20,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,RyanDe20,fumbles_rec_td,0,,,,,
player,201311030rai,phi,RyanDe20,fumbles_forced,0,,,,,
player,201311030rai,phi,BoykBr00,def_int,0,,,,,
player,201311030rai,phi,BoykBr00,def_int_yds,0,,,,,
player,201311030rai,phi,BoykBr00,def_int_td,0,,,,,
player,201311030rai,phi,BoykBr00,def_int_long,0,,,,,
player,201311030rai,phi,BoykBr00,pass_defended,1,,,,,
player,201311030rai,phi,BoykBr00,sacks,0.0,,,,,
player,201311030rai,phi,BoykBr00,tackles_combined,6,,,,,
player,201311030rai,phi,BoykBr00,tackles_solo,6,,,,,
player,201311030rai,phi,BoykBr00,tackles_assists,0,,,,,
player,201311030rai,phi,BoykBr00,tackles_loss,0,,,,,
player,201311030rai,phi,BoykBr00,qb_hits,0,,,,,
player,201311030rai,phi,BoykBr00,fumbles_rec,0,,,,,
player,201311030rai,phi,BoykBr00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,BoykBr00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,BoykBr00,fumbles_forced,0,,,,,
player,201311030rai,phi,AlleNa99,def_int,0,,,,,
player,201311030rai,phi,AlleNa99,def_int_yds,0,,,,,
player,201311030rai,phi,AlleNa99,def_int_td,0,,,,,
player,201311030rai,phi,AlleNa99,def_int_long,0,,,,,
player,201311030rai,phi,AlleNa99,pass_defended,0,,,,,
player,201311030rai,phi,AlleNa99,sacks,0.0,,,,,
player,201311030rai,phi,AlleNa99,tackles_combined,5,,,,,
player,201311030rai,phi,AlleNa99,tackles_solo,4,,,,,
player,201311030rai,phi,AlleNa99,tackles_assists,1,,,,,
player,201311030rai,phi,AlleNa99,tackles_loss,0,,,,,
player,201311030rai,phi,AlleNa99,qb_hits,0,,,,,
player,201311030rai,phi,AlleNa99,fumbles_rec,0,,,,,
player,201311030rai,phi,AlleNa99,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,AlleNa99,fumbles_rec_td,0,,,,,
player,201311030rai,phi,AlleNa99,fumbles_forced,0,,,,,
player,201311030rai,phi,ChunPa99,def_int,0,,,,,
player,201311030rai,phi,ChunPa99,def_int_yds,0,,,,,
player,201311030rai,phi,ChunPa99,def_int_td,0,,,,,
player,201311030rai,phi,ChunPa99,def_int_long,0,,,,,
player,201311030rai,phi,ChunPa99,pass_defended,1,,,,,
player,201311030rai,phi,ChunPa99,sacks,0.0,,,,,
player,201311030rai,phi,ChunPa99,tackles_combined,5,,,,,
player,201311030rai,phi,ChunPa99,tackles_solo,2,,,,,
player,201311030rai,phi,ChunPa99,tackles_assists,3,,,,,
player,201311030rai,phi,ChunPa99,tackles_loss,0,,,,,
player,201311030rai,phi,ChunPa99,qb_hits,0,,,,,
player,201311030rai,phi,ChunPa99,fumbles_rec,0,,,,,
player,201311030rai,phi,ChunPa99,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,ChunPa99,fumbles_rec_td,0,,,,,
player,201311030rai,phi,ChunPa99,fumbles_forced,0,,,,,
player,201311030rai,phi,GoodNa00,def_int,0,,,,,
player,201311030rai,phi,GoodNa00,def_int_yds,0,,,,,
player,201311030rai,phi,GoodNa00,def_int_td,0,,,,,
player,201311030rai,phi,GoodNa00,def_int_long,0,,,,,
player,201311030rai,phi,GoodNa00,pass_defended,0,,,,,
player,201311030rai,phi,GoodNa00,sacks,0.0,,,,,
player,201311030rai,phi,GoodNa00,tackles_combined,5,,,,,
player,201311030rai,phi,GoodNa00,tackles_solo,3,,,,,
player,201311030rai,phi,GoodNa00,tackles_assists,2,,,,,
player,201311030rai,phi,GoodNa00,tackles_loss,0,,,,,
player,201311030rai,phi,GoodNa00,qb_hits,0,,,,,
player,201311030rai,phi,GoodNa00,fumbles_rec,0,,,,,
player,201311030rai,phi,GoodNa00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,GoodNa00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,GoodNa00,fumbles_forced,0,,,,,
player,201311030rai,phi,WolfEa00,def_int,0,,,,,
player,201311030rai,phi,WolfEa00,def_int_yds,0,,,,,
player,201311030rai,phi,WolfEa00,def_int_td,0,,,,,
player,201311030rai,phi,WolfEa00,def_int_long,0,,,,,
player,201311030rai,phi,WolfEa00,pass_defended,1,,,,,
player,201311030rai,phi,WolfEa00,sacks,0.0,,,,,
player,201311030rai,phi,WolfEa00,tackles_combined,5,,,,,
player,201311030rai,phi,WolfEa00,tackles_solo,3,,,,,
player,201311030rai,phi,WolfEa00,tackles_assists,2,,,,,
player,201311030rai,phi,WolfEa00,tackles_loss,0,,,,,
player,201311030rai,phi,WolfEa00,qb_hits,1,,,,,
player,201311030rai,phi,WolfEa00,fumbles_rec,0,,,,,
player,201311030rai,phi,WolfEa00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,WolfEa00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,WolfEa00,fumbles_forced,0,,,,,
player,201311030rai,phi,ColeKu99,def_int,0,,,,,
player,201311030rai,phi,ColeKu99,def_int_yds,0,,,,,
player,201311030rai,phi,ColeKu99,def_int_td,0,,,,,
player,201311030rai,phi,ColeKu99,def_int_long,0,,,,,
player,201311030rai,phi,ColeKu99,pass_defended,0,,,,,
player,201311030rai,phi,ColeKu99,sacks,0.0,,,,,
player,201311030rai,phi,ColeKu99,tackles_combined,4,,,,,
player,201311030rai,phi,ColeKu99,tackles_solo,3,,,,,
player,201311030rai,phi,ColeKu99,tackles_assists,1,,,,,
player,201311030rai,phi,ColeKu99,tackles_loss,0,,,,,
player,201311030rai,phi,ColeKu99,qb_hits,0,,,,,
player,201311030rai,phi,ColeKu99,fumbles_rec,0,,,,,
player,201311030rai,phi,ColeKu99,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,ColeKu99,fumbles_rec_td,0,,,,,
player,201311030rai,phi,ColeKu99,fumbles_forced,0,,,,,
player,201311030rai,phi,LogaBe00,def_int,0,,,,,
player,201311030rai,phi,LogaBe00,def_int_yds,0,,,,,
player,201311030rai,phi,LogaBe00,def_int_td,0,,,,,
player,201311030rai,phi,LogaBe00,def_int_long,0,,,,,
player,201311030rai,phi,LogaBe00,pass_defended,0,,,,,
player,201311030rai,phi,LogaBe00,sacks,0.0,,,,,
player,201311030rai,phi,LogaBe00,tackles_combined,3,,,,,
player,201311030rai,phi,LogaBe00,tackles_solo,2,,,,,
player,201311030rai,phi,LogaBe00,tackles_assists,1,,,,,
player,201311030rai,phi,LogaBe00,tackles_loss,0,,,,,
player,201311030rai,phi,LogaBe00,qb_hits,0,,,,,
player,201311030rai,phi,LogaBe00,fumbles_rec,0,,,,,
player,201311030rai,phi,LogaBe00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,LogaBe00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,LogaBe00,fumbles_forced,0,,,,,
player,201311030rai,phi,AchoEm00,def_int,0,,,,,
player,201311030rai,phi,AchoEm00,def_int_yds,0,,,,,
player,201311030rai,phi,AchoEm00,def_int_td,0,,,,,
player,201311030rai,phi,AchoEm00,def_int_long,0,,,,,
player,201311030rai,phi,AchoEm00,pass_defended,0,,,,,
player,201311030rai,phi,AchoEm00,sacks,0.0,,,,,
player,201311030rai,phi,AchoEm00,tackles_combined,2,,,,,
player,201311030rai,phi,AchoEm00,tackles_solo,1,,,,,
player,201311030rai,phi,AchoEm00,tackles_assists,1,,,,,
player,201311030rai,phi,AchoEm00,tackles_loss,0,,,,,
player,201311030rai,phi,AchoEm00,qb_hits,0,,,,,
player,201311030rai,phi,AchoEm00,fumbles_rec,0,,,,,
player,201311030rai,phi,AchoEm00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,AchoEm00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,AchoEm00,fumbles_forced,0,,,,,
player,201311030rai,phi,MattCa00,def_int,0,,,,,
player,201311030rai,phi,MattCa00,def_int_yds,0,,,,,
player,201311030rai,phi,MattCa00,def_int_td,0,,,,,
player,201311030rai,phi,MattCa00,def_int_long,0,,,,,
player,201311030rai,phi,MattCa00,pass_defended,0,,,,,
player,201311030rai,phi,MattCa00,sacks,0.0,,,,,
player,201311030rai,phi,MattCa00,tackles_combined,2,,,,,
player,201311030rai,phi,MattCa00,tackles_solo,1,,,,,
player,201311030rai,phi,MattCa00,tackles_assists,1,,,,,
player,201311030rai,phi,MattCa00,tackles_loss,0,,,,,
player,201311030rai,phi,MattCa00,qb_hits,0,,,,,
player,201311030rai,phi,MattCa00,fumbles_rec,0,,,,,
player,201311030rai,phi,MattCa00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,MattCa00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,MattCa00,fumbles_forced,0,,,,,
player,201311030rai,phi,ThorCe00,def_int,0,,,,,
player,201311030rai,phi,ThorCe00,def_int_yds,0,,,,,
player,201311030rai,phi,ThorCe00,def_int_td,0,,,,,
player,201311030rai,phi,ThorCe00,def_int_long,0,,,,,
player,201311030rai,phi,ThorCe00,pass_defended,0,,,,,
player,201311030rai,phi,ThorCe00,sacks,0.0,,,,,
player,201311030rai,phi,ThorCe00,tackles_combined,2,,,,,
player,201311030rai,phi,ThorCe00,tackles_solo,1,,,,,
player,201311030rai,phi,ThorCe00,tackles_assists,1,,,,,
player,201311030rai,phi,ThorCe00,tackles_loss,0,,,,,
player,201311030rai,phi,ThorCe00,qb_hits,0,,,,,
player,201311030rai,phi,ThorCe00,fumbles_rec,0,,,,,
player,201311030rai,phi,ThorCe00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,ThorCe00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,ThorCe00,fumbles_forced,0,,,,,
player,201311030rai,phi,WillCa99,def_int,0,,,,,
player,201311030rai,phi,WillCa99,def_int_yds,0,,,,,
player,201311030rai,phi,WillCa99,def_int_td,0,,,,,
player,201311030rai,phi,WillCa99,def_int_long,0,,,,,
player,201311030rai,phi,WillCa99,pass_defended,1,,,,,
player,201311030rai,phi,WillCa99,sacks,0.0,,,,,
player,201311030rai,phi,WillCa99,tackles_combined,2,,,,,
player,201311030rai,phi,WillCa99,tackles_solo,2,,,,,
player,201311030rai,phi,WillCa99,tackles_assists,0,,,,,
player,201311030rai,phi,WillCa99,tackles_loss,0,,,,,
player,201311030rai,phi,WillCa99,qb_hits,0,,,,,
player,201311030rai,phi,WillCa99,fumbles_rec,0,,,,,
player,201311030rai,phi,WillCa99,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,WillCa99,fumbles_rec_td,0,,,,,
player,201311030rai,phi,WillCa99,fumbles_forced,0,,,,,
player,201311030rai,phi,AndeCo01,def_int,0,,,,,
player,201311030rai,phi,AndeCo01,def_int_yds,0,,,,,
player,201311030rai,phi,AndeCo01,def_int_td,0,,,,,
player,201311030rai,phi,AndeCo01,def_int_long,0,,,,,
player,201311030rai,phi,AndeCo01,pass_defended,1,,,,,
player,201311030rai,phi,AndeCo01,sacks,0.0,,,,,
player,201311030rai,phi,AndeCo01,tackles_combined,1,,,,,
player,201311030rai,phi,AndeCo01,tackles_solo,1,,,,,
player,201311030rai,phi,AndeCo01,tackles_assists,0,,,,,
player,201311030rai,phi,AndeCo01,tackles_loss,0,,,,,
player,201311030rai,phi,AndeCo01,qb_hits,0,,,,,
player,201311030rai,phi,AndeCo01,fumbles_rec,0,,,,,
player,201311030rai,phi,AndeCo01,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,AndeCo01,fumbles_rec_td,0,,,,,
player,201311030rai,phi,AndeCo01,fumbles_forced,0,,,,,
player,201311030rai,phi,CaseJa00,def_int,0,,,,,
player,201311030rai,phi,CaseJa00,def_int_yds,0,,,,,
player,201311030rai,phi,CaseJa00,def_int_td,0,,,,,
player,201311030rai,phi,CaseJa00,def_int_long,0,,,,,
player,201311030rai,phi,CaseJa00,pass_defended,0,,,,,
player,201311030rai,phi,CaseJa00,sacks,0.0,,,,,
player,201311030rai,phi,CaseJa00,tackles_combined,1,,,,,
player,201311030rai,phi,CaseJa00,tackles_solo,1,,,,,
player,201311030rai,phi,CaseJa00,tackles_assists,0,,,,,
player,201311030rai,phi,CaseJa00,tackles_loss,0,,,,,
player,201311030rai,phi,CaseJa00,qb_hits,0,,,,,
player,201311030rai,phi,CaseJa00,fumbles_rec,0,,,,,
player,201311030rai,phi,CaseJa00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,CaseJa00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,CaseJa00,fumbles_forced,0,,,,,
player,201311030rai,phi,CoxxFl00,def_int,0,,,,,
player,201311030rai,phi,CoxxFl00,def_int_yds,0,,,,,
player,201311030rai,phi,CoxxFl00,def_int_td,0,,,,,
player,201311030rai,phi,CoxxFl00,def_int_long,0,,,,,
player,201311030rai,phi,CoxxFl00,pass_defended,0,,,,,
player,201311030rai,phi,CoxxFl00,sacks,0.0,,,,,
player,201311030rai,phi,CoxxFl00,tackles_combined,1,,,,,
player,201311030rai,phi,CoxxFl00,tackles_solo,1,,,,,
player,201311030rai,phi,CoxxFl00,tackles_assists,0,,,,,
player,201311030rai,phi,CoxxFl00,tackles_loss,0,,,,,
player,201311030rai,phi,CoxxFl00,qb_hits,0,,,,,
player,201311030rai,phi,CoxxFl00,fumbles_rec,0,,,,,
player,201311030rai,phi,CoxxFl00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,CoxxFl00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,CoxxFl00,fumbles_forced,0,,,,,
player,201311030rai,phi,GrahBr99,def_int,0,,,,,
player,201311030rai,phi,GrahBr99,def_int_yds,0,,,,,
player,201311030rai,phi,GrahBr99,def_int_td,0,,,,,
player,201311030rai,phi,GrahBr99,def_int_long,0,,,,,
player,201311030rai,phi,GrahBr99,pass_defended,0,,,,,
player,201311030rai,phi,GrahBr99,sacks,0.0,,,,,
player,201311030rai,phi,GrahBr99,tackles_combined,1,,,,,
player,201311030rai,phi,GrahBr99,tackles_solo,0,,,,,
player,201311030rai,phi,GrahBr99,tackles_assists,1,,,,,
player,201311030rai,phi,GrahBr99,tackles_loss,0,,,,,
player,201311030rai,phi,GrahBr99,qb_hits,0,,,,,
player,201311030rai,phi,GrahBr99,fumbles_rec,0,,,,,
player,201311030rai,phi,GrahBr99,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,GrahBr99,fumbles_rec_td,0,,,,,
player,201311030rai,phi,GrahBr99,fumbles_forced,0,,,,,
player,201311030rai,phi,SquaDa00,def_int,0,,,,,
player,201311030rai,phi,SquaDa00,def_int_yds,0,,,,,
player,201311030rai,phi,SquaDa00,def_int_td,0,,,,,
player,201311030rai,phi,SquaDa00,def_int_long,0,,,,,
player,201311030rai,phi,SquaDa00,pass_defended,1,,,,,
player,201311030rai,phi,SquaDa00,sacks,0.0,,,,,
player,201311030rai,phi,SquaDa00,tackles_combined,1,,,,,
player,201311030rai,phi,SquaDa00,tackles_solo,1,,,,,
player,201311030rai,phi,SquaDa00,tackles_assists,0,,,,,
player,201311030rai,phi,SquaDa00,tackles_loss,1,,,,,
player,201311030rai,phi,SquaDa00,qb_hits,0,,,,,
player,201311030rai,phi,SquaDa00,fumbles_rec,0,,,,,
player,201311030rai,phi,SquaDa00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,SquaDa00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,SquaDa00,fumbles_forced,0,,,,,
player,201311030rai,phi,CarmRo00,def_int,0,,,,,
player,201311030rai,phi,CarmRo00,def_int_yds,0,,,,,
player,201311030rai,phi,CarmRo00,def_int_td,0,,,,,
player,201311030rai,phi,CarmRo00,def_int_long,0,,,,,
player,201311030rai,phi,CarmRo00,pass_defended,1,,,,,
player,201311030rai,phi,CarmRo00,sacks,0.0,,,,,
player,201311030rai,phi,CarmRo00,tackles_combined,0,,,,,
player,201311030rai,phi,CarmRo00,tackles_solo,0,,,,,
player,201311030rai,phi,CarmRo00,tackles_assists,0,,,,,
player,201311030rai,phi,CarmRo00,tackles_loss,0,,,,,
player,201311030rai,phi,CarmRo00,qb_hits,0,,,,,
player,201311030rai,phi,CarmRo00,fumbles_rec,0,,,,,
player,201311030rai,phi,CarmRo00,fumbles_rec_yds,0,,,,,
player,201311030rai,phi,CarmRo00,fumbles_rec_td,0,,,,,
player,201311030rai,phi,CarmRo00,fumbles_forced,0,,,,,
player,201311030rai,phi,GeatCl99,def_int,,,,,,
player,201311030rai,phi,GeatCl99,def_int_yds,,,,,,
player,201311030rai,phi,GeatCl99,def_int_td,,,,,,
player,201311030rai,phi,GeatCl99,def_int_long,,,,,,
player,201311030rai,phi,GeatCl99,pass_defended,0,,,,,
player,201311030rai,phi,GeatCl99,sacks,0.0,,,,,
player,201311030rai,phi,GeatCl99,tackles_combined,0,,,,,
player,201311030rai,phi,GeatCl99,tackles_solo,0,,,,,
player,201311030rai,phi,GeatCl99,tackles_assists,0,,,,,
player,201311030rai,phi,GeatCl99,tackles_loss,0,,,,,
player,201311030rai,phi,GeatCl99,qb_hits,1,,,,,
player,201311030rai,phi,GeatCl99,fumbles_rec,0,,,,,
player,201311030rai,phi,GeatCl99,fumbles_rec_yds,,,,,,
player,201311030rai,phi,GeatCl99,fumbles_rec_td,,,,,,
player,201311030rai,phi,GeatCl99,fumbles_forced,0,,,,,
player,201311030rai,rai,RoacNi99,def_int,0,,,,,
player,201311030rai,rai,RoacNi99,def_int_yds,0,,,,,
player,201311030rai,rai,RoacNi99,def_int_td,0,,,,,
player,201311030rai,rai,RoacNi99,def_int_long,0,,,,,
player,201311030rai,rai,RoacNi99,pass_defended,0,,,,,
player,201311030rai,rai,RoacNi99,sacks,1.0,,,,,
player,201311030rai,rai,RoacNi99,tackles_combined,6,,,,,
player,201311030rai,rai,RoacNi99,tackles_solo,6,,,,,
player,201311030rai,rai,RoacNi99,tackles_assists,0,,,,,
player,201311030rai,rai,RoacNi99,tackles_loss,1,,,,,
player,201311030rai,rai,RoacNi99,qb_hits,1,,,,,
player,201311030rai,rai,RoacNi99,fumbles_rec,0,,,,,
player,201311030rai,rai,RoacNi99,fumbles_rec_yds,0,,,,,
player,201311030rai,rai,RoacNi99,fumbles_rec_td,0,,,,,
player,201311030rai,rai,RoacNi99,fumbles_forced,0,,,,,
player,201311030rai,rai,BurnKe20,def_int,0,,,,,
player,201311030rai,rai,BurnKe20,def_int_yds,0,,,,,
player,201311030rai,rai,BurnKe20,def_int_td,0,,,,,
player,201311030rai,rai,BurnKe20,def_int_long,0,,,,,
player,201311030rai,rai,BurnKe20,pass_defended,0,,,,,
player,201311030rai,rai,BurnKe20,sacks,0.0,,,,,
player,201311030rai,rai,BurnKe20,tackles_combined,8,,,,,
player,201311030rai,rai,BurnKe20,tackles_solo,5,,,,,
player,201311030rai,rai,BurnKe20,tackles_assists,3,,,,,
player,201311030rai,rai,BurnKe20,tackles_loss,3,,,,,
player,201311030rai,rai,BurnKe20,qb_hits,0,,,,,
player,201311030rai,rai,BurnKe20,fumbles_rec,0,,,,,
player,201311030rai,rai,BurnKe20,fumbles_rec_yds,0,,,,,
player,201311030rai,rai,BurnKe20,fumbles_rec_td,0,,,,,
player,201311030rai,rai,BurnKe20,fumbles_forced,0,,,,,
player,201311030rai,rai,WoodCh00,def_int,0,,,,,
player,201311030rai,rai,WoodCh00,def_int_yds,0,,,,,
