game,2013,10,20131110,201311100atl,sea,"Seattle Seahawks",33,atl,"Atlanta Falcons",10
player,201311100atl,sea,LockRi00,pass_sacked,0,,,,,
player,201311100atl,sea,LockRi00,pass_sacked_yds,0,,,,,
player,201311100atl,sea,LockRi00,pass_long,0,,,,,
player,201311100atl,sea,LockRi00,pass_rating,,,,,,
player,201311100atl,sea,LockRi00,rush_att,0,,,,,
player,201311100atl,sea,LockRi00,rush_yds,0,,,,,
player,201311100atl,sea,LockRi00,rush_td,0,,,,,
player,201311100atl,sea,LockRi00,rush_long,0,,,,,
player,201311100atl,sea,LockRi00,targets,1,,,,,
player,201311100atl,sea,LockRi00,rec,0,,,,,
player,201311100atl,sea,LockRi00,rec_yds,0,,,,,
player,201311100atl,sea,LockRi00,rec_td,0,,,,,
player,201311100atl,sea,LockRi00,rec_long,0,,,,,
player,201311100atl,sea,LockRi00,fumbles,0,,,,,
player,201311100atl,sea,LockRi00,fumbles_lost,0,,,,,
player,201311100atl,atl,RyanMa00,pass_cmp,23,,,,,
player,201311100atl,atl,RyanMa00,pass_att,36,,,,,
player,201311100atl,atl,RyanMa00,pass_yds,172,,,,,
player,201311100atl,atl,RyanMa00,pass_td,1,,,,,
player,201311100atl,atl,RyanMa00,pass_int,0,,,,,
player,201311100atl,atl,RyanMa00,pass_sacked,2,,,,,
player,201311100atl,atl,RyanMa00,pass_sacked_yds,10,,,,,
player,201311100atl,atl,RyanMa00,pass_long,31,,,,,
player,201311100atl,atl,RyanMa00,pass_rating,84.5,,,,,
player,201311100atl,atl,RyanMa00,rush_att,3,,,,,
player,201311100atl,atl,RyanMa00,rush_yds,15,,,,,
player,201311100atl,atl,RyanMa00,rush_td,0,,,,,
player,201311100atl,atl,RyanMa00,rush_long,10,,,,,
player,201311100atl,atl,RyanMa00,targets,0,,,,,
player,201311100atl,atl,RyanMa00,rec,0,,,,,
player,201311100atl,atl,RyanMa00,rec_yds,0,,,,,
player,201311100atl,atl,RyanMa00,rec_td,0,,,,,
player,201311100atl,atl,RyanMa00,rec_long,0,,,,,
player,201311100atl,atl,RyanMa00,fumbles,1,,,,,
player,201311100atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201311100atl,atl,RodgJa00,pass_cmp,0,,,,,
player,201311100atl,atl,RodgJa00,pass_att,0,,,,,
player,201311100atl,atl,RodgJa00,pass_yds,0,,,,,
player,201311100atl,atl,RodgJa00,pass_td,0,,,,,
player,201311100atl,atl,RodgJa00,pass_int,0,,,,,
player,201311100atl,atl,RodgJa00,pass_sacked,0,,,,,
player,201311100atl,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201311100atl,atl,RodgJa00,pass_long,0,,,,,
player,201311100atl,atl,RodgJa00,pass_rating,,,,,,
player,201311100atl,atl,RodgJa00,rush_att,3,,,,,
player,201311100atl,atl,RodgJa00,rush_yds,31,,,,,
player,201311100atl,atl,RodgJa00,rush_td,0,,,,,
player,201311100atl,atl,RodgJa00,rush_long,17,,,,,
player,201311100atl,atl,RodgJa00,targets,7,,,,,
player,201311100atl,atl,RodgJa00,rec,5,,,,,
player,201311100atl,atl,RodgJa00,rec_yds,28,,,,,
player,201311100atl,atl,RodgJa00,rec_td,0,,,,,
player,201311100atl,atl,RodgJa00,rec_long,10,,,,,
player,201311100atl,atl,RodgJa00,fumbles,0,,,,,
player,201311100atl,atl,RodgJa00,fumbles_lost,0,,,,,
player,201311100atl,atl,JackSt00,pass_cmp,0,,,,,
player,201311100atl,atl,JackSt00,pass_att,0,,,,,
player,201311100atl,atl,JackSt00,pass_yds,0,,,,,
player,201311100atl,atl,JackSt00,pass_td,0,,,,,
player,201311100atl,atl,JackSt00,pass_int,0,,,,,
player,201311100atl,atl,JackSt00,pass_sacked,0,,,,,
player,201311100atl,atl,JackSt00,pass_sacked_yds,0,,,,,
player,201311100atl,atl,JackSt00,pass_long,0,,,,,
player,201311100atl,atl,JackSt00,pass_rating,,,,,,
player,201311100atl,atl,JackSt00,rush_att,9,,,,,
player,201311100atl,atl,JackSt00,rush_yds,11,,,,,
player,201311100atl,atl,JackSt00,rush_td,0,,,,,
player,201311100atl,atl,JackSt00,rush_long,5,,,,,
player,201311100atl,atl,JackSt00,targets,5,,,,,
player,201311100atl,atl,JackSt00,rec,3,,,,,
player,201311100atl,atl,JackSt00,rec_yds,9,,,,,
player,201311100atl,atl,JackSt00,rec_td,0,,,,,
player,201311100atl,atl,JackSt00,rec_long,5,,,,,
player,201311100atl,atl,JackSt00,fumbles,0,,,,,
player,201311100atl,atl,JackSt00,fumbles_lost,0,,,,,
player,201311100atl,atl,SnelJa00,pass_cmp,0,,,,,
player,201311100atl,atl,SnelJa00,pass_att,0,,,,,
player,201311100atl,atl,SnelJa00,pass_yds,0,,,,,
player,201311100atl,atl,SnelJa00,pass_td,0,,,,,
player,201311100atl,atl,SnelJa00,pass_int,0,,,,,
player,201311100atl,atl,SnelJa00,pass_sacked,0,,,,,
player,201311100atl,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201311100atl,atl,SnelJa00,pass_long,0,,,,,
player,201311100atl,atl,SnelJa00,pass_rating,,,,,,
player,201311100atl,atl,SnelJa00,rush_att,1,,,,,
player,201311100atl,atl,SnelJa00,rush_yds,7,,,,,
player,201311100atl,atl,SnelJa00,rush_td,0,,,,,
player,201311100atl,atl,SnelJa00,rush_long,7,,,,,
player,201311100atl,atl,SnelJa00,targets,4,,,,,
player,201311100atl,atl,SnelJa00,rec,3,,,,,
player,201311100atl,atl,SnelJa00,rec_yds,25,,,,,
player,201311100atl,atl,SnelJa00,rec_td,0,,,,,
player,201311100atl,atl,SnelJa00,rec_long,14,,,,,
player,201311100atl,atl,SnelJa00,fumbles,0,,,,,
player,201311100atl,atl,SnelJa00,fumbles_lost,0,,,,,
player,201311100atl,atl,DougHa00,pass_cmp,0,,,,,
player,201311100atl,atl,DougHa00,pass_att,0,,,,,
player,201311100atl,atl,DougHa00,pass_yds,0,,,,,
player,201311100atl,atl,DougHa00,pass_td,0,,,,,
player,201311100atl,atl,DougHa00,pass_int,0,,,,,
player,201311100atl,atl,DougHa00,pass_sacked,0,,,,,
player,201311100atl,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201311100atl,atl,DougHa00,pass_long,0,,,,,
player,201311100atl,atl,DougHa00,pass_rating,,,,,,
player,201311100atl,atl,DougHa00,rush_att,0,,,,,
player,201311100atl,atl,DougHa00,rush_yds,0,,,,,
player,201311100atl,atl,DougHa00,rush_td,0,,,,,
