game,2013,1,20130909,201309090was,phi,"Philadelphia Eagles",33,was,"Washington Redskins",27
player,201309090was,was,MorrAl00,fumbles_lost,1,,,,,
player,201309090was,was,HeluRo00,pass_cmp,0,,,,,
player,201309090was,was,HeluRo00,pass_att,0,,,,,
player,201309090was,was,HeluRo00,pass_yds,0,,,,,
player,201309090was,was,HeluRo00,pass_td,0,,,,,
player,201309090was,was,HeluRo00,pass_int,0,,,,,
player,201309090was,was,HeluRo00,pass_sacked,0,,,,,
player,201309090was,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201309090was,was,HeluRo00,pass_long,0,,,,,
player,201309090was,was,HeluRo00,pass_rating,,,,,,
player,201309090was,was,HeluRo00,rush_att,1,,,,,
player,201309090was,was,HeluRo00,rush_yds,5,,,,,
player,201309090was,was,HeluRo00,rush_td,0,,,,,
player,201309090was,was,HeluRo00,rush_long,5,,,,,
player,201309090was,was,HeluRo00,targets,2,,,,,
player,201309090was,was,HeluRo00,rec,1,,,,,
player,201309090was,was,HeluRo00,rec_yds,11,,,,,
player,201309090was,was,HeluRo00,rec_td,0,,,,,
player,201309090was,was,HeluRo00,rec_long,11,,,,,
player,201309090was,was,HeluRo00,fumbles,0,,,,,
player,201309090was,was,HeluRo00,fumbles_lost,0,,,,,
player,201309090was,was,HankLe00,pass_cmp,0,,,,,
player,201309090was,was,HankLe00,pass_att,0,,,,,
player,201309090was,was,HankLe00,pass_yds,0,,,,,
player,201309090was,was,HankLe00,pass_td,0,,,,,
player,201309090was,was,HankLe00,pass_int,0,,,,,
player,201309090was,was,HankLe00,pass_sacked,0,,,,,
player,201309090was,was,HankLe00,pass_sacked_yds,0,,,,,
player,201309090was,was,HankLe00,pass_long,0,,,,,
player,201309090was,was,HankLe00,pass_rating,,,,,,
player,201309090was,was,HankLe00,rush_att,0,,,,,
player,201309090was,was,HankLe00,rush_yds,0,,,,,
player,201309090was,was,HankLe00,rush_td,0,,,,,
player,201309090was,was,HankLe00,rush_long,0,,,,,
player,201309090was,was,HankLe00,targets,7,,,,,
player,201309090was,was,HankLe00,rec,5,,,,,
player,201309090was,was,HankLe00,rec_yds,80,,,,,
player,201309090was,was,HankLe00,rec_td,2,,,,,
player,201309090was,was,HankLe00,rec_long,27,,,,,
player,201309090was,was,HankLe00,fumbles,0,,,,,
player,201309090was,was,HankLe00,fumbles_lost,0,,,,,
player,201309090was,was,GarcPi00,pass_cmp,0,,,,,
player,201309090was,was,GarcPi00,pass_att,0,,,,,
player,201309090was,was,GarcPi00,pass_yds,0,,,,,
player,201309090was,was,GarcPi00,pass_td,0,,,,,
player,201309090was,was,GarcPi00,pass_int,0,,,,,
player,201309090was,was,GarcPi00,pass_sacked,0,,,,,
player,201309090was,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201309090was,was,GarcPi00,pass_long,0,,,,,
player,201309090was,was,GarcPi00,pass_rating,,,,,,
player,201309090was,was,GarcPi00,rush_att,0,,,,,
player,201309090was,was,GarcPi00,rush_yds,0,,,,,
player,201309090was,was,GarcPi00,rush_td,0,,,,,
player,201309090was,was,GarcPi00,rush_long,0,,,,,
player,201309090was,was,GarcPi00,targets,11,,,,,
player,201309090was,was,GarcPi00,rec,7,,,,,
player,201309090was,was,GarcPi00,rec_yds,64,,,,,
player,201309090was,was,GarcPi00,rec_td,0,,,,,
player,201309090was,was,GarcPi00,rec_long,17,,,,,
player,201309090was,was,GarcPi00,fumbles,0,,,,,
player,201309090was,was,GarcPi00,fumbles_lost,0,,,,,
player,201309090was,was,MossSa00,pass_cmp,0,,,,,
player,201309090was,was,MossSa00,pass_att,0,,,,,
player,201309090was,was,MossSa00,pass_yds,0,,,,,
player,201309090was,was,MossSa00,pass_td,0,,,,,
player,201309090was,was,MossSa00,pass_int,0,,,,,
player,201309090was,was,MossSa00,pass_sacked,0,,,,,
player,201309090was,was,MossSa00,pass_sacked_yds,0,,,,,
player,201309090was,was,MossSa00,pass_long,0,,,,,
player,201309090was,was,MossSa00,pass_rating,,,,,,
player,201309090was,was,MossSa00,rush_att,0,,,,,
player,201309090was,was,MossSa00,rush_yds,0,,,,,
player,201309090was,was,MossSa00,rush_td,0,,,,,
player,201309090was,was,MossSa00,rush_long,0,,,,,
player,201309090was,was,MossSa00,targets,9,,,,,
player,201309090was,was,MossSa00,rec,5,,,,,
player,201309090was,was,MossSa00,rec_yds,54,,,,,
player,201309090was,was,MossSa00,rec_td,0,,,,,
player,201309090was,was,MossSa00,rec_long,16,,,,,
player,201309090was,was,MossSa00,fumbles,0,,,,,
player,201309090was,was,MossSa00,fumbles_lost,0,,,,,
player,201309090was,was,MorgJo00,pass_cmp,0,,,,,
player,201309090was,was,MorgJo00,pass_att,0,,,,,
player,201309090was,was,MorgJo00,pass_yds,0,,,,,
player,201309090was,was,MorgJo00,pass_td,0,,,,,
player,201309090was,was,MorgJo00,pass_int,0,,,,,
player,201309090was,was,MorgJo00,pass_sacked,0,,,,,
player,201309090was,was,MorgJo00,pass_sacked_yds,0,,,,,
player,201309090was,was,MorgJo00,pass_long,0,,,,,
player,201309090was,was,MorgJo00,pass_rating,,,,,,
player,201309090was,was,MorgJo00,rush_att,0,,,,,
player,201309090was,was,MorgJo00,rush_yds,0,,,,,
player,201309090was,was,MorgJo00,rush_td,0,,,,,
player,201309090was,was,MorgJo00,rush_long,0,,,,,
