game,2013,10,20131111,201311110tam,mia,"Miami Dolphins",19,tam,"Tampa Bay Buccaneers",22
player,201311110tam,mia,WheePh99,def_int_td,0,,,,,
player,201311110tam,mia,WheePh99,def_int_long,0,,,,,
player,201311110tam,mia,WheePh99,pass_defended,0,,,,,
player,201311110tam,mia,WheePh99,sacks,0.0,,,,,
player,201311110tam,mia,WheePh99,tackles_combined,5,,,,,
player,201311110tam,mia,WheePh99,tackles_solo,5,,,,,
player,201311110tam,mia,WheePh99,tackles_assists,0,,,,,
player,201311110tam,mia,WheePh99,tackles_loss,0,,,,,
player,201311110tam,mia,WheePh99,qb_hits,0,,,,,
player,201311110tam,mia,WheePh99,fumbles_rec,0,,,,,
player,201311110tam,mia,WheePh99,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,WheePh99,fumbles_rec_td,0,,,,,
player,201311110tam,mia,WheePh99,fumbles_forced,0,,,,,
player,201311110tam,mia,OdriJa99,def_int,0,,,,,
player,201311110tam,mia,OdriJa99,def_int_yds,0,,,,,
player,201311110tam,mia,OdriJa99,def_int_td,0,,,,,
player,201311110tam,mia,OdriJa99,def_int_long,0,,,,,
player,201311110tam,mia,OdriJa99,pass_defended,0,,,,,
player,201311110tam,mia,OdriJa99,sacks,0.0,,,,,
player,201311110tam,mia,OdriJa99,tackles_combined,4,,,,,
player,201311110tam,mia,OdriJa99,tackles_solo,4,,,,,
player,201311110tam,mia,OdriJa99,tackles_assists,0,,,,,
player,201311110tam,mia,OdriJa99,tackles_loss,0,,,,,
player,201311110tam,mia,OdriJa99,qb_hits,0,,,,,
player,201311110tam,mia,OdriJa99,fumbles_rec,0,,,,,
player,201311110tam,mia,OdriJa99,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,OdriJa99,fumbles_rec_td,0,,,,,
player,201311110tam,mia,OdriJa99,fumbles_forced,0,,,,,
player,201311110tam,mia,ShelDe00,def_int,0,,,,,
player,201311110tam,mia,ShelDe00,def_int_yds,0,,,,,
player,201311110tam,mia,ShelDe00,def_int_td,0,,,,,
player,201311110tam,mia,ShelDe00,def_int_long,0,,,,,
player,201311110tam,mia,ShelDe00,pass_defended,0,,,,,
player,201311110tam,mia,ShelDe00,sacks,0.0,,,,,
player,201311110tam,mia,ShelDe00,tackles_combined,4,,,,,
player,201311110tam,mia,ShelDe00,tackles_solo,2,,,,,
player,201311110tam,mia,ShelDe00,tackles_assists,2,,,,,
player,201311110tam,mia,ShelDe00,tackles_loss,0,,,,,
player,201311110tam,mia,ShelDe00,qb_hits,0,,,,,
player,201311110tam,mia,ShelDe00,fumbles_rec,0,,,,,
player,201311110tam,mia,ShelDe00,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,ShelDe00,fumbles_rec_td,0,,,,,
player,201311110tam,mia,ShelDe00,fumbles_forced,0,,,,,
player,201311110tam,mia,CampD.00,def_int,0,,,,,
player,201311110tam,mia,CampD.00,def_int_yds,0,,,,,
player,201311110tam,mia,CampD.00,def_int_td,0,,,,,
player,201311110tam,mia,CampD.00,def_int_long,0,,,,,
player,201311110tam,mia,CampD.00,pass_defended,0,,,,,
player,201311110tam,mia,CampD.00,sacks,0.0,,,,,
player,201311110tam,mia,CampD.00,tackles_combined,2,,,,,
player,201311110tam,mia,CampD.00,tackles_solo,2,,,,,
player,201311110tam,mia,CampD.00,tackles_assists,0,,,,,
player,201311110tam,mia,CampD.00,tackles_loss,0,,,,,
player,201311110tam,mia,CampD.00,qb_hits,0,,,,,
player,201311110tam,mia,CampD.00,fumbles_rec,0,,,,,
player,201311110tam,mia,CampD.00,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,CampD.00,fumbles_rec_td,0,,,,,
player,201311110tam,mia,CampD.00,fumbles_forced,0,,,,,
player,201311110tam,mia,FreeJo01,def_int,0,,,,,
player,201311110tam,mia,FreeJo01,def_int_yds,0,,,,,
player,201311110tam,mia,FreeJo01,def_int_td,0,,,,,
player,201311110tam,mia,FreeJo01,def_int_long,0,,,,,
player,201311110tam,mia,FreeJo01,pass_defended,0,,,,,
player,201311110tam,mia,FreeJo01,sacks,0.0,,,,,
player,201311110tam,mia,FreeJo01,tackles_combined,2,,,,,
player,201311110tam,mia,FreeJo01,tackles_solo,1,,,,,
player,201311110tam,mia,FreeJo01,tackles_assists,1,,,,,
player,201311110tam,mia,FreeJo01,tackles_loss,0,,,,,
player,201311110tam,mia,FreeJo01,qb_hits,0,,,,,
player,201311110tam,mia,FreeJo01,fumbles_rec,0,,,,,
player,201311110tam,mia,FreeJo01,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,FreeJo01,fumbles_rec_td,0,,,,,
player,201311110tam,mia,FreeJo01,fumbles_forced,0,,,,,
player,201311110tam,mia,TrusJa99,def_int,0,,,,,
player,201311110tam,mia,TrusJa99,def_int_yds,0,,,,,
player,201311110tam,mia,TrusJa99,def_int_td,0,,,,,
player,201311110tam,mia,TrusJa99,def_int_long,0,,,,,
player,201311110tam,mia,TrusJa99,pass_defended,0,,,,,
player,201311110tam,mia,TrusJa99,sacks,0.0,,,,,
player,201311110tam,mia,TrusJa99,tackles_combined,2,,,,,
player,201311110tam,mia,TrusJa99,tackles_solo,1,,,,,
player,201311110tam,mia,TrusJa99,tackles_assists,1,,,,,
player,201311110tam,mia,TrusJa99,tackles_loss,0,,,,,
player,201311110tam,mia,TrusJa99,qb_hits,0,,,,,
player,201311110tam,mia,TrusJa99,fumbles_rec,0,,,,,
player,201311110tam,mia,TrusJa99,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,TrusJa99,fumbles_rec_td,0,,,,,
player,201311110tam,mia,TrusJa99,fumbles_forced,0,,,,,
player,201311110tam,mia,WakeCa00,def_int,0,,,,,
player,201311110tam,mia,WakeCa00,def_int_yds,0,,,,,
player,201311110tam,mia,WakeCa00,def_int_td,0,,,,,
player,201311110tam,mia,WakeCa00,def_int_long,0,,,,,
player,201311110tam,mia,WakeCa00,pass_defended,0,,,,,
player,201311110tam,mia,WakeCa00,sacks,0.0,,,,,
player,201311110tam,mia,WakeCa00,tackles_combined,2,,,,,
player,201311110tam,mia,WakeCa00,tackles_solo,2,,,,,
player,201311110tam,mia,WakeCa00,tackles_assists,0,,,,,
player,201311110tam,mia,WakeCa00,tackles_loss,0,,,,,
player,201311110tam,mia,WakeCa00,qb_hits,1,,,,,
player,201311110tam,mia,WakeCa00,fumbles_rec,0,,,,,
player,201311110tam,mia,WakeCa00,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,WakeCa00,fumbles_rec_td,0,,,,,
player,201311110tam,mia,WakeCa00,fumbles_forced,0,,,,,
player,201311110tam,mia,ClayCh00,def_int,0,,,,,
player,201311110tam,mia,ClayCh00,def_int_yds,0,,,,,
player,201311110tam,mia,ClayCh00,def_int_td,0,,,,,
player,201311110tam,mia,ClayCh00,def_int_long,0,,,,,
player,201311110tam,mia,ClayCh00,pass_defended,0,,,,,
player,201311110tam,mia,ClayCh00,sacks,0.0,,,,,
player,201311110tam,mia,ClayCh00,tackles_combined,1,,,,,
player,201311110tam,mia,ClayCh00,tackles_solo,0,,,,,
player,201311110tam,mia,ClayCh00,tackles_assists,1,,,,,
player,201311110tam,mia,ClayCh00,tackles_loss,0,,,,,
player,201311110tam,mia,ClayCh00,qb_hits,0,,,,,
player,201311110tam,mia,ClayCh00,fumbles_rec,0,,,,,
player,201311110tam,mia,ClayCh00,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,ClayCh00,fumbles_rec_td,0,,,,,
player,201311110tam,mia,ClayCh00,fumbles_forced,0,,,,,
player,201311110tam,mia,GrimBr20,def_int,0,,,,,
player,201311110tam,mia,GrimBr20,def_int_yds,0,,,,,
player,201311110tam,mia,GrimBr20,def_int_td,0,,,,,
player,201311110tam,mia,GrimBr20,def_int_long,0,,,,,
player,201311110tam,mia,GrimBr20,pass_defended,3,,,,,
player,201311110tam,mia,GrimBr20,sacks,0.0,,,,,
player,201311110tam,mia,GrimBr20,tackles_combined,1,,,,,
player,201311110tam,mia,GrimBr20,tackles_solo,1,,,,,
player,201311110tam,mia,GrimBr20,tackles_assists,0,,,,,
player,201311110tam,mia,GrimBr20,tackles_loss,0,,,,,
player,201311110tam,mia,GrimBr20,qb_hits,0,,,,,
player,201311110tam,mia,GrimBr20,fumbles_rec,0,,,,,
player,201311110tam,mia,GrimBr20,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,GrimBr20,fumbles_rec_td,0,,,,,
player,201311110tam,mia,GrimBr20,fumbles_forced,0,,,,,
player,201311110tam,mia,JordDi00,def_int,0,,,,,
player,201311110tam,mia,JordDi00,def_int_yds,0,,,,,
player,201311110tam,mia,JordDi00,def_int_td,0,,,,,
player,201311110tam,mia,JordDi00,def_int_long,0,,,,,
player,201311110tam,mia,JordDi00,pass_defended,0,,,,,
player,201311110tam,mia,JordDi00,sacks,0.0,,,,,
player,201311110tam,mia,JordDi00,tackles_combined,1,,,,,
player,201311110tam,mia,JordDi00,tackles_solo,0,,,,,
player,201311110tam,mia,JordDi00,tackles_assists,1,,,,,
player,201311110tam,mia,JordDi00,tackles_loss,0,,,,,
player,201311110tam,mia,JordDi00,qb_hits,0,,,,,
player,201311110tam,mia,JordDi00,fumbles_rec,0,,,,,
player,201311110tam,mia,JordDi00,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,JordDi00,fumbles_rec_td,0,,,,,
player,201311110tam,mia,JordDi00,fumbles_forced,0,,,,,
player,201311110tam,mia,MoorMa02,def_int,0,,,,,
player,201311110tam,mia,MoorMa02,def_int_yds,0,,,,,
player,201311110tam,mia,MoorMa02,def_int_td,0,,,,,
player,201311110tam,mia,MoorMa02,def_int_long,0,,,,,
player,201311110tam,mia,MoorMa02,pass_defended,0,,,,,
player,201311110tam,mia,MoorMa02,sacks,0.0,,,,,
player,201311110tam,mia,MoorMa02,tackles_combined,1,,,,,
player,201311110tam,mia,MoorMa02,tackles_solo,1,,,,,
player,201311110tam,mia,MoorMa02,tackles_assists,0,,,,,
player,201311110tam,mia,MoorMa02,tackles_loss,0,,,,,
player,201311110tam,mia,MoorMa02,qb_hits,0,,,,,
player,201311110tam,mia,MoorMa02,fumbles_rec,0,,,,,
player,201311110tam,mia,MoorMa02,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,MoorMa02,fumbles_rec_td,0,,,,,
player,201311110tam,mia,MoorMa02,fumbles_forced,0,,,,,
player,201311110tam,mia,SoliPa99,def_int,0,,,,,
player,201311110tam,mia,SoliPa99,def_int_yds,0,,,,,
player,201311110tam,mia,SoliPa99,def_int_td,0,,,,,
player,201311110tam,mia,SoliPa99,def_int_long,0,,,,,
player,201311110tam,mia,SoliPa99,pass_defended,0,,,,,
player,201311110tam,mia,SoliPa99,sacks,0.0,,,,,
player,201311110tam,mia,SoliPa99,tackles_combined,1,,,,,
player,201311110tam,mia,SoliPa99,tackles_solo,1,,,,,
player,201311110tam,mia,SoliPa99,tackles_assists,0,,,,,
player,201311110tam,mia,SoliPa99,tackles_loss,1,,,,,
player,201311110tam,mia,SoliPa99,qb_hits,0,,,,,
player,201311110tam,mia,SoliPa99,fumbles_rec,0,,,,,
player,201311110tam,mia,SoliPa99,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,SoliPa99,fumbles_rec_td,0,,,,,
player,201311110tam,mia,SoliPa99,fumbles_forced,0,,,,,
player,201311110tam,mia,SpitAu99,def_int,0,,,,,
player,201311110tam,mia,SpitAu99,def_int_yds,0,,,,,
player,201311110tam,mia,SpitAu99,def_int_td,0,,,,,
player,201311110tam,mia,SpitAu99,def_int_long,0,,,,,
player,201311110tam,mia,SpitAu99,pass_defended,0,,,,,
player,201311110tam,mia,SpitAu99,sacks,0.0,,,,,
player,201311110tam,mia,SpitAu99,tackles_combined,1,,,,,
player,201311110tam,mia,SpitAu99,tackles_solo,1,,,,,
player,201311110tam,mia,SpitAu99,tackles_assists,0,,,,,
player,201311110tam,mia,SpitAu99,tackles_loss,0,,,,,
player,201311110tam,mia,SpitAu99,qb_hits,0,,,,,
player,201311110tam,mia,SpitAu99,fumbles_rec,0,,,,,
player,201311110tam,mia,SpitAu99,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,SpitAu99,fumbles_rec_td,0,,,,,
player,201311110tam,mia,SpitAu99,fumbles_forced,0,,,,,
player,201311110tam,mia,VernOl00,def_int,0,,,,,
player,201311110tam,mia,VernOl00,def_int_yds,0,,,,,
player,201311110tam,mia,VernOl00,def_int_td,0,,,,,
player,201311110tam,mia,VernOl00,def_int_long,0,,,,,
player,201311110tam,mia,VernOl00,pass_defended,0,,,,,
player,201311110tam,mia,VernOl00,sacks,0.0,,,,,
player,201311110tam,mia,VernOl00,tackles_combined,1,,,,,
player,201311110tam,mia,VernOl00,tackles_solo,1,,,,,
player,201311110tam,mia,VernOl00,tackles_assists,0,,,,,
player,201311110tam,mia,VernOl00,tackles_loss,0,,,,,
player,201311110tam,mia,VernOl00,qb_hits,1,,,,,
player,201311110tam,mia,VernOl00,fumbles_rec,0,,,,,
player,201311110tam,mia,VernOl00,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,VernOl00,fumbles_rec_td,0,,,,,
player,201311110tam,mia,VernOl00,fumbles_forced,0,,,,,
player,201311110tam,tam,ReviDa99,def_int,1,,,,,
player,201311110tam,tam,ReviDa99,def_int_yds,0,,,,,
player,201311110tam,tam,ReviDa99,def_int_td,0,,,,,
player,201311110tam,tam,ReviDa99,def_int_long,0,,,,,
player,201311110tam,tam,ReviDa99,pass_defended,1,,,,,
player,201311110tam,tam,ReviDa99,sacks,0.0,,,,,
player,201311110tam,tam,ReviDa99,tackles_combined,4,,,,,
player,201311110tam,tam,ReviDa99,tackles_solo,4,,,,,
player,201311110tam,tam,ReviDa99,tackles_assists,0,,,,,
player,201311110tam,tam,ReviDa99,tackles_loss,1,,,,,
player,201311110tam,tam,ReviDa99,qb_hits,0,,,,,
player,201311110tam,tam,ReviDa99,fumbles_rec,0,,,,,
player,201311110tam,tam,ReviDa99,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,ReviDa99,fumbles_rec_td,0,,,,,
player,201311110tam,tam,ReviDa99,fumbles_forced,0,,,,,
player,201311110tam,tam,McCoGe99,def_int,0,,,,,
player,201311110tam,tam,McCoGe99,def_int_yds,0,,,,,
player,201311110tam,tam,McCoGe99,def_int_td,0,,,,,
player,201311110tam,tam,McCoGe99,def_int_long,0,,,,,
player,201311110tam,tam,McCoGe99,pass_defended,0,,,,,
player,201311110tam,tam,McCoGe99,sacks,1.0,,,,,
player,201311110tam,tam,McCoGe99,tackles_combined,5,,,,,
player,201311110tam,tam,McCoGe99,tackles_solo,3,,,,,
player,201311110tam,tam,McCoGe99,tackles_assists,2,,,,,
player,201311110tam,tam,McCoGe99,tackles_loss,3,,,,,
player,201311110tam,tam,McCoGe99,qb_hits,2,,,,,
player,201311110tam,tam,McCoGe99,fumbles_rec,0,,,,,
player,201311110tam,tam,McCoGe99,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,McCoGe99,fumbles_rec_td,0,,,,,
player,201311110tam,tam,McCoGe99,fumbles_forced,0,,,,,
player,201311110tam,tam,BoweDa00,def_int,0,,,,,
player,201311110tam,tam,BoweDa00,def_int_yds,0,,,,,
player,201311110tam,tam,BoweDa00,def_int_td,0,,,,,
player,201311110tam,tam,BoweDa00,def_int_long,0,,,,,
player,201311110tam,tam,BoweDa00,pass_defended,0,,,,,
player,201311110tam,tam,BoweDa00,sacks,0.5,,,,,
player,201311110tam,tam,BoweDa00,tackles_combined,1,,,,,
player,201311110tam,tam,BoweDa00,tackles_solo,0,,,,,
player,201311110tam,tam,BoweDa00,tackles_assists,1,,,,,
player,201311110tam,tam,BoweDa00,tackles_loss,0,,,,,
player,201311110tam,tam,BoweDa00,qb_hits,1,,,,,
player,201311110tam,tam,BoweDa00,fumbles_rec,0,,,,,
player,201311110tam,tam,BoweDa00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,BoweDa00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,BoweDa00,fumbles_forced,0,,,,,
player,201311110tam,tam,GholWi00,def_int,0,,,,,
player,201311110tam,tam,GholWi00,def_int_yds,0,,,,,
player,201311110tam,tam,GholWi00,def_int_td,0,,,,,
player,201311110tam,tam,GholWi00,def_int_long,0,,,,,
player,201311110tam,tam,GholWi00,pass_defended,0,,,,,
player,201311110tam,tam,GholWi00,sacks,0.5,,,,,
player,201311110tam,tam,GholWi00,tackles_combined,1,,,,,
player,201311110tam,tam,GholWi00,tackles_solo,0,,,,,
player,201311110tam,tam,GholWi00,tackles_assists,1,,,,,
player,201311110tam,tam,GholWi00,tackles_loss,0,,,,,
player,201311110tam,tam,GholWi00,qb_hits,1,,,,,
player,201311110tam,tam,GholWi00,fumbles_rec,0,,,,,
player,201311110tam,tam,GholWi00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,GholWi00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,GholWi00,fumbles_forced,0,,,,,
player,201311110tam,tam,GoldDa99,def_int,0,,,,,
player,201311110tam,tam,GoldDa99,def_int_yds,0,,,,,
player,201311110tam,tam,GoldDa99,def_int_td,0,,,,,
player,201311110tam,tam,GoldDa99,def_int_long,0,,,,,
player,201311110tam,tam,GoldDa99,pass_defended,1,,,,,
player,201311110tam,tam,GoldDa99,sacks,0.0,,,,,
player,201311110tam,tam,GoldDa99,tackles_combined,8,,,,,
player,201311110tam,tam,GoldDa99,tackles_solo,6,,,,,
player,201311110tam,tam,GoldDa99,tackles_assists,2,,,,,
player,201311110tam,tam,GoldDa99,tackles_loss,0,,,,,
player,201311110tam,tam,GoldDa99,qb_hits,0,,,,,
player,201311110tam,tam,GoldDa99,fumbles_rec,0,,,,,
player,201311110tam,tam,GoldDa99,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,GoldDa99,fumbles_rec_td,0,,,,,
player,201311110tam,tam,GoldDa99,fumbles_forced,0,,,,,
player,201311110tam,tam,DaviLa00,def_int,0,,,,,
player,201311110tam,tam,DaviLa00,def_int_yds,0,,,,,
player,201311110tam,tam,DaviLa00,def_int_td,0,,,,,
player,201311110tam,tam,DaviLa00,def_int_long,0,,,,,
player,201311110tam,tam,DaviLa00,pass_defended,0,,,,,
player,201311110tam,tam,DaviLa00,sacks,0.0,,,,,
player,201311110tam,tam,DaviLa00,tackles_combined,7,,,,,
player,201311110tam,tam,DaviLa00,tackles_solo,4,,,,,
player,201311110tam,tam,DaviLa00,tackles_assists,3,,,,,
player,201311110tam,tam,DaviLa00,tackles_loss,2,,,,,
player,201311110tam,tam,DaviLa00,qb_hits,1,,,,,
player,201311110tam,tam,DaviLa00,fumbles_rec,0,,,,,
player,201311110tam,tam,DaviLa00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,DaviLa00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,DaviLa00,fumbles_forced,0,,,,,
player,201311110tam,tam,FostMa00,def_int,0,,,,,
player,201311110tam,tam,FostMa00,def_int_yds,0,,,,,
player,201311110tam,tam,FostMa00,def_int_td,0,,,,,
player,201311110tam,tam,FostMa00,def_int_long,0,,,,,
player,201311110tam,tam,FostMa00,pass_defended,0,,,,,
player,201311110tam,tam,FostMa00,sacks,0.0,,,,,
player,201311110tam,tam,FostMa00,tackles_combined,6,,,,,
player,201311110tam,tam,FostMa00,tackles_solo,6,,,,,
player,201311110tam,tam,FostMa00,tackles_assists,0,,,,,
player,201311110tam,tam,FostMa00,tackles_loss,2,,,,,
player,201311110tam,tam,FostMa00,qb_hits,1,,,,,
player,201311110tam,tam,FostMa00,fumbles_rec,0,,,,,
player,201311110tam,tam,FostMa00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,FostMa00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,FostMa00,fumbles_forced,0,,,,,
player,201311110tam,tam,AdamMi98,def_int,0,,,,,
player,201311110tam,tam,AdamMi98,def_int_yds,0,,,,,
player,201311110tam,tam,AdamMi98,def_int_td,0,,,,,
player,201311110tam,tam,AdamMi98,def_int_long,0,,,,,
player,201311110tam,tam,AdamMi98,pass_defended,1,,,,,
player,201311110tam,tam,AdamMi98,sacks,0.0,,,,,
player,201311110tam,tam,AdamMi98,tackles_combined,5,,,,,
player,201311110tam,tam,AdamMi98,tackles_solo,4,,,,,
player,201311110tam,tam,AdamMi98,tackles_assists,1,,,,,
player,201311110tam,tam,AdamMi98,tackles_loss,0,,,,,
player,201311110tam,tam,AdamMi98,qb_hits,0,,,,,
player,201311110tam,tam,AdamMi98,fumbles_rec,0,,,,,
player,201311110tam,tam,AdamMi98,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,AdamMi98,fumbles_rec_td,0,,,,,
player,201311110tam,tam,AdamMi98,fumbles_forced,0,,,,,
player,201311110tam,tam,BankJo00,def_int,0,,,,,
player,201311110tam,tam,BankJo00,def_int_yds,0,,,,,
player,201311110tam,tam,BankJo00,def_int_td,0,,,,,
player,201311110tam,tam,BankJo00,def_int_long,0,,,,,
player,201311110tam,tam,BankJo00,pass_defended,0,,,,,
player,201311110tam,tam,BankJo00,sacks,0.0,,,,,
player,201311110tam,tam,BankJo00,tackles_combined,5,,,,,
player,201311110tam,tam,BankJo00,tackles_solo,5,,,,,
player,201311110tam,tam,BankJo00,tackles_assists,0,,,,,
player,201311110tam,tam,BankJo00,tackles_loss,0,,,,,
player,201311110tam,tam,BankJo00,qb_hits,0,,,,,
player,201311110tam,tam,BankJo00,fumbles_rec,0,,,,,
player,201311110tam,tam,BankJo00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,BankJo00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,BankJo00,fumbles_forced,0,,,,,
player,201311110tam,tam,BarrMa00,def_int,0,,,,,
player,201311110tam,tam,BarrMa00,def_int_yds,0,,,,,
player,201311110tam,tam,BarrMa00,def_int_td,0,,,,,
player,201311110tam,tam,BarrMa00,def_int_long,0,,,,,
player,201311110tam,tam,BarrMa00,pass_defended,0,,,,,
player,201311110tam,tam,BarrMa00,sacks,0.0,,,,,
player,201311110tam,tam,BarrMa00,tackles_combined,5,,,,,
player,201311110tam,tam,BarrMa00,tackles_solo,5,,,,,
player,201311110tam,tam,BarrMa00,tackles_assists,0,,,,,
player,201311110tam,tam,BarrMa00,tackles_loss,1,,,,,
player,201311110tam,tam,BarrMa00,qb_hits,0,,,,,
player,201311110tam,tam,BarrMa00,fumbles_rec,0,,,,,
player,201311110tam,tam,BarrMa00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,BarrMa00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,BarrMa00,fumbles_forced,0,,,,,
player,201311110tam,tam,CasiJo99,def_int,0,,,,,
player,201311110tam,tam,CasiJo99,def_int_yds,0,,,,,
player,201311110tam,tam,CasiJo99,def_int_td,0,,,,,
player,201311110tam,tam,CasiJo99,def_int_long,0,,,,,
player,201311110tam,tam,CasiJo99,pass_defended,0,,,,,
player,201311110tam,tam,CasiJo99,sacks,0.0,,,,,
player,201311110tam,tam,CasiJo99,tackles_combined,2,,,,,
player,201311110tam,tam,CasiJo99,tackles_solo,2,,,,,
player,201311110tam,tam,CasiJo99,tackles_assists,0,,,,,
player,201311110tam,tam,CasiJo99,tackles_loss,0,,,,,
player,201311110tam,tam,CasiJo99,qb_hits,0,,,,,
player,201311110tam,tam,CasiJo99,fumbles_rec,0,,,,,
player,201311110tam,tam,CasiJo99,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,CasiJo99,fumbles_rec_td,0,,,,,
player,201311110tam,tam,CasiJo99,fumbles_forced,0,,,,,
player,201311110tam,tam,ClayAd00,def_int,0,,,,,
player,201311110tam,tam,ClayAd00,def_int_yds,0,,,,,
player,201311110tam,tam,ClayAd00,def_int_td,0,,,,,
player,201311110tam,tam,ClayAd00,def_int_long,0,,,,,
player,201311110tam,tam,ClayAd00,pass_defended,0,,,,,
player,201311110tam,tam,ClayAd00,sacks,0.0,,,,,
player,201311110tam,tam,ClayAd00,tackles_combined,1,,,,,
player,201311110tam,tam,ClayAd00,tackles_solo,0,,,,,
player,201311110tam,tam,ClayAd00,tackles_assists,1,,,,,
player,201311110tam,tam,ClayAd00,tackles_loss,0,,,,,
player,201311110tam,tam,ClayAd00,qb_hits,1,,,,,
player,201311110tam,tam,ClayAd00,fumbles_rec,0,,,,,
player,201311110tam,tam,ClayAd00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,ClayAd00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,ClayAd00,fumbles_forced,0,,,,,
player,201311110tam,tam,HaywAd98,def_int,0,,,,,
player,201311110tam,tam,HaywAd98,def_int_yds,0,,,,,
player,201311110tam,tam,HaywAd98,def_int_td,0,,,,,
player,201311110tam,tam,HaywAd98,def_int_long,0,,,,,
player,201311110tam,tam,HaywAd98,pass_defended,0,,,,,
player,201311110tam,tam,HaywAd98,sacks,0.0,,,,,
player,201311110tam,tam,HaywAd98,tackles_combined,1,,,,,
player,201311110tam,tam,HaywAd98,tackles_solo,1,,,,,
player,201311110tam,tam,HaywAd98,tackles_assists,0,,,,,
player,201311110tam,tam,HaywAd98,tackles_loss,0,,,,,
player,201311110tam,tam,HaywAd98,qb_hits,0,,,,,
player,201311110tam,tam,HaywAd98,fumbles_rec,0,,,,,
player,201311110tam,tam,HaywAd98,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,HaywAd98,fumbles_rec_td,0,,,,,
player,201311110tam,tam,HaywAd98,fumbles_forced,0,,,,,
player,201311110tam,tam,McCrKe00,def_int,0,,,,,
player,201311110tam,tam,McCrKe00,def_int_yds,0,,,,,
player,201311110tam,tam,McCrKe00,def_int_td,0,,,,,
player,201311110tam,tam,McCrKe00,def_int_long,0,,,,,
player,201311110tam,tam,McCrKe00,pass_defended,0,,,,,
player,201311110tam,tam,McCrKe00,sacks,0.0,,,,,
player,201311110tam,tam,McCrKe00,tackles_combined,1,,,,,
player,201311110tam,tam,McCrKe00,tackles_solo,1,,,,,
player,201311110tam,tam,McCrKe00,tackles_assists,0,,,,,
player,201311110tam,tam,McCrKe00,tackles_loss,0,,,,,
player,201311110tam,tam,McCrKe00,qb_hits,0,,,,,
player,201311110tam,tam,McCrKe00,fumbles_rec,0,,,,,
player,201311110tam,tam,McCrKe00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,McCrKe00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,McCrKe00,fumbles_forced,0,,,,,
player,201311110tam,tam,ShepRu00,def_int,0,,,,,
player,201311110tam,tam,ShepRu00,def_int_yds,0,,,,,
player,201311110tam,tam,ShepRu00,def_int_td,0,,,,,
player,201311110tam,tam,ShepRu00,def_int_long,0,,,,,
player,201311110tam,tam,ShepRu00,pass_defended,0,,,,,
player,201311110tam,tam,ShepRu00,sacks,0.0,,,,,
player,201311110tam,tam,ShepRu00,tackles_combined,1,,,,,
player,201311110tam,tam,ShepRu00,tackles_solo,1,,,,,
player,201311110tam,tam,ShepRu00,tackles_assists,0,,,,,
player,201311110tam,tam,ShepRu00,tackles_loss,0,,,,,
player,201311110tam,tam,ShepRu00,qb_hits,0,,,,,
player,201311110tam,tam,ShepRu00,fumbles_rec,0,,,,,
player,201311110tam,tam,ShepRu00,fumbles_rec_yds,0,,,,,
player,201311110tam,tam,ShepRu00,fumbles_rec_td,0,,,,,
player,201311110tam,tam,ShepRu00,fumbles_forced,0,,,,,
player,201311110tam,tam,SpenAk00,def_int,0,,,,,
player,201311110tam,tam,SpenAk00,def_int_yds,0,,,,,
player,201311110tam,tam,SpenAk00,def_int_td,0,,,,,
player,201311110tam,tam,SpenAk00,def_int_long,0,,,,,
player,201311110tam,tam,SpenAk00,pass_defended,0,,,,,
