game,2013,14,20131208,201312080den,oti,"Tennessee Titans",28,den,"Denver Broncos",51
player,201312080den,oti,ThomTa00,rush_yds,0,,,,,
player,201312080den,oti,ThomTa00,rush_td,0,,,,,
player,201312080den,oti,ThomTa00,rush_long,0,,,,,
player,201312080den,oti,ThomTa00,targets,1,,,,,
player,201312080den,oti,ThomTa00,rec,0,,,,,
player,201312080den,oti,ThomTa00,rec_yds,0,,,,,
player,201312080den,oti,ThomTa00,rec_td,0,,,,,
player,201312080den,oti,ThomTa00,rec_long,0,,,,,
player,201312080den,oti,ThomTa00,fumbles,0,,,,,
player,201312080den,oti,ThomTa00,fumbles_lost,0,,,,,
player,201312080den,den,MannPe00,pass_cmp,39,,,,,
player,201312080den,den,MannPe00,pass_att,59,,,,,
player,201312080den,den,MannPe00,pass_yds,397,,,,,
player,201312080den,den,MannPe00,pass_td,4,,,,,
player,201312080den,den,MannPe00,pass_int,0,,,,,
player,201312080den,den,MannPe00,pass_sacked,0,,,,,
player,201312080den,den,MannPe00,pass_sacked_yds,0,,,,,
player,201312080den,den,MannPe00,pass_long,38,,,,,
player,201312080den,den,MannPe00,pass_rating,107.8,,,,,
player,201312080den,den,MannPe00,rush_att,3,,,,,
player,201312080den,den,MannPe00,rush_yds,-1,,,,,
player,201312080den,den,MannPe00,rush_td,0,,,,,
player,201312080den,den,MannPe00,rush_long,0,,,,,
player,201312080den,den,MannPe00,targets,0,,,,,
player,201312080den,den,MannPe00,rec,0,,,,,
player,201312080den,den,MannPe00,rec_yds,0,,,,,
player,201312080den,den,MannPe00,rec_td,0,,,,,
player,201312080den,den,MannPe00,rec_long,0,,,,,
player,201312080den,den,MannPe00,fumbles,0,,,,,
player,201312080den,den,MannPe00,fumbles_lost,0,,,,,
player,201312080den,den,MoreKn00,pass_cmp,0,,,,,
player,201312080den,den,MoreKn00,pass_att,0,,,,,
player,201312080den,den,MoreKn00,pass_yds,0,,,,,
player,201312080den,den,MoreKn00,pass_td,0,,,,,
player,201312080den,den,MoreKn00,pass_int,0,,,,,
player,201312080den,den,MoreKn00,pass_sacked,0,,,,,
player,201312080den,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201312080den,den,MoreKn00,pass_long,0,,,,,
player,201312080den,den,MoreKn00,pass_rating,,,,,,
player,201312080den,den,MoreKn00,rush_att,14,,,,,
player,201312080den,den,MoreKn00,rush_yds,78,,,,,
player,201312080den,den,MoreKn00,rush_td,1,,,,,
player,201312080den,den,MoreKn00,rush_long,25,,,,,
player,201312080den,den,MoreKn00,targets,7,,,,,
player,201312080den,den,MoreKn00,rec,6,,,,,
player,201312080den,den,MoreKn00,rec_yds,31,,,,,
player,201312080den,den,MoreKn00,rec_td,0,,,,,
player,201312080den,den,MoreKn00,rec_long,13,,,,,
player,201312080den,den,MoreKn00,fumbles,0,,,,,
player,201312080den,den,MoreKn00,fumbles_lost,0,,,,,
player,201312080den,den,BallMo00,pass_cmp,0,,,,,
player,201312080den,den,BallMo00,pass_att,0,,,,,
player,201312080den,den,BallMo00,pass_yds,0,,,,,
player,201312080den,den,BallMo00,pass_td,0,,,,,
player,201312080den,den,BallMo00,pass_int,0,,,,,
player,201312080den,den,BallMo00,pass_sacked,0,,,,,
player,201312080den,den,BallMo00,pass_sacked_yds,0,,,,,
player,201312080den,den,BallMo00,pass_long,0,,,,,
player,201312080den,den,BallMo00,pass_rating,,,,,,
player,201312080den,den,BallMo00,rush_att,15,,,,,
player,201312080den,den,BallMo00,rush_yds,77,,,,,
player,201312080den,den,BallMo00,rush_td,1,,,,,
player,201312080den,den,BallMo00,rush_long,15,,,,,
player,201312080den,den,BallMo00,targets,4,,,,,
player,201312080den,den,BallMo00,rec,3,,,,,
player,201312080den,den,BallMo00,rec_yds,10,,,,,
player,201312080den,den,BallMo00,rec_td,0,,,,,
player,201312080den,den,BallMo00,rec_long,11,,,,,
player,201312080den,den,BallMo00,fumbles,0,,,,,
player,201312080den,den,BallMo00,fumbles_lost,0,,,,,
player,201312080den,den,DeckEr00,pass_cmp,0,,,,,
player,201312080den,den,DeckEr00,pass_att,0,,,,,
player,201312080den,den,DeckEr00,pass_yds,0,,,,,
player,201312080den,den,DeckEr00,pass_td,0,,,,,
player,201312080den,den,DeckEr00,pass_int,0,,,,,
player,201312080den,den,DeckEr00,pass_sacked,0,,,,,
player,201312080den,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201312080den,den,DeckEr00,pass_long,0,,,,,
player,201312080den,den,DeckEr00,pass_rating,,,,,,
player,201312080den,den,DeckEr00,rush_att,0,,,,,
player,201312080den,den,DeckEr00,rush_yds,0,,,,,
player,201312080den,den,DeckEr00,rush_td,0,,,,,
player,201312080den,den,DeckEr00,rush_long,0,,,,,
player,201312080den,den,DeckEr00,targets,12,,,,,
player,201312080den,den,DeckEr00,rec,8,,,,,
player,201312080den,den,DeckEr00,rec_yds,117,,,,,
player,201312080den,den,DeckEr00,rec_td,1,,,,,
player,201312080den,den,DeckEr00,rec_long,24,,,,,
player,201312080den,den,DeckEr00,fumbles,0,,,,,
player,201312080den,den,DeckEr00,fumbles_lost,0,,,,,
player,201312080den,den,ThomDe03,pass_cmp,0,,,,,
player,201312080den,den,ThomDe03,pass_att,0,,,,,
player,201312080den,den,ThomDe03,pass_yds,0,,,,,
player,201312080den,den,ThomDe03,pass_td,0,,,,,
player,201312080den,den,ThomDe03,pass_int,0,,,,,
player,201312080den,den,ThomDe03,pass_sacked,0,,,,,
player,201312080den,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201312080den,den,ThomDe03,pass_long,0,,,,,
player,201312080den,den,ThomDe03,pass_rating,,,,,,
player,201312080den,den,ThomDe03,rush_att,0,,,,,
player,201312080den,den,ThomDe03,rush_yds,0,,,,,
player,201312080den,den,ThomDe03,rush_td,0,,,,,
player,201312080den,den,ThomDe03,rush_long,0,,,,,
player,201312080den,den,ThomDe03,targets,10,,,,,
player,201312080den,den,ThomDe03,rec,7,,,,,
player,201312080den,den,ThomDe03,rec_yds,88,,,,,
player,201312080den,den,ThomDe03,rec_td,1,,,,,
player,201312080den,den,ThomDe03,rec_long,38,,,,,
player,201312080den,den,ThomDe03,fumbles,0,,,,,
player,201312080den,den,ThomDe03,fumbles_lost,0,,,,,
player,201312080den,den,WelkWe00,pass_cmp,0,,,,,
player,201312080den,den,WelkWe00,pass_att,0,,,,,
player,201312080den,den,WelkWe00,pass_yds,0,,,,,
player,201312080den,den,WelkWe00,pass_td,0,,,,,
player,201312080den,den,WelkWe00,pass_int,0,,,,,
player,201312080den,den,WelkWe00,pass_sacked,0,,,,,
player,201312080den,den,WelkWe00,pass_sacked_yds,0,,,,,
player,201312080den,den,WelkWe00,pass_long,0,,,,,
player,201312080den,den,WelkWe00,pass_rating,,,,,,
player,201312080den,den,WelkWe00,rush_att,0,,,,,
player,201312080den,den,WelkWe00,rush_yds,0,,,,,
player,201312080den,den,WelkWe00,rush_td,0,,,,,
player,201312080den,den,WelkWe00,rush_long,0,,,,,
player,201312080den,den,WelkWe00,targets,10,,,,,
player,201312080den,den,WelkWe00,rec,5,,,,,
player,201312080den,den,WelkWe00,rec_yds,61,,,,,
player,201312080den,den,WelkWe00,rec_td,1,,,,,
player,201312080den,den,WelkWe00,rec_long,30,,,,,
player,201312080den,den,WelkWe00,fumbles,0,,,,,
player,201312080den,den,WelkWe00,fumbles_lost,0,,,,,
player,201312080den,den,TammJa00,pass_cmp,0,,,,,
player,201312080den,den,TammJa00,pass_att,0,,,,,
player,201312080den,den,TammJa00,pass_yds,0,,,,,
player,201312080den,den,TammJa00,pass_td,0,,,,,
player,201312080den,den,TammJa00,pass_int,0,,,,,
player,201312080den,den,TammJa00,pass_sacked,0,,,,,
player,201312080den,den,TammJa00,pass_sacked_yds,0,,,,,
player,201312080den,den,TammJa00,pass_long,0,,,,,
player,201312080den,den,TammJa00,pass_rating,,,,,,
player,201312080den,den,TammJa00,rush_att,0,,,,,
player,201312080den,den,TammJa00,rush_yds,0,,,,,
player,201312080den,den,TammJa00,rush_td,0,,,,,
player,201312080den,den,TammJa00,rush_long,0,,,,,
player,201312080den,den,TammJa00,targets,5,,,,,
player,201312080den,den,TammJa00,rec,4,,,,,
player,201312080den,den,TammJa00,rec_yds,47,,,,,
player,201312080den,den,TammJa00,rec_td,0,,,,,
player,201312080den,den,TammJa00,rec_long,15,,,,,
player,201312080den,den,TammJa00,fumbles,0,,,,,
player,201312080den,den,TammJa00,fumbles_lost,0,,,,,
player,201312080den,den,ThomJu00,pass_cmp,0,,,,,
player,201312080den,den,ThomJu00,pass_att,0,,,,,
player,201312080den,den,ThomJu00,pass_yds,0,,,,,
player,201312080den,den,ThomJu00,pass_td,0,,,,,
player,201312080den,den,ThomJu00,pass_int,0,,,,,
player,201312080den,den,ThomJu00,pass_sacked,0,,,,,
player,201312080den,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201312080den,den,ThomJu00,pass_long,0,,,,,
