game,2013,2,20130915,201309150tam,nor,"New Orleans Saints",16,tam,"Tampa Bay Buccaneers",14
player,201309150tam,tam,OgleKe00,pass_int,0,,,,,
player,201309150tam,tam,OgleKe00,pass_sacked,0,,,,,
player,201309150tam,tam,OgleKe00,pass_sacked_yds,0,,,,,
player,201309150tam,tam,OgleKe00,pass_long,0,,,,,
player,201309150tam,tam,OgleKe00,pass_rating,,,,,,
player,201309150tam,tam,OgleKe00,rush_att,0,,,,,
player,201309150tam,tam,OgleKe00,rush_yds,0,,,,,
player,201309150tam,tam,OgleKe00,rush_td,0,,,,,
player,201309150tam,tam,OgleKe00,rush_long,0,,,,,
player,201309150tam,tam,OgleKe00,targets,3,,,,,
player,201309150tam,tam,OgleKe00,rec,1,,,,,
player,201309150tam,tam,OgleKe00,rec_yds,5,,,,,
player,201309150tam,tam,OgleKe00,rec_td,1,,,,,
player,201309150tam,tam,OgleKe00,rec_long,5,,,,,
player,201309150tam,tam,OgleKe00,fumbles,0,,,,,
player,201309150tam,tam,OgleKe00,fumbles_lost,0,,,,,
player,201309150tam,tam,LeonBr00,pass_cmp,0,,,,,
player,201309150tam,tam,LeonBr00,pass_att,0,,,,,
player,201309150tam,tam,LeonBr00,pass_yds,0,,,,,
player,201309150tam,tam,LeonBr00,pass_td,0,,,,,
player,201309150tam,tam,LeonBr00,pass_int,0,,,,,
player,201309150tam,tam,LeonBr00,pass_sacked,0,,,,,
player,201309150tam,tam,LeonBr00,pass_sacked_yds,0,,,,,
player,201309150tam,tam,LeonBr00,pass_long,0,,,,,
player,201309150tam,tam,LeonBr00,pass_rating,,,,,,
player,201309150tam,tam,LeonBr00,rush_att,1,,,,,
player,201309150tam,tam,LeonBr00,rush_yds,0,,,,,
player,201309150tam,tam,LeonBr00,rush_td,0,,,,,
player,201309150tam,tam,LeonBr00,rush_long,0,,,,,
player,201309150tam,tam,LeonBr00,targets,0,,,,,
player,201309150tam,tam,LeonBr00,rec,0,,,,,
player,201309150tam,tam,LeonBr00,rec_yds,0,,,,,
player,201309150tam,tam,LeonBr00,rec_td,0,,,,,
player,201309150tam,tam,LeonBr00,rec_long,0,,,,,
player,201309150tam,tam,LeonBr00,fumbles,0,,,,,
player,201309150tam,tam,LeonBr00,fumbles_lost,0,,,,,
player,201309150tam,nor,JenkMa99,def_int,1,,,,,
player,201309150tam,nor,JenkMa99,def_int_yds,31,,,,,
