game,2013,9,20131103,201311030htx,clt,"Indianapolis Colts",27,htx,"Houston Texans",24
player,201311030htx,htx,TateBe00,pass_sacked,0,,,,,
player,201311030htx,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201311030htx,htx,TateBe00,pass_long,0,,,,,
player,201311030htx,htx,TateBe00,pass_rating,,,,,,
player,201311030htx,htx,TateBe00,rush_att,22,,,,,
player,201311030htx,htx,TateBe00,rush_yds,81,,,,,
player,201311030htx,htx,TateBe00,rush_td,0,,,,,
player,201311030htx,htx,TateBe00,rush_long,9,,,,,
player,201311030htx,htx,TateBe00,targets,2,,,,,
player,201311030htx,htx,TateBe00,rec,1,,,,,
player,201311030htx,htx,TateBe00,rec_yds,-2,,,,,
player,201311030htx,htx,TateBe00,rec_td,0,,,,,
player,201311030htx,htx,TateBe00,rec_long,-2,,,,,
player,201311030htx,htx,TateBe00,fumbles,0,,,,,
player,201311030htx,htx,TateBe00,fumbles_lost,0,,,,,
player,201311030htx,htx,JohnDe02,pass_cmp,0,,,,,
player,201311030htx,htx,JohnDe02,pass_att,0,,,,,
player,201311030htx,htx,JohnDe02,pass_yds,0,,,,,
player,201311030htx,htx,JohnDe02,pass_td,0,,,,,
player,201311030htx,htx,JohnDe02,pass_int,0,,,,,
player,201311030htx,htx,JohnDe02,pass_sacked,0,,,,,
player,201311030htx,htx,JohnDe02,pass_sacked_yds,0,,,,,
player,201311030htx,htx,JohnDe02,pass_long,0,,,,,
player,201311030htx,htx,JohnDe02,pass_rating,,,,,,
player,201311030htx,htx,JohnDe02,rush_att,8,,,,,
player,201311030htx,htx,JohnDe02,rush_yds,36,,,,,
player,201311030htx,htx,JohnDe02,rush_td,0,,,,,
player,201311030htx,htx,JohnDe02,rush_long,11,,,,,
player,201311030htx,htx,JohnDe02,targets,0,,,,,
player,201311030htx,htx,JohnDe02,rec,0,,,,,
player,201311030htx,htx,JohnDe02,rec_yds,0,,,,,
player,201311030htx,htx,JohnDe02,rec_td,0,,,,,
player,201311030htx,htx,JohnDe02,rec_long,0,,,,,
player,201311030htx,htx,JohnDe02,fumbles,0,,,,,
player,201311030htx,htx,JohnDe02,fumbles_lost,0,,,,,
player,201311030htx,htx,JohnAn02,pass_cmp,0,,,,,
player,201311030htx,htx,JohnAn02,pass_att,0,,,,,
player,201311030htx,htx,JohnAn02,pass_yds,0,,,,,
player,201311030htx,htx,JohnAn02,pass_td,0,,,,,
