game,2013,15,20131215,201312150nyg,sea,"Seattle Seahawks",23,nyg,"New York Giants",0
player,201312150nyg,nyg,BrowAn03,rec_yds,9,,,,,
player,201312150nyg,nyg,BrowAn03,rec_td,0,,,,,
player,201312150nyg,nyg,BrowAn03,rec_long,5,,,,,
player,201312150nyg,nyg,BrowAn03,fumbles,0,,,,,
player,201312150nyg,nyg,BrowAn03,fumbles_lost,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_cmp,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_att,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_yds,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_td,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_int,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_sacked,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_sacked_yds,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_long,0,,,,,
player,201312150nyg,nyg,HillPe00,pass_rating,,,,,,
player,201312150nyg,nyg,HillPe00,rush_att,3,,,,,
player,201312150nyg,nyg,HillPe00,rush_yds,8,,,,,
player,201312150nyg,nyg,HillPe00,rush_td,0,,,,,
player,201312150nyg,nyg,HillPe00,rush_long,6,,,,,
player,201312150nyg,nyg,HillPe00,targets,2,,,,,
player,201312150nyg,nyg,HillPe00,rec,2,,,,,
player,201312150nyg,nyg,HillPe00,rec_yds,24,,,,,
player,201312150nyg,nyg,HillPe00,rec_td,0,,,,,
player,201312150nyg,nyg,HillPe00,rec_long,14,,,,,
player,201312150nyg,nyg,HillPe00,fumbles,0,,,,,
player,201312150nyg,nyg,HillPe00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_cmp,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_att,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_yds,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_td,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_int,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_sacked,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_sacked_yds,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_long,0,,,,,
player,201312150nyg,nyg,JernJe00,pass_rating,,,,,,
player,201312150nyg,nyg,JernJe00,rush_att,0,,,,,
player,201312150nyg,nyg,JernJe00,rush_yds,0,,,,,
player,201312150nyg,nyg,JernJe00,rush_td,0,,,,,
player,201312150nyg,nyg,JernJe00,rush_long,0,,,,,
player,201312150nyg,nyg,JernJe00,targets,8,,,,,
player,201312150nyg,nyg,JernJe00,rec,7,,,,,
player,201312150nyg,nyg,JernJe00,rec_yds,67,,,,,
player,201312150nyg,nyg,JernJe00,rec_td,0,,,,,
player,201312150nyg,nyg,JernJe00,rec_long,14,,,,,
player,201312150nyg,nyg,JernJe00,fumbles,0,,,,,
player,201312150nyg,nyg,JernJe00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_cmp,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_att,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_yds,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_td,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_int,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_sacked,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_sacked_yds,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_long,0,,,,,
player,201312150nyg,nyg,MyerBr00,pass_rating,,,,,,
player,201312150nyg,nyg,MyerBr00,rush_att,0,,,,,
player,201312150nyg,nyg,MyerBr00,rush_yds,0,,,,,
player,201312150nyg,nyg,MyerBr00,rush_td,0,,,,,
player,201312150nyg,nyg,MyerBr00,rush_long,0,,,,,
player,201312150nyg,nyg,MyerBr00,targets,3,,,,,
player,201312150nyg,nyg,MyerBr00,rec,3,,,,,
player,201312150nyg,nyg,MyerBr00,rec_yds,37,,,,,
player,201312150nyg,nyg,MyerBr00,rec_td,0,,,,,
player,201312150nyg,nyg,MyerBr00,rec_long,20,,,,,
player,201312150nyg,nyg,MyerBr00,fumbles,0,,,,,
player,201312150nyg,nyg,MyerBr00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_cmp,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_att,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_yds,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_td,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_int,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_sacked,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_long,0,,,,,
player,201312150nyg,nyg,CruzVi00,pass_rating,,,,,,
player,201312150nyg,nyg,CruzVi00,rush_att,0,,,,,
player,201312150nyg,nyg,CruzVi00,rush_yds,0,,,,,
player,201312150nyg,nyg,CruzVi00,rush_td,0,,,,,
player,201312150nyg,nyg,CruzVi00,rush_long,0,,,,,
player,201312150nyg,nyg,CruzVi00,targets,7,,,,,
player,201312150nyg,nyg,CruzVi00,rec,2,,,,,
player,201312150nyg,nyg,CruzVi00,rec_yds,25,,,,,
player,201312150nyg,nyg,CruzVi00,rec_td,0,,,,,
player,201312150nyg,nyg,CruzVi00,rec_long,16,,,,,
player,201312150nyg,nyg,CruzVi00,fumbles,0,,,,,
player,201312150nyg,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_cmp,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_att,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_yds,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_td,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_int,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_sacked,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_sacked_yds,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_long,0,,,,,
player,201312150nyg,nyg,PascBe00,pass_rating,,,,,,
player,201312150nyg,nyg,PascBe00,rush_att,0,,,,,
player,201312150nyg,nyg,PascBe00,rush_yds,0,,,,,
player,201312150nyg,nyg,PascBe00,rush_td,0,,,,,
player,201312150nyg,nyg,PascBe00,rush_long,0,,,,,
player,201312150nyg,nyg,PascBe00,targets,2,,,,,
player,201312150nyg,nyg,PascBe00,rec,2,,,,,
player,201312150nyg,nyg,PascBe00,rec_yds,12,,,,,
player,201312150nyg,nyg,PascBe00,rec_td,0,,,,,
player,201312150nyg,nyg,PascBe00,rec_long,10,,,,,
player,201312150nyg,nyg,PascBe00,fumbles,0,,,,,
player,201312150nyg,nyg,PascBe00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_cmp,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_att,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_yds,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_td,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_int,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_sacked,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_sacked_yds,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_long,0,,,,,
player,201312150nyg,nyg,MurpLo00,pass_rating,,,,,,
player,201312150nyg,nyg,MurpLo00,rush_att,0,,,,,
player,201312150nyg,nyg,MurpLo00,rush_yds,0,,,,,
player,201312150nyg,nyg,MurpLo00,rush_td,0,,,,,
player,201312150nyg,nyg,MurpLo00,rush_long,0,,,,,
player,201312150nyg,nyg,MurpLo00,targets,1,,,,,
player,201312150nyg,nyg,MurpLo00,rec,1,,,,,
player,201312150nyg,nyg,MurpLo00,rec_yds,7,,,,,
player,201312150nyg,nyg,MurpLo00,rec_td,0,,,,,
player,201312150nyg,nyg,MurpLo00,rec_long,7,,,,,
player,201312150nyg,nyg,MurpLo00,fumbles,0,,,,,
player,201312150nyg,nyg,MurpLo00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_cmp,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_att,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_yds,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_td,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_int,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_sacked,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_long,0,,,,,
player,201312150nyg,nyg,NickHa01,pass_rating,,,,,,
player,201312150nyg,nyg,NickHa01,rush_att,0,,,,,
player,201312150nyg,nyg,NickHa01,rush_yds,0,,,,,
player,201312150nyg,nyg,NickHa01,rush_td,0,,,,,
player,201312150nyg,nyg,NickHa01,rush_long,0,,,,,
player,201312150nyg,nyg,NickHa01,targets,5,,,,,
