game,2013,16,20131222,201312220htx,den,"Denver Broncos",37,htx,"Houston Texans",13
player,201312220htx,htx,SchaMa00,pass_td,1,,,,,
player,201312220htx,htx,SchaMa00,pass_int,2,,,,,
player,201312220htx,htx,SchaMa00,pass_sacked,3,,,,,
player,201312220htx,htx,SchaMa00,pass_sacked_yds,23,,,,,
player,201312220htx,htx,SchaMa00,pass_long,40,,,,,
player,201312220htx,htx,SchaMa00,pass_rating,48.9,,,,,
player,201312220htx,htx,SchaMa00,rush_att,1,,,,,
player,201312220htx,htx,SchaMa00,rush_yds,5,,,,,
player,201312220htx,htx,SchaMa00,rush_td,0,,,,,
player,201312220htx,htx,SchaMa00,rush_long,5,,,,,
player,201312220htx,htx,SchaMa00,targets,0,,,,,
player,201312220htx,htx,SchaMa00,rec,0,,,,,
player,201312220htx,htx,SchaMa00,rec_yds,0,,,,,
player,201312220htx,htx,SchaMa00,rec_td,0,,,,,
player,201312220htx,htx,SchaMa00,rec_long,0,,,,,
player,201312220htx,htx,SchaMa00,fumbles,1,,,,,
player,201312220htx,htx,SchaMa00,fumbles_lost,0,,,,,
player,201312220htx,htx,KariDe00,pass_cmp,0,,,,,
player,201312220htx,htx,KariDe00,pass_att,0,,,,,
player,201312220htx,htx,KariDe00,pass_yds,0,,,,,
player,201312220htx,htx,KariDe00,pass_td,0,,,,,
player,201312220htx,htx,KariDe00,pass_int,0,,,,,
player,201312220htx,htx,KariDe00,pass_sacked,0,,,,,
player,201312220htx,htx,KariDe00,pass_sacked_yds,0,,,,,
player,201312220htx,htx,KariDe00,pass_long,0,,,,,
player,201312220htx,htx,KariDe00,pass_rating,,,,,,
player,201312220htx,htx,KariDe00,rush_att,8,,,,,
player,201312220htx,htx,KariDe00,rush_yds,30,,,,,
player,201312220htx,htx,KariDe00,rush_td,0,,,,,
player,201312220htx,htx,KariDe00,rush_long,14,,,,,
player,201312220htx,htx,KariDe00,targets,1,,,,,
player,201312220htx,htx,KariDe00,rec,1,,,,,
player,201312220htx,htx,KariDe00,rec_yds,-1,,,,,
player,201312220htx,htx,KariDe00,rec_td,0,,,,,
player,201312220htx,htx,KariDe00,rec_long,-1,,,,,
player,201312220htx,htx,KariDe00,fumbles,0,,,,,
player,201312220htx,htx,KariDe00,fumbles_lost,0,,,,,
player,201312220htx,htx,JohnDe02,pass_cmp,0,,,,,
player,201312220htx,htx,JohnDe02,pass_att,0,,,,,
player,201312220htx,htx,JohnDe02,pass_yds,0,,,,,
player,201312220htx,htx,JohnDe02,pass_td,0,,,,,
player,201312220htx,htx,JohnDe02,pass_int,0,,,,,
player,201312220htx,htx,JohnDe02,pass_sacked,0,,,,,
player,201312220htx,htx,JohnDe02,pass_sacked_yds,0,,,,,
player,201312220htx,htx,JohnDe02,pass_long,0,,,,,
player,201312220htx,htx,JohnDe02,pass_rating,,,,,,
player,201312220htx,htx,JohnDe02,rush_att,12,,,,,
player,201312220htx,htx,JohnDe02,rush_yds,29,,,,,
player,201312220htx,htx,JohnDe02,rush_td,0,,,,,
player,201312220htx,htx,JohnDe02,rush_long,9,,,,,
player,201312220htx,htx,JohnDe02,targets,4,,,,,
player,201312220htx,htx,JohnDe02,rec,2,,,,,
player,201312220htx,htx,JohnDe02,rec_yds,1,,,,,
player,201312220htx,htx,JohnDe02,rec_td,0,,,,,
player,201312220htx,htx,JohnDe02,rec_long,3,,,,,
player,201312220htx,htx,JohnDe02,fumbles,0,,,,,
player,201312220htx,htx,JohnDe02,fumbles_lost,0,,,,,
player,201312220htx,htx,GrimJo01,pass_cmp,0,,,,,
player,201312220htx,htx,GrimJo01,pass_att,0,,,,,
player,201312220htx,htx,GrimJo01,pass_yds,0,,,,,
player,201312220htx,htx,GrimJo01,pass_td,0,,,,,
player,201312220htx,htx,GrimJo01,pass_int,0,,,,,
player,201312220htx,htx,GrimJo01,pass_sacked,0,,,,,
player,201312220htx,htx,GrimJo01,pass_sacked_yds,0,,,,,
player,201312220htx,htx,GrimJo01,pass_long,0,,,,,
player,201312220htx,htx,GrimJo01,pass_rating,,,,,,
player,201312220htx,htx,GrimJo01,rush_att,5,,,,,
player,201312220htx,htx,GrimJo01,rush_yds,23,,,,,
player,201312220htx,htx,GrimJo01,rush_td,0,,,,,
player,201312220htx,htx,GrimJo01,rush_long,9,,,,,
player,201312220htx,htx,GrimJo01,targets,0,,,,,
player,201312220htx,htx,GrimJo01,rec,0,,,,,
player,201312220htx,htx,GrimJo01,rec_yds,0,,,,,
player,201312220htx,htx,GrimJo01,rec_td,0,,,,,
player,201312220htx,htx,GrimJo01,rec_long,0,,,,,
player,201312220htx,htx,GrimJo01,fumbles,0,,,,,
player,201312220htx,htx,GrimJo01,fumbles_lost,0,,,,,
player,201312220htx,htx,GrifRy00,pass_cmp,0,,,,,
player,201312220htx,htx,GrifRy00,pass_att,0,,,,,
player,201312220htx,htx,GrifRy00,pass_yds,0,,,,,
player,201312220htx,htx,GrifRy00,pass_td,0,,,,,
player,201312220htx,htx,GrifRy00,pass_int,0,,,,,
player,201312220htx,htx,GrifRy00,pass_sacked,0,,,,,
player,201312220htx,htx,GrifRy00,pass_sacked_yds,0,,,,,
player,201312220htx,htx,GrifRy00,pass_long,0,,,,,
player,201312220htx,htx,GrifRy00,pass_rating,,,,,,
player,201312220htx,htx,GrifRy00,rush_att,0,,,,,
player,201312220htx,htx,GrifRy00,rush_yds,0,,,,,
player,201312220htx,htx,GrifRy00,rush_td,0,,,,,
player,201312220htx,htx,GrifRy00,rush_long,0,,,,,
player,201312220htx,htx,GrifRy00,targets,5,,,,,
player,201312220htx,htx,GrifRy00,rec,5,,,,,
player,201312220htx,htx,GrifRy00,rec_yds,66,,,,,
player,201312220htx,htx,GrifRy00,rec_td,0,,,,,
player,201312220htx,htx,GrifRy00,rec_long,40,,,,,
player,201312220htx,htx,GrifRy00,fumbles,0,,,,,
player,201312220htx,htx,GrifRy00,fumbles_lost,0,,,,,
player,201312220htx,htx,JohnAn02,pass_cmp,0,,,,,
player,201312220htx,htx,JohnAn02,pass_att,0,,,,,
player,201312220htx,htx,JohnAn02,pass_yds,0,,,,,
player,201312220htx,htx,JohnAn02,pass_td,0,,,,,
player,201312220htx,htx,JohnAn02,pass_int,0,,,,,
player,201312220htx,htx,JohnAn02,pass_sacked,0,,,,,
player,201312220htx,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201312220htx,htx,JohnAn02,pass_long,0,,,,,
player,201312220htx,htx,JohnAn02,pass_rating,,,,,,
player,201312220htx,htx,JohnAn02,rush_att,0,,,,,
player,201312220htx,htx,JohnAn02,rush_yds,0,,,,,
player,201312220htx,htx,JohnAn02,rush_td,0,,,,,
player,201312220htx,htx,JohnAn02,rush_long,0,,,,,
player,201312220htx,htx,JohnAn02,targets,13,,,,,
player,201312220htx,htx,JohnAn02,rec,4,,,,,
player,201312220htx,htx,JohnAn02,rec_yds,63,,,,,
player,201312220htx,htx,JohnAn02,rec_td,0,,,,,
player,201312220htx,htx,JohnAn02,rec_long,33,,,,,
player,201312220htx,htx,JohnAn02,fumbles,0,,,,,
player,201312220htx,htx,JohnAn02,fumbles_lost,0,,,,,
player,201312220htx,htx,MartKe01,pass_cmp,0,,,,,
player,201312220htx,htx,MartKe01,pass_att,0,,,,,
player,201312220htx,htx,MartKe01,pass_yds,0,,,,,
player,201312220htx,htx,MartKe01,pass_td,0,,,,,
player,201312220htx,htx,MartKe01,pass_int,0,,,,,
player,201312220htx,htx,MartKe01,pass_sacked,0,,,,,
player,201312220htx,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201312220htx,htx,MartKe01,pass_long,0,,,,,
player,201312220htx,htx,MartKe01,pass_rating,,,,,,
player,201312220htx,htx,MartKe01,rush_att,0,,,,,
player,201312220htx,htx,MartKe01,rush_yds,0,,,,,
player,201312220htx,htx,MartKe01,rush_td,0,,,,,
player,201312220htx,htx,MartKe01,rush_long,0,,,,,
player,201312220htx,htx,MartKe01,targets,6,,,,,
player,201312220htx,htx,MartKe01,rec,4,,,,,
player,201312220htx,htx,MartKe01,rec_yds,35,,,,,
player,201312220htx,htx,MartKe01,rec_td,1,,,,,
player,201312220htx,htx,MartKe01,rec_long,15,,,,,
player,201312220htx,htx,MartKe01,fumbles,0,,,,,
player,201312220htx,htx,MartKe01,fumbles_lost,0,,,,,
player,201312220htx,htx,HopkDe00,pass_cmp,0,,,,,
player,201312220htx,htx,HopkDe00,pass_att,0,,,,,
player,201312220htx,htx,HopkDe00,pass_yds,0,,,,,
player,201312220htx,htx,HopkDe00,pass_td,0,,,,,
player,201312220htx,htx,HopkDe00,pass_int,0,,,,,
player,201312220htx,htx,HopkDe00,pass_sacked,0,,,,,
player,201312220htx,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201312220htx,htx,HopkDe00,pass_long,0,,,,,
player,201312220htx,htx,HopkDe00,pass_rating,,,,,,
player,201312220htx,htx,HopkDe00,rush_att,0,,,,,
player,201312220htx,htx,HopkDe00,rush_yds,0,,,,,
player,201312220htx,htx,HopkDe00,rush_td,0,,,,,
player,201312220htx,htx,HopkDe00,rush_long,0,,,,,
player,201312220htx,htx,HopkDe00,targets,4,,,,,
player,201312220htx,htx,HopkDe00,rec,1,,,,,
player,201312220htx,htx,HopkDe00,rec_yds,8,,,,,
player,201312220htx,htx,HopkDe00,rec_td,0,,,,,
player,201312220htx,htx,HopkDe00,rec_long,8,,,,,
player,201312220htx,htx,HopkDe00,fumbles,0,,,,,
player,201312220htx,htx,HopkDe00,fumbles_lost,0,,,,,
player,201312220htx,htx,JoneGr01,pass_cmp,0,,,,,
player,201312220htx,htx,JoneGr01,pass_att,0,,,,,
player,201312220htx,htx,JoneGr01,pass_yds,0,,,,,
player,201312220htx,htx,JoneGr01,pass_td,0,,,,,
player,201312220htx,htx,JoneGr01,pass_int,0,,,,,
player,201312220htx,htx,JoneGr01,pass_sacked,0,,,,,
player,201312220htx,htx,JoneGr01,pass_sacked_yds,0,,,,,
player,201312220htx,htx,JoneGr01,pass_long,0,,,,,
