game,2015,5,20151011,201510110kan,chi,"Chicago Bears",18,kan,"Kansas City Chiefs",17
player,201510110kan,chi,MariMa00,fumbles_lost,0,,,,,
player,201510110kan,chi,LangJe00,pass_cmp,0,,,,,
player,201510110kan,chi,LangJe00,pass_att,0,,,,,
player,201510110kan,chi,LangJe00,pass_yds,0,,,,,
player,201510110kan,chi,LangJe00,pass_td,0,,,,,
player,201510110kan,chi,LangJe00,pass_int,0,,,,,
player,201510110kan,chi,LangJe00,pass_sacked,0,,,,,
player,201510110kan,chi,LangJe00,pass_sacked_yds,0,,,,,
player,201510110kan,chi,LangJe00,pass_long,0,,,,,
player,201510110kan,chi,LangJe00,pass_rating,,,,,,
player,201510110kan,chi,LangJe00,rush_att,2,,,,,
player,201510110kan,chi,LangJe00,rush_yds,-2,,,,,
player,201510110kan,chi,LangJe00,rush_td,0,,,,,
player,201510110kan,chi,LangJe00,rush_long,0,,,,,
player,201510110kan,chi,LangJe00,targets,2,,,,,
player,201510110kan,chi,LangJe00,rec,1,,,,,
player,201510110kan,chi,LangJe00,rec_yds,14,,,,,
player,201510110kan,chi,LangJe00,rec_td,0,,,,,
player,201510110kan,chi,LangJe00,rec_long,14,,,,,
player,201510110kan,chi,LangJe00,fumbles,0,,,,,
player,201510110kan,chi,LangJe00,fumbles_lost,0,,,,,
player,201510110kan,kan,SmitAl03,pass_cmp,16,,,,,
player,201510110kan,kan,SmitAl03,pass_att,30,,,,,
player,201510110kan,kan,SmitAl03,pass_yds,181,,,,,
player,201510110kan,kan,SmitAl03,pass_td,1,,,,,
player,201510110kan,kan,SmitAl03,pass_int,0,,,,,
player,201510110kan,kan,SmitAl03,pass_sacked,3,,,,,
player,201510110kan,kan,SmitAl03,pass_sacked_yds,11,,,,,
player,201510110kan,kan,SmitAl03,pass_long,26,,,,,
player,201510110kan,kan,SmitAl03,pass_rating,82.8,,,,,
player,201510110kan,kan,SmitAl03,rush_att,3,,,,,
player,201510110kan,kan,SmitAl03,rush_yds,21,,,,,
player,201510110kan,kan,SmitAl03,rush_td,0,,,,,
player,201510110kan,kan,SmitAl03,rush_long,8,,,,,
player,201510110kan,kan,SmitAl03,targets,0,,,,,
player,201510110kan,kan,SmitAl03,rec,0,,,,,
player,201510110kan,kan,SmitAl03,rec_yds,0,,,,,
player,201510110kan,kan,SmitAl03,rec_td,0,,,,,
player,201510110kan,kan,SmitAl03,rec_long,0,,,,,
player,201510110kan,kan,SmitAl03,fumbles,0,,,,,
player,201510110kan,kan,SmitAl03,fumbles_lost,0,,,,,
player,201510110kan,kan,CharJa00,pass_cmp,0,,,,,
player,201510110kan,kan,CharJa00,pass_att,0,,,,,
player,201510110kan,kan,CharJa00,pass_yds,0,,,,,
player,201510110kan,kan,CharJa00,pass_td,0,,,,,
player,201510110kan,kan,CharJa00,pass_int,0,,,,,
player,201510110kan,kan,CharJa00,pass_sacked,0,,,,,
player,201510110kan,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201510110kan,kan,CharJa00,pass_long,0,,,,,
player,201510110kan,kan,CharJa00,pass_rating,,,,,,
player,201510110kan,kan,CharJa00,rush_att,12,,,,,
player,201510110kan,kan,CharJa00,rush_yds,58,,,,,
player,201510110kan,kan,CharJa00,rush_td,0,,,,,
player,201510110kan,kan,CharJa00,rush_long,15,,,,,
player,201510110kan,kan,CharJa00,targets,3,,,,,
player,201510110kan,kan,CharJa00,rec,1,,,,,
player,201510110kan,kan,CharJa00,rec_yds,26,,,,,
player,201510110kan,kan,CharJa00,rec_td,0,,,,,
player,201510110kan,kan,CharJa00,rec_long,26,,,,,
player,201510110kan,kan,CharJa00,fumbles,0,,,,,
player,201510110kan,kan,CharJa00,fumbles_lost,0,,,,,
player,201510110kan,kan,WestCh01,pass_cmp,0,,,,,
player,201510110kan,kan,WestCh01,pass_att,0,,,,,
player,201510110kan,kan,WestCh01,pass_yds,0,,,,,
player,201510110kan,kan,WestCh01,pass_td,0,,,,,
player,201510110kan,kan,WestCh01,pass_int,0,,,,,
player,201510110kan,kan,WestCh01,pass_sacked,0,,,,,
player,201510110kan,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201510110kan,kan,WestCh01,pass_long,0,,,,,
player,201510110kan,kan,WestCh01,pass_rating,,,,,,
player,201510110kan,kan,WestCh01,rush_att,7,,,,,
player,201510110kan,kan,WestCh01,rush_yds,31,,,,,
player,201510110kan,kan,WestCh01,rush_td,0,,,,,
player,201510110kan,kan,WestCh01,rush_long,9,,,,,
player,201510110kan,kan,WestCh01,targets,2,,,,,
player,201510110kan,kan,WestCh01,rec,1,,,,,
player,201510110kan,kan,WestCh01,rec_yds,5,,,,,
player,201510110kan,kan,WestCh01,rec_td,0,,,,,
player,201510110kan,kan,WestCh01,rec_long,5,,,,,
player,201510110kan,kan,WestCh01,fumbles,0,,,,,
player,201510110kan,kan,WestCh01,fumbles_lost,0,,,,,
player,201510110kan,kan,ThomDe05,pass_cmp,0,,,,,
player,201510110kan,kan,ThomDe05,pass_att,0,,,,,
player,201510110kan,kan,ThomDe05,pass_yds,0,,,,,
player,201510110kan,kan,ThomDe05,pass_td,0,,,,,
player,201510110kan,kan,ThomDe05,pass_int,0,,,,,
player,201510110kan,kan,ThomDe05,pass_sacked,0,,,,,
player,201510110kan,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201510110kan,kan,ThomDe05,pass_long,0,,,,,
player,201510110kan,kan,ThomDe05,pass_rating,,,,,,
player,201510110kan,kan,ThomDe05,rush_att,1,,,,,
player,201510110kan,kan,ThomDe05,rush_yds,5,,,,,
player,201510110kan,kan,ThomDe05,rush_td,0,,,,,
player,201510110kan,kan,ThomDe05,rush_long,5,,,,,
player,201510110kan,kan,ThomDe05,targets,4,,,,,
player,201510110kan,kan,ThomDe05,rec,2,,,,,
player,201510110kan,kan,ThomDe05,rec_yds,24,,,,,
player,201510110kan,kan,ThomDe05,rec_td,1,,,,,
player,201510110kan,kan,ThomDe05,rec_long,19,,,,,
