game,2015,15,20151220,201512200rai,gnb,"Green Bay Packers",30,rai,"Oakland Raiders",20
player,201512200rai,gnb,JaniJe00,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,JaniJe00,pass_long,0,,,,,
player,201512200rai,gnb,JaniJe00,pass_rating,,,,,,
player,201512200rai,gnb,JaniJe00,rush_att,0,,,,,
player,201512200rai,gnb,JaniJe00,rush_yds,0,,,,,
player,201512200rai,gnb,JaniJe00,rush_td,0,,,,,
player,201512200rai,gnb,JaniJe00,rush_long,0,,,,,
player,201512200rai,gnb,JaniJe00,targets,4,,,,,
player,201512200rai,gnb,JaniJe00,rec,0,,,,,
player,201512200rai,gnb,JaniJe00,rec_yds,0,,,,,
player,201512200rai,gnb,JaniJe00,rec_td,0,,,,,
player,201512200rai,gnb,JaniJe00,rec_long,0,,,,,
player,201512200rai,gnb,JaniJe00,fumbles,0,,,,,
player,201512200rai,gnb,JaniJe00,fumbles_lost,0,,,,,
player,201512200rai,rai,CarrDe02,pass_cmp,23,,,,,
player,201512200rai,rai,CarrDe02,pass_att,47,,,,,
player,201512200rai,rai,CarrDe02,pass_yds,276,,,,,
player,201512200rai,rai,CarrDe02,pass_td,2,,,,,
player,201512200rai,rai,CarrDe02,pass_int,2,,,,,
player,201512200rai,rai,CarrDe02,pass_sacked,3,,,,,
player,201512200rai,rai,CarrDe02,pass_sacked_yds,24,,,,,
player,201512200rai,rai,CarrDe02,pass_long,41,,,,,
player,201512200rai,rai,CarrDe02,pass_rating,63.8,,,,,
player,201512200rai,rai,CarrDe02,rush_att,4,,,,,
player,201512200rai,rai,CarrDe02,rush_yds,42,,,,,
player,201512200rai,rai,CarrDe02,rush_td,0,,,,,
player,201512200rai,rai,CarrDe02,rush_long,19,,,,,
player,201512200rai,rai,CarrDe02,targets,0,,,,,
player,201512200rai,rai,CarrDe02,rec,0,,,,,
player,201512200rai,rai,CarrDe02,rec_yds,0,,,,,
player,201512200rai,rai,CarrDe02,rec_td,0,,,,,
player,201512200rai,rai,CarrDe02,rec_long,0,,,,,
player,201512200rai,rai,CarrDe02,fumbles,0,,,,,
player,201512200rai,rai,CarrDe02,fumbles_lost,0,,,,,
player,201512200rai,rai,MurrLa00,pass_cmp,0,,,,,
player,201512200rai,rai,MurrLa00,pass_att,0,,,,,
player,201512200rai,rai,MurrLa00,pass_yds,0,,,,,
player,201512200rai,rai,MurrLa00,pass_td,0,,,,,
player,201512200rai,rai,MurrLa00,pass_int,0,,,,,
player,201512200rai,rai,MurrLa00,pass_sacked,,,,,,
