game,2015,14,20151210,201512100crd,min,"Minnesota Vikings",20,crd,"Arizona Cardinals",23
player,201512100crd,crd,WillKe05,targets,0,,,,,
player,201512100crd,crd,WillKe05,rec,0,,,,,
player,201512100crd,crd,WillKe05,rec_yds,0,,,,,
player,201512100crd,crd,WillKe05,rec_td,0,,,,,
player,201512100crd,crd,WillKe05,rec_long,0,,,,,
player,201512100crd,crd,WillKe05,fumbles,0,,,,,
player,201512100crd,crd,WillKe05,fumbles_lost,0,,,,,
player,201512100crd,crd,FloyMi00,pass_cmp,0,,,,,
player,201512100crd,crd,FloyMi00,pass_att,0,,,,,
player,201512100crd,crd,FloyMi00,pass_yds,0,,,,,
player,201512100crd,crd,FloyMi00,pass_td,0,,,,,
player,201512100crd,crd,FloyMi00,pass_int,0,,,,,
player,201512100crd,crd,FloyMi00,pass_sacked,0,,,,,
player,201512100crd,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201512100crd,crd,FloyMi00,pass_long,0,,,,,
player,201512100crd,crd,FloyMi00,pass_rating,,,,,,
player,201512100crd,crd,FloyMi00,rush_att,0,,,,,
player,201512100crd,crd,FloyMi00,rush_yds,0,,,,,
player,201512100crd,crd,FloyMi00,rush_td,0,,,,,
player,201512100crd,crd,FloyMi00,rush_long,0,,,,,
player,201512100crd,crd,FloyMi00,targets,9,,,,,
player,201512100crd,crd,FloyMi00,rec,5,,,,,
player,201512100crd,crd,FloyMi00,rec_yds,102,,,,,
player,201512100crd,crd,FloyMi00,rec_td,1,,,,,
player,201512100crd,crd,FloyMi00,rec_long,42,,,,,
player,201512100crd,crd,FloyMi00,fumbles,0,,,,,
player,201512100crd,crd,FloyMi00,fumbles_lost,0,,,,,
player,201512100crd,crd,BrowJo02,pass_cmp,0,,,,,
player,201512100crd,crd,BrowJo02,pass_att,0,,,,,
player,201512100crd,crd,BrowJo02,pass_yds,0,,,,,
player,201512100crd,crd,BrowJo02,pass_td,0,,,,,
player,201512100crd,crd,BrowJo02,pass_int,0,,,,,
player,201512100crd,crd,BrowJo02,pass_sacked,0,,,,,
player,201512100crd,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201512100crd,crd,BrowJo02,pass_long,0,,,,,
player,201512100crd,crd,BrowJo02,pass_rating,,,,,,
player,201512100crd,crd,BrowJo02,rush_att,0,,,,,
player,201512100crd,crd,BrowJo02,rush_yds,0,,,,,
player,201512100crd,crd,BrowJo02,rush_td,0,,,,,
player,201512100crd,crd,BrowJo02,rush_long,0,,,,,
player,201512100crd,crd,BrowJo02,targets,5,,,,,
player,201512100crd,crd,BrowJo02,rec,4,,,,,
player,201512100crd,crd,BrowJo02,rec_yds,78,,,,,
player,201512100crd,crd,BrowJo02,rec_td,1,,,,,
player,201512100crd,crd,BrowJo02,rec_long,65,,,,,
player,201512100crd,crd,BrowJo02,fumbles,0,,,,,
player,201512100crd,crd,BrowJo02,fumbles_lost,0,,,,,
player,201512100crd,crd,FellDa01,pass_cmp,0,,,,,
player,201512100crd,crd,FellDa01,pass_att,0,,,,,
player,201512100crd,crd,FellDa01,pass_yds,0,,,,,
player,201512100crd,crd,FellDa01,pass_td,0,,,,,
player,201512100crd,crd,FellDa01,pass_int,0,,,,,
player,201512100crd,crd,FellDa01,pass_sacked,0,,,,,
player,201512100crd,crd,FellDa01,pass_sacked_yds,0,,,,,
player,201512100crd,crd,FellDa01,pass_long,0,,,,,
player,201512100crd,crd,FellDa01,pass_rating,,,,,,
player,201512100crd,crd,FellDa01,rush_att,0,,,,,
player,201512100crd,crd,FellDa01,rush_yds,0,,,,,
player,201512100crd,crd,FellDa01,rush_td,0,,,,,
player,201512100crd,crd,FellDa01,rush_long,0,,,,,
player,201512100crd,crd,FellDa01,targets,4,,,,,
player,201512100crd,crd,FellDa01,rec,3,,,,,
player,201512100crd,crd,FellDa01,rec_yds,43,,,,,
player,201512100crd,crd,FellDa01,rec_td,0,,,,,
player,201512100crd,crd,FellDa01,rec_long,26,,,,,
player,201512100crd,crd,FellDa01,fumbles,0,,,,,
player,201512100crd,crd,FellDa01,fumbles_lost,0,,,,,
player,201512100crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201512100crd,crd,FitzLa00,pass_att,0,,,,,
player,201512100crd,crd,FitzLa00,pass_yds,0,,,,,
player,201512100crd,crd,FitzLa00,pass_td,0,,,,,
player,201512100crd,crd,FitzLa00,pass_int,0,,,,,
player,201512100crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201512100crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201512100crd,crd,FitzLa00,pass_long,0,,,,,
player,201512100crd,crd,FitzLa00,pass_rating,,,,,,
player,201512100crd,crd,FitzLa00,rush_att,0,,,,,
player,201512100crd,crd,FitzLa00,rush_yds,0,,,,,
player,201512100crd,crd,FitzLa00,rush_td,0,,,,,
player,201512100crd,crd,FitzLa00,rush_long,0,,,,,
player,201512100crd,crd,FitzLa00,targets,6,,,,,
player,201512100crd,crd,FitzLa00,rec,5,,,,,
player,201512100crd,crd,FitzLa00,rec_yds,41,,,,,
player,201512100crd,crd,FitzLa00,rec_td,0,,,,,
player,201512100crd,crd,FitzLa00,rec_long,17,,,,,
player,201512100crd,crd,FitzLa00,fumbles,0,,,,,
player,201512100crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201512100crd,crd,IupaMi20,pass_cmp,0,,,,,
player,201512100crd,crd,IupaMi20,pass_att,0,,,,,
player,201512100crd,crd,IupaMi20,pass_yds,0,,,,,
player,201512100crd,crd,IupaMi20,pass_td,0,,,,,
player,201512100crd,crd,IupaMi20,pass_int,0,,,,,
player,201512100crd,crd,IupaMi20,pass_sacked,0,,,,,
player,201512100crd,crd,IupaMi20,pass_sacked_yds,0,,,,,
player,201512100crd,crd,IupaMi20,pass_long,0,,,,,
player,201512100crd,crd,IupaMi20,pass_rating,,,,,,
player,201512100crd,crd,IupaMi20,rush_att,0,,,,,
player,201512100crd,crd,IupaMi20,rush_yds,0,,,,,
player,201512100crd,crd,IupaMi20,rush_td,0,,,,,
player,201512100crd,crd,IupaMi20,rush_long,0,,,,,
player,201512100crd,crd,IupaMi20,targets,1,,,,,
player,201512100crd,crd,IupaMi20,rec,1,,,,,
player,201512100crd,crd,IupaMi20,rec_yds,10,,,,,
player,201512100crd,crd,IupaMi20,rec_td,0,,,,,
player,201512100crd,crd,IupaMi20,rec_long,10,,,,,
player,201512100crd,crd,IupaMi20,fumbles,0,,,,,
player,201512100crd,crd,IupaMi20,fumbles_lost,0,,,,,
player,201512100crd,crd,TaylSt00,pass_cmp,0,,,,,
player,201512100crd,crd,TaylSt00,pass_att,0,,,,,
player,201512100crd,crd,TaylSt00,pass_yds,0,,,,,
player,201512100crd,crd,TaylSt00,pass_td,0,,,,,
player,201512100crd,crd,TaylSt00,pass_int,0,,,,,
player,201512100crd,crd,TaylSt00,pass_sacked,0,,,,,
player,201512100crd,crd,TaylSt00,pass_sacked_yds,0,,,,,
player,201512100crd,crd,TaylSt00,pass_long,0,,,,,
player,201512100crd,crd,TaylSt00,pass_rating,,,,,,
player,201512100crd,crd,TaylSt00,rush_att,1,,,,,
player,201512100crd,crd,TaylSt00,rush_yds,0,,,,,
player,201512100crd,crd,TaylSt00,rush_td,0,,,,,
player,201512100crd,crd,TaylSt00,rush_long,0,,,,,
player,201512100crd,crd,TaylSt00,targets,1,,,,,
player,201512100crd,crd,TaylSt00,rec,1,,,,,
player,201512100crd,crd,TaylSt00,rec_yds,4,,,,,
player,201512100crd,crd,TaylSt00,rec_td,0,,,,,
player,201512100crd,crd,TaylSt00,rec_long,4,,,,,
player,201512100crd,crd,TaylSt00,fumbles,0,,,,,
player,201512100crd,crd,TaylSt00,fumbles_lost,0,,,,,
