game,2015,7,20151026,201510260crd,rav,"Baltimore Ravens",18,crd,"Arizona Cardinals",26
player,201510260crd,rav,BrowMa00,pass_sacked_yds,0,,,,,
player,201510260crd,rav,BrowMa00,pass_long,0,,,,,
player,201510260crd,rav,BrowMa00,pass_rating,,,,,,
player,201510260crd,rav,BrowMa00,rush_att,0,,,,,
player,201510260crd,rav,BrowMa00,rush_yds,0,,,,,
player,201510260crd,rav,BrowMa00,rush_td,0,,,,,
player,201510260crd,rav,BrowMa00,rush_long,0,,,,,
player,201510260crd,rav,BrowMa00,targets,5,,,,,
player,201510260crd,rav,BrowMa00,rec,3,,,,,
player,201510260crd,rav,BrowMa00,rec_yds,22,,,,,
player,201510260crd,rav,BrowMa00,rec_td,0,,,,,
player,201510260crd,rav,BrowMa00,rec_long,10,,,,,
player,201510260crd,rav,BrowMa00,fumbles,0,,,,,
player,201510260crd,rav,BrowMa00,fumbles_lost,0,,,,,
player,201510260crd,rav,BoylNi00,pass_cmp,0,,,,,
player,201510260crd,rav,BoylNi00,pass_att,0,,,,,
player,201510260crd,rav,BoylNi00,pass_yds,0,,,,,
player,201510260crd,rav,BoylNi00,pass_td,0,,,,,
player,201510260crd,rav,BoylNi00,pass_int,0,,,,,
player,201510260crd,rav,BoylNi00,pass_sacked,0,,,,,
player,201510260crd,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201510260crd,rav,BoylNi00,pass_long,0,,,,,
player,201510260crd,rav,BoylNi00,pass_rating,,,,,,
player,201510260crd,rav,BoylNi00,rush_att,0,,,,,
player,201510260crd,rav,BoylNi00,rush_yds,0,,,,,
player,201510260crd,rav,BoylNi00,rush_td,0,,,,,
player,201510260crd,rav,BoylNi00,rush_long,0,,,,,
player,201510260crd,rav,BoylNi00,targets,2,,,,,
player,201510260crd,rav,BoylNi00,rec,2,,,,,
player,201510260crd,rav,BoylNi00,rec_yds,20,,,,,
player,201510260crd,rav,BoylNi00,rec_td,0,,,,,
player,201510260crd,rav,BoylNi00,rec_long,11,,,,,
player,201510260crd,rav,BoylNi00,fumbles,0,,,,,
player,201510260crd,rav,BoylNi00,fumbles_lost,0,,,,,
player,201510260crd,rav,JuszKy00,pass_cmp,0,,,,,
player,201510260crd,rav,JuszKy00,pass_att,0,,,,,
player,201510260crd,rav,JuszKy00,pass_yds,0,,,,,
player,201510260crd,rav,JuszKy00,pass_td,0,,,,,
player,201510260crd,rav,JuszKy00,pass_int,0,,,,,
player,201510260crd,rav,JuszKy00,pass_sacked,0,,,,,
player,201510260crd,rav,JuszKy00,pass_sacked_yds,0,,,,,
player,201510260crd,rav,JuszKy00,pass_long,0,,,,,
player,201510260crd,rav,JuszKy00,pass_rating,,,,,,
player,201510260crd,rav,JuszKy00,rush_att,0,,,,,
player,201510260crd,rav,JuszKy00,rush_yds,0,,,,,
player,201510260crd,rav,JuszKy00,rush_td,0,,,,,
player,201510260crd,rav,JuszKy00,rush_long,0,,,,,
player,201510260crd,rav,JuszKy00,targets,5,,,,,
player,201510260crd,rav,JuszKy00,rec,4,,,,,
player,201510260crd,rav,JuszKy00,rec_yds,15,,,,,
player,201510260crd,rav,JuszKy00,rec_td,1,,,,,
player,201510260crd,rav,JuszKy00,rec_long,11,,,,,
player,201510260crd,rav,JuszKy00,fumbles,0,,,,,
player,201510260crd,rav,JuszKy00,fumbles_lost,0,,,,,
player,201510260crd,rav,RossJe01,pass_cmp,0,,,,,
player,201510260crd,rav,RossJe01,pass_att,0,,,,,
player,201510260crd,rav,RossJe01,pass_yds,0,,,,,
player,201510260crd,rav,RossJe01,pass_td,0,,,,,
player,201510260crd,rav,RossJe01,pass_int,0,,,,,
player,201510260crd,rav,RossJe01,pass_sacked,0,,,,,
player,201510260crd,rav,RossJe01,pass_sacked_yds,0,,,,,
player,201510260crd,rav,RossJe01,pass_long,0,,,,,
player,201510260crd,rav,RossJe01,pass_rating,,,,,,
player,201510260crd,rav,RossJe01,rush_att,0,,,,,
player,201510260crd,rav,RossJe01,rush_yds,0,,,,,
player,201510260crd,rav,RossJe01,rush_td,0,,,,,
player,201510260crd,rav,RossJe01,rush_long,0,,,,,
player,201510260crd,rav,RossJe01,targets,1,,,,,
player,201510260crd,rav,RossJe01,rec,1,,,,,
player,201510260crd,rav,RossJe01,rec_yds,9,,,,,
player,201510260crd,rav,RossJe01,rec_td,0,,,,,
player,201510260crd,rav,RossJe01,rec_long,9,,,,,
player,201510260crd,rav,RossJe01,fumbles,1,,,,,
player,201510260crd,rav,RossJe01,fumbles_lost,1,,,,,
player,201510260crd,rav,AikeKa00,pass_cmp,0,,,,,
player,201510260crd,rav,AikeKa00,pass_att,0,,,,,
player,201510260crd,rav,AikeKa00,pass_yds,0,,,,,
player,201510260crd,rav,AikeKa00,pass_td,0,,,,,
player,201510260crd,rav,AikeKa00,pass_int,0,,,,,
player,201510260crd,rav,AikeKa00,pass_sacked,0,,,,,
player,201510260crd,rav,AikeKa00,pass_sacked_yds,0,,,,,
player,201510260crd,rav,AikeKa00,pass_long,0,,,,,
player,201510260crd,rav,AikeKa00,pass_rating,,,,,,
player,201510260crd,rav,AikeKa00,rush_att,0,,,,,
player,201510260crd,rav,AikeKa00,rush_yds,0,,,,,
player,201510260crd,rav,AikeKa00,rush_td,0,,,,,
player,201510260crd,rav,AikeKa00,rush_long,0,,,,,
player,201510260crd,rav,AikeKa00,targets,3,,,,,
player,201510260crd,rav,AikeKa00,rec,1,,,,,
player,201510260crd,rav,AikeKa00,rec_yds,6,,,,,
player,201510260crd,rav,AikeKa00,rec_td,0,,,,,
player,201510260crd,rav,AikeKa00,rec_long,6,,,,,
player,201510260crd,rav,AikeKa00,fumbles,0,,,,,
player,201510260crd,rav,AikeKa00,fumbles_lost,0,,,,,
player,201510260crd,rav,GiveCh00,pass_cmp,0,,,,,
player,201510260crd,rav,GiveCh00,pass_att,0,,,,,
player,201510260crd,rav,GiveCh00,pass_yds,0,,,,,
player,201510260crd,rav,GiveCh00,pass_td,0,,,,,
player,201510260crd,rav,GiveCh00,pass_int,0,,,,,
player,201510260crd,rav,GiveCh00,pass_sacked,0,,,,,
player,201510260crd,rav,GiveCh00,pass_sacked_yds,0,,,,,
player,201510260crd,rav,GiveCh00,pass_long,0,,,,,
player,201510260crd,rav,GiveCh00,pass_rating,,,,,,
player,201510260crd,rav,GiveCh00,rush_att,1,,,,,
player,201510260crd,rav,GiveCh00,rush_yds,-6,,,,,
player,201510260crd,rav,GiveCh00,rush_td,0,,,,,
player,201510260crd,rav,GiveCh00,rush_long,-6,,,,,
player,201510260crd,rav,GiveCh00,targets,2,,,,,
player,201510260crd,rav,GiveCh00,rec,1,,,,,
player,201510260crd,rav,GiveCh00,rec_yds,31,,,,,
player,201510260crd,rav,GiveCh00,rec_td,0,,,,,
player,201510260crd,rav,GiveCh00,rec_long,31,,,,,
player,201510260crd,rav,GiveCh00,fumbles,0,,,,,
player,201510260crd,rav,GiveCh00,fumbles_lost,0,,,,,
player,201510260crd,crd,PalmCa00,pass_cmp,20,,,,,
player,201510260crd,crd,PalmCa00,pass_att,29,,,,,
player,201510260crd,crd,PalmCa00,pass_yds,275,,,,,
player,201510260crd,crd,PalmCa00,pass_td,2,,,,,
player,201510260crd,crd,PalmCa00,pass_int,0,,,,,
player,201510260crd,crd,PalmCa00,pass_sacked,2,,,,,
player,201510260crd,crd,PalmCa00,pass_sacked_yds,11,,,,,
player,201510260crd,crd,PalmCa00,pass_long,35,,,,,
player,201510260crd,crd,PalmCa00,pass_rating,122.1,,,,,
player,201510260crd,crd,PalmCa00,rush_att,2,,,,,
player,201510260crd,crd,PalmCa00,rush_yds,2,,,,,
player,201510260crd,crd,PalmCa00,rush_td,0,,,,,
player,201510260crd,crd,PalmCa00,rush_long,3,,,,,
player,201510260crd,crd,PalmCa00,targets,0,,,,,
player,201510260crd,crd,PalmCa00,rec,0,,,,,
player,201510260crd,crd,PalmCa00,rec_yds,0,,,,,
player,201510260crd,crd,PalmCa00,rec_td,0,,,,,
player,201510260crd,crd,PalmCa00,rec_long,0,,,,,
player,201510260crd,crd,PalmCa00,fumbles,0,,,,,
player,201510260crd,crd,PalmCa00,fumbles_lost,0,,,,,
player,201510260crd,crd,JohnCh04,pass_cmp,0,,,,,
player,201510260crd,crd,JohnCh04,pass_att,0,,,,,
player,201510260crd,crd,JohnCh04,pass_yds,0,,,,,
player,201510260crd,crd,JohnCh04,pass_td,0,,,,,
player,201510260crd,crd,JohnCh04,pass_int,0,,,,,
player,201510260crd,crd,JohnCh04,pass_sacked,0,,,,,
player,201510260crd,crd,JohnCh04,pass_sacked_yds,0,,,,,
player,201510260crd,crd,JohnCh04,pass_long,0,,,,,
player,201510260crd,crd,JohnCh04,pass_rating,,,,,,
player,201510260crd,crd,JohnCh04,rush_att,18,,,,,
player,201510260crd,crd,JohnCh04,rush_yds,122,,,,,
player,201510260crd,crd,JohnCh04,rush_td,1,,,,,
player,201510260crd,crd,JohnCh04,rush_long,62,,,,,
player,201510260crd,crd,JohnCh04,targets,0,,,,,
player,201510260crd,crd,JohnCh04,rec,0,,,,,
player,201510260crd,crd,JohnCh04,rec_yds,0,,,,,
player,201510260crd,crd,JohnCh04,rec_td,0,,,,,
player,201510260crd,crd,JohnCh04,rec_long,0,,,,,
player,201510260crd,crd,JohnCh04,fumbles,0,,,,,
player,201510260crd,crd,JohnCh04,fumbles_lost,0,,,,,
player,201510260crd,crd,ElliAn00,pass_cmp,0,,,,,
player,201510260crd,crd,ElliAn00,pass_att,0,,,,,
player,201510260crd,crd,ElliAn00,pass_yds,0,,,,,
player,201510260crd,crd,ElliAn00,pass_td,0,,,,,
player,201510260crd,crd,ElliAn00,pass_int,0,,,,,
player,201510260crd,crd,ElliAn00,pass_sacked,0,,,,,
player,201510260crd,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201510260crd,crd,ElliAn00,pass_long,0,,,,,
player,201510260crd,crd,ElliAn00,pass_rating,,,,,,
player,201510260crd,crd,ElliAn00,rush_att,5,,,,,
player,201510260crd,crd,ElliAn00,rush_yds,21,,,,,
player,201510260crd,crd,ElliAn00,rush_td,0,,,,,
player,201510260crd,crd,ElliAn00,rush_long,6,,,,,
player,201510260crd,crd,ElliAn00,targets,4,,,,,
player,201510260crd,crd,ElliAn00,rec,3,,,,,
player,201510260crd,crd,ElliAn00,rec_yds,28,,,,,
player,201510260crd,crd,ElliAn00,rec_td,0,,,,,
player,201510260crd,crd,ElliAn00,rec_long,11,,,,,
player,201510260crd,crd,ElliAn00,fumbles,0,,,,,
player,201510260crd,crd,ElliAn00,fumbles_lost,0,,,,,
player,201510260crd,crd,JohnDa08,pass_cmp,0,,,,,
player,201510260crd,crd,JohnDa08,pass_att,0,,,,,
player,201510260crd,crd,JohnDa08,pass_yds,0,,,,,
player,201510260crd,crd,JohnDa08,pass_td,0,,,,,
player,201510260crd,crd,JohnDa08,pass_int,0,,,,,
player,201510260crd,crd,JohnDa08,pass_sacked,0,,,,,
player,201510260crd,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201510260crd,crd,JohnDa08,pass_long,0,,,,,
player,201510260crd,crd,JohnDa08,pass_rating,,,,,,
player,201510260crd,crd,JohnDa08,rush_att,3,,,,,
player,201510260crd,crd,JohnDa08,rush_yds,5,,,,,
player,201510260crd,crd,JohnDa08,rush_td,0,,,,,
player,201510260crd,crd,JohnDa08,rush_long,6,,,,,
player,201510260crd,crd,JohnDa08,targets,2,,,,,
player,201510260crd,crd,JohnDa08,rec,2,,,,,
player,201510260crd,crd,JohnDa08,rec_yds,19,,,,,
player,201510260crd,crd,JohnDa08,rec_td,0,,,,,
player,201510260crd,crd,JohnDa08,rec_long,11,,,,,
player,201510260crd,crd,JohnDa08,fumbles,0,,,,,
player,201510260crd,crd,JohnDa08,fumbles_lost,0,,,,,
player,201510260crd,crd,BrowJo02,pass_cmp,0,,,,,
player,201510260crd,crd,BrowJo02,pass_att,0,,,,,
player,201510260crd,crd,BrowJo02,pass_yds,0,,,,,
player,201510260crd,crd,BrowJo02,pass_td,0,,,,,
player,201510260crd,crd,BrowJo02,pass_int,0,,,,,
player,201510260crd,crd,BrowJo02,pass_sacked,0,,,,,
player,201510260crd,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201510260crd,crd,BrowJo02,pass_long,0,,,,,
player,201510260crd,crd,BrowJo02,pass_rating,,,,,,
player,201510260crd,crd,BrowJo02,rush_att,0,,,,,
player,201510260crd,crd,BrowJo02,rush_yds,0,,,,,
player,201510260crd,crd,BrowJo02,rush_td,0,,,,,
player,201510260crd,crd,BrowJo02,rush_long,0,,,,,
player,201510260crd,crd,BrowJo02,targets,6,,,,,
player,201510260crd,crd,BrowJo02,rec,4,,,,,
player,201510260crd,crd,BrowJo02,rec_yds,65,,,,,
player,201510260crd,crd,BrowJo02,rec_td,1,,,,,
player,201510260crd,crd,BrowJo02,rec_long,35,,,,,
player,201510260crd,crd,BrowJo02,fumbles,0,,,,,
player,201510260crd,crd,BrowJo02,fumbles_lost,0,,,,,
player,201510260crd,crd,GresJe00,pass_cmp,0,,,,,
player,201510260crd,crd,GresJe00,pass_att,0,,,,,
player,201510260crd,crd,GresJe00,pass_yds,0,,,,,
player,201510260crd,crd,GresJe00,pass_td,0,,,,,
player,201510260crd,crd,GresJe00,pass_int,0,,,,,
player,201510260crd,crd,GresJe00,pass_sacked,0,,,,,
player,201510260crd,crd,GresJe00,pass_sacked_yds,0,,,,,
player,201510260crd,crd,GresJe00,pass_long,0,,,,,
player,201510260crd,crd,GresJe00,pass_rating,,,,,,
player,201510260crd,crd,GresJe00,rush_att,0,,,,,
player,201510260crd,crd,GresJe00,rush_yds,0,,,,,
player,201510260crd,crd,GresJe00,rush_td,0,,,,,
player,201510260crd,crd,GresJe00,rush_long,0,,,,,
player,201510260crd,crd,GresJe00,targets,6,,,,,
player,201510260crd,crd,GresJe00,rec,4,,,,,
player,201510260crd,crd,GresJe00,rec_yds,62,,,,,
player,201510260crd,crd,GresJe00,rec_td,0,,,,,
player,201510260crd,crd,GresJe00,rec_long,21,,,,,
player,201510260crd,crd,GresJe00,fumbles,0,,,,,
player,201510260crd,crd,GresJe00,fumbles_lost,0,,,,,
player,201510260crd,crd,FloyMi00,pass_cmp,0,,,,,
player,201510260crd,crd,FloyMi00,pass_att,0,,,,,
player,201510260crd,crd,FloyMi00,pass_yds,0,,,,,
player,201510260crd,crd,FloyMi00,pass_td,0,,,,,
player,201510260crd,crd,FloyMi00,pass_int,0,,,,,
player,201510260crd,crd,FloyMi00,pass_sacked,0,,,,,
player,201510260crd,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201510260crd,crd,FloyMi00,pass_long,0,,,,,
player,201510260crd,crd,FloyMi00,pass_rating,,,,,,
player,201510260crd,crd,FloyMi00,rush_att,0,,,,,
player,201510260crd,crd,FloyMi00,rush_yds,0,,,,,
player,201510260crd,crd,FloyMi00,rush_td,0,,,,,
player,201510260crd,crd,FloyMi00,rush_long,0,,,,,
player,201510260crd,crd,FloyMi00,targets,4,,,,,
player,201510260crd,crd,FloyMi00,rec,3,,,,,
player,201510260crd,crd,FloyMi00,rec_yds,59,,,,,
player,201510260crd,crd,FloyMi00,rec_td,1,,,,,
player,201510260crd,crd,FloyMi00,rec_long,33,,,,,
player,201510260crd,crd,FloyMi00,fumbles,0,,,,,
player,201510260crd,crd,FloyMi00,fumbles_lost,0,,,,,
player,201510260crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201510260crd,crd,FitzLa00,pass_att,0,,,,,
player,201510260crd,crd,FitzLa00,pass_yds,0,,,,,
player,201510260crd,crd,FitzLa00,pass_td,0,,,,,
player,201510260crd,crd,FitzLa00,pass_int,0,,,,,
player,201510260crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201510260crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201510260crd,crd,FitzLa00,pass_long,0,,,,,
player,201510260crd,crd,FitzLa00,pass_rating,,,,,,
player,201510260crd,crd,FitzLa00,rush_att,0,,,,,
player,201510260crd,crd,FitzLa00,rush_yds,0,,,,,
player,201510260crd,crd,FitzLa00,rush_td,0,,,,,
player,201510260crd,crd,FitzLa00,rush_long,0,,,,,
player,201510260crd,crd,FitzLa00,targets,5,,,,,
player,201510260crd,crd,FitzLa00,rec,3,,,,,
player,201510260crd,crd,FitzLa00,rec_yds,39,,,,,
player,201510260crd,crd,FitzLa00,rec_td,0,,,,,
player,201510260crd,crd,FitzLa00,rec_long,16,,,,,
