game,2015,9,20151108,201511080car,gnb,"Green Bay Packers",29,car,"Carolina Panthers",37
player,201511080car,car,NewtCa00,rec_long,0,,,,,
player,201511080car,car,NewtCa00,fumbles,0,,,,,
player,201511080car,car,NewtCa00,fumbles_lost,0,,,,,
player,201511080car,car,StewJo00,pass_cmp,0,,,,,
player,201511080car,car,StewJo00,pass_att,0,,,,,
player,201511080car,car,StewJo00,pass_yds,0,,,,,
player,201511080car,car,StewJo00,pass_td,0,,,,,
player,201511080car,car,StewJo00,pass_int,0,,,,,
player,201511080car,car,StewJo00,pass_sacked,0,,,,,
player,201511080car,car,StewJo00,pass_sacked_yds,0,,,,,
player,201511080car,car,StewJo00,pass_long,0,,,,,
player,201511080car,car,StewJo00,pass_rating,,,,,,
player,201511080car,car,StewJo00,rush_att,20,,,,,
player,201511080car,car,StewJo00,rush_yds,66,,,,,
player,201511080car,car,StewJo00,rush_td,0,,,,,
player,201511080car,car,StewJo00,rush_long,14,,,,,
player,201511080car,car,StewJo00,targets,2,,,,,
player,201511080car,car,StewJo00,rec,1,,,,,
player,201511080car,car,StewJo00,rec_yds,2,,,,,
player,201511080car,car,StewJo00,rec_td,0,,,,,
player,201511080car,car,StewJo00,rec_long,2,,,,,
player,201511080car,car,StewJo00,fumbles,0,,,,,
player,201511080car,car,StewJo00,fumbles_lost,0,,,,,
player,201511080car,car,WhitFo00,pass_cmp,0,,,,,
player,201511080car,car,WhitFo00,pass_att,0,,,,,
player,201511080car,car,WhitFo00,pass_yds,0,,,,,
player,201511080car,car,WhitFo00,pass_td,0,,,,,
player,201511080car,car,WhitFo00,pass_int,0,,,,,
player,201511080car,car,WhitFo00,pass_sacked,0,,,,,
player,201511080car,car,WhitFo00,pass_sacked_yds,0,,,,,
player,201511080car,car,WhitFo00,pass_long,0,,,,,
player,201511080car,car,WhitFo00,pass_rating,,,,,,
player,201511080car,car,WhitFo00,rush_att,2,,,,,
player,201511080car,car,WhitFo00,rush_yds,13,,,,,
player,201511080car,car,WhitFo00,rush_td,0,,,,,
player,201511080car,car,WhitFo00,rush_long,10,,,,,
player,201511080car,car,WhitFo00,targets,0,,,,,
player,201511080car,car,WhitFo00,rec,0,,,,,
player,201511080car,car,WhitFo00,rec_yds,0,,,,,
player,201511080car,car,WhitFo00,rec_td,0,,,,,
player,201511080car,car,WhitFo00,rec_long,0,,,,,
player,201511080car,car,WhitFo00,fumbles,0,,,,,
player,201511080car,car,WhitFo00,fumbles_lost,0,,,,,
player,201511080car,car,TolbMi00,pass_cmp,0,,,,,
player,201511080car,car,TolbMi00,pass_att,0,,,,,
player,201511080car,car,TolbMi00,pass_yds,0,,,,,
player,201511080car,car,TolbMi00,pass_td,0,,,,,
player,201511080car,car,TolbMi00,pass_int,0,,,,,
player,201511080car,car,TolbMi00,pass_sacked,0,,,,,
player,201511080car,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201511080car,car,TolbMi00,pass_long,0,,,,,
player,201511080car,car,TolbMi00,pass_rating,,,,,,
player,201511080car,car,TolbMi00,rush_att,3,,,,,
player,201511080car,car,TolbMi00,rush_yds,7,,,,,
player,201511080car,car,TolbMi00,rush_td,0,,,,,
player,201511080car,car,TolbMi00,rush_long,4,,,,,
player,201511080car,car,TolbMi00,targets,0,,,,,
player,201511080car,car,TolbMi00,rec,0,,,,,
player,201511080car,car,TolbMi00,rec_yds,0,,,,,
player,201511080car,car,TolbMi00,rec_td,0,,,,,
player,201511080car,car,TolbMi00,rec_long,0,,,,,
player,201511080car,car,TolbMi00,fumbles,0,,,,,
player,201511080car,car,TolbMi00,fumbles_lost,0,,,,,
player,201511080car,car,CotcJe00,pass_cmp,0,,,,,
player,201511080car,car,CotcJe00,pass_att,0,,,,,
player,201511080car,car,CotcJe00,pass_yds,0,,,,,
player,201511080car,car,CotcJe00,pass_td,0,,,,,
player,201511080car,car,CotcJe00,pass_int,0,,,,,
player,201511080car,car,CotcJe00,pass_sacked,0,,,,,
player,201511080car,car,CotcJe00,pass_sacked_yds,0,,,,,
player,201511080car,car,CotcJe00,pass_long,0,,,,,
player,201511080car,car,CotcJe00,pass_rating,,,,,,
player,201511080car,car,CotcJe00,rush_att,0,,,,,
player,201511080car,car,CotcJe00,rush_yds,0,,,,,
player,201511080car,car,CotcJe00,rush_td,0,,,,,
player,201511080car,car,CotcJe00,rush_long,0,,,,,
player,201511080car,car,CotcJe00,targets,6,,,,,
player,201511080car,car,CotcJe00,rec,3,,,,,
player,201511080car,car,CotcJe00,rec_yds,82,,,,,
player,201511080car,car,CotcJe00,rec_td,0,,,,,
player,201511080car,car,CotcJe00,rec_long,59,,,,,
player,201511080car,car,CotcJe00,fumbles,0,,,,,
player,201511080car,car,CotcJe00,fumbles_lost,0,,,,,
player,201511080car,car,FuncDe00,pass_cmp,0,,,,,
player,201511080car,car,FuncDe00,pass_att,0,,,,,
player,201511080car,car,FuncDe00,pass_yds,0,,,,,
player,201511080car,car,FuncDe00,pass_td,0,,,,,
player,201511080car,car,FuncDe00,pass_int,0,,,,,
player,201511080car,car,FuncDe00,pass_sacked,0,,,,,
player,201511080car,car,FuncDe00,pass_sacked_yds,0,,,,,
player,201511080car,car,FuncDe00,pass_long,0,,,,,
player,201511080car,car,FuncDe00,pass_rating,,,,,,
player,201511080car,car,FuncDe00,rush_att,0,,,,,
player,201511080car,car,FuncDe00,rush_yds,0,,,,,
player,201511080car,car,FuncDe00,rush_td,0,,,,,
player,201511080car,car,FuncDe00,rush_long,0,,,,,
player,201511080car,car,FuncDe00,targets,4,,,,,
player,201511080car,car,FuncDe00,rec,3,,,,,
player,201511080car,car,FuncDe00,rec_yds,71,,,,,
player,201511080car,car,FuncDe00,rec_td,1,,,,,
player,201511080car,car,FuncDe00,rec_long,52,,,,,
player,201511080car,car,FuncDe00,fumbles,0,,,,,
player,201511080car,car,FuncDe00,fumbles_lost,0,,,,,
player,201511080car,car,OlseGr00,pass_cmp,0,,,,,
player,201511080car,car,OlseGr00,pass_att,0,,,,,
player,201511080car,car,OlseGr00,pass_yds,0,,,,,
player,201511080car,car,OlseGr00,pass_td,0,,,,,
player,201511080car,car,OlseGr00,pass_int,0,,,,,
player,201511080car,car,OlseGr00,pass_sacked,0,,,,,
player,201511080car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201511080car,car,OlseGr00,pass_long,0,,,,,
player,201511080car,car,OlseGr00,pass_rating,,,,,,
player,201511080car,car,OlseGr00,rush_att,0,,,,,
player,201511080car,car,OlseGr00,rush_yds,0,,,,,
player,201511080car,car,OlseGr00,rush_td,0,,,,,
player,201511080car,car,OlseGr00,rush_long,0,,,,,
player,201511080car,car,OlseGr00,targets,7,,,,,
player,201511080car,car,OlseGr00,rec,4,,,,,
player,201511080car,car,OlseGr00,rec_yds,66,,,,,
player,201511080car,car,OlseGr00,rec_td,1,,,,,
player,201511080car,car,OlseGr00,rec_long,24,,,,,
player,201511080car,car,OlseGr00,fumbles,0,,,,,
player,201511080car,car,OlseGr00,fumbles_lost,0,,,,,
player,201511080car,car,GinnTe00,pass_cmp,0,,,,,
player,201511080car,car,GinnTe00,pass_att,0,,,,,
player,201511080car,car,GinnTe00,pass_yds,0,,,,,
player,201511080car,car,GinnTe00,pass_td,0,,,,,
player,201511080car,car,GinnTe00,pass_int,0,,,,,
player,201511080car,car,GinnTe00,pass_sacked,0,,,,,
player,201511080car,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201511080car,car,GinnTe00,pass_long,0,,,,,
player,201511080car,car,GinnTe00,pass_rating,,,,,,
player,201511080car,car,GinnTe00,rush_att,0,,,,,
player,201511080car,car,GinnTe00,rush_yds,0,,,,,
player,201511080car,car,GinnTe00,rush_td,0,,,,,
player,201511080car,car,GinnTe00,rush_long,0,,,,,
player,201511080car,car,GinnTe00,targets,4,,,,,
player,201511080car,car,GinnTe00,rec,1,,,,,
player,201511080car,car,GinnTe00,rec_yds,20,,,,,
player,201511080car,car,GinnTe00,rec_td,0,,,,,
player,201511080car,car,GinnTe00,rec_long,20,,,,,
player,201511080car,car,GinnTe00,fumbles,0,,,,,
player,201511080car,car,GinnTe00,fumbles_lost,0,,,,,
player,201511080car,car,DickEd00,pass_cmp,0,,,,,
player,201511080car,car,DickEd00,pass_att,0,,,,,
player,201511080car,car,DickEd00,pass_yds,0,,,,,
player,201511080car,car,DickEd00,pass_td,0,,,,,
player,201511080car,car,DickEd00,pass_int,0,,,,,
player,201511080car,car,DickEd00,pass_sacked,0,,,,,
player,201511080car,car,DickEd00,pass_sacked_yds,0,,,,,
player,201511080car,car,DickEd00,pass_long,0,,,,,
player,201511080car,car,DickEd00,pass_rating,,,,,,
player,201511080car,car,DickEd00,rush_att,0,,,,,
player,201511080car,car,DickEd00,rush_yds,0,,,,,
player,201511080car,car,DickEd00,rush_td,0,,,,,
player,201511080car,car,DickEd00,rush_long,0,,,,,
player,201511080car,car,DickEd00,targets,2,,,,,
player,201511080car,car,DickEd00,rec,1,,,,,
player,201511080car,car,DickEd00,rec_yds,6,,,,,
player,201511080car,car,DickEd00,rec_td,0,,,,,
player,201511080car,car,DickEd00,rec_long,6,,,,,
player,201511080car,car,DickEd00,fumbles,0,,,,,
player,201511080car,car,DickEd00,fumbles_lost,0,,,,,
player,201511080car,car,WebbJo00,pass_cmp,0,,,,,
player,201511080car,car,WebbJo00,pass_att,0,,,,,
player,201511080car,car,WebbJo00,pass_yds,0,,,,,
player,201511080car,car,WebbJo00,pass_td,0,,,,,
player,201511080car,car,WebbJo00,pass_int,0,,,,,
player,201511080car,car,WebbJo00,pass_sacked,0,,,,,
player,201511080car,car,WebbJo00,pass_sacked_yds,0,,,,,
player,201511080car,car,WebbJo00,pass_long,0,,,,,
player,201511080car,car,WebbJo00,pass_rating,,,,,,
player,201511080car,car,WebbJo00,rush_att,1,,,,,
player,201511080car,car,WebbJo00,rush_yds,-1,,,,,
player,201511080car,car,WebbJo00,rush_td,0,,,,,
player,201511080car,car,WebbJo00,rush_long,-1,,,,,
player,201511080car,car,WebbJo00,targets,0,,,,,
player,201511080car,car,WebbJo00,rec,0,,,,,
player,201511080car,car,WebbJo00,rec_yds,0,,,,,
player,201511080car,car,WebbJo00,rec_td,0,,,,,
player,201511080car,car,WebbJo00,rec_long,0,,,,,
player,201511080car,car,WebbJo00,fumbles,0,,,,,
player,201511080car,car,WebbJo00,fumbles_lost,0,,,,,
player,201511080car,car,BrowPh00,pass_cmp,0,,,,,
player,201511080car,car,BrowPh00,pass_att,0,,,,,
player,201511080car,car,BrowPh00,pass_yds,0,,,,,
player,201511080car,car,BrowPh00,pass_td,0,,,,,
player,201511080car,car,BrowPh00,pass_int,0,,,,,
player,201511080car,car,BrowPh00,pass_sacked,0,,,,,
player,201511080car,car,BrowPh00,pass_sacked_yds,0,,,,,
player,201511080car,car,BrowPh00,pass_long,0,,,,,
player,201511080car,car,BrowPh00,pass_rating,,,,,,
player,201511080car,car,BrowPh00,rush_att,1,,,,,
player,201511080car,car,BrowPh00,rush_yds,-12,,,,,
player,201511080car,car,BrowPh00,rush_td,0,,,,,
player,201511080car,car,BrowPh00,rush_long,-12,,,,,
player,201511080car,car,BrowPh00,targets,4,,,,,
player,201511080car,car,BrowPh00,rec,2,,,,,
player,201511080car,car,BrowPh00,rec_yds,50,,,,,
player,201511080car,car,BrowPh00,rec_td,1,,,,,
player,201511080car,car,BrowPh00,rec_long,39,,,,,
player,201511080car,car,BrowPh00,fumbles,0,,,,,
player,201511080car,car,BrowPh00,fumbles_lost,0,,,,,
player,201511080car,gnb,RandDa00,def_int,1,,,,,
player,201511080car,gnb,RandDa00,def_int_yds,4,,,,,
player,201511080car,gnb,RandDa00,def_int_td,0,,,,,
player,201511080car,gnb,RandDa00,def_int_long,4,,,,,
player,201511080car,gnb,RandDa00,pass_defended,2,,,,,
player,201511080car,gnb,RandDa00,sacks,0.0,,,,,
player,201511080car,gnb,RandDa00,tackles_combined,5,,,,,
player,201511080car,gnb,RandDa00,tackles_solo,5,,,,,
player,201511080car,gnb,RandDa00,tackles_assists,0,,,,,
player,201511080car,gnb,RandDa00,tackles_loss,0,,,,,
player,201511080car,gnb,RandDa00,qb_hits,0,,,,,
player,201511080car,gnb,RandDa00,fumbles_rec,0,,,,,
player,201511080car,gnb,RandDa00,fumbles_rec_yds,0,,,,,
player,201511080car,gnb,RandDa00,fumbles_rec_td,0,,,,,
player,201511080car,gnb,RandDa00,fumbles_forced,0,,,,,
player,201511080car,gnb,RyanJa00,def_int,0,,,,,
player,201511080car,gnb,RyanJa00,def_int_yds,0,,,,,
player,201511080car,gnb,RyanJa00,def_int_td,0,,,,,
player,201511080car,gnb,RyanJa00,def_int_long,0,,,,,
player,201511080car,gnb,RyanJa00,pass_defended,0,,,,,
player,201511080car,gnb,RyanJa00,sacks,0.0,,,,,
player,201511080car,gnb,RyanJa00,tackles_combined,10,,,,,
player,201511080car,gnb,RyanJa00,tackles_solo,6,,,,,
player,201511080car,gnb,RyanJa00,tackles_assists,4,,,,,
player,201511080car,gnb,RyanJa00,tackles_loss,1,,,,,
player,201511080car,gnb,RyanJa00,qb_hits,0,,,,,
player,201511080car,gnb,RyanJa00,fumbles_rec,0,,,,,
player,201511080car,gnb,RyanJa00,fumbles_rec_yds,0,,,,,
player,201511080car,gnb,RyanJa00,fumbles_rec_td,0,,,,,
player,201511080car,gnb,RyanJa00,fumbles_forced,0,,,,,
player,201511080car,gnb,BurnMo99,def_int,0,,,,,
player,201511080car,gnb,BurnMo99,def_int_yds,0,,,,,
player,201511080car,gnb,BurnMo99,def_int_td,0,,,,,
player,201511080car,gnb,BurnMo99,def_int_long,0,,,,,
player,201511080car,gnb,BurnMo99,pass_defended,1,,,,,
player,201511080car,gnb,BurnMo99,sacks,0.0,,,,,
player,201511080car,gnb,BurnMo99,tackles_combined,9,,,,,
player,201511080car,gnb,BurnMo99,tackles_solo,3,,,,,
player,201511080car,gnb,BurnMo99,tackles_assists,6,,,,,
player,201511080car,gnb,BurnMo99,tackles_loss,1,,,,,
player,201511080car,gnb,BurnMo99,qb_hits,0,,,,,
player,201511080car,gnb,BurnMo99,fumbles_rec,0,,,,,
player,201511080car,gnb,BurnMo99,fumbles_rec_yds,0,,,,,
player,201511080car,gnb,BurnMo99,fumbles_rec_td,0,,,,,
player,201511080car,gnb,BurnMo99,fumbles_forced,0,,,,,
player,201511080car,gnb,PerrNi00,def_int,0,,,,,
player,201511080car,gnb,PerrNi00,def_int_yds,0,,,,,
player,201511080car,gnb,PerrNi00,def_int_td,0,,,,,
player,201511080car,gnb,PerrNi00,def_int_long,0,,,,,
player,201511080car,gnb,PerrNi00,pass_defended,1,,,,,
player,201511080car,gnb,PerrNi00,sacks,0.0,,,,,
player,201511080car,gnb,PerrNi00,tackles_combined,7,,,,,
player,201511080car,gnb,PerrNi00,tackles_solo,3,,,,,
player,201511080car,gnb,PerrNi00,tackles_assists,4,,,,,
player,201511080car,gnb,PerrNi00,tackles_loss,1,,,,,
player,201511080car,gnb,PerrNi00,qb_hits,0,,,,,
player,201511080car,gnb,PerrNi00,fumbles_rec,0,,,,,
player,201511080car,gnb,PerrNi00,fumbles_rec_yds,0,,,,,
player,201511080car,gnb,PerrNi00,fumbles_rec_td,0,,,,,
player,201511080car,gnb,PerrNi00,fumbles_forced,0,,,,,
player,201511080car,gnb,ClinHa00,def_int,0,,,,,
player,201511080car,gnb,ClinHa00,def_int_yds,0,,,,,
