game,2015,8,20151101,201511010cle,crd,"Arizona Cardinals",34,cle,"Cleveland Browns",20
player,201511010cle,crd,BrowJa03,rush_td,0,,,,,
player,201511010cle,crd,BrowJa03,rush_long,0,,,,,
player,201511010cle,crd,BrowJa03,targets,4,,,,,
player,201511010cle,crd,BrowJa03,rec,1,,,,,
player,201511010cle,crd,BrowJa03,rec_yds,39,,,,,
player,201511010cle,crd,BrowJa03,rec_td,0,,,,,
player,201511010cle,crd,BrowJa03,rec_long,39,,,,,
player,201511010cle,crd,BrowJa03,fumbles,0,,,,,
player,201511010cle,crd,BrowJa03,fumbles_lost,0,,,,,
player,201511010cle,crd,GresJe00,pass_cmp,0,,,,,
player,201511010cle,crd,GresJe00,pass_att,0,,,,,
player,201511010cle,crd,GresJe00,pass_yds,0,,,,,
player,201511010cle,crd,GresJe00,pass_td,0,,,,,
player,201511010cle,crd,GresJe00,pass_int,0,,,,,
player,201511010cle,crd,GresJe00,pass_sacked,0,,,,,
player,201511010cle,crd,GresJe00,pass_sacked_yds,0,,,,,
player,201511010cle,crd,GresJe00,pass_long,0,,,,,
player,201511010cle,crd,GresJe00,pass_rating,,,,,,
player,201511010cle,crd,GresJe00,rush_att,0,,,,,
player,201511010cle,crd,GresJe00,rush_yds,0,,,,,
player,201511010cle,crd,GresJe00,rush_td,0,,,,,
player,201511010cle,crd,GresJe00,rush_long,0,,,,,
player,201511010cle,crd,GresJe00,targets,4,,,,,
player,201511010cle,crd,GresJe00,rec,2,,,,,
player,201511010cle,crd,GresJe00,rec_yds,19,,,,,
player,201511010cle,crd,GresJe00,rec_td,0,,,,,
player,201511010cle,crd,GresJe00,rec_long,13,,,,,
player,201511010cle,crd,GresJe00,fumbles,0,,,,,
player,201511010cle,crd,GresJe00,fumbles_lost,0,,,,,
player,201511010cle,crd,NiklTr00,pass_cmp,0,,,,,
player,201511010cle,crd,NiklTr00,pass_att,0,,,,,
player,201511010cle,crd,NiklTr00,pass_yds,0,,,,,
player,201511010cle,crd,NiklTr00,pass_td,0,,,,,
player,201511010cle,crd,NiklTr00,pass_int,0,,,,,
player,201511010cle,crd,NiklTr00,pass_sacked,0,,,,,
player,201511010cle,crd,NiklTr00,pass_sacked_yds,0,,,,,
player,201511010cle,crd,NiklTr00,pass_long,0,,,,,
player,201511010cle,crd,NiklTr00,pass_rating,,,,,,
player,201511010cle,crd,NiklTr00,rush_att,0,,,,,
player,201511010cle,crd,NiklTr00,rush_yds,0,,,,,
player,201511010cle,crd,NiklTr00,rush_td,0,,,,,
player,201511010cle,crd,NiklTr00,rush_long,0,,,,,
player,201511010cle,crd,NiklTr00,targets,2,,,,,
player,201511010cle,crd,NiklTr00,rec,2,,,,,
player,201511010cle,crd,NiklTr00,rec_yds,12,,,,,
player,201511010cle,crd,NiklTr00,rec_td,2,,,,,
player,201511010cle,crd,NiklTr00,rec_long,11,,,,,
player,201511010cle,crd,NiklTr00,fumbles,0,,,,,
player,201511010cle,crd,NiklTr00,fumbles_lost,0,,,,,
player,201511010cle,crd,ElliAn00,pass_cmp,0,,,,,
player,201511010cle,crd,ElliAn00,pass_att,0,,,,,
player,201511010cle,crd,ElliAn00,pass_yds,0,,,,,
player,201511010cle,crd,ElliAn00,pass_td,0,,,,,
player,201511010cle,crd,ElliAn00,pass_int,0,,,,,
player,201511010cle,crd,ElliAn00,pass_sacked,0,,,,,
player,201511010cle,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201511010cle,crd,ElliAn00,pass_long,0,,,,,
player,201511010cle,crd,ElliAn00,pass_rating,,,,,,
player,201511010cle,crd,ElliAn00,rush_att,3,,,,,
player,201511010cle,crd,ElliAn00,rush_yds,0,,,,,
player,201511010cle,crd,ElliAn00,rush_td,0,,,,,
player,201511010cle,crd,ElliAn00,rush_long,3,,,,,
player,201511010cle,crd,ElliAn00,targets,1,,,,,
player,201511010cle,crd,ElliAn00,rec,0,,,,,
player,201511010cle,crd,ElliAn00,rec_yds,0,,,,,
player,201511010cle,crd,ElliAn00,rec_td,0,,,,,
player,201511010cle,crd,ElliAn00,rec_long,0,,,,,
player,201511010cle,crd,ElliAn00,fumbles,0,,,,,
player,201511010cle,crd,ElliAn00,fumbles_lost,0,,,,,
player,201511010cle,cle,McCoJo01,pass_cmp,18,,,,,
player,201511010cle,cle,McCoJo01,pass_att,34,,,,,
player,201511010cle,cle,McCoJo01,pass_yds,211,,,,,
player,201511010cle,cle,McCoJo01,pass_td,3,,,,,
player,201511010cle,cle,McCoJo01,pass_int,1,,,,,
player,201511010cle,cle,McCoJo01,pass_sacked,1,,,,,
player,201511010cle,cle,McCoJo01,pass_sacked_yds,8,,,,,
player,201511010cle,cle,McCoJo01,pass_long,52,,,,,
player,201511010cle,cle,McCoJo01,pass_rating,89.2,,,,,
player,201511010cle,cle,McCoJo01,rush_att,5,,,,,
player,201511010cle,cle,McCoJo01,rush_yds,18,,,,,
player,201511010cle,cle,McCoJo01,rush_td,0,,,,,
player,201511010cle,cle,McCoJo01,rush_long,10,,,,,
player,201511010cle,cle,McCoJo01,targets,0,,,,,
player,201511010cle,cle,McCoJo01,rec,0,,,,,
player,201511010cle,cle,McCoJo01,rec_yds,0,,,,,
player,201511010cle,cle,McCoJo01,rec_td,0,,,,,
player,201511010cle,cle,McCoJo01,rec_long,0,,,,,
player,201511010cle,cle,McCoJo01,fumbles,3,,,,,
player,201511010cle,cle,McCoJo01,fumbles_lost,1,,,,,
player,201511010cle,cle,ManzJo00,pass_cmp,3,,,,,
player,201511010cle,cle,ManzJo00,pass_att,6,,,,,
