game,2015,12,20151129,201511290htx,nor,"New Orleans Saints",6,htx,"Houston Texans",24
player,201511290htx,nor,ByrdJa99,fumbles_rec,0,,,,,
player,201511290htx,nor,ByrdJa99,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,ByrdJa99,fumbles_rec_td,0,,,,,
player,201511290htx,nor,ByrdJa99,fumbles_forced,0,,,,,
player,201511290htx,nor,JordCa00,def_int,0,,,,,
player,201511290htx,nor,JordCa00,def_int_yds,0,,,,,
player,201511290htx,nor,JordCa00,def_int_td,0,,,,,
player,201511290htx,nor,JordCa00,def_int_long,0,,,,,
player,201511290htx,nor,JordCa00,pass_defended,0,,,,,
player,201511290htx,nor,JordCa00,sacks,1.0,,,,,
player,201511290htx,nor,JordCa00,tackles_combined,4,,,,,
player,201511290htx,nor,JordCa00,tackles_solo,2,,,,,
player,201511290htx,nor,JordCa00,tackles_assists,2,,,,,
player,201511290htx,nor,JordCa00,tackles_loss,1,,,,,
player,201511290htx,nor,JordCa00,qb_hits,1,,,,,
player,201511290htx,nor,JordCa00,fumbles_rec,0,,,,,
player,201511290htx,nor,JordCa00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,JordCa00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,JordCa00,fumbles_forced,0,,,,,
player,201511290htx,nor,VaccKe00,def_int,0,,,,,
player,201511290htx,nor,VaccKe00,def_int_yds,0,,,,,
player,201511290htx,nor,VaccKe00,def_int_td,0,,,,,
player,201511290htx,nor,VaccKe00,def_int_long,0,,,,,
player,201511290htx,nor,VaccKe00,pass_defended,0,,,,,
player,201511290htx,nor,VaccKe00,sacks,0.0,,,,,
player,201511290htx,nor,VaccKe00,tackles_combined,13,,,,,
player,201511290htx,nor,VaccKe00,tackles_solo,8,,,,,
player,201511290htx,nor,VaccKe00,tackles_assists,5,,,,,
player,201511290htx,nor,VaccKe00,tackles_loss,0,,,,,
player,201511290htx,nor,VaccKe00,qb_hits,0,,,,,
player,201511290htx,nor,VaccKe00,fumbles_rec,0,,,,,
player,201511290htx,nor,VaccKe00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,VaccKe00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,VaccKe00,fumbles_forced,1,,,,,
player,201511290htx,nor,AnthSt00,def_int,0,,,,,
player,201511290htx,nor,AnthSt00,def_int_yds,0,,,,,
player,201511290htx,nor,AnthSt00,def_int_td,0,,,,,
player,201511290htx,nor,AnthSt00,def_int_long,0,,,,,
player,201511290htx,nor,AnthSt00,pass_defended,0,,,,,
player,201511290htx,nor,AnthSt00,sacks,0.0,,,,,
player,201511290htx,nor,AnthSt00,tackles_combined,10,,,,,
player,201511290htx,nor,AnthSt00,tackles_solo,8,,,,,
player,201511290htx,nor,AnthSt00,tackles_assists,2,,,,,
player,201511290htx,nor,AnthSt00,tackles_loss,1,,,,,
player,201511290htx,nor,AnthSt00,qb_hits,1,,,,,
player,201511290htx,nor,AnthSt00,fumbles_rec,0,,,,,
player,201511290htx,nor,AnthSt00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,AnthSt00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,AnthSt00,fumbles_forced,0,,,,,
player,201511290htx,nor,HumbRa00,def_int,0,,,,,
player,201511290htx,nor,HumbRa00,def_int_yds,0,,,,,
player,201511290htx,nor,HumbRa00,def_int_td,0,,,,,
player,201511290htx,nor,HumbRa00,def_int_long,0,,,,,
player,201511290htx,nor,HumbRa00,pass_defended,0,,,,,
player,201511290htx,nor,HumbRa00,sacks,0.0,,,,,
player,201511290htx,nor,HumbRa00,tackles_combined,9,,,,,
player,201511290htx,nor,HumbRa00,tackles_solo,3,,,,,
player,201511290htx,nor,HumbRa00,tackles_assists,6,,,,,
player,201511290htx,nor,HumbRa00,tackles_loss,0,,,,,
player,201511290htx,nor,HumbRa00,qb_hits,0,,,,,
player,201511290htx,nor,HumbRa00,fumbles_rec,0,,,,,
player,201511290htx,nor,HumbRa00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,HumbRa00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,HumbRa00,fumbles_forced,0,,,,,
player,201511290htx,nor,MautMi00,def_int,0,,,,,
player,201511290htx,nor,MautMi00,def_int_yds,0,,,,,
player,201511290htx,nor,MautMi00,def_int_td,0,,,,,
player,201511290htx,nor,MautMi00,def_int_long,0,,,,,
player,201511290htx,nor,MautMi00,pass_defended,0,,,,,
player,201511290htx,nor,MautMi00,sacks,0.0,,,,,
player,201511290htx,nor,MautMi00,tackles_combined,7,,,,,
player,201511290htx,nor,MautMi00,tackles_solo,5,,,,,
player,201511290htx,nor,MautMi00,tackles_assists,2,,,,,
player,201511290htx,nor,MautMi00,tackles_loss,1,,,,,
player,201511290htx,nor,MautMi00,qb_hits,0,,,,,
player,201511290htx,nor,MautMi00,fumbles_rec,0,,,,,
player,201511290htx,nor,MautMi00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,MautMi00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,MautMi00,fumbles_forced,0,,,,,
player,201511290htx,nor,JenkJo00,def_int,0,,,,,
player,201511290htx,nor,JenkJo00,def_int_yds,0,,,,,
player,201511290htx,nor,JenkJo00,def_int_td,0,,,,,
player,201511290htx,nor,JenkJo00,def_int_long,0,,,,,
player,201511290htx,nor,JenkJo00,pass_defended,0,,,,,
player,201511290htx,nor,JenkJo00,sacks,0.0,,,,,
player,201511290htx,nor,JenkJo00,tackles_combined,6,,,,,
player,201511290htx,nor,JenkJo00,tackles_solo,4,,,,,
player,201511290htx,nor,JenkJo00,tackles_assists,2,,,,,
player,201511290htx,nor,JenkJo00,tackles_loss,0,,,,,
player,201511290htx,nor,JenkJo00,qb_hits,0,,,,,
player,201511290htx,nor,JenkJo00,fumbles_rec,0,,,,,
player,201511290htx,nor,JenkJo00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,JenkJo00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,JenkJo00,fumbles_forced,0,,,,,
player,201511290htx,nor,BreaDe00,def_int,0,,,,,
player,201511290htx,nor,BreaDe00,def_int_yds,0,,,,,
player,201511290htx,nor,BreaDe00,def_int_td,0,,,,,
player,201511290htx,nor,BreaDe00,def_int_long,0,,,,,
player,201511290htx,nor,BreaDe00,pass_defended,0,,,,,
player,201511290htx,nor,BreaDe00,sacks,0.0,,,,,
player,201511290htx,nor,BreaDe00,tackles_combined,4,,,,,
player,201511290htx,nor,BreaDe00,tackles_solo,2,,,,,
player,201511290htx,nor,BreaDe00,tackles_assists,2,,,,,
player,201511290htx,nor,BreaDe00,tackles_loss,1,,,,,
player,201511290htx,nor,BreaDe00,qb_hits,0,,,,,
player,201511290htx,nor,BreaDe00,fumbles_rec,0,,,,,
player,201511290htx,nor,BreaDe00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,BreaDe00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,BreaDe00,fumbles_forced,0,,,,,
player,201511290htx,nor,BrowBr00,def_int,0,,,,,
player,201511290htx,nor,BrowBr00,def_int_yds,0,,,,,
player,201511290htx,nor,BrowBr00,def_int_td,0,,,,,
player,201511290htx,nor,BrowBr00,def_int_long,0,,,,,
player,201511290htx,nor,BrowBr00,pass_defended,1,,,,,
player,201511290htx,nor,BrowBr00,sacks,0.0,,,,,
player,201511290htx,nor,BrowBr00,tackles_combined,4,,,,,
player,201511290htx,nor,BrowBr00,tackles_solo,3,,,,,
player,201511290htx,nor,BrowBr00,tackles_assists,1,,,,,
player,201511290htx,nor,BrowBr00,tackles_loss,0,,,,,
player,201511290htx,nor,BrowBr00,qb_hits,0,,,,,
player,201511290htx,nor,BrowBr00,fumbles_rec,0,,,,,
player,201511290htx,nor,BrowBr00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,BrowBr00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,BrowBr00,fumbles_forced,0,,,,,
player,201511290htx,nor,DaviTy01,def_int,0,,,,,
player,201511290htx,nor,DaviTy01,def_int_yds,0,,,,,
player,201511290htx,nor,DaviTy01,def_int_td,0,,,,,
player,201511290htx,nor,DaviTy01,def_int_long,0,,,,,
player,201511290htx,nor,DaviTy01,pass_defended,0,,,,,
player,201511290htx,nor,DaviTy01,sacks,0.0,,,,,
player,201511290htx,nor,DaviTy01,tackles_combined,3,,,,,
player,201511290htx,nor,DaviTy01,tackles_solo,0,,,,,
player,201511290htx,nor,DaviTy01,tackles_assists,3,,,,,
player,201511290htx,nor,DaviTy01,tackles_loss,0,,,,,
player,201511290htx,nor,DaviTy01,qb_hits,0,,,,,
player,201511290htx,nor,DaviTy01,fumbles_rec,0,,,,,
player,201511290htx,nor,DaviTy01,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,DaviTy01,fumbles_rec_td,0,,,,,
player,201511290htx,nor,DaviTy01,fumbles_forced,0,,,,,
player,201511290htx,nor,KikaHa00,def_int,0,,,,,
player,201511290htx,nor,KikaHa00,def_int_yds,0,,,,,
player,201511290htx,nor,KikaHa00,def_int_td,0,,,,,
player,201511290htx,nor,KikaHa00,def_int_long,0,,,,,
player,201511290htx,nor,KikaHa00,pass_defended,0,,,,,
player,201511290htx,nor,KikaHa00,sacks,0.0,,,,,
player,201511290htx,nor,KikaHa00,tackles_combined,3,,,,,
player,201511290htx,nor,KikaHa00,tackles_solo,0,,,,,
player,201511290htx,nor,KikaHa00,tackles_assists,3,,,,,
player,201511290htx,nor,KikaHa00,tackles_loss,0,,,,,
player,201511290htx,nor,KikaHa00,qb_hits,0,,,,,
player,201511290htx,nor,KikaHa00,fumbles_rec,0,,,,,
player,201511290htx,nor,KikaHa00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,KikaHa00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,KikaHa00,fumbles_forced,0,,,,,
player,201511290htx,nor,RichBo00,def_int,0,,,,,
player,201511290htx,nor,RichBo00,def_int_yds,0,,,,,
player,201511290htx,nor,RichBo00,def_int_td,0,,,,,
player,201511290htx,nor,RichBo00,def_int_long,0,,,,,
player,201511290htx,nor,RichBo00,pass_defended,0,,,,,
player,201511290htx,nor,RichBo00,sacks,0.0,,,,,
player,201511290htx,nor,RichBo00,tackles_combined,3,,,,,
player,201511290htx,nor,RichBo00,tackles_solo,3,,,,,
player,201511290htx,nor,RichBo00,tackles_assists,0,,,,,
player,201511290htx,nor,RichBo00,tackles_loss,0,,,,,
player,201511290htx,nor,RichBo00,qb_hits,0,,,,,
player,201511290htx,nor,RichBo00,fumbles_rec,0,,,,,
player,201511290htx,nor,RichBo00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,RichBo00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,RichBo00,fumbles_forced,0,,,,,
player,201511290htx,nor,BarnTa00,def_int,0,,,,,
player,201511290htx,nor,BarnTa00,def_int_yds,0,,,,,
player,201511290htx,nor,BarnTa00,def_int_td,0,,,,,
player,201511290htx,nor,BarnTa00,def_int_long,0,,,,,
player,201511290htx,nor,BarnTa00,pass_defended,0,,,,,
player,201511290htx,nor,BarnTa00,sacks,0.0,,,,,
player,201511290htx,nor,BarnTa00,tackles_combined,2,,,,,
player,201511290htx,nor,BarnTa00,tackles_solo,0,,,,,
player,201511290htx,nor,BarnTa00,tackles_assists,2,,,,,
player,201511290htx,nor,BarnTa00,tackles_loss,0,,,,,
player,201511290htx,nor,BarnTa00,qb_hits,0,,,,,
player,201511290htx,nor,BarnTa00,fumbles_rec,0,,,,,
player,201511290htx,nor,BarnTa00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,BarnTa00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,BarnTa00,fumbles_forced,0,,,,,
player,201511290htx,nor,GrahT.00,def_int,0,,,,,
player,201511290htx,nor,GrahT.00,def_int_yds,0,,,,,
player,201511290htx,nor,GrahT.00,def_int_td,0,,,,,
player,201511290htx,nor,GrahT.00,def_int_long,0,,,,,
player,201511290htx,nor,GrahT.00,pass_defended,0,,,,,
player,201511290htx,nor,GrahT.00,sacks,0.0,,,,,
player,201511290htx,nor,GrahT.00,tackles_combined,2,,,,,
player,201511290htx,nor,GrahT.00,tackles_solo,0,,,,,
player,201511290htx,nor,GrahT.00,tackles_assists,2,,,,,
player,201511290htx,nor,GrahT.00,tackles_loss,0,,,,,
player,201511290htx,nor,GrahT.00,qb_hits,0,,,,,
player,201511290htx,nor,GrahT.00,fumbles_rec,0,,,,,
player,201511290htx,nor,GrahT.00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,GrahT.00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,GrahT.00,fumbles_forced,0,,,,,
player,201511290htx,nor,DixoBr01,def_int,0,,,,,
player,201511290htx,nor,DixoBr01,def_int_yds,0,,,,,
player,201511290htx,nor,DixoBr01,def_int_td,0,,,,,
player,201511290htx,nor,DixoBr01,def_int_long,0,,,,,
player,201511290htx,nor,DixoBr01,pass_defended,0,,,,,
player,201511290htx,nor,DixoBr01,sacks,0.0,,,,,
player,201511290htx,nor,DixoBr01,tackles_combined,1,,,,,
player,201511290htx,nor,DixoBr01,tackles_solo,1,,,,,
player,201511290htx,nor,DixoBr01,tackles_assists,0,,,,,
player,201511290htx,nor,DixoBr01,tackles_loss,0,,,,,
player,201511290htx,nor,DixoBr01,qb_hits,0,,,,,
player,201511290htx,nor,DixoBr01,fumbles_rec,0,,,,,
player,201511290htx,nor,DixoBr01,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,DixoBr01,fumbles_rec_td,0,,,,,
player,201511290htx,nor,DixoBr01,fumbles_forced,0,,,,,
player,201511290htx,nor,EdebKa00,def_int,0,,,,,
player,201511290htx,nor,EdebKa00,def_int_yds,0,,,,,
player,201511290htx,nor,EdebKa00,def_int_td,0,,,,,
player,201511290htx,nor,EdebKa00,def_int_long,0,,,,,
player,201511290htx,nor,EdebKa00,pass_defended,0,,,,,
player,201511290htx,nor,EdebKa00,sacks,0.0,,,,,
player,201511290htx,nor,EdebKa00,tackles_combined,1,,,,,
player,201511290htx,nor,EdebKa00,tackles_solo,0,,,,,
player,201511290htx,nor,EdebKa00,tackles_assists,1,,,,,
player,201511290htx,nor,EdebKa00,tackles_loss,0,,,,,
player,201511290htx,nor,EdebKa00,qb_hits,0,,,,,
player,201511290htx,nor,EdebKa00,fumbles_rec,0,,,,,
player,201511290htx,nor,EdebKa00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,EdebKa00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,EdebKa00,fumbles_forced,0,,,,,
player,201511290htx,nor,GwacOb00,def_int,0,,,,,
player,201511290htx,nor,GwacOb00,def_int_yds,0,,,,,
player,201511290htx,nor,GwacOb00,def_int_td,0,,,,,
player,201511290htx,nor,GwacOb00,def_int_long,0,,,,,
player,201511290htx,nor,GwacOb00,pass_defended,0,,,,,
player,201511290htx,nor,GwacOb00,sacks,0.0,,,,,
player,201511290htx,nor,GwacOb00,tackles_combined,1,,,,,
player,201511290htx,nor,GwacOb00,tackles_solo,1,,,,,
player,201511290htx,nor,GwacOb00,tackles_assists,0,,,,,
player,201511290htx,nor,GwacOb00,tackles_loss,0,,,,,
player,201511290htx,nor,GwacOb00,qb_hits,0,,,,,
player,201511290htx,nor,GwacOb00,fumbles_rec,0,,,,,
player,201511290htx,nor,GwacOb00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,GwacOb00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,GwacOb00,fumbles_forced,1,,,,,
player,201511290htx,nor,HillJo02,def_int,0,,,,,
player,201511290htx,nor,HillJo02,def_int_yds,0,,,,,
player,201511290htx,nor,HillJo02,def_int_td,0,,,,,
player,201511290htx,nor,HillJo02,def_int_long,0,,,,,
player,201511290htx,nor,HillJo02,pass_defended,0,,,,,
player,201511290htx,nor,HillJo02,sacks,0.0,,,,,
player,201511290htx,nor,HillJo02,tackles_combined,1,,,,,
player,201511290htx,nor,HillJo02,tackles_solo,1,,,,,
player,201511290htx,nor,HillJo02,tackles_assists,0,,,,,
player,201511290htx,nor,HillJo02,tackles_loss,0,,,,,
player,201511290htx,nor,HillJo02,qb_hits,0,,,,,
player,201511290htx,nor,HillJo02,fumbles_rec,0,,,,,
player,201511290htx,nor,HillJo02,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,HillJo02,fumbles_rec_td,0,,,,,
player,201511290htx,nor,HillJo02,fumbles_forced,0,,,,,
player,201511290htx,nor,SanfJa99,def_int,0,,,,,
player,201511290htx,nor,SanfJa99,def_int_yds,0,,,,,
player,201511290htx,nor,SanfJa99,def_int_td,0,,,,,
player,201511290htx,nor,SanfJa99,def_int_long,0,,,,,
player,201511290htx,nor,SanfJa99,pass_defended,0,,,,,
player,201511290htx,nor,SanfJa99,sacks,0.0,,,,,
player,201511290htx,nor,SanfJa99,tackles_combined,1,,,,,
player,201511290htx,nor,SanfJa99,tackles_solo,0,,,,,
player,201511290htx,nor,SanfJa99,tackles_assists,1,,,,,
player,201511290htx,nor,SanfJa99,tackles_loss,0,,,,,
player,201511290htx,nor,SanfJa99,qb_hits,0,,,,,
player,201511290htx,nor,SanfJa99,fumbles_rec,0,,,,,
player,201511290htx,nor,SanfJa99,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,SanfJa99,fumbles_rec_td,0,,,,,
player,201511290htx,nor,SanfJa99,fumbles_forced,0,,,,,
player,201511290htx,nor,WillKe98,def_int,0,,,,,
player,201511290htx,nor,WillKe98,def_int_yds,0,,,,,
player,201511290htx,nor,WillKe98,def_int_td,0,,,,,
player,201511290htx,nor,WillKe98,def_int_long,0,,,,,
player,201511290htx,nor,WillKe98,pass_defended,0,,,,,
player,201511290htx,nor,WillKe98,sacks,0.0,,,,,
player,201511290htx,nor,WillKe98,tackles_combined,1,,,,,
player,201511290htx,nor,WillKe98,tackles_solo,1,,,,,
player,201511290htx,nor,WillKe98,tackles_assists,0,,,,,
player,201511290htx,nor,WillKe98,tackles_loss,0,,,,,
player,201511290htx,nor,WillKe98,qb_hits,2,,,,,
player,201511290htx,nor,WillKe98,fumbles_rec,0,,,,,
player,201511290htx,nor,WillKe98,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,WillKe98,fumbles_rec_td,0,,,,,
player,201511290htx,nor,WillKe98,fumbles_forced,0,,,,,
player,201511290htx,nor,WilsKy99,def_int,0,,,,,
player,201511290htx,nor,WilsKy99,def_int_yds,0,,,,,
player,201511290htx,nor,WilsKy99,def_int_td,0,,,,,
player,201511290htx,nor,WilsKy99,def_int_long,0,,,,,
player,201511290htx,nor,WilsKy99,pass_defended,0,,,,,
player,201511290htx,nor,WilsKy99,sacks,0.0,,,,,
player,201511290htx,nor,WilsKy99,tackles_combined,1,,,,,
player,201511290htx,nor,WilsKy99,tackles_solo,0,,,,,
player,201511290htx,nor,WilsKy99,tackles_assists,1,,,,,
player,201511290htx,nor,WilsKy99,tackles_loss,0,,,,,
player,201511290htx,nor,WilsKy99,qb_hits,0,,,,,
player,201511290htx,nor,WilsKy99,fumbles_rec,0,,,,,
player,201511290htx,nor,WilsKy99,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,WilsKy99,fumbles_rec_td,0,,,,,
player,201511290htx,nor,WilsKy99,fumbles_forced,0,,,,,
player,201511290htx,nor,BreeDr00,def_int,0,,,,,
player,201511290htx,nor,BreeDr00,def_int_yds,0,,,,,
player,201511290htx,nor,BreeDr00,def_int_td,0,,,,,
player,201511290htx,nor,BreeDr00,def_int_long,0,,,,,
player,201511290htx,nor,BreeDr00,pass_defended,0,,,,,
player,201511290htx,nor,BreeDr00,sacks,0.0,,,,,
player,201511290htx,nor,BreeDr00,tackles_combined,0,,,,,
player,201511290htx,nor,BreeDr00,tackles_solo,0,,,,,
player,201511290htx,nor,BreeDr00,tackles_assists,0,,,,,
player,201511290htx,nor,BreeDr00,tackles_loss,,,,,,
player,201511290htx,nor,BreeDr00,qb_hits,,,,,,
player,201511290htx,nor,BreeDr00,fumbles_rec,1,,,,,
player,201511290htx,nor,BreeDr00,fumbles_rec_yds,0,,,,,
player,201511290htx,nor,BreeDr00,fumbles_rec_td,0,,,,,
player,201511290htx,nor,BreeDr00,fumbles_forced,0,,,,,
player,201511290htx,htx,JackKa99,def_int,1,,,,,
player,201511290htx,htx,JackKa99,def_int_yds,50,,,,,
player,201511290htx,htx,JackKa99,def_int_td,0,,,,,
player,201511290htx,htx,JackKa99,def_int_long,50,,,,,
player,201511290htx,htx,JackKa99,pass_defended,1,,,,,
player,201511290htx,htx,JackKa99,sacks,0.0,,,,,
player,201511290htx,htx,JackKa99,tackles_combined,4,,,,,
player,201511290htx,htx,JackKa99,tackles_solo,2,,,,,
player,201511290htx,htx,JackKa99,tackles_assists,2,,,,,
player,201511290htx,htx,JackKa99,tackles_loss,1,,,,,
player,201511290htx,htx,JackKa99,qb_hits,0,,,,,
player,201511290htx,htx,JackKa99,fumbles_rec,0,,,,,
player,201511290htx,htx,JackKa99,fumbles_rec_yds,0,,,,,
player,201511290htx,htx,JackKa99,fumbles_rec_td,0,,,,,
player,201511290htx,htx,JackKa99,fumbles_forced,0,,,,,
player,201511290htx,htx,WattJ.00,def_int,0,,,,,
player,201511290htx,htx,WattJ.00,def_int_yds,0,,,,,
player,201511290htx,htx,WattJ.00,def_int_td,0,,,,,
player,201511290htx,htx,WattJ.00,def_int_long,0,,,,,
player,201511290htx,htx,WattJ.00,pass_defended,0,,,,,
player,201511290htx,htx,WattJ.00,sacks,2.0,,,,,
player,201511290htx,htx,WattJ.00,tackles_combined,5,,,,,
player,201511290htx,htx,WattJ.00,tackles_solo,3,,,,,
player,201511290htx,htx,WattJ.00,tackles_assists,2,,,,,
player,201511290htx,htx,WattJ.00,tackles_loss,2,,,,,
player,201511290htx,htx,WattJ.00,qb_hits,8,,,,,
player,201511290htx,htx,WattJ.00,fumbles_rec,0,,,,,
player,201511290htx,htx,WattJ.00,fumbles_rec_yds,0,,,,,
player,201511290htx,htx,WattJ.00,fumbles_rec_td,0,,,,,
player,201511290htx,htx,WattJ.00,fumbles_forced,0,,,,,
player,201511290htx,htx,JoseJo20,def_int,0,,,,,
player,201511290htx,htx,JoseJo20,def_int_yds,0,,,,,
player,201511290htx,htx,JoseJo20,def_int_td,0,,,,,
player,201511290htx,htx,JoseJo20,def_int_long,0,,,,,
player,201511290htx,htx,JoseJo20,pass_defended,1,,,,,
player,201511290htx,htx,JoseJo20,sacks,0.0,,,,,
player,201511290htx,htx,JoseJo20,tackles_combined,7,,,,,
player,201511290htx,htx,JoseJo20,tackles_solo,5,,,,,
player,201511290htx,htx,JoseJo20,tackles_assists,2,,,,,
player,201511290htx,htx,JoseJo20,tackles_loss,1,,,,,
player,201511290htx,htx,JoseJo20,qb_hits,0,,,,,
player,201511290htx,htx,JoseJo20,fumbles_rec,0,,,,,
player,201511290htx,htx,JoseJo20,fumbles_rec_yds,0,,,,,
player,201511290htx,htx,JoseJo20,fumbles_rec_td,0,,,,,
player,201511290htx,htx,JoseJo20,fumbles_forced,0,,,,,
player,201511290htx,htx,DempQu99,def_int,0,,,,,
player,201511290htx,htx,DempQu99,def_int_yds,0,,,,,
player,201511290htx,htx,DempQu99,def_int_td,0,,,,,
player,201511290htx,htx,DempQu99,def_int_long,0,,,,,
player,201511290htx,htx,DempQu99,pass_defended,1,,,,,
player,201511290htx,htx,DempQu99,sacks,0.0,,,,,
player,201511290htx,htx,DempQu99,tackles_combined,5,,,,,
player,201511290htx,htx,DempQu99,tackles_solo,3,,,,,
player,201511290htx,htx,DempQu99,tackles_assists,2,,,,,
player,201511290htx,htx,DempQu99,tackles_loss,0,,,,,
player,201511290htx,htx,DempQu99,qb_hits,0,,,,,
player,201511290htx,htx,DempQu99,fumbles_rec,0,,,,,
player,201511290htx,htx,DempQu99,fumbles_rec_yds,0,,,,,
player,201511290htx,htx,DempQu99,fumbles_rec_td,0,,,,,
player,201511290htx,htx,DempQu99,fumbles_forced,0,,,,,
player,201511290htx,htx,PleaEd00,def_int,0,,,,,
player,201511290htx,htx,PleaEd00,def_int_yds,0,,,,,
player,201511290htx,htx,PleaEd00,def_int_td,0,,,,,
player,201511290htx,htx,PleaEd00,def_int_long,0,,,,,
player,201511290htx,htx,PleaEd00,pass_defended,1,,,,,
player,201511290htx,htx,PleaEd00,sacks,0.0,,,,,
player,201511290htx,htx,PleaEd00,tackles_combined,5,,,,,
player,201511290htx,htx,PleaEd00,tackles_solo,2,,,,,
player,201511290htx,htx,PleaEd00,tackles_assists,3,,,,,
player,201511290htx,htx,PleaEd00,tackles_loss,0,,,,,
player,201511290htx,htx,PleaEd00,qb_hits,0,,,,,
player,201511290htx,htx,PleaEd00,fumbles_rec,0,,,,,
player,201511290htx,htx,PleaEd00,fumbles_rec_yds,0,,,,,
player,201511290htx,htx,PleaEd00,fumbles_rec_td,0,,,,,
player,201511290htx,htx,PleaEd00,fumbles_forced,0,,,,,
player,201511290htx,htx,JohnKe04,def_int,0,,,,,
player,201511290htx,htx,JohnKe04,def_int_yds,0,,,,,
player,201511290htx,htx,JohnKe04,def_int_td,0,,,,,
player,201511290htx,htx,JohnKe04,def_int_long,0,,,,,
player,201511290htx,htx,JohnKe04,pass_defended,0,,,,,
player,201511290htx,htx,JohnKe04,sacks,0.0,,,,,
player,201511290htx,htx,JohnKe04,tackles_combined,4,,,,,
player,201511290htx,htx,JohnKe04,tackles_solo,4,,,,,
player,201511290htx,htx,JohnKe04,tackles_assists,0,,,,,
player,201511290htx,htx,JohnKe04,tackles_loss,1,,,,,
player,201511290htx,htx,JohnKe04,qb_hits,0,,,,,
player,201511290htx,htx,JohnKe04,fumbles_rec,0,,,,,
player,201511290htx,htx,JohnKe04,fumbles_rec_yds,0,,,,,
player,201511290htx,htx,JohnKe04,fumbles_rec_td,0,,,,,
player,201511290htx,htx,JohnKe04,fumbles_forced,0,,,,,
player,201511290htx,htx,McKiBe00,def_int,0,,,,,
player,201511290htx,htx,McKiBe00,def_int_yds,0,,,,,
player,201511290htx,htx,McKiBe00,def_int_td,0,,,,,
player,201511290htx,htx,McKiBe00,def_int_long,0,,,,,
player,201511290htx,htx,McKiBe00,pass_defended,0,,,,,
player,201511290htx,htx,McKiBe00,sacks,0.0,,,,,
player,201511290htx,htx,McKiBe00,tackles_combined,4,,,,,
player,201511290htx,htx,McKiBe00,tackles_solo,2,,,,,
player,201511290htx,htx,McKiBe00,tackles_assists,2,,,,,
player,201511290htx,htx,McKiBe00,tackles_loss,1,,,,,
player,201511290htx,htx,McKiBe00,qb_hits,0,,,,,
player,201511290htx,htx,McKiBe00,fumbles_rec,0,,,,,
player,201511290htx,htx,McKiBe00,fumbles_rec_yds,0,,,,,
player,201511290htx,htx,McKiBe00,fumbles_rec_td,0,,,,,
player,201511290htx,htx,McKiBe00,fumbles_forced,0,,,,,
player,201511290htx,htx,CushBr99,def_int,0,,,,,
player,201511290htx,htx,CushBr99,def_int_yds,0,,,,,
player,201511290htx,htx,CushBr99,def_int_td,0,,,,,
player,201511290htx,htx,CushBr99,def_int_long,0,,,,,
player,201511290htx,htx,CushBr99,pass_defended,0,,,,,
player,201511290htx,htx,CushBr99,sacks,0.0,,,,,
player,201511290htx,htx,CushBr99,tackles_combined,3,,,,,
player,201511290htx,htx,CushBr99,tackles_solo,2,,,,,
player,201511290htx,htx,CushBr99,tackles_assists,1,,,,,
player,201511290htx,htx,CushBr99,tackles_loss,0,,,,,
player,201511290htx,htx,CushBr99,qb_hits,0,,,,,
player,201511290htx,htx,CushBr99,fumbles_rec,0,,,,,
player,201511290htx,htx,CushBr99,fumbles_rec_yds,0,,,,,
player,201511290htx,htx,CushBr99,fumbles_rec_td,0,,,,,
