game,2015,16,20151227,201512270crd,gnb,"Green Bay Packers",8,crd,"Arizona Cardinals",38
player,201512270crd,crd,ElliAn00,pass_long,0,,,,,
player,201512270crd,crd,ElliAn00,pass_rating,,,,,,
player,201512270crd,crd,ElliAn00,rush_att,7,,,,,
player,201512270crd,crd,ElliAn00,rush_yds,40,,,,,
player,201512270crd,crd,ElliAn00,rush_td,0,,,,,
player,201512270crd,crd,ElliAn00,rush_long,16,,,,,
player,201512270crd,crd,ElliAn00,targets,1,,,,,
player,201512270crd,crd,ElliAn00,rec,1,,,,,
player,201512270crd,crd,ElliAn00,rec_yds,5,,,,,
player,201512270crd,crd,ElliAn00,rec_td,0,,,,,
player,201512270crd,crd,ElliAn00,rec_long,5,,,,,
player,201512270crd,crd,ElliAn00,fumbles,0,,,,,
player,201512270crd,crd,ElliAn00,fumbles_lost,0,,,,,
player,201512270crd,crd,JohnDa08,pass_cmp,0,,,,,
player,201512270crd,crd,JohnDa08,pass_att,0,,,,,
player,201512270crd,crd,JohnDa08,pass_yds,0,,,,,
player,201512270crd,crd,JohnDa08,pass_td,0,,,,,
player,201512270crd,crd,JohnDa08,pass_int,0,,,,,
player,201512270crd,crd,JohnDa08,pass_sacked,0,,,,,
player,201512270crd,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201512270crd,crd,JohnDa08,pass_long,0,,,,,
player,201512270crd,crd,JohnDa08,pass_rating,,,,,,
player,201512270crd,crd,JohnDa08,rush_att,9,,,,,
player,201512270crd,crd,JohnDa08,rush_yds,39,,,,,
player,201512270crd,crd,JohnDa08,rush_td,1,,,,,
player,201512270crd,crd,JohnDa08,rush_long,14,,,,,
player,201512270crd,crd,JohnDa08,targets,6,,,,,
player,201512270crd,crd,JohnDa08,rec,3,,,,,
player,201512270crd,crd,JohnDa08,rec_yds,88,,,,,
player,201512270crd,crd,JohnDa08,rec_td,0,,,,,
player,201512270crd,crd,JohnDa08,rec_long,44,,,,,
player,201512270crd,crd,JohnDa08,fumbles,0,,,,,
player,201512270crd,crd,JohnDa08,fumbles_lost,0,,,,,
player,201512270crd,crd,FloyMi00,pass_cmp,0,,,,,
player,201512270crd,crd,FloyMi00,pass_att,0,,,,,
player,201512270crd,crd,FloyMi00,pass_yds,0,,,,,
player,201512270crd,crd,FloyMi00,pass_td,0,,,,,
player,201512270crd,crd,FloyMi00,pass_int,0,,,,,
player,201512270crd,crd,FloyMi00,pass_sacked,0,,,,,
player,201512270crd,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201512270crd,crd,FloyMi00,pass_long,0,,,,,
player,201512270crd,crd,FloyMi00,pass_rating,,,,,,
player,201512270crd,crd,FloyMi00,rush_att,0,,,,,
player,201512270crd,crd,FloyMi00,rush_yds,0,,,,,
player,201512270crd,crd,FloyMi00,rush_td,0,,,,,
player,201512270crd,crd,FloyMi00,rush_long,0,,,,,
player,201512270crd,crd,FloyMi00,targets,8,,,,,
player,201512270crd,crd,FloyMi00,rec,6,,,,,
player,201512270crd,crd,FloyMi00,rec_yds,111,,,,,
player,201512270crd,crd,FloyMi00,rec_td,0,,,,,
player,201512270crd,crd,FloyMi00,rec_long,47,,,,,
player,201512270crd,crd,FloyMi00,fumbles,0,,,,,
player,201512270crd,crd,FloyMi00,fumbles_lost,0,,,,,
player,201512270crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201512270crd,crd,FitzLa00,pass_att,0,,,,,
player,201512270crd,crd,FitzLa00,pass_yds,0,,,,,
player,201512270crd,crd,FitzLa00,pass_td,0,,,,,
player,201512270crd,crd,FitzLa00,pass_int,0,,,,,
player,201512270crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201512270crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201512270crd,crd,FitzLa00,pass_long,0,,,,,
player,201512270crd,crd,FitzLa00,pass_rating,,,,,,
player,201512270crd,crd,FitzLa00,rush_att,0,,,,,
player,201512270crd,crd,FitzLa00,rush_yds,0,,,,,
player,201512270crd,crd,FitzLa00,rush_td,0,,,,,
player,201512270crd,crd,FitzLa00,rush_long,0,,,,,
player,201512270crd,crd,FitzLa00,targets,5,,,,,
player,201512270crd,crd,FitzLa00,rec,4,,,,,
player,201512270crd,crd,FitzLa00,rec_yds,29,,,,,
player,201512270crd,crd,FitzLa00,rec_td,1,,,,,
player,201512270crd,crd,FitzLa00,rec_long,12,,,,,
player,201512270crd,crd,FitzLa00,fumbles,0,,,,,
player,201512270crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201512270crd,crd,BrowJo02,pass_cmp,0,,,,,
player,201512270crd,crd,BrowJo02,pass_att,0,,,,,
player,201512270crd,crd,BrowJo02,pass_yds,0,,,,,
player,201512270crd,crd,BrowJo02,pass_td,0,,,,,
player,201512270crd,crd,BrowJo02,pass_int,0,,,,,
player,201512270crd,crd,BrowJo02,pass_sacked,0,,,,,
player,201512270crd,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201512270crd,crd,BrowJo02,pass_long,0,,,,,
player,201512270crd,crd,BrowJo02,pass_rating,,,,,,
player,201512270crd,crd,BrowJo02,rush_att,0,,,,,
player,201512270crd,crd,BrowJo02,rush_yds,0,,,,,
player,201512270crd,crd,BrowJo02,rush_td,0,,,,,
player,201512270crd,crd,BrowJo02,rush_long,0,,,,,
player,201512270crd,crd,BrowJo02,targets,4,,,,,
player,201512270crd,crd,BrowJo02,rec,3,,,,,
player,201512270crd,crd,BrowJo02,rec_yds,25,,,,,
player,201512270crd,crd,BrowJo02,rec_td,1,,,,,
player,201512270crd,crd,BrowJo02,rec_long,14,,,,,
player,201512270crd,crd,BrowJo02,fumbles,0,,,,,
