game,2015,7,20151025,201510250mia,htx,"Houston Texans",26,mia,"Miami Dolphins",44
player,201510250mia,htx,novaknic01,def_int_yds,0,,,,,
player,201510250mia,htx,novaknic01,def_int_td,0,,,,,
player,201510250mia,htx,novaknic01,def_int_long,0,,,,,
player,201510250mia,htx,novaknic01,pass_defended,0,,,,,
player,201510250mia,htx,novaknic01,sacks,0.0,,,,,
player,201510250mia,htx,novaknic01,tackles_combined,1,,,,,
player,201510250mia,htx,novaknic01,tackles_solo,1,,,,,
player,201510250mia,htx,novaknic01,tackles_assists,0,,,,,
player,201510250mia,htx,novaknic01,tackles_loss,0,,,,,
player,201510250mia,htx,novaknic01,qb_hits,0,,,,,
player,201510250mia,htx,novaknic01,fumbles_rec,0,,,,,
player,201510250mia,htx,novaknic01,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,novaknic01,fumbles_rec_td,0,,,,,
player,201510250mia,htx,novaknic01,fumbles_forced,0,,,,,
player,201510250mia,htx,PeteBr00,def_int,0,,,,,
player,201510250mia,htx,PeteBr00,def_int_yds,0,,,,,
player,201510250mia,htx,PeteBr00,def_int_td,0,,,,,
player,201510250mia,htx,PeteBr00,def_int_long,0,,,,,
player,201510250mia,htx,PeteBr00,pass_defended,0,,,,,
player,201510250mia,htx,PeteBr00,sacks,0.0,,,,,
player,201510250mia,htx,PeteBr00,tackles_combined,1,,,,,
player,201510250mia,htx,PeteBr00,tackles_solo,0,,,,,
player,201510250mia,htx,PeteBr00,tackles_assists,1,,,,,
player,201510250mia,htx,PeteBr00,tackles_loss,0,,,,,
player,201510250mia,htx,PeteBr00,qb_hits,0,,,,,
player,201510250mia,htx,PeteBr00,fumbles_rec,0,,,,,
player,201510250mia,htx,PeteBr00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,PeteBr00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,PeteBr00,fumbles_forced,0,,,,,
player,201510250mia,htx,ProsJa00,def_int,0,,,,,
player,201510250mia,htx,ProsJa00,def_int_yds,0,,,,,
player,201510250mia,htx,ProsJa00,def_int_td,0,,,,,
player,201510250mia,htx,ProsJa00,def_int_long,0,,,,,
player,201510250mia,htx,ProsJa00,pass_defended,0,,,,,
player,201510250mia,htx,ProsJa00,sacks,0.0,,,,,
player,201510250mia,htx,ProsJa00,tackles_combined,1,,,,,
player,201510250mia,htx,ProsJa00,tackles_solo,1,,,,,
player,201510250mia,htx,ProsJa00,tackles_assists,0,,,,,
player,201510250mia,htx,ProsJa00,tackles_loss,0,,,,,
player,201510250mia,htx,ProsJa00,qb_hits,0,,,,,
player,201510250mia,htx,ProsJa00,fumbles_rec,0,,,,,
player,201510250mia,htx,ProsJa00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,ProsJa00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,ProsJa00,fumbles_forced,0,,,,,
player,201510250mia,htx,WeekJo00,def_int,0,,,,,
player,201510250mia,htx,WeekJo00,def_int_yds,0,,,,,
player,201510250mia,htx,WeekJo00,def_int_td,0,,,,,
player,201510250mia,htx,WeekJo00,def_int_long,0,,,,,
player,201510250mia,htx,WeekJo00,pass_defended,0,,,,,
player,201510250mia,htx,WeekJo00,sacks,0.0,,,,,
player,201510250mia,htx,WeekJo00,tackles_combined,1,,,,,
player,201510250mia,htx,WeekJo00,tackles_solo,1,,,,,
player,201510250mia,htx,WeekJo00,tackles_assists,0,,,,,
player,201510250mia,htx,WeekJo00,tackles_loss,0,,,,,
player,201510250mia,htx,WeekJo00,qb_hits,0,,,,,
player,201510250mia,htx,WeekJo00,fumbles_rec,0,,,,,
player,201510250mia,htx,WeekJo00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,WeekJo00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,WeekJo00,fumbles_forced,0,,,,,
player,201510250mia,htx,HoyeBr00,def_int,0,,,,,
player,201510250mia,htx,HoyeBr00,def_int_yds,0,,,,,
player,201510250mia,htx,HoyeBr00,def_int_td,0,,,,,
player,201510250mia,htx,HoyeBr00,def_int_long,0,,,,,
player,201510250mia,htx,HoyeBr00,pass_defended,0,,,,,
player,201510250mia,htx,HoyeBr00,sacks,0.0,,,,,
player,201510250mia,htx,HoyeBr00,tackles_combined,0,,,,,
player,201510250mia,htx,HoyeBr00,tackles_solo,0,,,,,
player,201510250mia,htx,HoyeBr00,tackles_assists,0,,,,,
player,201510250mia,htx,HoyeBr00,tackles_loss,0,,,,,
player,201510250mia,htx,HoyeBr00,qb_hits,0,,,,,
player,201510250mia,htx,HoyeBr00,fumbles_rec,1,,,,,
player,201510250mia,htx,HoyeBr00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,HoyeBr00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,HoyeBr00,fumbles_forced,0,,,,,
player,201510250mia,mia,JoneRe99,def_int,1,,,,,
player,201510250mia,mia,JoneRe99,def_int_yds,23,,,,,
player,201510250mia,mia,JoneRe99,def_int_td,1,,,,,
player,201510250mia,mia,JoneRe99,def_int_long,23,,,,,
player,201510250mia,mia,JoneRe99,pass_defended,2,,,,,
player,201510250mia,mia,JoneRe99,sacks,0.0,,,,,
player,201510250mia,mia,JoneRe99,tackles_combined,8,,,,,
player,201510250mia,mia,JoneRe99,tackles_solo,8,,,,,
player,201510250mia,mia,JoneRe99,tackles_assists,0,,,,,
player,201510250mia,mia,JoneRe99,tackles_loss,1,,,,,
player,201510250mia,mia,JoneRe99,qb_hits,0,,,,,
player,201510250mia,mia,JoneRe99,fumbles_rec,0,,,,,
player,201510250mia,mia,JoneRe99,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,JoneRe99,fumbles_rec_td,0,,,,,
player,201510250mia,mia,JoneRe99,fumbles_forced,0,,,,,
player,201510250mia,mia,SuhxNd99,def_int,0,,,,,
player,201510250mia,mia,SuhxNd99,def_int_yds,0,,,,,
player,201510250mia,mia,SuhxNd99,def_int_td,0,,,,,
player,201510250mia,mia,SuhxNd99,def_int_long,0,,,,,
player,201510250mia,mia,SuhxNd99,pass_defended,2,,,,,
player,201510250mia,mia,SuhxNd99,sacks,2.0,,,,,
player,201510250mia,mia,SuhxNd99,tackles_combined,6,,,,,
player,201510250mia,mia,SuhxNd99,tackles_solo,5,,,,,
player,201510250mia,mia,SuhxNd99,tackles_assists,1,,,,,
player,201510250mia,mia,SuhxNd99,tackles_loss,3,,,,,
player,201510250mia,mia,SuhxNd99,qb_hits,3,,,,,
player,201510250mia,mia,SuhxNd99,fumbles_rec,0,,,,,
player,201510250mia,mia,SuhxNd99,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,SuhxNd99,fumbles_rec_td,0,,,,,
player,201510250mia,mia,SuhxNd99,fumbles_forced,0,,,,,
player,201510250mia,mia,WakeCa00,def_int,0,,,,,
player,201510250mia,mia,WakeCa00,def_int_yds,0,,,,,
player,201510250mia,mia,WakeCa00,def_int_td,0,,,,,
player,201510250mia,mia,WakeCa00,def_int_long,0,,,,,
player,201510250mia,mia,WakeCa00,pass_defended,1,,,,,
player,201510250mia,mia,WakeCa00,sacks,2.0,,,,,
player,201510250mia,mia,WakeCa00,tackles_combined,2,,,,,
player,201510250mia,mia,WakeCa00,tackles_solo,2,,,,,
player,201510250mia,mia,WakeCa00,tackles_assists,0,,,,,
player,201510250mia,mia,WakeCa00,tackles_loss,0,,,,,
player,201510250mia,mia,WakeCa00,qb_hits,1,,,,,
player,201510250mia,mia,WakeCa00,fumbles_rec,0,,,,,
player,201510250mia,mia,WakeCa00,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,WakeCa00,fumbles_rec_td,0,,,,,
player,201510250mia,mia,WakeCa00,fumbles_forced,2,,,,,
player,201510250mia,mia,TaylJa01,def_int,0,,,,,
player,201510250mia,mia,TaylJa01,def_int_yds,0,,,,,
player,201510250mia,mia,TaylJa01,def_int_td,0,,,,,
player,201510250mia,mia,TaylJa01,def_int_long,0,,,,,
player,201510250mia,mia,TaylJa01,pass_defended,1,,,,,
player,201510250mia,mia,TaylJa01,sacks,0.0,,,,,
player,201510250mia,mia,TaylJa01,tackles_combined,7,,,,,
player,201510250mia,mia,TaylJa01,tackles_solo,6,,,,,
player,201510250mia,mia,TaylJa01,tackles_assists,1,,,,,
player,201510250mia,mia,TaylJa01,tackles_loss,0,,,,,
player,201510250mia,mia,TaylJa01,qb_hits,0,,,,,
player,201510250mia,mia,TaylJa01,fumbles_rec,0,,,,,
player,201510250mia,mia,TaylJa01,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,TaylJa01,fumbles_rec_td,0,,,,,
player,201510250mia,mia,TaylJa01,fumbles_forced,0,,,,,
player,201510250mia,mia,ThomMi02,def_int,0,,,,,
player,201510250mia,mia,ThomMi02,def_int_yds,0,,,,,
player,201510250mia,mia,ThomMi02,def_int_td,0,,,,,
player,201510250mia,mia,ThomMi02,def_int_long,0,,,,,
player,201510250mia,mia,ThomMi02,pass_defended,0,,,,,
player,201510250mia,mia,ThomMi02,sacks,0.0,,,,,
player,201510250mia,mia,ThomMi02,tackles_combined,5,,,,,
player,201510250mia,mia,ThomMi02,tackles_solo,4,,,,,
player,201510250mia,mia,ThomMi02,tackles_assists,1,,,,,
player,201510250mia,mia,ThomMi02,tackles_loss,0,,,,,
player,201510250mia,mia,ThomMi02,qb_hits,0,,,,,
player,201510250mia,mia,ThomMi02,fumbles_rec,0,,,,,
player,201510250mia,mia,ThomMi02,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,ThomMi02,fumbles_rec_td,0,,,,,
player,201510250mia,mia,ThomMi02,fumbles_forced,0,,,,,
player,201510250mia,mia,GrimBr20,def_int,0,,,,,
player,201510250mia,mia,GrimBr20,def_int_yds,0,,,,,
player,201510250mia,mia,GrimBr20,def_int_td,0,,,,,
player,201510250mia,mia,GrimBr20,def_int_long,0,,,,,
player,201510250mia,mia,GrimBr20,pass_defended,2,,,,,
player,201510250mia,mia,GrimBr20,sacks,0.0,,,,,
player,201510250mia,mia,GrimBr20,tackles_combined,3,,,,,
player,201510250mia,mia,GrimBr20,tackles_solo,2,,,,,
player,201510250mia,mia,GrimBr20,tackles_assists,1,,,,,
player,201510250mia,mia,GrimBr20,tackles_loss,0,,,,,
player,201510250mia,mia,GrimBr20,qb_hits,0,,,,,
player,201510250mia,mia,GrimBr20,fumbles_rec,0,,,,,
player,201510250mia,mia,GrimBr20,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,GrimBr20,fumbles_rec_td,0,,,,,
player,201510250mia,mia,GrimBr20,fumbles_forced,0,,,,,
player,201510250mia,mia,HewiNe00,def_int,0,,,,,
player,201510250mia,mia,HewiNe00,def_int_yds,0,,,,,
player,201510250mia,mia,HewiNe00,def_int_td,0,,,,,
player,201510250mia,mia,HewiNe00,def_int_long,0,,,,,
player,201510250mia,mia,HewiNe00,pass_defended,0,,,,,
player,201510250mia,mia,HewiNe00,sacks,0.0,,,,,
player,201510250mia,mia,HewiNe00,tackles_combined,3,,,,,
player,201510250mia,mia,HewiNe00,tackles_solo,2,,,,,
player,201510250mia,mia,HewiNe00,tackles_assists,1,,,,,
player,201510250mia,mia,HewiNe00,tackles_loss,1,,,,,
player,201510250mia,mia,HewiNe00,qb_hits,0,,,,,
player,201510250mia,mia,HewiNe00,fumbles_rec,0,,,,,
player,201510250mia,mia,HewiNe00,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,HewiNe00,fumbles_rec_td,0,,,,,
player,201510250mia,mia,HewiNe00,fumbles_forced,0,,,,,
player,201510250mia,mia,JenkJe00,def_int,0,,,,,
player,201510250mia,mia,JenkJe00,def_int_yds,0,,,,,
