game,2015,8,20151102,201511020car,clt,"Indianapolis Colts",26,car,"Carolina Panthers",29
player,201511020car,clt,LoweDw99,tackles_loss,0,,,,,
player,201511020car,clt,LoweDw99,qb_hits,0,,,,,
player,201511020car,clt,LoweDw99,fumbles_rec,0,,,,,
player,201511020car,clt,LoweDw99,fumbles_rec_yds,0,,,,,
player,201511020car,clt,LoweDw99,fumbles_rec_td,0,,,,,
player,201511020car,clt,LoweDw99,fumbles_forced,0,,,,,
player,201511020car,clt,AndeHe00,def_int,0,,,,,
player,201511020car,clt,AndeHe00,def_int_yds,0,,,,,
player,201511020car,clt,AndeHe00,def_int_td,0,,,,,
player,201511020car,clt,AndeHe00,def_int_long,0,,,,,
player,201511020car,clt,AndeHe00,pass_defended,0,,,,,
player,201511020car,clt,AndeHe00,sacks,0.0,,,,,
player,201511020car,clt,AndeHe00,tackles_combined,3,,,,,
player,201511020car,clt,AndeHe00,tackles_solo,1,,,,,
player,201511020car,clt,AndeHe00,tackles_assists,2,,,,,
player,201511020car,clt,AndeHe00,tackles_loss,0,,,,,
player,201511020car,clt,AndeHe00,qb_hits,0,,,,,
player,201511020car,clt,AndeHe00,fumbles_rec,0,,,,,
player,201511020car,clt,AndeHe00,fumbles_rec_yds,0,,,,,
player,201511020car,clt,AndeHe00,fumbles_rec_td,0,,,,,
player,201511020car,clt,AndeHe00,fumbles_forced,0,,,,,
player,201511020car,clt,ParrDa00,def_int,0,,,,,
player,201511020car,clt,ParrDa00,def_int_yds,0,,,,,
player,201511020car,clt,ParrDa00,def_int_td,0,,,,,
player,201511020car,clt,ParrDa00,def_int_long,0,,,,,
player,201511020car,clt,ParrDa00,pass_defended,0,,,,,
player,201511020car,clt,ParrDa00,sacks,0.0,,,,,
player,201511020car,clt,ParrDa00,tackles_combined,3,,,,,
player,201511020car,clt,ParrDa00,tackles_solo,1,,,,,
player,201511020car,clt,ParrDa00,tackles_assists,2,,,,,
player,201511020car,clt,ParrDa00,tackles_loss,0,,,,,
player,201511020car,clt,ParrDa00,qb_hits,1,,,,,
player,201511020car,clt,ParrDa00,fumbles_rec,0,,,,,
player,201511020car,clt,ParrDa00,fumbles_rec_yds,0,,,,,
player,201511020car,clt,ParrDa00,fumbles_rec_td,0,,,,,
player,201511020car,clt,ParrDa00,fumbles_forced,0,,,,,
player,201511020car,clt,ColeTr20,def_int,0,,,,,
player,201511020car,clt,ColeTr20,def_int_yds,0,,,,,
player,201511020car,clt,ColeTr20,def_int_td,0,,,,,
player,201511020car,clt,ColeTr20,def_int_long,0,,,,,
player,201511020car,clt,ColeTr20,pass_defended,1,,,,,
player,201511020car,clt,ColeTr20,sacks,0.0,,,,,
player,201511020car,clt,ColeTr20,tackles_combined,2,,,,,
player,201511020car,clt,ColeTr20,tackles_solo,1,,,,,
player,201511020car,clt,ColeTr20,tackles_assists,1,,,,,
player,201511020car,clt,ColeTr20,tackles_loss,0,,,,,
player,201511020car,clt,ColeTr20,qb_hits,0,,,,,
player,201511020car,clt,ColeTr20,fumbles_rec,0,,,,,
player,201511020car,clt,ColeTr20,fumbles_rec_yds,0,,,,,
player,201511020car,clt,ColeTr20,fumbles_rec_td,0,,,,,
player,201511020car,clt,ColeTr20,fumbles_forced,1,,,,,
player,201511020car,clt,WaldEr99,def_int,0,,,,,
player,201511020car,clt,WaldEr99,def_int_yds,0,,,,,
player,201511020car,clt,WaldEr99,def_int_td,0,,,,,
player,201511020car,clt,WaldEr99,def_int_long,0,,,,,
player,201511020car,clt,WaldEr99,pass_defended,0,,,,,
player,201511020car,clt,WaldEr99,sacks,0.0,,,,,
player,201511020car,clt,WaldEr99,tackles_combined,2,,,,,
player,201511020car,clt,WaldEr99,tackles_solo,1,,,,,
player,201511020car,clt,WaldEr99,tackles_assists,1,,,,,
player,201511020car,clt,WaldEr99,tackles_loss,0,,,,,
player,201511020car,clt,WaldEr99,qb_hits,0,,,,,
