game,2015,13,20151206,201512060nwe,phi,"Philadelphia Eagles",35,nwe,"New England Patriots",28
player,201512060nwe,nwe,AmenDa00,pass_yds,36,,,,,
player,201512060nwe,nwe,AmenDa00,pass_td,0,,,,,
player,201512060nwe,nwe,AmenDa00,pass_int,0,,,,,
player,201512060nwe,nwe,AmenDa00,pass_sacked,0,,,,,
player,201512060nwe,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201512060nwe,nwe,AmenDa00,pass_long,36,,,,,
player,201512060nwe,nwe,AmenDa00,pass_rating,118.7,,,,,
player,201512060nwe,nwe,AmenDa00,rush_att,0,,,,,
player,201512060nwe,nwe,AmenDa00,rush_yds,0,,,,,
player,201512060nwe,nwe,AmenDa00,rush_td,0,,,,,
player,201512060nwe,nwe,AmenDa00,rush_long,0,,,,,
player,201512060nwe,nwe,AmenDa00,targets,13,,,,,
player,201512060nwe,nwe,AmenDa00,rec,7,,,,,
player,201512060nwe,nwe,AmenDa00,rec_yds,62,,,,,
player,201512060nwe,nwe,AmenDa00,rec_td,1,,,,,
player,201512060nwe,nwe,AmenDa00,rec_long,14,,,,,
player,201512060nwe,nwe,AmenDa00,fumbles,0,,,,,
player,201512060nwe,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_cmp,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_att,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_yds,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_td,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_int,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_sacked,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_long,0,,,,,
player,201512060nwe,nwe,BlouLe00,pass_rating,,,,,,
player,201512060nwe,nwe,BlouLe00,rush_att,13,,,,,
player,201512060nwe,nwe,BlouLe00,rush_yds,54,,,,,
player,201512060nwe,nwe,BlouLe00,rush_td,0,,,,,
player,201512060nwe,nwe,BlouLe00,rush_long,10,,,,,
player,201512060nwe,nwe,BlouLe00,targets,0,,,,,
player,201512060nwe,nwe,BlouLe00,rec,0,,,,,
player,201512060nwe,nwe,BlouLe00,rec_yds,0,,,,,
player,201512060nwe,nwe,BlouLe00,rec_td,0,,,,,
player,201512060nwe,nwe,BlouLe00,rec_long,0,,,,,
player,201512060nwe,nwe,BlouLe00,fumbles,0,,,,,
player,201512060nwe,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_cmp,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_att,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_yds,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_td,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_int,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_sacked,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_sacked_yds,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_long,0,,,,,
player,201512060nwe,nwe,BoldBr00,pass_rating,,,,,,
player,201512060nwe,nwe,BoldBr00,rush_att,3,,,,,
player,201512060nwe,nwe,BoldBr00,rush_yds,22,,,,,
player,201512060nwe,nwe,BoldBr00,rush_td,0,,,,,
player,201512060nwe,nwe,BoldBr00,rush_long,14,,,,,
player,201512060nwe,nwe,BoldBr00,targets,5,,,,,
player,201512060nwe,nwe,BoldBr00,rec,1,,,,,
player,201512060nwe,nwe,BoldBr00,rec_yds,2,,,,,
player,201512060nwe,nwe,BoldBr00,rec_td,0,,,,,
player,201512060nwe,nwe,BoldBr00,rec_long,2,,,,,
player,201512060nwe,nwe,BoldBr00,fumbles,0,,,,,
player,201512060nwe,nwe,BoldBr00,fumbles_lost,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_cmp,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_att,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_yds,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_td,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_int,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_sacked,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_sacked_yds,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_long,0,,,,,
player,201512060nwe,nwe,JohnDa04,pass_rating,,,,,,
player,201512060nwe,nwe,JohnDa04,rush_att,1,,,,,
player,201512060nwe,nwe,JohnDa04,rush_yds,6,,,,,
player,201512060nwe,nwe,JohnDa04,rush_td,0,,,,,
player,201512060nwe,nwe,JohnDa04,rush_long,6,,,,,
player,201512060nwe,nwe,JohnDa04,targets,0,,,,,
player,201512060nwe,nwe,JohnDa04,rec,0,,,,,
player,201512060nwe,nwe,JohnDa04,rec_yds,0,,,,,
player,201512060nwe,nwe,JohnDa04,rec_td,0,,,,,
player,201512060nwe,nwe,JohnDa04,rec_long,0,,,,,
player,201512060nwe,nwe,JohnDa04,fumbles,0,,,,,
