game,2015,17,20160103,201601030clt,oti,"Tennessee Titans",24,clt,"Indianapolis Colts",30
player,201601030clt,oti,DougHa00,rec,2,,,,,
player,201601030clt,oti,DougHa00,rec_yds,19,,,,,
player,201601030clt,oti,DougHa00,rec_td,0,,,,,
player,201601030clt,oti,DougHa00,rec_long,16,,,,,
player,201601030clt,oti,DougHa00,fumbles,1,,,,,
player,201601030clt,oti,DougHa00,fumbles_lost,0,,,,,
player,201601030clt,oti,AndrAn00,pass_cmp,0,,,,,
player,201601030clt,oti,AndrAn00,pass_att,0,,,,,
player,201601030clt,oti,AndrAn00,pass_yds,0,,,,,
player,201601030clt,oti,AndrAn00,pass_td,0,,,,,
player,201601030clt,oti,AndrAn00,pass_int,0,,,,,
player,201601030clt,oti,AndrAn00,pass_sacked,0,,,,,
player,201601030clt,oti,AndrAn00,pass_sacked_yds,0,,,,,
player,201601030clt,oti,AndrAn00,pass_long,0,,,,,
player,201601030clt,oti,AndrAn00,pass_rating,,,,,,
player,201601030clt,oti,AndrAn00,rush_att,0,,,,,
player,201601030clt,oti,AndrAn00,rush_yds,0,,,,,
player,201601030clt,oti,AndrAn00,rush_td,0,,,,,
player,201601030clt,oti,AndrAn00,rush_long,0,,,,,
player,201601030clt,oti,AndrAn00,targets,2,,,,,
player,201601030clt,oti,AndrAn00,rec,2,,,,,
player,201601030clt,oti,AndrAn00,rec_yds,3,,,,,
player,201601030clt,oti,AndrAn00,rec_td,0,,,,,
player,201601030clt,oti,AndrAn00,rec_long,6,,,,,
player,201601030clt,oti,AndrAn00,fumbles,0,,,,,
player,201601030clt,oti,AndrAn00,fumbles_lost,0,,,,,
player,201601030clt,oti,FowlJa00,pass_cmp,0,,,,,
player,201601030clt,oti,FowlJa00,pass_att,0,,,,,
player,201601030clt,oti,FowlJa00,pass_yds,0,,,,,
player,201601030clt,oti,FowlJa00,pass_td,0,,,,,
player,201601030clt,oti,FowlJa00,pass_int,0,,,,,
player,201601030clt,oti,FowlJa00,pass_sacked,0,,,,,
player,201601030clt,oti,FowlJa00,pass_sacked_yds,0,,,,,
player,201601030clt,oti,FowlJa00,pass_long,0,,,,,
player,201601030clt,oti,FowlJa00,pass_rating,,,,,,
player,201601030clt,oti,FowlJa00,rush_att,0,,,,,
player,201601030clt,oti,FowlJa00,rush_yds,0,,,,,
player,201601030clt,oti,FowlJa00,rush_td,0,,,,,
player,201601030clt,oti,FowlJa00,rush_long,0,,,,,
player,201601030clt,oti,FowlJa00,targets,1,,,,,
player,201601030clt,oti,FowlJa00,rec,0,,,,,
player,201601030clt,oti,FowlJa00,rec_yds,0,,,,,
player,201601030clt,oti,FowlJa00,rec_td,0,,,,,
player,201601030clt,oti,FowlJa00,rec_long,0,,,,,
player,201601030clt,oti,FowlJa00,fumbles,0,,,,,
player,201601030clt,oti,FowlJa00,fumbles_lost,0,,,,,
player,201601030clt,clt,FreeJo00,pass_cmp,15,,,,,
player,201601030clt,clt,FreeJo00,pass_att,28,,,,,
player,201601030clt,clt,FreeJo00,pass_yds,149,,,,,
player,201601030clt,clt,FreeJo00,pass_td,1,,,,,
player,201601030clt,clt,FreeJo00,pass_int,1,,,,,
player,201601030clt,clt,FreeJo00,pass_sacked,1,,,,,
player,201601030clt,clt,FreeJo00,pass_sacked_yds,7,,,,,
player,201601030clt,clt,FreeJo00,pass_long,57,,,,,
player,201601030clt,clt,FreeJo00,pass_rating,65.9,,,,,
player,201601030clt,clt,FreeJo00,rush_att,8,,,,,
player,201601030clt,clt,FreeJo00,rush_yds,24,,,,,
