game,2015,12,20151126,201511260det,phi,"Philadelphia Eagles",14,det,"Detroit Lions",45
player,201511260det,det,StafMa00,pass_sacked,2,,,,,
player,201511260det,det,StafMa00,pass_sacked_yds,15,,,,,
player,201511260det,det,StafMa00,pass_long,39,,,,,
player,201511260det,det,StafMa00,pass_rating,137.8,,,,,
player,201511260det,det,StafMa00,rush_att,2,,,,,
player,201511260det,det,StafMa00,rush_yds,13,,,,,
player,201511260det,det,StafMa00,rush_td,0,,,,,
player,201511260det,det,StafMa00,rush_long,8,,,,,
player,201511260det,det,StafMa00,targets,0,,,,,
player,201511260det,det,StafMa00,rec,0,,,,,
player,201511260det,det,StafMa00,rec_yds,0,,,,,
player,201511260det,det,StafMa00,rec_td,0,,,,,
player,201511260det,det,StafMa00,rec_long,0,,,,,
player,201511260det,det,StafMa00,fumbles,0,,,,,
player,201511260det,det,StafMa00,fumbles_lost,0,,,,,
player,201511260det,det,AbduAm00,pass_cmp,0,,,,,
player,201511260det,det,AbduAm00,pass_att,0,,,,,
player,201511260det,det,AbduAm00,pass_yds,0,,,,,
player,201511260det,det,AbduAm00,pass_td,0,,,,,
player,201511260det,det,AbduAm00,pass_int,0,,,,,
player,201511260det,det,AbduAm00,pass_sacked,0,,,,,
player,201511260det,det,AbduAm00,pass_sacked_yds,0,,,,,
player,201511260det,det,AbduAm00,pass_long,0,,,,,
player,201511260det,det,AbduAm00,pass_rating,,,,,,
player,201511260det,det,AbduAm00,rush_att,16,,,,,
player,201511260det,det,AbduAm00,rush_yds,63,,,,,
player,201511260det,det,AbduAm00,rush_td,0,,,,,
player,201511260det,det,AbduAm00,rush_long,23,,,,,
player,201511260det,det,AbduAm00,targets,2,,,,,
player,201511260det,det,AbduAm00,rec,1,,,,,
player,201511260det,det,AbduAm00,rec_yds,12,,,,,
player,201511260det,det,AbduAm00,rec_td,0,,,,,
player,201511260det,det,AbduAm00,rec_long,12,,,,,
player,201511260det,det,AbduAm00,fumbles,0,,,,,
player,201511260det,det,AbduAm00,fumbles_lost,0,,,,,
player,201511260det,det,BellJo01,pass_cmp,0,,,,,
player,201511260det,det,BellJo01,pass_att,0,,,,,
player,201511260det,det,BellJo01,pass_yds,0,,,,,
player,201511260det,det,BellJo01,pass_td,0,,,,,
player,201511260det,det,BellJo01,pass_int,0,,,,,
player,201511260det,det,BellJo01,pass_sacked,0,,,,,
player,201511260det,det,BellJo01,pass_sacked_yds,0,,,,,
player,201511260det,det,BellJo01,pass_long,0,,,,,
player,201511260det,det,BellJo01,pass_rating,,,,,,
player,201511260det,det,BellJo01,rush_att,7,,,,,
player,201511260det,det,BellJo01,rush_yds,25,,,,,
player,201511260det,det,BellJo01,rush_td,1,,,,,
player,201511260det,det,BellJo01,rush_long,9,,,,,
player,201511260det,det,BellJo01,targets,3,,,,,
player,201511260det,det,BellJo01,rec,2,,,,,
player,201511260det,det,BellJo01,rec_yds,57,,,,,
player,201511260det,det,BellJo01,rec_td,0,,,,,
player,201511260det,det,BellJo01,rec_long,39,,,,,
player,201511260det,det,BellJo01,fumbles,0,,,,,
player,201511260det,det,BellJo01,fumbles_lost,0,,,,,
player,201511260det,det,RiddTh00,pass_cmp,0,,,,,
player,201511260det,det,RiddTh00,pass_att,0,,,,,
player,201511260det,det,RiddTh00,pass_yds,0,,,,,
player,201511260det,det,RiddTh00,pass_td,0,,,,,
player,201511260det,det,RiddTh00,pass_int,0,,,,,
player,201511260det,det,RiddTh00,pass_sacked,0,,,,,
player,201511260det,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201511260det,det,RiddTh00,pass_long,0,,,,,
player,201511260det,det,RiddTh00,pass_rating,,,,,,
player,201511260det,det,RiddTh00,rush_att,2,,,,,
player,201511260det,det,RiddTh00,rush_yds,6,,,,,
player,201511260det,det,RiddTh00,rush_td,0,,,,,
player,201511260det,det,RiddTh00,rush_long,3,,,,,
player,201511260det,det,RiddTh00,targets,5,,,,,
player,201511260det,det,RiddTh00,rec,5,,,,,
player,201511260det,det,RiddTh00,rec_yds,62,,,,,
player,201511260det,det,RiddTh00,rec_td,1,,,,,
player,201511260det,det,RiddTh00,rec_long,23,,,,,
player,201511260det,det,RiddTh00,fumbles,0,,,,,
player,201511260det,det,RiddTh00,fumbles_lost,0,,,,,
player,201511260det,det,WinnGe00,pass_cmp,0,,,,,
player,201511260det,det,WinnGe00,pass_att,0,,,,,
player,201511260det,det,WinnGe00,pass_yds,0,,,,,
player,201511260det,det,WinnGe00,pass_td,0,,,,,
player,201511260det,det,WinnGe00,pass_int,0,,,,,
player,201511260det,det,WinnGe00,pass_sacked,0,,,,,
player,201511260det,det,WinnGe00,pass_sacked_yds,0,,,,,
player,201511260det,det,WinnGe00,pass_long,0,,,,,
player,201511260det,det,WinnGe00,pass_rating,,,,,,
player,201511260det,det,WinnGe00,rush_att,3,,,,,
player,201511260det,det,WinnGe00,rush_yds,1,,,,,
player,201511260det,det,WinnGe00,rush_td,0,,,,,
player,201511260det,det,WinnGe00,rush_long,2,,,,,
player,201511260det,det,WinnGe00,targets,0,,,,,
player,201511260det,det,WinnGe00,rec,0,,,,,
player,201511260det,det,WinnGe00,rec_yds,0,,,,,
player,201511260det,det,WinnGe00,rec_td,0,,,,,
player,201511260det,det,WinnGe00,rec_long,0,,,,,
player,201511260det,det,WinnGe00,fumbles,0,,,,,
player,201511260det,det,WinnGe00,fumbles_lost,0,,,,,
player,201511260det,det,JohnCa00,pass_cmp,0,,,,,
player,201511260det,det,JohnCa00,pass_att,0,,,,,
player,201511260det,det,JohnCa00,pass_yds,0,,,,,
player,201511260det,det,JohnCa00,pass_td,0,,,,,
player,201511260det,det,JohnCa00,pass_int,0,,,,,
player,201511260det,det,JohnCa00,pass_sacked,0,,,,,
player,201511260det,det,JohnCa00,pass_sacked_yds,0,,,,,
player,201511260det,det,JohnCa00,pass_long,0,,,,,
player,201511260det,det,JohnCa00,pass_rating,,,,,,
player,201511260det,det,JohnCa00,rush_att,0,,,,,
player,201511260det,det,JohnCa00,rush_yds,0,,,,,
player,201511260det,det,JohnCa00,rush_td,0,,,,,
player,201511260det,det,JohnCa00,rush_long,0,,,,,
player,201511260det,det,JohnCa00,targets,14,,,,,
player,201511260det,det,JohnCa00,rec,8,,,,,
player,201511260det,det,JohnCa00,rec_yds,93,,,,,
player,201511260det,det,JohnCa00,rec_td,3,,,,,
player,201511260det,det,JohnCa00,rec_long,25,,,,,
player,201511260det,det,JohnCa00,fumbles,0,,,,,
player,201511260det,det,JohnCa00,fumbles_lost,0,,,,,
player,201511260det,det,TateGo00,pass_cmp,0,,,,,
player,201511260det,det,TateGo00,pass_att,0,,,,,
player,201511260det,det,TateGo00,pass_yds,0,,,,,
player,201511260det,det,TateGo00,pass_td,0,,,,,
player,201511260det,det,TateGo00,pass_int,0,,,,,
player,201511260det,det,TateGo00,pass_sacked,0,,,,,
player,201511260det,det,TateGo00,pass_sacked_yds,0,,,,,
player,201511260det,det,TateGo00,pass_long,0,,,,,
player,201511260det,det,TateGo00,pass_rating,,,,,,
player,201511260det,det,TateGo00,rush_att,0,,,,,
player,201511260det,det,TateGo00,rush_yds,0,,,,,
player,201511260det,det,TateGo00,rush_td,0,,,,,
player,201511260det,det,TateGo00,rush_long,0,,,,,
player,201511260det,det,TateGo00,targets,8,,,,,
player,201511260det,det,TateGo00,rec,7,,,,,
player,201511260det,det,TateGo00,rec_yds,50,,,,,
player,201511260det,det,TateGo00,rec_td,1,,,,,
player,201511260det,det,TateGo00,rec_long,19,,,,,
player,201511260det,det,TateGo00,fumbles,0,,,,,
player,201511260det,det,TateGo00,fumbles_lost,0,,,,,
player,201511260det,det,EbroEr00,pass_cmp,0,,,,,
player,201511260det,det,EbroEr00,pass_att,0,,,,,
player,201511260det,det,EbroEr00,pass_yds,0,,,,,
player,201511260det,det,EbroEr00,pass_td,0,,,,,
player,201511260det,det,EbroEr00,pass_int,0,,,,,
player,201511260det,det,EbroEr00,pass_sacked,0,,,,,
player,201511260det,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201511260det,det,EbroEr00,pass_long,0,,,,,
player,201511260det,det,EbroEr00,pass_rating,,,,,,
player,201511260det,det,EbroEr00,rush_att,0,,,,,
player,201511260det,det,EbroEr00,rush_yds,0,,,,,
player,201511260det,det,EbroEr00,rush_td,0,,,,,
player,201511260det,det,EbroEr00,rush_long,0,,,,,
player,201511260det,det,EbroEr00,targets,3,,,,,
player,201511260det,det,EbroEr00,rec,2,,,,,
player,201511260det,det,EbroEr00,rec_yds,28,,,,,
player,201511260det,det,EbroEr00,rec_td,0,,,,,
player,201511260det,det,EbroEr00,rec_long,19,,,,,
player,201511260det,det,EbroEr00,fumbles,0,,,,,
player,201511260det,det,EbroEr00,fumbles_lost,0,,,,,
player,201511260det,det,PettBr00,pass_cmp,0,,,,,
player,201511260det,det,PettBr00,pass_att,0,,,,,
player,201511260det,det,PettBr00,pass_yds,0,,,,,
player,201511260det,det,PettBr00,pass_td,0,,,,,
player,201511260det,det,PettBr00,pass_int,0,,,,,
player,201511260det,det,PettBr00,pass_sacked,0,,,,,
player,201511260det,det,PettBr00,pass_sacked_yds,0,,,,,
player,201511260det,det,PettBr00,pass_long,0,,,,,
player,201511260det,det,PettBr00,pass_rating,,,,,,
player,201511260det,det,PettBr00,rush_att,0,,,,,
player,201511260det,det,PettBr00,rush_yds,0,,,,,
player,201511260det,det,PettBr00,rush_td,0,,,,,
player,201511260det,det,PettBr00,rush_long,0,,,,,
player,201511260det,det,PettBr00,targets,2,,,,,
player,201511260det,det,PettBr00,rec,1,,,,,
player,201511260det,det,PettBr00,rec_yds,21,,,,,
player,201511260det,det,PettBr00,rec_td,0,,,,,
player,201511260det,det,PettBr00,rec_long,21,,,,,
player,201511260det,det,PettBr00,fumbles,0,,,,,
player,201511260det,det,PettBr00,fumbles_lost,0,,,,,
player,201511260det,det,MoorLa00,pass_cmp,0,,,,,
player,201511260det,det,MoorLa00,pass_att,0,,,,,
player,201511260det,det,MoorLa00,pass_yds,0,,,,,
player,201511260det,det,MoorLa00,pass_td,0,,,,,
player,201511260det,det,MoorLa00,pass_int,0,,,,,
player,201511260det,det,MoorLa00,pass_sacked,0,,,,,
player,201511260det,det,MoorLa00,pass_sacked_yds,0,,,,,
player,201511260det,det,MoorLa00,pass_long,0,,,,,
player,201511260det,det,MoorLa00,pass_rating,,,,,,
player,201511260det,det,MoorLa00,rush_att,0,,,,,
player,201511260det,det,MoorLa00,rush_yds,0,,,,,
player,201511260det,det,MoorLa00,rush_td,0,,,,,
player,201511260det,det,MoorLa00,rush_long,0,,,,,
player,201511260det,det,MoorLa00,targets,1,,,,,
player,201511260det,det,MoorLa00,rec,1,,,,,
player,201511260det,det,MoorLa00,rec_yds,14,,,,,
player,201511260det,det,MoorLa00,rec_td,0,,,,,
player,201511260det,det,MoorLa00,rec_long,14,,,,,
player,201511260det,det,MoorLa00,fumbles,0,,,,,
player,201511260det,det,MoorLa00,fumbles_lost,0,,,,,
player,201511260det,phi,CurrVi00,def_int,0,,,,,
player,201511260det,phi,CurrVi00,def_int_yds,0,,,,,
player,201511260det,phi,CurrVi00,def_int_td,0,,,,,
player,201511260det,phi,CurrVi00,def_int_long,0,,,,,
player,201511260det,phi,CurrVi00,pass_defended,0,,,,,
player,201511260det,phi,CurrVi00,sacks,2.0,,,,,
player,201511260det,phi,CurrVi00,tackles_combined,2,,,,,
player,201511260det,phi,CurrVi00,tackles_solo,2,,,,,
player,201511260det,phi,CurrVi00,tackles_assists,0,,,,,
player,201511260det,phi,CurrVi00,tackles_loss,2,,,,,
player,201511260det,phi,CurrVi00,qb_hits,2,,,,,
player,201511260det,phi,CurrVi00,fumbles_rec,0,,,,,
player,201511260det,phi,CurrVi00,fumbles_rec_yds,0,,,,,
player,201511260det,phi,CurrVi00,fumbles_rec_td,0,,,,,
player,201511260det,phi,CurrVi00,fumbles_forced,0,,,,,
