game,2015,12,20151129,201511290clt,tam,"Tampa Bay Buccaneers",12,clt,"Indianapolis Colts",25
player,201511290clt,clt,BradAh00,pass_sacked_yds,0,,,,,
player,201511290clt,clt,BradAh00,pass_long,0,,,,,
player,201511290clt,clt,BradAh00,pass_rating,,,,,,
player,201511290clt,clt,BradAh00,rush_att,4,,,,,
player,201511290clt,clt,BradAh00,rush_yds,6,,,,,
player,201511290clt,clt,BradAh00,rush_td,0,,,,,
player,201511290clt,clt,BradAh00,rush_long,7,,,,,
player,201511290clt,clt,BradAh00,targets,4,,,,,
player,201511290clt,clt,BradAh00,rec,3,,,,,
player,201511290clt,clt,BradAh00,rec_yds,20,,,,,
player,201511290clt,clt,BradAh00,rec_td,0,,,,,
player,201511290clt,clt,BradAh00,rec_long,10,,,,,
player,201511290clt,clt,BradAh00,fumbles,0,,,,,
player,201511290clt,clt,BradAh00,fumbles_lost,0,,,,,
player,201511290clt,clt,MoncDo00,pass_cmp,0,,,,,
player,201511290clt,clt,MoncDo00,pass_att,0,,,,,
player,201511290clt,clt,MoncDo00,pass_yds,0,,,,,
player,201511290clt,clt,MoncDo00,pass_td,0,,,,,
player,201511290clt,clt,MoncDo00,pass_int,0,,,,,
player,201511290clt,clt,MoncDo00,pass_sacked,0,,,,,
player,201511290clt,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201511290clt,clt,MoncDo00,pass_long,0,,,,,
player,201511290clt,clt,MoncDo00,pass_rating,,,,,,
player,201511290clt,clt,MoncDo00,rush_att,0,,,,,
player,201511290clt,clt,MoncDo00,rush_yds,0,,,,,
player,201511290clt,clt,MoncDo00,rush_td,0,,,,,
player,201511290clt,clt,MoncDo00,rush_long,0,,,,,
player,201511290clt,clt,MoncDo00,targets,9,,,,,
player,201511290clt,clt,MoncDo00,rec,8,,,,,
player,201511290clt,clt,MoncDo00,rec_yds,114,,,,,
player,201511290clt,clt,MoncDo00,rec_td,0,,,,,
player,201511290clt,clt,MoncDo00,rec_long,31,,,,,
player,201511290clt,clt,MoncDo00,fumbles,0,,,,,
player,201511290clt,clt,MoncDo00,fumbles_lost,0,,,,,
player,201511290clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201511290clt,clt,HiltT.00,pass_att,0,,,,,
player,201511290clt,clt,HiltT.00,pass_yds,0,,,,,
player,201511290clt,clt,HiltT.00,pass_td,0,,,,,
player,201511290clt,clt,HiltT.00,pass_int,0,,,,,
player,201511290clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201511290clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201511290clt,clt,HiltT.00,pass_long,0,,,,,
player,201511290clt,clt,HiltT.00,pass_rating,,,,,,
player,201511290clt,clt,HiltT.00,rush_att,0,,,,,
player,201511290clt,clt,HiltT.00,rush_yds,0,,,,,
